600926 杭州银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/10/27	8.44	10.20	8.44	10.20	379856	7844051.50
2016/10/28	11.26	11.26	11.26	11.26	263624	6007991.00
2016/10/31	12.42	12.42	12.42	12.42	7957939	199505536.00
2016/11/01	13.15	13.70	12.99	13.70	95521601	2599904000.00
2016/11/02	14.03	15.09	13.85	14.46	140100239	4070404608.00
2016/11/03	13.92	14.17	13.71	13.80	79948334	2232413184.00
2016/11/04	13.82	13.91	13.23	13.37	63667111	1723018624.00
2016/11/07	13.24	13.49	13.01	13.29	36354494	967753792.00
2016/11/08	13.34	13.37	13.14	13.27	31665944	845769216.00
2016/11/09	13.15	13.20	12.65	12.77	45996900	1197431424.00
2016/11/10	12.94	13.51	12.70	13.27	63473902	1690276480.00
2016/11/11	13.15	13.34	13.03	13.19	44095247	1169257472.00
2016/11/14	13.13	13.81	13.05	13.40	52252696	1414187392.00
2016/11/15	13.30	13.30	13.15	13.24	25997867	691544704.00
2016/11/16	13.29	13.36	13.15	13.17	22179318	590323392.00
2016/11/17	13.10	13.15	12.86	12.92	23211852	606093312.00
2016/11/18	12.90	12.91	12.67	12.69	25491189	656070784.00
2016/11/21	12.65	12.80	12.55	12.62	19088361	486854752.00
2016/11/22	12.58	12.69	12.56	12.66	18114835	461331296.00
2016/11/23	12.66	12.87	12.58	12.62	23190006	595691392.00
2016/11/24	12.57	12.58	12.24	12.26	28386713	708961152.00
2016/11/25	12.26	12.37	12.07	12.20	14842160	365052416.00
2016/11/28	12.20	12.37	12.14	12.27	14752874	365805568.00
2016/11/29	12.19	12.20	11.85	11.85	23490292	569283072.00
2016/11/30	11.84	11.85	11.48	11.52	17481605	411369408.00
2016/12/01	11.52	11.70	11.52	11.60	11214541	263348480.00
2016/12/02	11.57	11.60	11.43	11.45	12129588	281883584.00
2016/12/05	11.42	11.55	11.33	11.54	9585203	222560704.00
2016/12/06	11.51	11.68	11.49	11.60	9643609	226438416.00
2016/12/07	11.57	11.63	11.45	11.62	9155777	213667872.00
2016/12/08	11.62	12.03	11.60	11.88	27902136	669726464.00
2016/12/09	11.82	12.02	11.75	11.86	18767412	452174368.00
2016/12/12	11.80	12.00	11.21	11.24	20128486	470803936.00
2016/12/13	11.15	11.21	10.76	11.02	17034098	377255520.00
2016/12/14	11.01	11.11	10.92	10.93	10606553	236248112.00
2016/12/15	10.90	11.03	10.85	10.98	9640535	213972192.00
2016/12/16	10.93	11.01	10.86	10.94	8575243	190056384.00
2016/12/19	10.93	10.97	10.72	10.74	8366011	183379888.00
2016/12/20	10.70	10.80	10.56	10.62	7994103	172963440.00
2016/12/21	10.67	10.83	10.60	10.77	9958199	216232800.00
2016/12/22	10.73	10.74	10.61	10.66	6310354	136401456.00
2016/12/23	10.62	10.73	10.54	10.54	6986125	150530096.00
2016/12/26	10.45	10.59	10.26	10.58	9294161	196242368.00
2016/12/27	10.53	10.56	10.44	10.45	5229911	111334976.00
2016/12/28	10.49	10.49	10.34	10.36	4926000	104004992.00
2016/12/29	10.36	10.46	10.32	10.35	4879056	102818784.00
2016/12/30	10.35	10.41	10.30	10.32	5957698	125049184.00
2017/01/03	10.32	10.47	10.32	10.41	6194919	130966184.00
2017/01/04	10.42	10.51	10.41	10.51	7954356	168892128.00
2017/01/05	10.52	10.52	10.44	10.45	5993224	127263488.00
2017/01/06	10.43	10.46	10.27	10.29	8366693	175746528.00
2017/01/09	10.26	10.33	10.21	10.32	5252655	109507176.00
2017/01/10	10.29	10.31	10.23	10.23	4956306	103202136.00
2017/01/11	10.25	10.25	9.98	9.98	9644373	197620864.00
2017/01/12	9.97	10.01	9.80	9.82	7198518	144967424.00
2017/01/13	9.82	9.83	9.59	9.65	8750652	172751776.00
2017/01/16	9.60	9.83	9.41	9.65	11627980	226680720.00
2017/01/17	9.58	9.72	9.44	9.69	8629084	168430176.00
2017/01/18	9.63	9.67	9.52	9.52	6228772	121677392.00
2017/01/19	9.48	9.68	9.35	9.56	8573878	166378640.00
2017/01/20	9.51	9.77	9.49	9.70	9288431	182862624.00
2017/01/23	9.68	9.80	9.67	9.71	7818031	154741776.00
2017/01/24	9.72	9.72	9.64	9.68	3994088	78658976.00
2017/01/25	9.65	9.71	9.63	9.68	3283230	64640788.00
2017/01/26	9.67	9.96	9.67	9.91	11683539	234372352.00
2017/02/03	9.92	9.92	9.77	9.78	4200527	83786080.00
2017/02/06	9.79	9.89	9.77	9.89	4620617	92378168.00
2017/02/07	9.88	9.90	9.76	9.80	5524159	110259024.00
2017/02/08	9.78	9.91	9.67	9.89	9932754	197740336.00
2017/02/09	9.87	9.93	9.84	9.89	7227023	145221200.00
2017/02/10	9.93	10.23	9.90	10.11	20690094	425993888.00
2017/02/13	10.09	10.79	10.09	10.47	29816962	635120512.00
2017/02/14	10.48	10.53	10.24	10.36	15753689	330623328.00
2017/02/15	10.32	10.95	10.31	10.67	42941593	932670976.00
2017/02/16	10.63	10.97	10.57	10.82	28971795	632640832.00
2017/02/17	10.71	10.92	10.45	10.46	24886460	538731456.00
2017/02/20	10.41	11.50	10.40	11.43	57577612	1294653184.00
2017/02/21	11.44	11.51	11.06	11.17	37909449	860172864.00
2017/02/22	11.11	11.11	10.82	10.98	26555943	588481024.00
2017/02/23	10.92	11.07	10.81	11.01	17312048	384234560.00
2017/02/24	10.92	11.08	10.87	11.03	15004423	333126656.00
2017/02/27	11.00	11.00	10.76	10.76	16554014	363884672.00
2017/02/28	10.74	11.45	10.71	11.34	43540768	990939136.00
2017/03/01	11.22	11.48	11.13	11.16	28912846	660139648.00
2017/03/02	11.18	11.52	11.15	11.44	38281762	881420800.00
2017/03/03	11.32	11.35	11.10	11.15	24059239	545744320.00
2017/03/06	11.11	11.36	10.96	11.20	16811458	380051680.00
2017/03/07	11.15	11.37	11.13	11.36	20213397	460353472.00
2017/03/08	11.30	11.46	11.18	11.27	19849612	454427264.00
2017/03/09	11.19	11.32	11.03	11.11	16102099	363588736.00
2017/03/10	11.05	11.20	10.98	10.99	12857628	288524128.00
2017/03/13	10.91	11.17	10.77	11.15	16177446	359509952.00
2017/03/14	11.10	11.26	11.02	11.06	9028774	203477792.00
2017/03/15	11.01	11.12	10.94	10.96	7905590	176242736.00
2017/03/16	10.99	11.36	10.99	11.26	27564486	627071232.00
2017/03/17	11.20	11.28	10.99	11.02	17183748	387169984.00
2017/03/20	11.02	11.14	10.95	11.14	10877239	243206800.00
2017/03/21	11.06	11.16	11.05	11.15	8095106	181934672.00
2017/03/22	11.05	11.11	10.80	10.82	16866540	373561792.00
2017/03/23	10.82	10.92	10.61	10.80	12663596	276788704.00
2017/03/24	10.75	10.82	10.61	10.77	10118300	219360672.00
2017/03/27	10.74	10.98	10.71	10.85	10325029	227413152.00
2017/03/28	10.86	10.92	10.76	10.83	5730270	125593336.00
2017/03/29	10.82	10.86	10.55	10.56	9938976	215018000.00
2017/03/30	10.55	10.59	10.15	10.16	13731594	287075680.00
2017/03/31	10.35	11.21	10.24	11.21	27403053	612248064.00
2017/04/05	11.27	11.46	11.01	11.33	50206070	1143926912.00
2017/04/06	11.18	11.26	11.02	11.22	24100848	545196864.00
2017/04/07	11.15	11.46	11.15	11.21	26671252	610703552.00
2017/04/10	11.10	11.17	10.82	10.91	22570236	501128608.00
2017/04/11	10.84	11.32	10.78	11.25	27103398	608234368.00
2017/04/12	11.12	11.21	10.86	10.90	18794405	419616928.00
2017/04/13	10.86	11.03	10.74	10.78	12731826	279816864.00
2017/04/14	10.71	10.80	10.58	10.59	9633903	208426384.00
2017/04/17	10.40	10.53	10.19	10.37	11534328	242391440.00
2017/04/18	10.43	10.44	10.27	10.31	6799696	142723056.00
2017/04/19	10.44	10.68	10.39	10.54	14007186	299277952.00
2017/04/20	10.42	10.50	10.22	10.29	9196570	193057008.00
2017/04/21	10.32	10.54	10.31	10.39	7740165	163918496.00
2017/04/24	10.36	10.53	10.09	10.38	9169535	191813936.00
2017/04/25	10.44	10.68	10.30	10.51	11116878	237071168.00
2017/04/26	10.53	10.67	10.44	10.54	10808608	232082896.00
2017/04/27	10.46	10.54	10.31	10.50	10404695	219875808.00
2017/04/28	10.45	10.59	10.43	10.54	9000796	192030080.00
2017/05/02	10.47	10.49	10.32	10.40	7716308	162927232.00
2017/05/03	10.37	10.58	10.34	10.58	11069893	235938480.00
2017/05/04	10.52	10.85	10.38	10.69	17482898	378158048.00
2017/05/05	10.60	10.90	10.56	10.65	16265729	354151296.00
2017/05/08	10.60	10.86	10.55	10.65	11882886	258208016.00
2017/05/09	10.65	11.55	10.65	11.29	44592589	1011347456.00
2017/05/10	11.16	12.10	11.07	11.48	60624104	1416611584.00
2017/05/11	11.29	11.46	10.96	11.17	34631898	785402496.00
2017/05/12	11.14	11.78	11.12	11.72	45196812	1056197824.00
2017/05/15	11.60	11.87	11.50	11.65	29682031	698290688.00
2017/05/16	11.56	11.60	11.20	11.52	27522224	633976768.00
2017/05/17	11.42	11.44	11.17	11.29	25389041	580382720.00
2017/05/18	11.19	11.36	10.81	10.89	28768808	644024000.00
2017/05/19	10.84	10.95	10.59	10.66	20782400	451918880.00
2017/05/22	10.61	10.80	10.46	10.63	12677687	273647936.00
2017/05/23	10.63	10.91	10.57	10.69	17318342	377048512.00
2017/05/24	10.60	10.60	9.84	10.11	22791795	468093760.00
2017/05/25	10.10	10.45	10.04	10.40	20321718	425503616.00
2017/05/26	10.32	10.44	10.30	10.32	11146827	234173920.00
2017/05/31	10.51	10.74	10.45	10.53	15392450	330868000.00
2017/06/01	10.47	10.83	10.46	10.65	16328667	353963872.00
2017/06/02	10.67	11.01	10.65	11.01	27109610	597302272.00
2017/06/05	10.93	11.05	10.78	10.89	15590674	343714464.00
2017/06/06	10.93	10.99	10.66	10.81	11749840	181119568.00
2017/06/07	10.69	11.06	10.64	10.99	29704250	462626016.00
2017/06/08	10.93	10.99	10.76	10.92	20757074	321673056.00
2017/06/09	10.90	10.99	10.79	10.85	17331708	269445888.00
2017/06/12	10.79	10.98	10.71	10.76	14827122	229693168.00
2017/06/13	10.71	10.82	10.66	10.77	11758980	180165904.00
2017/06/14	10.74	10.78	10.51	10.52	17076763	258336208.00
2017/06/15	10.53	10.67	10.50	10.60	13280208	200808960.00
