600960 渤海汽车 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2004/04/07	3.60	3.74	3.56	3.59	21700415	350851296.00
2004/04/08	3.56	3.57	3.40	3.41	8003053	123412264.00
2004/04/09	3.41	3.50	3.39	3.46	4220056	64836332.00
2004/04/12	3.46	3.47	3.30	3.33	2738796	41103320.00
2004/04/13	3.33	3.35	3.27	3.29	2206238	32520896.00
2004/04/14	3.28	3.28	3.10	3.13	3126752	44548668.00
2004/04/15	3.13	3.18	3.05	3.06	1727018	24217150.00
2004/04/16	3.06	3.15	2.98	3.15	2196746	30286088.00
2004/04/19	3.12	3.13	3.01	3.03	1126211	15623070.00
2004/04/20	3.01	3.16	2.99	3.10	1653196	23117012.00
2004/04/21	3.12	3.22	3.11	3.14	1732593	24654758.00
2004/04/22	3.15	3.18	3.06	3.13	781309	10945236.00
2004/04/23	3.11	3.17	3.08	3.10	692392	9753154.00
2004/04/26	3.10	3.20	3.08	3.17	973007	13757957.00
2004/04/27	3.17	3.19	3.08	3.09	902903	12647055.00
2004/04/28	3.09	3.18	3.04	3.09	1765910	24792448.00
2004/04/29	3.09	3.11	2.94	2.95	1690123	22886936.00
2004/04/30	2.94	3.01	2.89	2.92	854390	11387043.00
2004/05/10	2.93	2.94	2.81	2.82	681097	8797857.00
2004/05/11	2.82	2.88	2.80	2.88	517485	6687713.00
2004/05/12	2.87	2.97	2.82	2.96	896042	11805730.00
2004/05/13	2.95	2.96	2.90	2.90	761092	10074117.00
2004/05/14	2.91	2.94	2.80	2.82	806501	10402140.00
2004/05/17	2.81	2.85	2.80	2.83	255101	3277294.00
2004/05/18	2.82	2.93	2.82	2.91	687122	8968775.00
2004/05/19	2.93	2.93	2.87	2.89	537190	7054599.00
2004/05/20	2.87	2.88	2.82	2.84	331801	4285730.00
2004/05/21	2.83	2.86	2.82	2.84	381427	4903772.00
2004/05/24	2.85	2.85	2.76	2.77	644056	8168546.00
2004/05/25	2.77	2.78	2.55	2.57	1071828	12934618.00
2004/05/26	2.56	2.60	2.51	2.56	556547	6515505.00
2004/05/27	2.56	2.68	2.50	2.65	1413179	16738612.00
2004/05/28	2.63	2.67	2.60	2.61	794997	9583209.00
2004/05/31	2.60	2.67	2.59	2.65	537340	6475162.00
2004/06/01	2.65	2.95	2.63	2.95	4770661	62061144.00
2004/06/02	2.95	3.11	2.93	2.98	5830021	79321400.00
2004/06/03	2.98	3.05	2.89	2.98	1925220	25793492.00
2004/06/04	3.01	3.19	3.00	3.04	3897166	54367120.00
2004/06/07	3.04	3.06	2.93	2.97	1173732	15848887.00
2004/06/08	2.98	3.01	2.85	2.90	1078800	14227443.00
2004/06/09	2.90	2.98	2.82	2.86	1118836	14815173.00
2004/06/10	2.84	2.89	2.62	2.68	1427442	17723910.00
2004/06/11	2.65	2.83	2.65	2.72	1269157	15966378.00
2004/06/14	2.72	2.72	2.59	2.67	793904	9615084.00
2004/06/15	2.67	2.79	2.66	2.76	731516	9043319.00
2004/06/16	2.77	2.81	2.74	2.76	718440	9068414.00
2004/06/17	2.74	2.78	2.64	2.65	1244615	15254691.00
2004/06/18	2.62	2.65	2.57	2.63	1053454	12593947.00
2004/06/21	2.63	2.81	2.63	2.80	1491456	18587660.00
2004/06/22	2.85	2.86	2.78	2.82	1349446	17244526.00
2004/06/23	2.81	2.83	2.67	2.76	783589	9735167.00
2004/06/24	2.74	2.84	2.73	2.81	1398616	17778424.00
2004/06/25	2.67	2.79	2.61	2.62	1039931	12712112.00
2004/06/28	2.57	2.57	2.32	2.35	1062623	11821841.00
2004/06/29	2.31	2.41	2.26	2.37	796537	8568970.00
2004/06/30	2.38	2.39	2.33	2.33	468273	5095752.00
2004/07/01	2.31	2.43	2.29	2.40	606992	6698991.00
2004/07/02	2.42	2.42	2.31	2.37	522683	5701269.00
2004/07/05	2.37	2.37	2.33	2.36	219910	2392392.00
2004/07/06	2.38	2.41	2.35	2.36	869835	9542350.00
2004/07/07	2.34	2.36	2.29	2.30	481121	5150166.00
2004/07/08	2.30	2.32	2.27	2.31	335411	3567691.00
2004/07/09	2.31	2.32	2.23	2.23	444400	4700613.00
2004/07/12	2.19	2.20	2.04	2.06	846841	8339571.00
2004/07/13	2.06	2.10	2.03	2.09	323284	3141902.00
2004/07/14	2.09	2.10	1.96	2.05	582961	5558680.00
2004/07/15	2.06	2.09	2.02	2.09	545101	5280130.00
2004/07/16	2.10	2.19	2.07	2.18	1019394	10259028.00
2004/07/19	2.19	2.22	2.15	2.16	600578	6101112.00
2004/07/20	2.16	2.16	2.09	2.10	458242	4538236.00
2004/07/21	2.09	2.11	2.07	2.09	309517	3028249.00
2004/07/22	2.09	2.12	2.02	2.02	452643	4381087.00
2004/07/23	2.03	2.03	1.98	2.01	490529	4616342.00
2004/07/26	2.01	2.01	1.91	1.92	463699	4261022.00
2004/07/27	1.94	1.97	1.90	1.91	348110	3169689.00
2004/07/28	1.91	1.96	1.90	1.96	337447	3085142.00
2004/07/29	1.96	2.04	1.94	2.03	657453	6204298.00
2004/07/30	2.04	2.04	1.94	1.95	383922	3597603.00
2004/08/02	1.93	1.97	1.92	1.93	181340	1662260.00
2004/08/03	1.93	2.01	1.93	1.99	312365	2916521.00
2004/08/04	1.99	2.08	1.99	2.05	770908	7405689.00
2004/08/05	2.04	2.06	1.99	1.99	375669	3583628.00
2004/08/06	2.02	2.02	1.96	1.98	243100	2273615.00
2004/08/09	1.98	1.98	1.92	1.93	630138	5764555.00
2004/08/10	1.92	1.94	1.91	1.93	472972	4314193.00
2004/08/11	1.93	1.95	1.87	1.87	497001	4491059.00
2004/08/12	1.86	1.87	1.79	1.81	613319	5285133.00
2004/08/13	1.79	1.84	1.79	1.82	284700	2479339.00
2004/08/16	1.82	1.85	1.78	1.79	240580	2071472.00
2004/08/17	1.79	1.80	1.73	1.79	332096	2806024.00
2004/08/18	1.81	1.81	1.77	1.77	194076	1658143.00
2004/08/19	1.77	1.79	1.74	1.74	295670	2486912.00
2004/08/20	1.77	1.88	1.75	1.85	982408	8578929.00
2004/08/23	1.85	1.86	1.80	1.83	362944	3156510.00
2004/08/24	1.83	1.89	1.82	1.86	567385	5030896.00
2004/08/25	1.85	1.85	1.82	1.83	185300	1623142.00
2004/08/26	1.83	1.85	1.80	1.81	222532	1938810.00
2004/08/27	1.81	1.82	1.75	1.76	302013	2567073.00
2004/08/30	1.78	1.81	1.75	1.80	179060	1531024.00
2004/08/31	1.85	1.89	1.85	1.87	778599	6940586.00
2004/09/01	1.85	1.87	1.81	1.81	306760	2684922.00
2004/09/02	1.80	1.86	1.79	1.85	199362	1733274.00
2004/09/03	1.85	1.87	1.83	1.84	211601	1869003.00
2004/09/06	1.82	1.86	1.82	1.86	172968	1522877.00
2004/09/07	1.84	1.88	1.84	1.88	199450	1769980.00
2004/09/08	1.88	1.88	1.83	1.87	192800	1705964.00
2004/09/09	1.87	1.87	1.76	1.77	513491	4417506.00
2004/09/10	1.76	1.81	1.74	1.80	152680	1302502.00
2004/09/13	1.81	1.82	1.70	1.72	251400	2127639.00
2004/09/14	1.72	1.81	1.72	1.78	388162	3317902.00
2004/09/15	1.80	1.96	1.78	1.91	1278873	11535925.00
2004/09/16	1.91	2.00	1.89	1.99	1616311	14945589.00
2004/09/17	2.02	2.05	1.95	2.05	1619331	15252289.00
2004/09/20	2.09	2.12	2.04	2.12	2075161	20229324.00
2004/09/21	2.10	2.14	2.06	2.08	1500638	14726691.00
2004/09/22	2.08	2.08	2.00	2.05	1469438	14140229.00
2004/09/23	2.05	2.10	2.02	2.10	783921	7548026.00
2004/09/24	2.13	2.18	2.04	2.05	1946613	19485870.00
2004/09/27	2.06	2.11	1.98	1.99	735880	7056683.00
2004/09/28	1.99	2.04	1.97	2.01	305222	2878192.00
2004/09/29	2.01	2.02	1.98	1.98	314862	2965900.00
2004/09/30	1.99	2.01	1.94	1.94	384068	3574651.00
2004/10/08	1.93	2.05	1.91	2.04	388671	3638810.00
2004/10/11	2.05	2.13	2.02	2.02	1390099	13574983.00
2004/10/12	2.02	2.04	1.99	2.01	538160	5100787.00
2004/10/13	2.00	2.06	1.98	2.05	491474	4664561.00
2004/10/14	2.06	2.10	1.88	1.89	1146820	10890905.00
2004/10/15	1.87	1.89	1.80	1.87	844447	7416755.00
2004/10/18	1.87	1.91	1.84	1.90	429885	3851388.00
2004/10/19	1.92	1.94	1.88	1.88	445440	4061849.00
2004/10/20	1.87	1.89	1.85	1.88	343730	3058110.00
2004/10/21	1.90	1.92	1.85	1.87	300372	2689654.00
2004/10/22	1.88	1.88	1.80	1.87	462808	4057365.00
2004/10/25	1.88	1.92	1.82	1.84	445741	3962557.00
2004/10/26	1.85	1.87	1.79	1.86	467470	4060905.00
2004/10/27	1.87	1.94	1.84	1.94	777902	7029906.00
2004/10/28	1.94	1.95	1.89	1.90	644550	5873493.00
2004/10/29	1.81	1.94	1.81	1.87	364862	3310511.00
2004/11/01	1.87	1.88	1.85	1.85	227100	2014658.00
2004/11/02	1.83	1.85	1.82	1.83	200100	1748457.00
2004/11/03	1.81	1.88	1.81	1.87	204629	1808970.00
2004/11/04	1.93	1.93	1.82	1.83	241820	2148446.00
2004/11/05	1.85	1.88	1.83	1.85	154698	1364254.00
2004/11/08	1.85	1.89	1.82	1.88	221840	1981030.00
2004/11/09	1.89	1.90	1.86	1.89	194669	1747728.00
2004/11/10	1.90	1.97	1.86	1.97	674694	6190676.00
2004/11/11	2.00	2.02	1.93	1.94	909326	8519165.00
2004/11/12	1.94	1.97	1.93	1.94	321344	2956636.00
2004/11/15	1.95	1.99	1.95	1.97	357579	3327197.00
2004/11/16	1.98	2.01	1.97	2.01	597222	5616830.00
2004/11/17	2.01	2.02	1.94	1.96	367055	3426143.00
2004/11/18	1.96	2.00	1.96	2.00	331445	3098323.00
2004/11/19	1.99	2.01	1.98	2.00	398724	3760402.00
2004/11/22	2.01	2.04	1.99	2.02	354791	3364410.00
2004/11/23	2.02	2.02	1.97	1.97	318405	2982722.00
2004/11/24	1.97	1.98	1.95	1.96	329999	3063374.00
2004/11/25	1.96	1.97	1.93	1.95	395917	3642577.00
2004/11/26	1.95	1.97	1.94	1.95	149862	1386340.00
2004/11/29	1.95	1.95	1.90	1.90	213200	1941537.00
2004/11/30	1.90	1.91	1.88	1.89	201870	1818128.00
2004/12/01	1.89	1.91	1.88	1.90	180209	1621332.00
2004/12/02	1.90	1.90	1.86	1.87	215149	1916239.00
2004/12/03	1.87	1.90	1.87	1.89	220600	1984109.00
2004/12/06	1.89	1.91	1.87	1.90	145500	1302869.00
2004/12/07	1.89	1.89	1.86	1.87	111900	1000011.00
2004/12/08	1.87	1.91	1.87	1.88	142800	1276431.00
2004/12/09	1.87	1.91	1.85	1.90	233765	2103735.00
2004/12/10	1.89	1.90	1.85	1.85	210061	1865433.00
2004/12/13	1.83	1.87	1.82	1.84	103100	904703.00
2004/12/14	1.85	1.87	1.82	1.84	99800	876483.00
2004/12/15	1.87	1.87	1.82	1.84	74951	656469.00
2004/12/16	1.84	1.85	1.82	1.82	97727	853402.00
2004/12/17	1.82	1.82	1.78	1.79	174710	1501846.00
2004/12/20	1.77	1.79	1.75	1.79	138540	1176136.00
2004/12/21	1.80	1.81	1.77	1.78	45385	388837.00
2004/12/22	1.80	1.83	1.77	1.83	110051	953673.00
2004/12/23	1.83	1.83	1.79	1.79	61615	531800.00
2004/12/24	1.78	1.80	1.78	1.79	53200	455031.00
2004/12/27	1.80	1.80	1.77	1.79	86450	738259.00
2004/12/28	1.79	1.79	1.76	1.77	117214	996530.00
2004/12/29	1.77	1.79	1.76	1.76	92100	779627.00
2004/12/30	1.76	1.76	1.73	1.73	134313	1125518.00
2004/12/31	1.77	1.77	1.71	1.71	160900	1337914.00
2005/01/04	1.70	1.71	1.70	1.70	111000	910587.00
2005/01/05	1.70	1.74	1.70	1.72	89054	735087.00
