600977 中国电影 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/08/09	10.16	12.30	10.16	12.30	180324	2308726.25
2016/08/10	13.58	13.58	13.58	13.58	70464	994951.69
2016/08/11	14.99	14.99	14.99	14.99	67505	1048352.63
2016/08/12	16.54	16.54	16.54	16.54	187196	3197307.75
2016/08/15	18.25	18.25	18.25	18.25	183895	3455387.00
2016/08/16	20.13	20.13	20.13	20.13	174751	3612103.25
2016/08/17	22.20	22.20	22.20	22.20	279011	6344710.00
2016/08/18	24.47	24.47	24.47	24.47	362604	9068726.00
2016/08/19	26.97	26.97	26.97	26.97	1132164	31145832.00
2016/08/22	29.72	29.72	29.72	29.72	2413820	73042192.00
2016/08/23	32.75	32.75	32.75	32.75	1446309	48147628.00
2016/08/24	36.08	36.08	36.08	36.08	570334	20885632.00
2016/08/25	39.74	39.74	37.64	38.29	238530958	9379325952.00
2016/08/26	37.96	39.65	37.80	37.98	134146735	5247420416.00
2016/08/29	37.02	37.02	34.17	34.20	125877228	4499417600.00
2016/08/30	34.79	35.14	33.54	33.73	68513946	2390989312.00
2016/08/31	33.61	34.54	32.77	34.12	78486761	2682664960.00
2016/09/01	33.71	34.61	33.15	33.97	63691082	2196540160.00
2016/09/02	33.64	34.46	33.31	33.80	51483813	1773817600.00
2016/09/05	33.76	33.96	32.24	32.26	68478892	2289143552.00
2016/09/06	31.90	32.72	31.72	32.60	47116360	1541184512.00
2016/09/07	32.46	32.81	32.08	32.12	33111719	1091400448.00
2016/09/08	32.26	32.81	31.93	32.22	38503921	1269382016.00
2016/09/09	31.90	32.23	31.00	31.02	46171762	1482067584.00
2016/09/12	30.06	30.44	29.23	29.33	38260188	1162532096.00
2016/09/13	29.62	29.71	29.26	29.35	21192801	635038912.00
2016/09/14	29.14	29.58	28.46	28.63	25311121	751452480.00
2016/09/19	28.67	29.14	28.67	28.94	19147692	563892608.00
2016/09/20	28.95	29.93	28.88	29.42	32374100	972022720.00
2016/09/21	29.20	29.41	28.74	28.79	21105590	624480256.00
2016/09/22	29.06	29.06	28.61	28.68	19332371	567323264.00
2016/09/23	28.80	28.95	27.95	27.98	25807973	748204544.00
2016/09/26	27.76	27.76	26.13	26.16	34072654	933675968.00
2016/09/27	26.06	26.47	25.84	26.45	18464239	493348960.00
2016/09/28	26.46	26.51	26.09	26.23	12895468	345854272.00
2016/09/29	26.39	26.70	26.21	26.36	14675634	396617248.00
2016/09/30	26.33	26.54	26.22	26.49	12593110	339432128.00
2016/10/10	26.70	27.23	26.36	27.03	20577479	562854720.00
2016/10/11	27.03	27.53	26.85	27.30	21895015	607798976.00
2016/10/12	27.12	27.63	27.07	27.27	17600118	490466912.00
2016/10/13	27.28	27.66	27.27	27.37	14972934	419258176.00
2016/10/14	27.26	27.36	26.59	26.79	15566694	427198976.00
2016/10/17	27.21	27.21	26.39	26.42	14513501	396985952.00
2016/10/18	26.36	26.72	26.23	26.70	15098702	408295968.00
2016/10/19	26.71	27.03	26.59	26.74	13082763	357215872.00
2016/10/20	26.75	26.81	26.38	26.51	11353000	307173408.00
2016/10/21	26.51	27.56	26.38	27.35	28751410	789938944.00
2016/10/24	27.13	29.04	27.10	28.68	65137282	1880548736.00
2016/10/25	28.56	29.44	28.37	28.75	41647165	1229352064.00
2016/10/26	28.76	29.25	28.34	28.36	24814855	725583104.00
2016/10/27	28.31	28.94	28.29	28.67	18359360	535152384.00
2016/10/28	28.68	28.75	27.96	28.08	20722053	596857152.00
2016/10/31	27.88	27.88	26.94	27.17	17416544	483891264.00
2016/11/01	27.18	27.60	27.18	27.52	13982888	391373600.00
2016/11/02	27.38	27.45	26.98	27.13	17938383	497133504.00
2016/11/03	26.96	27.41	26.85	26.98	19594255	541603392.00
2016/11/04	26.91	28.91	26.87	28.32	45213334	1288992128.00
2016/11/07	28.21	28.82	27.96	28.37	33844665	980530624.00
2016/11/08	28.45	30.34	28.33	29.67	64415563	1933023232.00
2016/11/09	29.16	29.55	28.48	29.06	43963852	1304902016.00
2016/11/10	29.45	30.43	29.08	29.97	47643642	1448772096.00
2016/11/11	29.74	30.44	29.41	29.58	42207929	1281466880.00
2016/11/14	29.49	29.58	28.76	29.05	30727284	909885312.00
2016/11/15	28.95	29.16	28.76	29.11	16013267	472386432.00
2016/11/16	29.11	29.15	28.55	28.59	18168499	532761504.00
2016/11/17	28.57	28.89	28.53	28.72	11758824	343635488.00
