601003 柳钢股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/02/27	3.35	3.80	3.35	3.52	53826715	892730880.00
2007/02/28	3.11	3.47	3.11	3.42	19773341	311071264.00
2007/03/01	3.35	3.35	3.11	3.15	11410091	174658752.00
2007/03/02	3.17	3.25	3.10	3.19	6047561	91795064.00
2007/03/05	3.15	3.15	2.86	2.95	8225915	120522896.00
2007/03/06	2.90	3.01	2.86	2.96	5367674	76841608.00
2007/03/07	2.97	3.05	2.97	2.99	3915181	57254580.00
2007/03/08	3.01	3.10	3.01	3.09	3847009	57109976.00
2007/03/09	3.09	3.12	2.99	3.10	5438260	80670688.00
2007/03/12	3.09	3.18	3.04	3.17	5079045	76455320.00
2007/03/13	3.13	3.17	3.10	3.10	3547452	53288388.00
2007/03/14	3.08	3.16	2.97	3.08	3411890	50687200.00
2007/03/15	3.08	3.22	3.06	3.19	5621982	85004464.00
2007/03/16	3.19	3.19	3.03	3.07	2914694	43717736.00
2007/03/19	2.97	3.12	2.90	3.05	2973515	43822928.00
2007/03/20	3.08	3.08	3.03	3.06	2507423	37023476.00
2007/03/21	3.15	3.30	3.06	3.13	3511239	52962464.00
2007/03/22	3.13	3.22	3.13	3.13	4670202	71169184.00
2007/03/23	3.13	3.15	3.06	3.11	2795616	41758180.00
2007/03/26	3.11	3.25	3.11	3.25	6536536	99996392.00
2007/03/27	3.28	3.33	3.21	3.23	5200995	81014512.00
2007/03/28	3.25	3.26	3.11	3.24	4791294	73101368.00
2007/03/29	3.24	3.39	3.24	3.29	7735777	122040920.00
2007/03/30	3.29	3.46	3.28	3.42	6644773	106694008.00
2007/04/02	3.43	3.69	3.43	3.65	8666549	145606976.00
2007/04/03	3.67	3.74	3.64	3.67	6179694	105481304.00
2007/04/04	3.68	3.85	3.55	3.78	5441456	93970096.00
2007/04/05	3.78	3.80	3.71	3.74	1828582	31652824.00
2007/04/06	3.74	3.82	3.68	3.76	2881080	50077372.00
2007/04/09	3.73	4.08	3.73	4.08	5096464	92565232.00
2007/04/10	4.08	4.35	4.07	4.31	5336124	101202472.00
2007/04/11	4.31	4.31	4.17	4.21	3213604	61174888.00
2007/04/12	4.21	4.43	4.21	4.36	3764608	73355472.00
2007/04/13	4.39	4.42	4.17	4.18	1936318	36883096.00
2007/04/16	4.21	4.38	4.21	4.32	2176559	41621952.00
2007/04/17	4.31	4.38	4.08	4.38	4402303	84261504.00
2007/04/18	4.54	4.93	4.54	4.93	7044429	149073072.00
2007/04/19	5.42	5.52	4.99	5.44	11858900	273019200.00
2007/04/20	6.09	6.09	5.78	6.09	6719409	170918784.00
2007/04/23	6.58	6.80	6.42	6.57	16673200	460381152.00
2007/04/24	6.69	6.72	6.35	6.40	8531000	230559088.00
2007/04/25	6.41	6.50	6.17	6.44	7560496	199583264.00
2007/04/26	6.44	6.57	6.36	6.41	5437427	146340976.00
2007/04/27	6.49	6.55	6.26	6.31	4371994	117507632.00
2007/04/30	6.31	6.31	6.02	6.11	5848809	151244016.00
2007/05/08	6.33	6.37	5.89	6.19	6071764	157199120.00
2007/05/09	6.19	6.19	5.86	6.05	6358133	161187360.00
2007/05/10	6.05	6.69	5.90	6.55	11471045	305572032.00
2007/05/11	6.42	6.55	6.11	6.44	6105940	163472608.00
2007/05/15	6.67	6.72	6.12	6.16	6992409	188427328.00
2007/05/16	6.18	6.40	6.08	6.26	4525884	118440544.00
2007/05/18	6.57	6.57	6.30	6.35	5627185	151011584.00
2007/05/21	6.16	6.40	6.11	6.33	5446046	144031680.00
2007/05/22	6.33	6.94	6.30	6.71	8748673	242339392.00
2007/05/23	6.74	6.78	6.56	6.71	4072379	113210304.00
2007/05/24	6.75	7.47	6.75	7.39	11816857	348796160.00
2007/05/25	7.28	7.38	7.00	7.29	8515133	254117984.00
2007/05/28	7.29	7.36	7.14	7.18	11383328	338741792.00
2007/05/29	7.20	7.37	6.96	7.30	10776078	317615392.00
