601006 大秦铁路 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/08/01	1.98	1.98	1.08	1.11	614436357	3525562368.00
2006/08/02	1.13	1.41	1.11	1.32	232650438	1320554624.00
2006/08/03	1.28	1.43	1.25	1.30	100498125	576989760.00
2006/08/04	1.32	1.38	1.23	1.25	79173885	451126592.00
2006/08/07	1.23	1.55	1.18	1.47	126376467	729556800.00
2006/08/08	1.46	1.54	1.43	1.50	69798442	410854720.00
2006/08/09	1.49	1.49	1.32	1.34	57056837	329890176.00
2006/08/10	1.34	1.40	1.30	1.39	46474253	267724624.00
2006/08/11	1.36	1.40	1.29	1.38	44381789	255447824.00
2006/08/14	1.39	1.43	1.23	1.25	50828366	290596320.00
2006/08/15	1.25	1.31	1.20	1.28	26705696	151439408.00
2006/08/16	1.28	1.42	1.25	1.39	57532287	331073568.00
2006/08/17	1.34	1.34	1.25	1.28	22838302	130225736.00
2006/08/18	1.26	1.32	1.19	1.22	36958923	208428704.00
2006/08/21	1.09	1.27	1.06	1.23	34100536	191295200.00
2006/08/22	1.20	1.30	1.19	1.23	25914384	146977584.00
2006/08/23	1.27	1.27	1.18	1.20	25885821	145399392.00
2006/08/24	1.20	1.27	1.16	1.27	21097038	118824496.00
2006/08/25	1.27	1.37	1.24	1.31	45447794	259852768.00
2006/08/28	1.33	1.36	1.25	1.34	42062710	240602304.00
2006/08/29	1.33	1.40	1.27	1.31	50770787	292193056.00
2006/08/30	1.31	1.40	1.24	1.37	41243492	236495168.00
2006/08/31	1.35	1.37	1.29	1.32	23663798	135615184.00
2006/09/01	1.32	1.34	1.21	1.22	28851122	163500048.00
2006/09/04	1.22	1.27	1.21	1.26	15623953	88274784.00
2006/09/05	1.25	1.30	1.21	1.23	27270784	153977488.00
2006/09/06	1.24	1.25	1.20	1.23	23027852	129531920.00
2006/09/07	1.24	1.25	1.15	1.16	33313446	186296096.00
