601008 连云港 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/04/26	9.50	9.70	8.70	8.89	76187720	1123694080.00
2007/04/27	8.50	8.69	8.37	8.52	26227048	360311936.00
2007/04/30	8.45	8.47	8.24	8.46	16750112	225830272.00
2007/05/08	8.54	8.59	8.37	8.56	14480365	198474976.00
2007/05/09	8.58	8.59	8.31	8.59	12811736	175195296.00
2007/05/10	8.59	8.87	8.53	8.81	15686988	221343824.00
2007/05/11	8.75	8.88	8.59	8.79	10512250	147623056.00
2007/05/14	8.66	8.79	8.58	8.61	9185399	128409680.00
2007/05/15	8.61	8.81	8.58	8.71	13412364	187796288.00
2007/05/16	8.69	8.97	8.55	8.89	12780517	181158080.00
2007/05/17	8.92	8.95	8.81	8.90	10109469	144437648.00
2007/05/18	8.82	8.90	8.70	8.86	9031479	127699160.00
2007/05/21	8.63	9.04	8.58	8.97	11746552	168605600.00
2007/05/22	8.95	9.24	8.89	8.99	12134669	176771088.00
2007/05/23	8.93	9.04	8.85	8.99	9484926	136761296.00
2007/05/24	9.00	9.01	8.69	8.96	10600789	150761808.00
2007/05/25	8.88	9.01	8.81	8.86	6657159	95426536.00
2007/05/28	8.88	9.17	8.88	9.15	13790589	199599856.00
2007/05/29	9.24	9.29	9.06	9.20	16746320	247676320.00
2007/05/30	8.74	9.10	8.56	8.75	14200522	202166848.00
2007/05/31	8.75	9.51	8.57	9.22	21211419	311099456.00
2007/06/01	9.23	9.70	9.08	9.16	21739393	328670336.00
2007/06/04	9.25	9.32	8.22	8.24	13684020	187415200.00
2007/06/05	7.44	8.37	7.44	8.22	11943579	152343776.00
2007/06/06	8.22	8.50	7.96	8.31	7386349	98830760.00
2007/06/07	8.33	8.64	8.33	8.54	7805345	106938792.00
2007/06/08	8.56	8.81	8.45	8.56	5948641	82721752.00
2007/06/11	8.56	9.44	8.43	9.44	18077454	264512864.00
2007/06/12	9.50	9.59	9.04	9.45	16492235	247201504.00
2007/06/13	9.42	9.83	9.30	9.50	14199983	219037088.00
2007/06/14	9.50	9.62	9.24	9.28	8199883	124281712.00
2007/06/15	9.14	9.40	9.11	9.31	6968064	104079952.00
2007/06/18	9.45	9.75	9.40	9.48	8366473	128192184.00
2007/06/19	9.48	10.10	9.22	9.95	14953839	236348032.00
2007/06/20	9.90	9.92	9.56	9.69	10211881	159913008.00
2007/06/21	9.56	10.10	9.55	10.00	10061973	158951168.00
2007/06/22	9.97	10.18	9.17	9.34	10049119	156348464.00
2007/06/25	9.40	9.56	9.03	9.20	7988494	119253680.00
2007/06/26	9.08	9.47	9.06	9.45	5970592	89037264.00
2007/06/27	9.45	10.15	9.27	9.90	14142064	223933600.00
2007/06/28	9.78	10.09	9.46	9.47	9135727	143117376.00
2007/06/29	9.33	9.56	9.04	9.08	8120207	120731424.00
2007/07/02	8.88	9.19	8.56	8.93	5459431	77879136.00
2007/07/03	9.02	9.36	8.89	9.24	3919008	57729932.00
2007/07/04	9.21	9.31	8.70	8.79	3101530	44884164.00
2007/07/05	8.81	8.81	8.11	8.27	4645315	63466264.00
2007/07/06	8.13	8.68	8.13	8.63	5589158	75804072.00
2007/07/09	8.65	8.86	8.51	8.78	6794511	95249848.00
2007/07/10	8.81	8.81	8.22	8.29	4878988	66230648.00
2007/07/11	8.24	8.45	8.17	8.41	2528408	33843700.00
2007/07/12	8.37	8.63	8.27	8.41	2085652	28352968.00
2007/07/13	8.37	8.45	8.17	8.28	1620588	21662212.00
2007/07/16	8.27	8.30	7.90	7.91	2238637	29145278.00
2007/07/17	7.80	8.08	7.80	8.02	1900120	24547168.00
2007/07/18	8.05	8.16	8.02	8.06	1904942	24833066.00
2007/07/19	8.05	8.05	7.86	7.99	1778986	22831992.00
2007/07/20	7.99	8.24	7.97	8.24	3481118	45724288.00
2007/07/23	8.22	8.68	8.22	8.62	6549002	90127000.00
2007/07/24	8.71	8.93	8.56	8.59	5201919	73305280.00
2007/07/25	8.61	8.90	8.56	8.83	5086683	71636144.00
2007/07/26	8.70	9.19	8.63	9.18	13692757	196028864.00
2007/07/27	9.02	9.09	8.79	8.91	10637911	153150368.00
2007/07/31	9.08	9.18	8.79	9.04	8496726	122563000.00
2007/08/01	9.08	9.18	8.56	8.62	7754023	110781736.00
2007/08/02	8.62	8.93	8.55	8.80	5162426	72814960.00
2007/08/03	8.80	8.86	8.55	8.71	5777583	80935808.00
2007/08/06	8.72	9.00	8.70	8.92	6249021	88976304.00
2007/08/07	8.94	8.99	8.75	8.77	6778147	96389312.00
2007/08/08	8.72	8.96	8.58	8.95	7158094	100724168.00
2007/08/09	9.07	9.08	8.83	8.86	4713406	67565776.00
2007/08/10	8.80	8.80	8.56	8.63	5317801	73976000.00
2007/08/13	8.66	9.02	8.61	8.80	7903713	112299312.00
2007/08/14	8.79	9.31	8.79	9.20	15153772	222830400.00
2007/08/15	9.36	9.43	9.00	9.14	13576343	201769248.00
2007/08/16	9.20	9.24	8.82	8.95	7373191	106732000.00
2007/08/17	8.93	9.04	8.79	8.81	6227003	89134336.00
2007/08/20	9.00	9.09	8.89	9.09	7611058	110336384.00
