601018 宁波港 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/09/28	3.14	3.17	2.96	2.99	326372968	1190050688.00
2010/09/29	2.87	2.96	2.85	2.89	115421292	401337440.00
2010/09/30	2.89	2.98	2.87	2.97	76494243	269854240.00
2010/10/08	2.98	3.08	2.94	3.01	128202491	461577088.00
2010/10/11	3.01	3.15	2.99	3.14	183771870	672264064.00
2010/10/12	3.12	3.14	3.06	3.10	105058337	386490720.00
2010/10/13	3.09	3.13	3.02	3.11	92866667	339165312.00
2010/10/14	3.12	3.27	3.09	3.15	269133898	1011656320.00
2010/10/15	3.14	3.24	3.09	3.22	232780931	874536960.00
2010/10/18	3.32	3.60	3.27	3.60	405817920	1653685760.00
2010/10/19	3.52	3.56	3.40	3.47	266893897	1078665472.00
2010/10/20	3.38	3.43	3.28	3.36	166983188	657299456.00
2010/10/21	3.37	3.37	3.24	3.30	99521036	385614432.00
2010/10/22	3.30	3.33	3.25	3.30	65463919	253800288.00
2010/10/25	3.30	3.40	3.30	3.38	103334200	406898240.00
2010/10/26	3.40	3.41	3.30	3.32	74838827	292520384.00
2010/10/27	3.30	3.37	3.28	3.28	58781810	229046896.00
2010/10/28	3.29	3.31	3.25	3.26	54640117	210400208.00
2010/10/29	3.26	3.28	3.18	3.22	58398674	221819488.00
2010/11/01	3.22	3.26	3.21	3.25	51418169	196299088.00
2010/11/02	3.26	3.33	3.19	3.28	88499744	339205984.00
2010/11/03	3.26	3.30	3.21	3.23	49817904	190446032.00
2010/11/04	3.25	3.30	3.23	3.28	49251189	189583280.00
2010/11/05	3.30	3.39	3.28	3.34	98169201	385259328.00
2010/11/08	3.35	3.38	3.32	3.36	77230297	303668064.00
2010/11/09	3.36	3.36	3.27	3.29	65961058	256429200.00
2010/11/10	3.27	3.28	3.20	3.24	48751654	186068800.00
2010/11/11	3.22	3.31	3.21	3.26	47827071	183857248.00
2010/11/12	3.25	3.25	3.06	3.09	80275186	299913440.00
2010/11/15	3.09	3.17	3.08	3.15	40610679	150276288.00
2010/11/16	3.14	3.14	3.04	3.05	35272763	129420008.00
2010/11/17	3.04	3.08	3.02	3.04	22547272	81669784.00
2010/11/18	3.05	3.07	3.03	3.06	19014028	69060616.00
2010/11/19	3.07	3.09	3.02	3.08	23155174	84061000.00
2010/11/22	3.05	3.09	3.04	3.07	21566157	78640376.00
2010/11/23	3.05	3.05	2.96	2.99	28737044	102951744.00
2010/11/24	2.98	3.03	2.97	3.02	18180568	65144480.00
2010/11/25	3.03	3.06	3.00	3.05	23508450	84963544.00
2010/11/26	3.04	3.05	3.00	3.01	16284371	58643588.00
2010/11/29	3.00	3.01	2.98	3.00	14631003	52273112.00
2010/11/30	2.99	3.02	2.91	2.94	31783389	112246920.00
2010/12/01	2.95	2.95	2.92	2.94	14099866	49529756.00
2010/12/02	2.99	3.07	2.96	3.03	33990000	121964904.00
2010/12/03	3.02	3.03	2.97	3.00	14036499	50217292.00
2010/12/06	3.02	3.04	2.98	3.02	21954161	78977656.00
2010/12/07	2.99	3.00	2.93	2.99	16168345	57359840.00
2010/12/08	2.98	2.99	2.95	2.97	10890960	38693336.00
2010/12/09	2.96	2.99	2.91	2.94	17619959	62207884.00
2010/12/10	2.92	2.97	2.92	2.95	12954454	45698440.00
2010/12/13	2.95	3.02	2.95	3.02	25068558	89726808.00
