601107 四川成渝 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/07/27	6.70	14.35	6.13	10.00	331167529	2613808640.00
2009/07/28	8.91	8.91	8.91	8.91	28445400	279049376.00
2009/07/29	7.93	7.93	7.93	7.93	7736500	68313296.00
2009/07/30	7.05	8.75	7.05	8.44	274327274	2333763072.00
2009/07/31	7.80	8.29	7.62	8.13	172952329	1529848960.00
2009/08/03	7.94	8.06	7.60	7.89	101252327	883891520.00
2009/08/04	7.82	7.83	7.46	7.56	81859567	695531904.00
2009/08/05	7.56	7.82	7.50	7.70	60006201	513279680.00
2009/08/06	7.73	7.73	7.41	7.52	45997073	388484800.00
2009/08/07	7.50	8.04	7.47	7.76	82781280	718993216.00
2009/08/10	7.69	7.74	7.26	7.47	51746094	436145792.00
2009/08/11	7.47	7.53	7.20	7.39	33537037	276508128.00
2009/08/12	7.21	7.28	6.66	6.73	46732049	368811168.00
2009/08/13	6.70	6.73	6.44	6.57	30801979	229888016.00
2009/08/14	6.58	6.61	6.10	6.11	34083122	245738304.00
2009/08/17	6.02	6.26	5.91	6.13	40646092	284579648.00
2009/08/18	6.03	6.36	5.83	6.31	34627407	243497504.00
2009/08/19	6.26	6.27	5.83	5.91	27239564	188987888.00
2009/08/20	5.92	6.47	5.92	6.34	39802599	282616288.00
2009/08/21	6.23	6.38	6.14	6.35	32805167	234925616.00
2009/08/24	6.32	6.39	6.20	6.29	27224704	196059232.00
2009/08/25	6.25	6.25	5.85	6.03	27252559	187699936.00
2009/08/26	6.01	6.32	5.91	6.23	28429050	202160752.00
2009/08/27	6.19	6.50	6.11	6.41	41251652	298672704.00
2009/08/28	6.36	6.59	6.25	6.40	34600570	252735776.00
2009/08/31	6.37	6.40	6.11	6.23	22952406	163472448.00
2009/09/01	6.30	6.94	6.30	6.94	106343569	823462720.00
2009/09/02	6.62	6.95	6.50	6.83	68502877	521740800.00
2009/09/03	6.71	7.13	6.65	7.04	67429465	531195840.00
2009/09/04	7.05	7.07	6.78	6.90	39990525	307192640.00
2009/09/07	6.93	7.09	6.80	7.03	40075333	309706816.00
2009/09/08	6.97	7.22	6.81	7.16	37031691	288380832.00
