601339 百隆东方 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/06/12	5.25	5.65	5.24	5.41	33198945	412397696.00
2012/06/13	5.34	5.53	5.29	5.49	14200534	176655168.00
2012/06/14	5.45	5.51	5.38	5.50	10867164	134306976.00
2012/06/15	5.47	5.52	5.37	5.42	7755522	96043776.00
2012/06/18	5.44	5.48	5.40	5.44	5350667	66237232.00
2012/06/19	5.43	5.43	5.29	5.31	6914658	84369208.00
2012/06/20	5.31	5.39	5.29	5.37	4686722	57142728.00
2012/06/21	5.35	5.37	5.29	5.30	4257623	51588620.00
2012/06/25	5.26	5.26	5.01	5.02	8235281	96297160.00
2012/06/26	5.01	5.02	4.85	4.93	4796310	54376780.00
2012/06/27	4.93	5.02	4.91	4.93	3105471	35499448.00
2012/06/28	4.93	4.97	4.75	4.76	4260455	47827008.00
2012/06/29	4.77	4.88	4.77	4.87	2551209	28504906.00
2012/07/02	4.88	4.96	4.87	4.92	2865950	32525846.00
2012/07/03	4.93	4.95	4.88	4.93	2900880	32913194.00
2012/07/04	4.94	5.19	4.94	5.07	7717126	90127104.00
2012/07/05	5.11	5.11	4.86	4.88	4865181	55589184.00
2012/07/06	4.91	4.98	4.80	4.95	3843646	43363832.00
2012/07/09	4.91	4.94	4.80	4.80	2794111	31386540.00
2012/07/10	4.80	4.84	4.77	4.80	2026418	22484012.00
2012/07/11	4.80	4.97	4.80	4.90	2789689	31517634.00
2012/07/12	4.90	4.96	4.84	4.94	2561988	28997268.00
2012/07/13	4.92	4.92	4.79	4.80	5187519	57832688.00
2012/07/16	4.80	4.82	4.36	4.37	7672906	80508608.00
2012/07/17	4.38	4.41	4.34	4.40	2205605	22608420.00
2012/07/18	4.39	4.50	4.36	4.49	2844761	29506900.00
2012/07/19	4.46	4.55	4.43	4.47	4002237	41968040.00
2012/07/20	4.46	4.47	4.37	4.38	2668065	27537468.00
2012/07/23	4.35	4.39	4.32	4.35	1935231	19751464.00
2012/07/24	4.33	4.42	4.32	4.38	1713340	17597144.00
2012/07/25	4.38	4.52	4.36	4.44	3582403	37387880.00
