601377 兴业证券 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/10/13	6.92	7.27	6.59	6.99	184563309	2698788864.00
2010/10/14	6.66	7.57	6.59	7.57	154257333	2360113920.00
2010/10/15	7.37	8.20	7.34	8.20	106128681	1788417664.00
2010/10/18	8.55	8.89	8.44	8.89	85398176	1667271680.00
2010/10/19	8.89	9.35	8.75	9.21	82556980	1665365888.00
2010/10/20	9.01	10.00	8.80	9.69	75415040	1600285952.00
2010/10/21	9.46	9.54	9.16	9.30	49301136	1033816512.00
2010/10/22	9.17	9.54	9.09	9.09	43833220	911527424.00
2010/10/25	9.08	9.74	8.85	9.57	62129914	1303155456.00
2010/10/26	9.45	9.77	9.30	9.32	47141634	1007338368.00
2010/10/27	9.14	9.49	8.98	9.09	25609963	527273376.00
2010/10/28	9.01	9.57	8.92	9.39	35694913	746119296.00
2010/10/29	9.31	9.39	8.93	9.02	31439358	637489408.00
2010/11/01	8.91	9.31	8.89	9.15	32471635	661635264.00
2010/11/02	9.07	9.59	8.93	9.27	46298283	959406848.00
2010/11/03	9.16	10.07	8.97	9.79	76145362	1658328448.00
2010/11/04	9.63	9.89	9.43	9.79	43264463	943295360.00
2010/11/05	10.36	10.62	10.01	10.10	47001324	1102716288.00
2010/11/08	10.21	10.46	10.02	10.29	27345881	634997312.00
2010/11/09	10.17	10.29	9.94	10.05	23271351	534189888.00
2010/11/10	9.89	10.21	9.74	10.03	24530913	556884800.00
2010/11/11	9.96	10.49	9.87	10.01	36528621	846376064.00
2010/11/12	9.89	9.91	9.14	9.14	42047199	890106688.00
2010/11/15	9.08	9.19	8.59	8.87	29095543	569806208.00
2010/11/16	8.76	9.12	8.51	8.57	29384137	571071744.00
2010/11/17	8.32	8.47	8.03	8.16	24846721	451069600.00
2010/11/18	8.24	8.37	8.03	8.27	16804686	303714816.00
2010/11/19	8.28	8.34	7.80	8.27	31350401	556555456.00
2010/11/22	8.12	8.24	8.02	8.06	20362381	361797248.00
2010/11/23	8.03	8.17	7.86	8.04	19093400	334474528.00
2010/11/24	7.98	8.46	7.98	8.28	26024337	473374496.00
2010/11/25	8.35	8.35	8.13	8.28	18729269	339249248.00
2010/11/26	8.24	8.24	8.01	8.07	14322839	254185792.00
2010/11/29	7.98	8.01	7.74	7.77	20386456	347004896.00
2010/11/30	7.74	7.84	7.33	7.52	22980461	373978656.00
2010/12/01	7.52	7.62	7.49	7.50	12195204	198868944.00
2010/12/02	7.66	7.73	7.51	7.52	15689025	259072496.00
2010/12/03	7.45	7.61	7.36	7.57	11703468	189635536.00
2010/12/06	7.59	8.17	7.47	8.13	37970450	650488448.00
2010/12/07	8.05	8.43	7.92	8.15	37154450	666945088.00
2010/12/08	8.07	8.16	7.94	7.95	15446640	271225248.00
2010/12/09	7.86	8.07	7.74	7.75	11765810	202607248.00
2010/12/10	7.66	7.98	7.56	7.84	11239775	189788352.00
2010/12/13	7.87	8.16	7.78	8.13	16533562	288348576.00
2010/12/14	8.13	8.20	8.01	8.07	11909929	210288784.00
2010/12/15	8.04	8.39	7.96	8.15	23335182	418434528.00
2010/12/16	8.09	8.15	7.97	8.00	10744527	189350512.00
2010/12/17	7.99	8.10	7.93	7.97	7827381	136793600.00
2010/12/20	7.98	8.01	7.52	7.72	14025067	235631536.00
2010/12/21	7.74	8.04	7.64	7.94	14459185	247230336.00
2010/12/22	7.90	7.93	7.70	7.73	10311933	175089072.00
2010/12/23	7.73	7.91	7.65	7.72	7572265	127662704.00
2010/12/24	7.68	7.81	7.59	7.68	6548771	109211576.00
2010/12/27	7.74	8.01	7.53	7.59	16055877	272404288.00
2010/12/28	7.43	7.56	7.28	7.29	11518503	183345232.00
2010/12/29	7.30	7.37	7.24	7.36	5482010	86062896.00
2010/12/30	7.36	7.43	7.26	7.34	6533431	102851368.00
2010/12/31	7.37	7.52	7.35	7.51	7994535	128494864.00
2011/01/04	7.56	7.71	7.49	7.63	10208815	168127200.00
2011/01/05	7.57	7.62	7.47	7.51	7388856	120180336.00
2011/01/06	7.49	7.62	7.41	7.44	6609258	106847968.00
2011/01/07	7.41	7.66	7.31	7.55	13879394	225695120.00
2011/01/10	7.52	7.56	7.30	7.32	8184033	130604880.00
2011/01/11	7.31	7.38	7.25	7.32	5302523	83231504.00
2011/01/12	7.33	7.39	7.25	7.32	5037060	79102008.00
2011/01/13	7.34	7.34	6.74	6.89	46766646	682640896.00
2011/01/14	6.74	6.80	6.67	6.69	16142287	228560832.00
2011/01/17	6.66	6.66	6.33	6.34	12429034	167709296.00
2011/01/18	6.31	6.50	6.29	6.35	9755724	129641552.00
2011/01/19	6.36	6.47	6.33	6.46	8875971	118407688.00
2011/01/20	6.44	6.45	6.12	6.14	11361564	148151200.00
2011/01/21	6.12	6.36	6.09	6.25	11434320	147836416.00
2011/01/24	6.24	6.43	6.21	6.28	9293973	121887928.00
2011/01/25	6.28	6.41	6.21	6.41	10220030	134611056.00
2011/01/26	6.43	6.54	6.39	6.45	11154354	150483952.00
2011/01/27	6.40	6.62	6.33	6.56	13886584	188782624.00
2011/01/28	6.54	6.59	6.46	6.51	9240516	125783680.00
2011/01/31	6.51	6.55	6.44	6.50	7313069	99247496.00
2011/02/01	6.52	6.53	6.45	6.50	7371370	99847632.00
2011/02/09	6.45	6.51	6.29	6.36	7074539	94317016.00
2011/02/10	6.35	6.55	6.30	6.52	9927030	133169784.00
2011/02/11	6.51	6.55	6.47	6.53	11182351	152265200.00
2011/02/14	6.52	7.06	6.51	7.06	21419480	311675072.00
2011/02/15	7.55	7.64	7.49	7.64	79314673	1306696320.00
2011/02/16	7.62	7.78	7.60	7.77	68712116	1143589120.00
2011/02/17	7.85	7.85	7.56	7.69	40954247	678826944.00
2011/02/18	7.66	8.15	7.59	7.86	60116385	1034668928.00
2011/02/21	7.70	8.14	7.66	8.05	45091287	779691456.00
2011/02/22	8.05	8.05	7.55	7.61	37466511	631193984.00
2011/02/23	7.56	7.84	7.54	7.72	22329075	371491008.00
2011/02/24	7.69	8.36	7.63	8.18	58433592	1030005632.00
2011/02/25	8.14	8.34	7.93	8.11	40000563	712666368.00
2011/02/28	8.12	8.39	7.96	8.24	34799517	627919424.00
2011/03/01	8.12	8.29	7.96	8.00	41706029	738883840.00
2011/03/02	7.89	7.89	7.66	7.74	32921065	553860096.00
2011/03/03	7.74	7.87	7.64	7.66	20475976	344857024.00
2011/03/04	7.67	7.96	7.58	7.95	25718073	436285856.00
2011/03/08	8.10	8.16	7.95	8.00	29381458	516104192.00
2011/03/09	8.01	8.24	8.01	8.05	24415509	434200992.00
2011/03/10	8.05	8.05	7.77	7.79	18706237	318849792.00
2011/03/11	7.72	8.08	7.60	7.94	22952840	395753248.00
2011/03/14	7.81	7.97	7.71	7.88	13385471	228009632.00
2011/03/15	7.82	7.91	7.59	7.86	19933060	334918048.00
2011/03/16	7.85	7.97	7.72	7.96	29086285	498640064.00
2011/03/17	7.85	7.88	7.62	7.66	18898097	317679424.00
2011/03/18	7.76	7.82	7.66	7.70	9494167	159346528.00
2011/03/21	7.66	7.73	7.59	7.63	9327201	154282800.00
2011/03/22	7.68	7.79	7.57	7.72	13494354	225584528.00
2011/03/23	7.69	8.19	7.67	7.97	32248574	562555584.00
2011/03/24	7.97	8.01	7.87	7.92	15676596	271146720.00
2011/03/25	7.92	8.19	7.89	8.09	34455358	610480576.00
2011/03/28	8.16	8.37	8.10	8.18	33030767	599569792.00
2011/03/29	8.20	8.31	8.05	8.07	24648508	442678112.00
2011/03/30	8.01	8.05	7.78	7.92	22890229	392272352.00
2011/03/31	7.84	7.97	7.70	7.74	12546106	212718288.00
2011/04/01	7.74	7.92	7.68	7.92	10670711	181638752.00
2011/04/06	7.89	8.59	7.83	8.59	43235016	792462912.00
2011/04/07	8.66	8.66	8.46	8.57	40879855	774579008.00
2011/04/08	8.51	8.71	8.47	8.62	34513845	657136512.00
2011/04/11	8.62	8.69	8.47	8.52	28452105	540093440.00
2011/04/12	8.45	8.53	8.32	8.37	25673968	475892832.00
2011/04/13	8.34	8.96	8.28	8.81	39498720	755370240.00
2011/04/14	8.73	8.84	8.56	8.62	25637497	494209984.00
2011/04/15	8.54	8.84	8.49	8.76	28992507	559341760.00
2011/04/18	8.72	8.86	8.63	8.79	23360513	453571840.00
2011/04/19	8.66	8.70	8.32	8.36	26853435	504155328.00
2011/04/20	8.41	8.45	8.28	8.37	14915201	274482752.00
2011/04/21	8.44	8.96	8.36	8.64	30945297	594894464.00
