601607 上海医药 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	3.60	3.73	3.51	3.72	978700	12457544.00
2000/01/05	3.72	4.19	3.70	4.10	6711700	94156840.00
2000/01/06	4.07	4.32	4.00	4.32	3914200	55630164.00
2000/01/07	4.35	4.85	4.32	4.72	8840900	137386640.00
2000/01/10	4.70	4.79	4.59	4.76	4996100	78154976.00
2000/01/11	4.76	4.78	4.31	4.65	3694500	56499832.00
2000/01/12	4.47	4.58	4.26	4.42	2570200	37973604.00
2000/01/13	4.39	4.39	4.13	4.25	1292700	18530666.00
2000/01/14	4.17	4.28	4.03	4.07	939900	13202750.00
2000/01/17	3.99	4.25	3.99	4.25	1126100	15846998.00
2000/01/18	4.24	4.28	4.03	4.10	1027800	14449015.00
2000/01/19	4.10	4.34	4.01	4.28	1330600	19097584.00
2000/01/20	4.28	4.52	4.19	4.47	2311000	33927656.00
2000/01/21	4.64	4.91	4.61	4.76	7556100	120254760.00
2000/01/24	4.80	5.02	4.69	4.92	5875500	94784560.00
2000/01/25	4.94	5.34	4.83	4.94	8613700	143897712.00
2000/01/26	4.97	5.02	4.80	4.90	2496000	40280624.00
2000/01/27	4.91	5.33	4.91	5.32	8448000	142545328.00
2000/01/28	5.38	5.45	5.07	5.23	6979600	120584816.00
2000/02/14	5.34	5.85	5.24	5.85	7191700	130513072.00
2000/02/15	5.93	6.54	5.52	5.92	12036600	235889856.00
2000/02/16	5.86	6.00	5.23	5.93	9195000	168817280.00
2000/02/17	6.48	6.62	5.23	5.23	8096200	148968480.00
2000/02/18	5.02	5.56	4.87	5.56	4189500	71135304.00
2000/02/21	5.49	5.49	4.98	5.19	3898500	65718228.00
2000/02/22	5.15	5.34	4.98	5.19	3447100	58070748.00
2000/02/23	5.09	5.31	5.02	5.20	4418100	75437392.00
2000/02/24	5.20	5.78	5.20	5.68	6189500	111410768.00
2000/02/25	5.76	6.07	5.60	5.99	8822100	167612016.00
2000/02/28	6.11	6.69	6.07	6.69	8207800	165080864.00
2000/02/29	6.84	7.38	6.59	7.10	10850600	237764688.00
2000/03/01	7.02	7.02	6.29	6.29	4968100	102355408.00
2000/03/02	6.17	6.78	6.00	6.51	5979400	122701336.00
2000/03/03	6.55	6.88	6.43	6.70	4285400	89506768.00
2000/03/06	6.73	6.78	6.06	6.09	3357900	67659600.00
2000/03/07	5.97	6.37	5.89	6.33	2324200	45297792.00
2000/03/08	6.39	7.02	6.33	6.86	4823000	101997016.00
2000/03/09	6.86	7.17	6.80	6.84	3323400	72863000.00
2000/03/10	6.84	7.02	6.48	6.54	2715300	56933200.00
2000/03/13	6.62	7.06	6.49	7.02	3453800	74078064.00
2000/03/14	6.48	7.17	6.36	7.17	6298800	133518504.00
2000/03/15	7.03	7.13	6.72	6.79	4255200	92890288.00
2000/03/16	6.73	6.73	6.35	6.48	2676800	55653824.00
2000/03/17	6.37	6.98	6.22	6.87	3131700	66634132.00
2000/03/20	6.73	7.66	6.59	7.66	4398400	100455696.00
2000/03/21	8.12	8.12	7.39	7.74	2776900	66145328.00
2000/03/22	7.75	7.93	7.55	7.76	1803300	42964032.00
2000/03/23	7.78	8.33	7.72	8.30	4767800	118766144.00
2000/03/24	8.33	8.48	7.84	8.00	2679800	67136296.00
2000/03/27	8.05	8.15	7.77	8.00	2501000	61610336.00
2000/03/28	8.12	8.12	7.62	7.70	1383200	33191536.00
2000/03/29	7.83	7.93	7.35	7.67	2109800	49578880.00
2000/03/30	7.72	7.97	7.54	7.91	1502800	36300260.00
2000/03/31	7.94	7.94	7.49	7.75	2305600	54774428.00
2000/04/03	7.73	7.79	7.57	7.74	2117800	50507968.00
2000/04/04	7.79	8.05	7.57	8.01	4588600	111573648.00
2000/04/05	8.01	8.05	7.65	7.83	1302400	31549728.00
2000/04/06	7.81	8.32	7.68	8.21	3693900	91759296.00
2000/04/07	8.30	8.37	8.00	8.14	777000	19454732.00
2000/04/10	8.12	8.16	7.94	7.99	655500	16203335.00
2000/04/11	8.08	8.08	7.67	7.85	1141300	27502336.00
2000/04/12	7.84	7.85	7.37	7.44	1794200	41936720.00
2000/04/13	7.39	7.44	7.21	7.35	1456200	33168692.00
2000/04/14	7.35	7.38	7.02	7.32	1626400	36260160.00
2000/04/17	7.21	7.21	6.62	6.77	1908700	40828124.00
2000/04/18	6.73	6.87	6.66	6.84	780400	16648092.00
2000/04/19	6.84	6.95	6.81	6.91	505300	10944030.00
2000/04/20	6.91	7.10	6.91	7.08	562100	12347333.00
2000/04/21	7.07	7.12	6.66	6.91	968000	20822792.00
2000/04/24	6.88	6.88	6.64	6.80	1080700	22781944.00
2000/04/25	6.84	6.91	6.65	6.89	736700	15548568.00
2000/04/26	6.83	6.92	6.33	6.73	784500	16501888.00
2000/04/27	6.73	6.82	6.66	6.73	317700	6725085.00
2000/04/28	6.73	6.93	6.71	6.91	370700	7941791.00
2000/05/08	6.93	7.01	6.81	6.87	261800	5656446.00
2000/05/09	6.87	6.88	6.55	6.55	620600	13021369.00
2000/05/10	6.55	6.55	6.11	6.14	411400	8247758.00
2000/05/11	6.14	6.22	5.89	6.11	1421600	27523580.00
2000/05/12	6.11	6.30	6.11	6.22	2416700	47974272.00
2000/05/15	6.22	6.29	5.96	6.11	357000	6901617.00
2000/05/16	6.07	6.20	6.07	6.11	144700	2838418.00
2000/05/17	6.13	6.28	6.11	6.20	170600	3354862.00
