601872 招商轮船 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2006/12/01	4.53	5.61	4.53	5.31	434042382	2595441408.00
2006/12/04	5.24	5.89	5.20	5.89	124555965	827306368.00
2006/12/05	6.41	6.53	6.35	6.53	167429683	1284253056.00
2006/12/06	6.79	7.23	6.66	7.23	219700002	1831442944.00
2006/12/07	7.86	8.00	7.25	7.30	144555886	1328206336.00
2006/12/08	7.02	7.41	6.52	6.81	205441120	1657887872.00
2006/12/11	6.99	7.22	6.66	7.16	142429297	1166643072.00
2006/12/12	6.97	7.13	6.39	6.56	140964941	1119898752.00
2006/12/13	6.52	6.66	6.43	6.63	68404070	528324000.00
2006/12/14	6.70	6.75	6.43	6.54	60338357	466787104.00
2006/12/15	6.51	7.06	6.43	6.81	82218075	657597376.00
2006/12/18	6.78	7.23	6.68	7.11	97942285	802200640.00
2006/12/19	7.12	7.28	6.89	7.14	88166714	734015104.00
2006/12/20	6.97	7.06	6.79	7.00	51391854	419699808.00
2006/12/21	6.99	6.99	6.66	6.68	57399406	461027296.00
2006/12/22	6.56	6.74	6.46	6.57	33828230	262822016.00
2006/12/25	6.61	6.77	6.54	6.61	26840686	210980960.00
2006/12/26	6.54	6.65	6.34	6.42	33983391	259674480.00
2006/12/27	6.36	6.76	6.35	6.70	35343446	276371200.00
2006/12/28	6.70	6.77	6.38	6.44	33901612	262073408.00
2006/12/29	6.46	6.99	6.46	6.75	51888293	415087776.00
2007/01/04	6.68	7.11	6.68	6.94	89775365	730296960.00
2007/01/05	6.88	7.10	6.74	7.00	59213952	482490720.00
2007/01/08	7.11	7.66	7.01	7.60	84304492	716177344.00
2007/01/09	7.49	7.69	7.34	7.49	67632454	592353472.00
2007/01/10	7.52	7.99	7.45	7.86	76995695	694818560.00
2007/01/11	7.89	8.34	7.61	7.76	78830332	730264832.00
2007/01/12	7.74	8.01	7.06	7.15	73351158	644151232.00
2007/01/15	7.15	7.50	6.99	7.49	46503063	397919552.00
2007/01/16	7.59	7.83	7.43	7.73	59187746	530270752.00
2007/01/17	7.75	7.81	7.15	7.31	56947752	500436128.00
2007/01/18	7.25	7.42	7.06	7.36	40813449	345354976.00
2007/01/19	7.34	7.75	7.32	7.64	50156629	445582912.00
2007/01/22	7.72	8.03	7.72	7.91	59001190	543016768.00
2007/01/23	7.98	8.05	7.49	7.73	53312895	480844000.00
2007/01/24	7.73	8.55	7.58	8.55	110228912	1050096384.00
2007/01/25	8.69	9.11	8.26	8.34	138421167	1388176000.00
2007/01/26	8.07	8.32	7.50	8.07	75653864	699282240.00
2007/01/29	8.16	8.64	8.02	8.49	60684545	590467008.00
2007/01/30	8.52	8.84	8.16	8.39	63660635	631862592.00
