601952 苏垦农发 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/05/15	8.45	10.17	8.45	10.17	100074	1337841.13
2017/05/16	11.20	11.20	11.20	11.20	58989	870677.63
2017/05/17	12.34	12.34	12.34	12.34	58430	948903.19
2017/05/18	13.58	13.58	13.58	13.58	233200	4164952.00
2017/05/19	14.96	14.96	14.00	14.02	111511896	2108598016.00
2017/05/22	12.85	13.30	12.61	12.61	65131659	1099175296.00
2017/05/23	12.19	12.60	11.87	12.08	46839275	752417536.00
2017/05/24	12.19	12.60	12.08	12.38	36620455	594178368.00
2017/05/25	12.26	12.29	11.50	11.77	45425145	705719808.00
2017/05/26	11.70	12.52	11.56	12.08	47316138	747653184.00
2017/05/31	12.61	13.18	12.21	12.22	48685724	809093184.00
2017/06/01	11.85	11.96	11.28	11.32	37473904	572748416.00
2017/06/02	11.21	11.59	11.03	11.48	22549203	337218528.00
2017/06/05	11.65	11.69	11.38	11.42	22693889	344640832.00
2017/06/06	11.18	11.35	11.18	11.30	16095414	238659856.00
2017/06/07	11.33	11.67	11.26	11.65	27577217	419626784.00
2017/06/08	11.60	11.65	11.32	11.37	26445021	399587104.00
2017/06/09	11.38	11.43	11.20	11.30	15280310	227249200.00
2017/06/12	11.15	11.19	10.81	10.82	19529596	283608256.00
2017/06/13	10.86	11.08	10.83	11.00	12032731	173767200.00
2017/06/14	10.94	10.98	10.77	10.78	13064012	186691152.00
2017/06/15	10.77	11.03	10.76	10.96	16191021	233625344.00
2017/06/16	10.98	10.98	10.82	10.85	10298516	147595472.00
2017/06/19	10.88	10.91	10.83	10.90	7969019	114176040.00
2017/06/20	10.92	11.18	10.87	11.01	17873962	259834880.00
2017/06/21	11.03	11.08	10.90	10.95	10517316	152173264.00
2017/06/22	10.97	10.98	10.68	10.70	13801059	197107840.00
2017/06/23	10.64	10.70	10.32	10.50	13967918	193487856.00
2017/06/26	10.46	10.59	10.36	10.53	9348057	129131184.00
2017/06/27	10.52	10.65	10.46	10.52	7642225	106378408.00
2017/06/28	10.49	10.49	10.38	10.38	7501786	103090288.00
2017/06/29	10.48	10.58	10.45	10.48	7650780	105916824.00
2017/06/30	10.42	10.58	10.36	10.52	10046363	138917488.00
2017/07/03	10.53	10.73	10.52	10.70	12424335	174907888.00
2017/07/04	10.72	10.72	10.59	10.63	7966868	111840264.00
2017/07/05	10.61	10.82	10.61	10.80	14985570	212672576.00
2017/07/06	10.85	10.88	10.69	10.73	12731525	180836624.00
2017/07/07	10.74	10.88	10.72	10.82	13740640	196101136.00
2017/07/10	10.76	10.76	10.58	10.60	14527217	204054288.00
2017/07/11	10.60	10.68	10.42	10.43	10104006	140200304.00
2017/07/12	10.42	10.49	10.20	10.36	10104410	137603280.00
2017/07/13	10.34	10.42	10.32	10.36	5832902	79750280.00
2017/07/14	10.36	10.38	10.28	10.29	4849344	66026744.00
2017/07/17	10.25	10.28	9.37	9.42	16332791	208151664.00
2017/07/18	9.54	9.58	9.42	9.53	8104278	101827328.00
2017/07/19	9.53	9.65	9.47	9.62	8630026	109202304.00
2017/07/20	9.64	9.82	9.62	9.67	9540123	122731472.00
2017/07/21	9.64	9.71	9.59	9.62	6748723	85874896.00
2017/07/24	9.65	9.72	9.58	9.68	6509829	82941920.00
2017/07/25	9.69	9.72	9.58	9.62	5013594	63818380.00
2017/07/26	9.62	9.75	9.60	9.68	8342730	106673024.00
2017/07/27	9.70	9.85	9.55	9.84	13050854	167812112.00
2017/07/28	9.81	9.83	9.71	9.73	8049678	103653200.00
2017/07/31	9.75	9.76	9.68	9.72	6056674	77732912.00
2017/08/01	9.71	9.73	9.64	9.73	7393829	94572480.00
2017/08/02	9.74	9.75	9.63	9.63	6699423	85564120.00
