601999 出版传媒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/12/21	16.23	22.59	15.44	19.53	86248129	1484682880.00
2007/12/24	18.28	21.47	18.10	20.86	65853074	1311984896.00
2007/12/25	19.96	20.52	18.91	19.25	37187966	744387456.00
2007/12/26	19.22	20.50	18.78	20.10	28345910	571426688.00
2007/12/27	20.10	21.35	19.80	20.59	23634606	497654624.00
2007/12/28	20.60	20.88	19.50	19.84	15477947	315339968.00
2008/01/02	19.75	21.86	19.10	21.28	23842257	504018176.00
2008/01/03	20.90	22.08	20.75	21.01	20108972	439037344.00
2008/01/04	21.33	21.48	20.39	21.19	12124101	260019104.00
2008/01/07	20.90	22.01	20.68	21.32	15646633	342317312.00
2008/01/08	21.37	23.45	20.88	22.84	31081963	706764352.00
2008/01/09	22.25	23.39	22.20	22.89	16499645	382950400.00
2008/01/10	22.80	23.06	22.20	22.86	10919462	250469728.00
2008/01/11	22.79	24.10	22.58	22.87	11507595	272982016.00
2008/01/14	22.60	22.78	22.10	22.18	11652152	264432368.00
2008/01/15	22.00	22.45	21.18	21.58	13976882	307932992.00
2008/01/16	21.22	21.54	20.73	20.75	8596283	184359392.00
2008/01/17	20.52	21.17	20.10	21.03	8490372	179809648.00
2008/01/18	20.90	21.23	20.10	20.61	6810223	142662144.00
2008/01/21	20.61	21.20	19.70	19.92	5694702	120424448.00
2008/01/22	19.20	19.64	17.89	17.89	7126786	132523376.00
2008/01/23	17.62	18.36	16.23	18.18	10111744	181612400.00
2008/01/24	18.19	18.38	17.39	17.75	7158254	130790672.00
2008/01/25	17.64	18.60	16.61	18.02	8100382	148102000.00
2008/01/28	17.70	17.95	16.18	16.18	5561391	95304960.00
2008/01/29	16.10	16.60	15.45	16.08	5084952	83325424.00
2008/01/30	16.15	16.79	15.75	16.30	4131132	68972560.00
2008/01/31	16.33	16.59	15.48	15.62	2741208	45388756.00
2008/02/01	15.55	15.80	14.02	14.25	6098623	90814400.00
2008/02/04	14.60	15.72	14.40	15.72	5575340	86746384.00
2008/02/05	15.78	15.78	15.18	15.57	3939489	62747056.00
2008/02/13	15.60	16.09	15.10	15.76	3233919	51948776.00
2008/02/14	15.77	16.15	15.77	16.00	2479565	40574600.00
2008/02/15	16.00	16.01	15.19	15.55	3069844	48728904.00
2008/02/18	15.90	16.30	15.71	16.18	3701655	61058076.00
2008/02/19	16.20	16.54	15.93	16.53	4128352	69383920.00
