603010 万盛股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/10/10	5.87	7.15	5.87	7.15	55800	930395.00
2014/10/13	7.92	7.92	7.92	7.92	21800	404172.00
2014/10/14	8.76	8.76	8.76	8.76	42300	862497.00
2014/10/15	9.69	9.69	9.69	9.69	122600	2749918.00
2014/10/16	10.71	10.71	10.71	10.71	1183307	29192184.00
2014/10/17	10.86	11.83	10.24	11.83	16817103	422823040.00
2014/10/20	11.16	11.45	10.95	11.26	9563794	247252224.00
2014/10/21	11.13	11.99	11.11	11.50	10692902	284867200.00
2014/10/22	11.49	12.23	11.38	11.85	9453664	257161088.00
2014/10/23	11.72	11.72	11.18	11.31	6160808	161777088.00
2014/10/24	11.27	11.85	11.18	11.43	6111692	162293920.00
2014/10/27	11.26	11.26	10.28	10.32	5412074	133306648.00
2014/10/28	10.36	10.76	10.36	10.67	3977099	97507520.00
2014/10/29	10.91	11.40	10.76	11.36	4793135	121835184.00
2014/10/30	11.22	11.51	11.06	11.09	4449580	114873872.00
2014/10/31	11.04	11.86	11.04	11.64	6158008	162846016.00
2014/11/03	11.60	12.44	11.60	12.32	8024690	222021712.00
2014/11/04	12.22	12.85	11.99	12.06	7301824	205643392.00
2014/11/05	11.82	12.66	11.77	12.18	5321949	148705984.00
2014/11/06	12.17	13.45	12.04	13.45	7748214	228984704.00
2014/11/07	13.95	14.84	13.76	14.46	12888627	421432096.00
2014/11/10	14.16	15.85	13.72	15.24	11637844	388402304.00
2014/11/11	14.58	15.16	14.32	14.68	6790390	227603648.00
2014/11/12	14.58	15.51	14.04	15.27	7615121	260361440.00
2014/11/13	14.86	15.99	14.55	14.87	7688575	267942288.00
2014/11/14	14.49	14.71	13.33	13.33	6215978	194333232.00
2014/11/17	12.72	13.26	12.25	12.86	4461154	131081192.00
2014/11/18	12.76	13.94	12.68	13.64	4887254	149045344.00
2014/11/19	13.45	13.76	13.09	13.47	2681295	82106304.00
2014/11/20	13.26	13.76	13.14	13.60	3185620	98651320.00
2014/11/21	13.53	13.86	13.44	13.56	3104599	96825544.00
2014/11/24	13.59	13.83	13.31	13.49	3185330	98557464.00
2014/11/25	13.53	13.69	12.76	12.94	4294736	127824608.00
2014/11/26	12.95	13.08	12.81	13.05	2315694	68607008.00
2014/11/27	13.18	13.73	13.18	13.56	4604770	142362128.00
2014/11/28	13.57	13.57	13.13	13.28	2739372	83174552.00
2014/12/01	13.29	13.29	12.95	13.12	1904089	56907276.00
2014/12/02	13.06	13.80	13.06	13.76	4303412	133843192.00
