603011 合锻智能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/11/07	2.86	2.86	2.86	2.86	40400	247652.00
2014/11/10	3.17	3.17	3.17	3.17	11700	78858.00
2014/11/11	3.50	3.50	3.50	3.50	14600	108186.00
2014/11/12	3.87	3.87	3.87	3.87	16000	130400.00
2014/11/13	4.28	4.28	4.28	4.28	19000	170430.00
2014/11/14	4.73	4.73	4.73	4.73	65600	647472.00
2014/11/17	5.23	5.23	5.23	5.23	83500	906810.00
2014/11/18	5.77	5.77	5.77	5.77	73000	872350.00
2014/11/19	6.37	6.37	6.37	6.37	95800	1259770.00
2014/11/20	7.03	7.03	7.03	7.03	338654	4900323.50
2014/11/21	7.76	7.76	7.76	7.76	362380	5769089.50
2014/11/24	8.55	8.55	8.55	8.55	226749	3970375.00
2014/11/25	9.43	9.43	9.43	9.43	429601	8274115.50
2014/11/26	10.39	10.39	10.39	10.39	953443	20203458.00
2014/11/27	11.45	11.45	11.45	11.45	599818	13981758.00
2014/11/28	12.62	12.62	12.62	12.62	1116139	28617804.00
2014/12/01	13.90	13.90	13.90	13.90	1121137	31616064.00
2014/12/02	15.31	15.31	15.31	15.31	390295	12106951.00
2014/12/03	16.86	16.86	16.86	16.86	618595	21106462.00
2014/12/05	18.44	18.56	18.07	18.56	15906230	594364736.00
2014/12/08	18.54	18.54	16.69	16.69	17731282	612915392.00
2014/12/09	15.00	16.50	15.00	15.00	18406169	568230208.00
2014/12/10	13.82	14.20	13.48	13.51	16502627	458281408.00
2014/12/11	13.59	14.76	13.19	14.64	15832876	452390496.00
2014/12/12	14.20	14.45	13.52	13.65	9847068	277449312.00
2014/12/15	13.45	13.45	12.81	13.14	7778752	206860832.00
2014/12/16	13.14	13.45	13.06	13.23	5957661	159714448.00
2014/12/17	13.19	13.24	12.50	12.57	7326042	191035600.00
2014/12/18	12.45	12.79	12.21	12.32	6459882	163618848.00
2014/12/19	12.31	12.31	11.10	11.27	8490186	199403440.00
2014/12/22	11.14	11.14	10.13	10.13	5492913	116082544.00
2014/12/23	9.77	10.98	9.66	10.49	7912441	168241312.00
2014/12/24	10.35	10.78	10.20	10.72	5627191	120923608.00
2014/12/25	10.74	11.79	10.21	11.03	9776468	217719920.00
2014/12/26	10.72	10.92	10.53	10.68	4864978	106171400.00
2014/12/29	10.50	10.52	10.06	10.23	4000022	83663368.00
2014/12/30	10.25	10.52	9.96	10.05	2816426	58673620.00
2014/12/31	10.05	10.16	9.71	9.98	2973426	60169156.00
2015/01/05	9.99	10.22	9.68	10.14	4012220	81663752.00
2015/01/06	10.09	10.59	9.90	10.47	5297484	111268560.00
2015/01/07	10.34	10.43	10.20	10.20	3333630	69835240.00
2015/01/08	10.10	10.57	9.99	10.31	5006072	106147400.00
