603026 石大胜华 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/05/29	6.51	8.07	6.51	8.07	18200	170378.00
2015/06/01	9.01	9.01	9.01	9.01	5100	52581.00
2015/06/02	10.04	10.04	10.04	10.04	6200	70308.00
2015/06/03	11.17	11.17	11.17	11.17	12100	150887.00
2015/06/04	12.42	12.42	12.42	12.42	14200	194824.00
2015/06/05	13.79	13.79	13.79	13.79	13800	208242.00
2015/06/08	15.30	15.30	15.30	15.30	16600	275560.00
2015/06/09	16.96	16.96	16.96	16.96	11100	202686.00
2015/06/10	18.79	18.79	18.79	18.79	38400	771456.00
2015/06/11	20.80	20.80	20.80	20.80	46100	1018810.00
2015/06/12	23.01	23.01	23.01	23.01	45175	1098204.25
2015/06/15	25.44	25.44	25.44	25.44	72800	1946672.00
2015/06/16	28.11	28.11	28.11	28.11	128808	3788243.25
2015/06/17	31.05	31.05	31.05	31.05	272310	8809228.00
2015/06/18	34.29	34.29	31.59	32.20	28945104	1005122496.00
2015/06/19	28.91	31.47	28.85	28.85	13955522	427933984.00
2015/06/23	28.10	29.35	26.13	27.78	12828194	370667840.00
2015/06/24	29.11	30.10	27.92	28.77	14539011	441074656.00
2015/06/25	26.90	27.70	25.76	25.80	13186746	370645280.00
2015/06/26	25.00	25.00	23.09	23.09	7314924	181392096.00
2015/06/29	23.39	23.40	20.65	20.65	7188287	160881296.00
2015/06/30	19.20	22.03	18.46	21.74	11398583	243167584.00
2015/07/01	20.90	22.98	19.70	19.77	10607180	243760784.00
2015/07/02	19.68	19.95	17.66	17.66	7642115	152856112.00
2015/07/03	16.74	18.20	15.76	15.97	7720085	138222608.00
2015/07/06	17.70	17.70	16.20	17.33	11692509	217654576.00
2015/07/07	16.00	16.65	15.47	15.47	4574061	78171632.00
2015/07/08	13.79	13.79	13.79	13.79	1682200	25384398.00
2015/07/09	12.50	15.30	12.50	15.30	6948531	109512840.00
2015/07/10	16.10	16.96	15.70	16.96	3637978	65218636.00
2015/07/13	18.68	18.79	17.73	18.79	8390502	167161344.00
2015/07/14	18.90	20.67	18.65	19.70	13014539	273874144.00
2015/07/15	18.70	19.19	17.60	17.60	6526802	126183856.00
2015/07/16	16.00	18.33	15.72	17.10	6954730	127820128.00
2015/07/17	17.25	18.58	16.90	18.23	6366671	121525096.00
2015/07/20	18.30	18.94	17.70	18.08	5950547	116673360.00
2015/07/21	17.80	19.50	17.43	19.46	8335264	167488480.00
2015/07/22	19.50	19.70	18.70	19.25	6859131	140970976.00
2015/07/23	19.22	21.31	19.00	21.31	10402968	226991104.00
2015/07/24	21.85	23.20	21.40	22.04	15635346	369188000.00
2015/07/27	21.10	23.00	19.71	19.71	13897583	320788640.00
2015/07/28	18.15	20.25	17.61	18.86	9011139	181221552.00
2015/07/29	19.40	20.88	18.21	20.88	7156322	149572448.00
2015/07/30	21.30	23.10	20.72	21.70	13413401	314898752.00
2015/07/31	21.20	24.00	21.05	24.00	18224528	446075616.00
2015/08/03	24.00	26.53	23.50	26.53	22576315	604033408.00
2015/08/04	26.95	27.90	23.75	24.60	22161694	583385216.00
2015/08/05	23.30	27.19	22.80	27.19	23234383	641459520.00
2015/08/06	26.70	30.04	25.68	30.04	30504048	905304576.00
2015/08/07	27.83	31.98	27.78	28.95	23112765	713501312.00
2015/08/10	28.35	29.70	27.90	28.99	17799319	536123648.00
2015/08/11	28.90	31.18	28.38	29.88	16886472	530444224.00
2015/08/12	29.21	29.70	27.08	27.16	13561939	399409152.00
2015/08/13	26.11	27.59	25.62	27.05	9445996	262150656.00
2015/08/14	27.09	29.02	26.40	28.20	11691759	339435712.00
2015/08/17	27.73	28.00	26.20	26.35	8625956	242063024.00
2015/08/18	26.21	27.48	23.59	23.64	8688548	235372752.00
2015/08/19	22.70	24.30	21.35	23.82	7961735	195403008.00
2015/08/20	23.06	25.28	21.58	23.02	7618740	191238080.00
2015/08/21	21.97	22.68	20.59	20.59	6632873	150934992.00
2015/08/24	18.61	19.57	18.40	18.40	2623510	52055792.00
2015/08/25	16.43	19.38	16.43	16.43	7428591	138093856.00
2015/08/26	17.08	18.20	15.72	18.07	12884795	243595312.00
2015/08/27	18.21	18.97	16.40	18.47	12121652	232833008.00
2015/08/28	18.19	19.89	17.77	19.44	10511931	210132512.00
2015/08/31	18.89	19.20	18.08	18.22	6506717	129633112.00
2015/09/01	17.50	17.80	16.27	16.27	5187501	94106256.00
2015/09/02	15.13	16.79	14.70	14.85	5346080	91278680.00
2015/09/07	15.21	16.20	15.00	15.18	3369990	56860676.00
2015/09/08	15.29	16.83	15.00	16.83	7159809	126870864.00
2015/09/09	17.50	18.63	17.22	18.20	9211115	176594640.00
2015/09/10	17.40	18.16	17.02	17.18	5785060	109123616.00
2015/09/11	17.21	18.56	17.21	17.98	6944750	134174128.00
2015/09/14	17.77	18.68	16.05	16.05	6810577	127087888.00
2015/09/15	15.25	15.75	14.40	14.50	5232613	84997640.00
2015/09/16	14.95	16.08	14.80	16.08	5229334	87631872.00
2015/09/17	16.31	16.88	15.52	15.76	6104872	107009032.00
2015/09/18	15.90	16.25	15.50	15.87	3114057	53242796.00
2015/09/21	15.56	16.61	15.35	16.60	4500492	78932576.00
2015/09/22	16.60	18.39	16.49	18.39	7112576	134454944.00
2015/09/23	18.70	19.97	18.69	18.97	13059893	267914800.00
2015/09/24	18.50	19.35	18.30	18.71	7859457	157518864.00
2015/09/25	18.40	18.65	16.88	17.19	6759077	128233296.00
2015/09/28	17.25	18.19	17.25	17.98	4140768	79226368.00
2015/09/29	17.35	17.65	16.85	17.23	3323899	62001212.00
2015/09/30	17.55	17.76	17.05	17.45	2490250	46737456.00
2015/10/08	18.35	18.70	17.70	18.43	4045083	79360416.00
2015/10/09	18.20	18.68	18.01	18.45	4207285	82934704.00
2015/10/12	18.59	19.57	18.51	19.46	6183470	126508160.00
2015/10/13	19.40	19.40	19.00	19.36	4528468	92940328.00
2015/10/14	19.24	20.22	19.18	19.18	5202723	108876984.00
2015/10/15	19.00	20.18	18.88	19.97	5697669	118798776.00
2015/10/16	20.11	20.20	19.30	19.85	5791144	122093560.00
2015/10/19	20.17	20.58	19.61	20.10	5938836	126716096.00
2015/10/20	20.09	20.23	19.50	20.20	5180308	110000120.00
2015/10/21	20.20	20.20	18.05	18.05	6436124	132076176.00
2015/10/22	17.95	18.65	17.40	18.53	4108026	80164168.00
2015/10/23	18.49	19.12	18.42	19.03	4048725	81537992.00
2015/10/26	19.19	19.70	19.00	19.22	4298007	88799728.00
2015/10/27	19.15	19.39	18.09	19.27	3640458	73230208.00
2015/10/28	19.35	20.09	19.11	19.29	5252973	110195144.00
2015/10/29	19.35	19.60	18.81	19.30	3586163	73502560.00
2015/10/30	18.99	19.49	18.71	19.21	3261044	66855688.00
2015/11/02	18.75	21.18	18.52	19.96	7481573	159640912.00
2015/11/03	19.75	22.07	19.75	21.67	11587116	259511744.00
2015/11/04	21.68	23.97	21.59	23.97	12685350	313102176.00
2015/11/05	25.30	25.35	23.41	24.39	14226059	366015584.00
2015/11/06	23.88	26.58	23.88	25.02	10488934	274943744.00
2015/11/09	25.38	26.70	24.48	26.32	11369627	309177568.00
2015/11/10	25.82	26.00	24.10	25.39	8830200	235106928.00
2015/11/11	25.55	27.63	25.55	27.16	8051622	226285120.00
2015/11/12	27.20	29.68	27.20	29.44	10369418	309649792.00
2015/11/13	28.70	29.21	26.41	27.22	9028786	263467200.00
2015/11/16	26.17	28.13	25.81	27.90	5126879	146279536.00
2015/11/17	27.92	28.70	26.14	26.38	5205223	149992896.00
2015/11/18	26.40	26.85	24.45	24.68	4237731	113955440.00
2015/11/19	24.81	27.17	24.50	26.60	5239348	140972080.00
2015/11/20	26.31	27.51	26.31	26.69	3972397	112047760.00
2015/11/23	26.80	27.00	25.60	25.71	2972915	81760136.00
2015/11/24	25.97	27.19	25.56	27.10	5180243	144451184.00
2015/11/25	27.25	28.95	27.09	28.15	6655119	197104288.00
2015/11/26	27.62	28.66	27.12	27.27	5930565	172109344.00
2015/11/27	26.70	27.83	24.58	24.74	5202597	143630320.00
2015/11/30	25.10	27.10	23.70	26.89	5529681	146374144.00
2015/12/01	26.70	29.58	26.42	27.86	7582169	222836992.00
2015/12/02	27.80	28.22	25.00	25.90	6773299	187743760.00
2015/12/03	25.43	27.68	25.43	27.42	6154304	173850592.00
2015/12/04	27.44	29.40	27.12	28.34	9508059	279520416.00
2015/12/07	29.70	31.30	29.36	31.30	6150601	197002576.00
2015/12/08	32.89	34.56	32.58	34.56	18867910	670757952.00
2015/12/10	38.15	38.15	36.36	36.58	17943570	699880832.00
2015/12/11	35.80	40.37	35.11	36.68	28637727	1129523328.00
2015/12/14	35.00	35.59	32.88	33.88	16999627	595344320.00
2015/12/15	33.40	36.69	33.34	35.47	16444699	592001600.00
2015/12/16	34.69	37.90	34.01	37.11	16510181	609728128.00
2015/12/17	36.99	40.95	36.98	40.95	19572727	810093120.00
2015/12/18	41.70	44.88	39.10	40.02	22831088	988434432.00
2015/12/21	40.20	40.69	37.79	38.35	12837259	513851328.00
2015/12/22	37.86	40.08	37.86	39.92	10495286	421651712.00
2015/12/23	39.98	40.80	38.32	38.60	11344644	462200288.00
2015/12/24	37.60	37.90	35.89	37.11	9393499	359369088.00
2015/12/25	38.06	40.70	37.91	39.28	11847747	484190880.00
2015/12/28	40.04	43.34	38.91	43.27	19433956	840551744.00
2015/12/29	42.13	45.48	41.14	43.47	19260566	861317376.00
2015/12/30	42.81	43.65	41.40	41.73	11658130	505145856.00
2015/12/31	41.14	43.49	40.21	40.95	10408696	451847104.00
2016/01/04	39.01	40.00	36.73	36.73	7714836	300494720.00
2016/01/05	33.20	35.20	32.93	33.02	9717153	341149440.00
2016/01/06	33.73	34.69	33.00	34.52	8577537	302603264.00
2016/01/07	33.31	33.32	30.94	30.94	2188159	72506440.00
2016/01/08	31.75	33.20	27.96	31.69	9129881	295944384.00
2016/01/11	29.70	32.70	29.70	29.95	8086570	262134544.00
2016/01/12	30.56	32.20	29.96	31.93	8795248	287156288.00
2016/01/13	31.69	32.27	29.70	30.02	8025603	259964192.00
2016/01/14	27.70	32.26	27.70	32.21	9172529	292541664.00
2016/01/15	31.70	32.80	30.36	30.85	8675983	284800320.00
2016/01/18	29.11	31.69	29.08	30.65	6797993	215920336.00
2016/01/19	30.20	33.85	30.20	33.85	10309065	346605568.00
2016/01/20	33.19	34.88	32.81	33.05	10855994	378865152.00
2016/01/21	32.10	34.20	29.70	30.08	9286337	311891456.00
2016/01/22	30.90	31.65	29.30	30.91	6663699	212648912.00
2016/01/25	31.30	31.38	30.08	30.69	5025380	161157232.00
2016/01/26	29.83	30.35	27.49	27.49	5595927	167945216.00
2016/01/27	27.69	27.80	24.62	25.82	5780593	156088496.00
2016/01/28	25.15	25.67	23.11	23.11	5641197	143941744.00
2016/01/29	22.97	25.19	22.70	24.72	5212890	133163928.00
2016/02/01	24.48	24.90	22.70	23.42	4462339	113317096.00
2016/02/02	23.67	25.18	23.31	24.50	3613008	93222176.00
2016/02/03	23.97	25.67	23.72	25.20	4933475	127924328.00
2016/02/04	25.20	26.70	25.10	26.41	6173474	167901040.00
2016/02/05	26.61	26.61	25.01	25.12	4583450	123042176.00
2016/02/15	23.40	25.00	23.40	24.63	2663916	68476752.00
2016/02/16	24.88	26.43	24.73	26.14	4532236	122870512.00
2016/02/17	26.20	27.12	26.18	26.65	5357764	149318528.00
2016/02/18	27.00	28.00	26.40	26.51	5993664	170366640.00
2016/02/19	26.10	26.67	25.71	26.30	4098054	112782624.00
2016/02/22	26.80	28.20	26.36	27.79	6550322	186465632.00
2016/02/23	27.50	27.68	26.25	26.84	5292008	149234144.00
2016/02/24	26.70	27.00	25.36	26.35	4207262	115670496.00
2016/02/25	26.44	29.12	26.44	29.12	19480022	586442176.00
2016/02/26	29.54	32.16	29.12	32.16	15608474	504231872.00
2016/02/29	33.16	33.68	28.81	29.03	15030710	469968480.00
2016/03/01	27.70	28.70	26.00	27.38	12867687	369523200.00
2016/03/02	26.79	30.25	26.23	30.25	13006126	384710944.00
2016/03/03	30.26	33.20	29.71	31.07	15747652	509789856.00
2016/03/04	29.71	31.19	28.25	29.54	9730164	303112064.00
2016/03/07	29.96	31.39	29.72	30.14	7376710	234424000.00
2016/03/08	29.61	32.82	27.60	32.19	12766234	403150848.00
2016/03/09	30.71	31.67	30.20	30.33	8120524	261190224.00
2016/03/10	30.70	30.95	28.58	28.71	5815389	180279216.00
2016/03/11	27.98	28.94	27.53	28.15	5657218	166157888.00
2016/03/14	28.75	30.50	28.61	29.65	6568825	203901200.00
2016/03/15	28.37	31.18	28.37	29.37	10640066	332310784.00
2016/03/16	29.35	29.87	27.86	28.08	7060771	211793104.00
2016/03/17	28.05	30.00	27.88	29.89	9414145	287969152.00
2016/03/18	29.94	32.05	29.70	31.30	11574721	374510336.00
2016/03/21	31.51	32.70	30.82	32.50	11833313	392839968.00
2016/03/22	32.70	34.58	31.60	32.20	12710294	439697792.00
2016/03/23	31.61	32.56	31.30	32.32	8763919	290372128.00
2016/03/24	31.48	33.48	31.30	31.69	9621970	322953440.00
2016/03/25	31.20	32.00	31.01	31.53	4760117	155935344.00
2016/03/28	32.10	33.42	31.60	32.07	8159098	276313312.00
2016/03/29	31.71	32.20	30.40	30.82	5352303	173174800.00
2016/03/30	31.00	32.49	30.92	32.23	6469381	213534976.00
2016/03/31	32.60	32.70	31.51	31.62	6453439	215761376.00
2016/04/01	31.18	31.38	30.45	30.92	4597003	147452048.00
2016/04/05	31.15	33.04	31.15	32.62	8323144	278690272.00
2016/04/06	32.33	32.60	31.80	32.29	6145960	205591184.00
2016/04/07	32.24	34.69	32.07	33.15	13170502	456347552.00
2016/04/08	32.31	33.70	31.87	32.61	8442642	288034624.00
2016/04/11	32.76	35.19	32.76	34.78	10631980	374837568.00
2016/04/12	34.20	34.58	32.50	33.13	8175741	283959456.00
2016/04/13	33.50	34.18	33.00	33.07	6809248	238005680.00
2016/04/14	33.38	33.82	32.71	33.60	5448258	188644704.00
2016/04/15	33.84	33.84	32.89	33.14	4698077	162142432.00
2016/04/18	32.69	33.03	31.96	32.57	4809353	162166624.00
2016/04/19	32.75	32.97	32.01	32.20	4169249	140170928.00
2016/04/20	32.41	33.07	28.85	29.72	8916794	287401696.00
2016/04/21	29.55	29.68	28.22	28.44	5799148	175934224.00
2016/04/22	28.10	28.93	27.94	28.79	4513156	134512224.00
2016/04/25	28.68	28.68	27.28	27.65	3763205	109360016.00
2016/04/26	27.60	28.15	27.45	28.04	2949457	85928376.00
2016/04/27	28.70	30.97	28.70	30.97	6036411	190099760.00
2016/04/28	31.42	31.70	29.61	30.94	9822804	312984928.00
2016/04/29	30.48	33.62	30.22	32.40	12600519	424284640.00
2016/05/03	32.39	34.60	32.15	34.31	12267965	430723936.00
2016/05/04	34.40	36.47	34.08	35.65	16471161	600213440.00
2016/05/05	35.25	35.98	34.82	35.50	9843115	360205568.00
2016/05/06	35.22	36.20	33.68	33.75	12122603	440322336.00
2016/05/09	33.15	35.35	32.70	34.52	11895161	422803648.00
2016/05/10	33.76	34.18	31.85	32.63	8279378	285221920.00
2016/05/11	32.75	33.45	31.98	32.02	6205317	211661328.00
2016/05/12	30.53	34.16	29.86	33.80	10663164	361030368.00
2016/05/13	33.55	35.70	32.75	34.56	12253145	439197920.00
2016/05/16	33.80	38.15	33.75	38.15	12910109	485903360.00
2016/05/17	39.70	41.10	36.48	36.90	21425873	862049536.00
2016/05/18	36.42	36.58	33.38	35.17	13636463	500015648.00
2016/05/19	34.93	37.95	34.64	36.65	13636889	516176288.00
2016/05/20	35.68	38.00	35.00	37.72	13127447	497628352.00
2016/05/23	37.73	39.54	37.18	38.98	14460586	575225088.00
2016/05/24	37.00	37.94	36.10	36.61	12457907	476635936.00
2016/05/25	36.70	37.17	35.11	35.67	8206675	307698848.00
2016/05/26	35.65	37.34	34.80	37.27	10128079	379332704.00
2016/05/27	36.88	37.19	35.51	35.60	8367507	313378240.00
2016/05/30	34.70	35.38	34.04	34.08	6315898	226759152.00
2016/05/31	33.81	35.48	33.18	35.28	19479208	702299584.00
2016/06/01	34.81	37.90	34.70	36.47	23414163	879296896.00
2016/06/02	36.10	36.47	35.10	35.85	17715813	656268352.00
2016/06/03	35.77	36.90	35.36	35.43	21016972	784313536.00
2016/06/06	35.26	37.15	34.70	36.88	22989718	851754752.00
2016/06/07	36.25	37.05	35.71	36.95	21614635	813669184.00
2016/06/08	37.20	40.28	37.20	38.59	35830591	1436974848.00
2016/06/13	37.78	38.60	35.39	35.84	23335436	904046912.00
2016/06/14	35.11	36.03	34.35	35.31	15321184	558842496.00
2016/06/15	34.55	38.58	34.20	37.93	22930897	884820928.00
2016/06/16	37.65	39.98	37.50	38.10	28377687	1135567360.00
2016/06/17	38.02	41.33	38.02	39.73	33036293	1358289408.00
2016/06/20	40.28	42.58	39.40	41.36	29185843	1245996672.00
2016/06/21	41.58	41.59	38.40	39.20	24120348	1001604480.00
2016/06/22	38.81	43.25	38.81	43.25	30738830	1316523008.00
2016/06/23	43.78	44.26	40.70	41.84	30797782	1330217728.00
2016/06/24	41.30	42.13	38.93	40.72	21950743	922891584.00
2016/06/27	40.60	42.98	40.55	42.39	20351934	883200768.00
2016/06/28	41.80	44.67	40.98	43.21	27631074	1220011904.00
2016/06/29	42.88	44.20	42.27	43.28	20971516	927062464.00
2016/06/30	42.71	42.95	40.48	40.82	20645126	881812672.00
2016/07/01	40.61	41.65	40.51	40.69	10748181	454573536.00
2016/07/04	40.30	41.32	40.00	41.14	9961552	421221664.00
2016/07/05	41.14	41.85	40.20	41.26	14642164	620902336.00
2016/07/06	40.77	41.91	40.28	40.58	14315549	605439168.00
2016/07/07	40.24	41.70	39.88	41.57	18224432	770006848.00
2016/07/08	45.56	45.86	42.86	45.86	23643172	1097763456.00
2016/07/11	47.27	48.14	43.80	43.95	36814859	1754672512.00
2016/07/12	42.90	44.30	41.85	43.63	19621448	870755072.00
2016/07/13	43.25	44.24	42.60	43.22	14270729	637247296.00
2016/07/14	44.58	47.26	43.70	45.91	24859411	1167845760.00
2016/07/15	45.30	50.63	45.30	50.63	24155277	1204518144.00
2016/07/18	51.10	53.06	48.70	51.38	23230164	1214465792.00
2016/07/19	51.38	52.18	49.90	51.19	13954862	729833920.00
2016/07/20	50.78	56.44	50.78	54.69	26047539	1452032128.00
2016/07/21	54.05	55.13	52.78	54.92	17822582	986114432.00
2016/07/22	54.29	54.68	49.63	50.91	18604745	995320384.00
2016/07/25	50.95	51.20	48.50	50.07	13795044	702163456.00
2016/07/26	49.70	50.95	49.03	50.48	10676377	549593728.00
2016/07/27	50.40	51.38	45.30	45.31	19671232	955071040.00
2016/07/28	44.80	46.59	43.48	46.12	14455301	673295424.00
2016/07/29	45.86	47.40	45.20	45.58	11035109	523971680.00
2016/08/01	44.70	45.46	42.55	44.75	9822843	446430656.00
2016/08/02	45.27	46.69	44.88	45.99	10898047	515001888.00
2016/08/03	46.20	46.59	44.95	45.23	8379696	392849056.00
2016/08/04	45.30	46.50	43.85	45.91	11648037	544426816.00
2016/08/05	45.40	46.15	44.50	44.56	7787835	362488960.00
2016/08/08	44.30	45.32	44.05	45.19	5677365	262103456.00
2016/08/09	45.30	46.27	45.06	45.83	8082800	380675584.00
2016/08/10	45.91	47.00	45.26	46.34	10383067	493147360.00
2016/08/11	45.79	46.20	44.30	44.37	8123027	378557408.00
2016/08/12	44.30	45.25	43.56	44.44	6628187	302539328.00
2016/08/15	44.57	46.30	44.00	46.02	9629639	449406624.00
2016/08/16	45.67	47.68	45.67	46.72	12713892	614257152.00
2016/08/17	46.65	46.70	45.60	46.02	7492027	354371488.00
2016/08/18	45.88	46.80	45.72	46.10	6279073	298118592.00
2016/08/19	45.75	46.65	45.70	46.60	6672389	317037920.00
2016/08/22	46.70	49.70	46.30	48.37	14763854	727704000.00
2016/08/23	47.99	49.06	46.90	48.74	10915098	536755872.00
2016/08/24	48.57	50.18	47.77	48.25	11743540	590327296.00
2016/08/25	47.73	49.91	46.56	49.41	13346922	665291520.00
2016/08/26	48.50	48.81	46.31	46.60	12861593	627183104.00
2016/08/29	45.90	46.24	44.17	44.64	9803516	451676032.00
2016/08/30	44.54	45.35	44.03	44.59	5537594	254319008.00
2016/08/31	44.58	45.18	44.22	45.01	4566065	209780960.00
2016/09/01	44.90	45.65	44.52	44.63	4793801	221296640.00
2016/09/02	44.49	44.78	41.25	41.71	13502507	589484352.00
2016/09/05	41.85	41.98	40.86	41.28	6815152	289031424.00
2016/09/06	41.27	42.61	40.66	42.49	8009236	344013152.00
2016/09/07	42.43	42.43	41.45	41.46	6418841	276273376.00
2016/09/08	41.32	42.10	41.13	41.72	4543126	194523072.00
2016/09/09	41.85	42.30	41.01	41.12	5754495	246755376.00
2016/09/12	39.64	40.61	38.86	40.05	6695264	273886528.00
2016/09/13	40.29	40.58	39.30	40.12	4438273	182982064.00
2016/09/14	39.70	40.52	39.51	40.38	4418347	182744768.00
2016/09/19	40.49	40.70	40.20	40.49	3081086	128222312.00
2016/09/20	40.45	40.65	39.90	40.04	3622336	150097696.00
2016/09/21	40.15	40.46	39.47	39.53	3883320	159836544.00
2016/09/22	39.97	40.18	39.62	39.75	3768591	154902896.00
2016/09/23	39.93	41.06	39.55	40.88	7083888	294288000.00
2016/09/26	40.80	40.80	39.90	39.92	5748659	238745552.00
2016/09/27	40.03	41.04	39.90	40.90	5686570	237692288.00
2016/09/28	40.98	41.10	40.41	40.66	3906783	163718864.00
2016/09/29	40.80	40.80	40.23	40.32	3312154	138015520.00
2016/09/30	40.24	40.68	40.18	40.39	2485759	103623480.00
2016/10/10	40.80	41.78	40.45	41.64	5302161	224860928.00
2016/10/11	41.61	42.29	41.35	41.64	5169707	222446992.00
2016/10/12	41.50	42.32	41.41	41.99	4932482	212951664.00
2016/10/13	41.75	42.07	41.13	41.31	4008632	170954432.00
2016/10/14	41.26	41.58	40.63	41.39	3583280	151498208.00
2016/10/17	45.65	45.65	44.62	45.65	29855807	1395287936.00
2016/10/18	45.10	49.25	45.08	48.35	26456259	1280555136.00
2016/10/19	48.20	49.79	47.29	47.60	16580356	819832192.00
2016/10/20	47.30	49.00	47.30	47.57	13670095	675657792.00
2016/10/21	47.60	50.13	47.31	48.78	14731640	736770752.00
2016/10/24	48.90	49.65	47.90	48.54	9870599	490307456.00
2016/10/25	48.30	48.39	46.68	47.01	11037144	534191744.00
2016/10/26	48.00	48.35	46.31	47.32	9499188	463078432.00
2016/10/27	46.81	47.90	46.60	47.47	5990014	290613856.00
2016/10/28	45.70	46.15	44.31	44.56	13920197	642616896.00
2016/10/31	44.50	45.47	43.70	45.27	7534150	346308960.00
2016/11/01	44.80	45.82	44.65	45.69	7033305	326540736.00
2016/11/02	45.36	45.75	45.01	45.24	5415551	251918320.00
2016/11/03	45.10	47.05	44.54	45.44	11968213	564754560.00
2016/11/04	45.46	46.15	45.18	45.64	5981063	280163296.00
2016/11/07	45.68	45.90	44.26	44.37	6703318	308669312.00
2016/11/08	44.70	45.08	44.30	44.74	4724337	216632352.00
2016/11/09	44.58	44.74	42.40	42.79	9793547	435100320.00
2016/11/10	43.37	43.47	42.79	42.97	6865162	303864288.00
2016/11/11	43.05	43.05	42.08	42.73	6449966	282620704.00
2016/11/14	42.55	43.60	42.40	43.51	7603723	337798720.00
2016/11/15	43.17	43.50	42.76	43.22	5376568	237895712.00
