603035 常熟汽饰 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/01/05	12.03	14.53	12.03	14.53	28855	433190.66
2017/01/06	16.03	16.03	16.03	16.03	16016	264744.47
2017/01/09	17.68	17.68	17.68	17.68	17013	309296.34
2017/01/10	19.50	19.50	19.50	19.50	22703	454060.00
2017/01/11	21.50	21.50	21.50	21.50	95010	2090220.00
2017/01/12	23.70	23.70	22.30	23.70	26630523	635097408.00
2017/01/13	22.01	23.88	21.52	22.08	34052876	782007168.00
2017/01/16	22.00	24.34	21.71	24.34	45075030	1095264128.00
2017/01/17	24.30	26.82	23.38	26.82	44758454	1130637824.00
2017/01/18	25.82	25.89	24.09	24.09	33070727	841908480.00
2017/01/19	23.30	24.75	23.00	23.06	20251890	485720640.00
2017/01/20	23.00	23.97	22.92	23.35	18369911	440206816.00
2017/01/23	23.22	23.96	22.93	23.32	15818711	378600032.00
2017/01/24	23.01	23.13	21.91	22.02	15321501	350866304.00
2017/01/25	21.92	22.90	21.76	22.56	11601805	265581184.00
2017/01/26	22.45	22.63	22.05	22.57	7723441	176518224.00
2017/02/03	22.63	22.86	22.07	22.55	7599719	174956720.00
2017/02/06	22.93	24.86	22.92	24.86	22696325	556511296.00
2017/02/07	24.50	24.76	23.94	24.46	16903384	419546784.00
2017/02/08	24.25	26.81	24.02	25.43	24602870	633436480.00
2017/02/09	25.15	25.89	24.90	24.95	15960958	410357248.00
2017/02/10	24.78	24.92	24.02	24.13	13344342	331893504.00
2017/02/13	24.22	26.00	24.20	25.32	17386759	446355360.00
2017/02/14	25.70	26.77	25.10	26.22	21611341	573035520.00
2017/02/15	26.00	28.48	25.85	26.63	31183783	864608000.00
2017/02/16	25.76	27.77	25.56	27.70	25146147	679778944.00
2017/02/17	27.31	28.60	26.09	26.15	22672193	632672384.00
2017/02/20	26.00	26.00	24.71	25.67	13575667	350639712.00
2017/02/21	25.48	26.68	25.40	26.41	12870547	341232864.00
2017/02/22	26.20	26.65	25.60	26.08	11373580	301764320.00
2017/02/23	25.80	27.03	25.60	26.65	14863765	399538784.00
2017/02/24	26.38	27.70	26.25	27.52	19907522	550442560.00
2017/02/27	27.10	27.90	26.86	27.29	15155911	421160608.00
2017/02/28	27.05	28.03	26.30	27.87	17345115	480331808.00
2017/03/01	27.63	27.94	26.92	27.04	12304446	343877184.00
2017/03/02	27.05	28.00	26.92	27.36	15788786	442994976.00
2017/03/03	27.04	27.38	26.51	27.14	9859392	270355488.00
2017/03/06	27.08	28.18	27.08	27.98	14759045	417275296.00
2017/03/07	27.89	29.02	27.80	28.72	19596238	567087360.00
2017/03/08	28.50	29.04	28.11	28.94	15255930	442891360.00
2017/03/09	28.96	29.95	27.80	27.89	17603381	513918176.00
2017/03/10	27.54	27.98	27.30	27.54	10135980	284905632.00
2017/03/13	27.50	27.98	26.80	27.96	8890914	248707216.00
2017/03/14	27.95	28.60	27.72	28.12	10827538	310809632.00
2017/03/15	27.90	27.98	27.40	27.70	8592979	242232608.00
2017/03/16	27.72	29.06	27.72	28.76	15222472	442980672.00
2017/03/17	28.64	28.98	27.50	27.64	15448077	444950944.00
2017/03/20	27.44	28.31	27.26	28.29	8907321	252334192.00
2017/03/21	28.20	29.33	28.11	29.16	17426336	510379264.00
2017/03/22	28.75	30.00	28.72	29.69	18140453	542607488.00
2017/03/23	29.50	29.80	28.06	28.89	14739422	434052352.00
2017/03/24	28.59	29.85	28.59	29.80	13547034	405195520.00
2017/03/27	29.95	30.27	28.99	29.49	10288515	309190752.00
2017/03/28	29.21	29.58	28.40	28.47	9058578	266932256.00
2017/03/29	28.52	28.69	26.40	26.54	12224979	340519264.00
2017/03/30	26.10	26.33	25.21	25.46	9134137	239390960.00
2017/03/31	25.49	25.89	25.01	25.37	5451649	141504112.00
2017/04/05	25.48	25.85	24.91	25.79	5226713	136222096.00
2017/04/06	25.66	26.37	25.66	25.81	5416018	143517392.00
2017/04/07	25.76	25.87	25.01	25.06	5869951	151757312.00
2017/04/10	24.96	24.96	23.11	23.30	8063423	195890208.00
2017/04/11	23.24	24.09	23.22	24.02	5403669	130533744.00
2017/04/12	23.88	23.88	23.17	23.25	4261212	102090472.00
2017/04/13	23.25	23.70	22.94	23.25	3634591	86647792.00
2017/04/14	23.20	23.20	22.55	22.60	3850175	89666776.00
2017/04/17	21.80	22.22	21.55	21.90	3614585	80919968.00
2017/04/18	22.02	22.23	21.60	21.71	2567923	57710092.00
2017/04/19	21.54	22.66	21.54	22.49	4692696	106262488.00
2017/04/20	22.40	22.68	21.82	22.15	3815257	86535112.00
2017/04/21	22.25	22.26	21.72	21.78	2333651	52495332.00
2017/04/24	21.70	21.75	20.88	20.91	3160633	68389464.00
2017/04/25	21.05	21.42	21.00	21.13	2764464	59967452.00
2017/04/26	21.25	21.73	21.05	21.68	3864137	85001448.00
2017/04/27	21.20	22.55	20.81	22.32	7169662	159680112.00
2017/04/28	22.32	22.50	22.15	22.38	3845037	87777152.00
2017/05/02	22.40	22.41	22.03	22.12	2983625	67799128.00
2017/05/03	22.13	22.42	21.86	22.39	4013382	90892416.00
2017/05/04	22.23	22.37	21.95	21.96	3203621	72555368.00
2017/05/05	21.77	22.04	21.21	21.36	3214909	71547264.00
2017/05/08	21.19	21.35	20.21	20.28	3711234	79439768.00
2017/05/09	20.17	20.89	20.17	20.70	3054143	64531140.00
2017/05/10	20.84	21.03	20.24	20.26	3557900	75580672.00
2017/05/11	20.20	21.38	20.16	21.35	5354969	113723808.00
2017/05/12	21.25	21.38	20.87	21.24	3956751	85547736.00
2017/05/15	21.13	21.34	20.92	20.96	2616821	56510140.00
2017/05/16	20.87	21.62	20.57	21.59	4403760	95030152.00
2017/05/17	21.45	21.91	21.39	21.65	4917261	109012376.00
2017/05/18	21.39	21.56	21.15	21.20	2759719	60339776.00
2017/05/19	21.21	21.35	20.70	20.89	2855812	61472628.00
2017/05/22	20.88	20.95	19.86	19.90	3786838	78849696.00
2017/05/23	19.80	19.96	18.50	18.59	4780213	94430176.00
2017/05/24	18.50	18.96	18.33	18.87	2859501	54848848.00
2017/05/25	18.85	19.10	18.38	18.88	3267100	62900628.00
2017/05/26	18.94	19.37	18.82	19.14	3265274	63921724.00
2017/05/31	19.75	20.14	19.00	19.04	4904080	99139056.00
2017/06/01	18.96	18.96	18.20	18.26	3132809	59727080.00
2017/06/02	18.30	18.95	18.10	18.86	3038406	58160524.00
2017/06/05	19.18	19.42	18.96	19.10	2959206	58231488.00
2017/06/06	18.91	19.24	18.88	19.22	1832142	35909336.00
2017/06/07	19.19	19.86	19.08	19.79	4669205	93858032.00
2017/06/08	19.83	19.87	19.45	19.72	3895245	78517568.00
2017/06/09	19.72	19.74	19.37	19.73	2460585	49336608.00
2017/06/12	19.47	19.53	18.98	19.08	3119132	61684692.00
2017/06/13	19.10	19.67	19.06	19.56	2729419	54462428.00
2017/06/14	19.49	19.73	19.31	19.51	2436118	48725664.00
2017/06/15	19.36	20.05	19.34	19.80	5184116	105387512.00
2017/06/16	19.75	19.88	19.54	19.58	3030900	61016220.00
2017/06/19	19.58	19.75	19.53	19.69	1532508	30869182.00
2017/06/20	19.78	19.87	19.60	19.66	2743091	55536596.00
