603078 江化微 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/10	24.66	24.66	24.66	24.66	5200	181064.00
2017/04/11	27.14	27.14	27.14	27.14	4500	172350.00
2017/04/12	29.88	29.88	29.88	29.88	3000	126390.00
2017/04/13	32.89	32.89	32.89	32.89	2200	101948.00
2017/04/14	36.19	36.19	36.19	36.19	17300	881781.00
2017/04/17	39.84	39.84	39.84	39.84	63900	3582873.00
2017/04/18	43.84	43.84	42.69	43.84	1367425	84285168.00
2017/04/19	45.50	48.25	42.34	48.25	8893739	574096320.00
2017/04/20	46.36	47.64	43.41	43.44	6161425	392372832.00
2017/04/21	43.06	46.21	43.06	44.37	4324494	273498656.00
2017/04/24	42.79	45.31	41.25	44.44	3299422	200721168.00
2017/04/25	44.06	47.64	43.71	46.16	3822184	248624704.00
2017/04/26	45.37	47.02	44.93	45.63	3095250	199412704.00
2017/04/27	45.86	50.21	45.41	50.21	4467041	300491968.00
2017/04/28	51.82	51.82	48.09	48.16	5036802	351164032.00
2017/05/02	47.71	49.06	46.64	47.58	3307176	221600896.00
2017/05/03	47.50	48.89	45.97	48.43	4071265	272117952.00
2017/05/04	47.49	48.36	44.79	46.69	3486148	228695872.00
2017/05/05	46.08	46.86	44.21	44.46	2101472	135761856.00
2017/05/08	43.54	45.48	43.49	44.05	1671182	104694848.00
2017/05/09	44.43	46.29	44.11	45.52	1906661	121883136.00
2017/05/10	45.93	47.61	44.79	45.11	2504013	163288240.00
2017/05/11	45.07	48.84	44.43	48.14	3222492	211143264.00
2017/05/12	48.32	48.64	46.93	48.54	2752709	185299712.00
2017/05/15	48.29	49.05	47.44	47.80	1935236	130969432.00
2017/05/16	47.61	50.62	46.64	50.50	2410571	165361616.00
2017/05/17	50.00	50.70	49.24	49.59	1904959	134118008.00
2017/05/18	48.92	49.62	47.52	48.21	1515248	103372808.00
2017/05/19	48.55	49.06	47.64	47.74	903783	61390380.00
2017/05/22	47.79	48.21	43.36	44.53	2088733	133697448.00
2017/05/23	43.91	45.16	41.21	42.54	1541264	93376920.00
2017/05/24	42.54	44.39	41.36	44.21	1203380	73724240.00
2017/05/25	44.07	44.46	42.72	44.01	1254857	77320872.00
2017/05/26	44.36	45.68	44.02	45.07	1309169	82756080.00
2017/05/31	46.31	49.04	45.08	45.72	2078081	138898672.00
2017/06/01	44.79	46.79	44.43	44.61	1734064	110957928.00
2017/06/02	44.23	47.86	43.57	47.16	1318600	85422096.00
2017/06/05	48.39	49.76	47.84	48.68	1815119	124508336.00
2017/06/06	48.01	49.04	47.50	48.45	1240400	84331872.00
2017/06/07	48.45	50.93	48.45	50.71	1915069	134610304.00
2017/06/08	50.14	50.69	47.59	47.94	2062237	142144256.00
2017/06/09	47.56	52.71	47.39	51.34	1848498	129783840.00
2017/06/12	50.04	51.34	48.83	49.01	1445829	101579856.00
2017/06/13	49.07	53.25	49.07	51.97	2392694	173393920.00
2017/06/14	51.34	53.34	50.85	52.60	1913644	140200560.00
2017/06/15	53.57	54.61	52.36	53.64	1847561	138812208.00
2017/06/16	53.43	53.91	51.93	52.66	1528557	113214528.00
2017/06/19	52.00	54.14	51.47	51.73	1361900	101185640.00
2017/06/20	52.13	52.79	49.29	50.15	1914177	137001664.00
2017/06/21	50.39	51.91	50.01	51.67	1309452	94043360.00
2017/06/22	52.00	52.56	50.50	51.07	1075451	77543736.00
2017/06/23	50.73	52.07	49.43	52.03	1252988	89238728.00
2017/06/26	51.53	54.64	51.53	54.27	1699858	127196256.00
2017/06/27	54.33	57.27	54.27	55.78	2308859	181160672.00
2017/06/28	55.77	56.43	54.64	55.36	1019424	79497424.00
2017/06/29	55.44	57.36	55.44	56.79	1165008	92537104.00
2017/06/30	56.57	60.19	55.86	56.74	2367410	193496016.00
2017/07/03	56.84	56.93	54.54	55.09	1980362	153621984.00
2017/07/04	55.21	56.93	54.55	56.65	1619530	126618312.00
2017/07/05	56.79	57.74	55.43	56.65	1730673	137445904.00
2017/07/06	56.71	59.21	55.91	59.10	1767605	143130560.00
2017/07/07	59.06	60.13	57.80	58.96	1504315	125211104.00
2017/07/10	57.51	58.36	53.04	53.04	2910456	222999840.00
2017/07/11	52.51	53.84	50.68	51.92	2313416	170249600.00
2017/07/12	51.71	53.50	50.82	53.42	1346577	99032208.00
2017/07/13	52.64	53.40	51.20	52.49	1063577	77852832.00
2017/07/14	52.50	52.93	50.13	51.04	1485060	106737672.00
2017/07/17	49.79	49.79	45.91	45.91	1586086	105555216.00
2017/07/18	45.14	45.91	43.21	44.10	2215017	138525792.00
2017/07/19	44.07	45.27	42.86	44.83	1203588	74942888.00
2017/07/20	44.88	45.64	43.94	44.24	1318196	82667648.00
2017/07/21	44.24	44.61	43.71	44.01	527377	32746760.00
2017/07/24	43.71	45.87	42.14	45.16	1405366	87166056.00
2017/07/25	44.94	45.53	44.43	45.37	559803	35599888.00
2017/07/26	45.41	45.41	43.37	44.18	615607	38492792.00
2017/07/27	44.25	47.36	43.08	45.65	946213	60391500.00
2017/07/28	45.29	46.57	45.29	46.06	727100	47129088.00
2017/07/31	45.97	46.06	44.43	45.38	608613	38813368.00
2017/08/01	44.66	45.86	44.50	45.39	530600	33647608.00
2017/08/02	45.39	45.42	44.50	44.54	439900	27719412.00
2017/08/03	43.86	45.27	43.81	44.78	509300	32037730.00
2017/08/04	44.71	44.96	43.93	44.04	284200	17723588.00
2017/08/07	44.04	44.61	43.44	43.96	258800	16077921.00
2017/08/08	43.96	44.21	43.71	44.09	324583	20070212.00
2017/08/09	43.79	44.01	43.49	43.91	302100	18603574.00
2017/08/10	44.06	45.32	43.79	44.64	729206	45784528.00
2017/08/11	44.15	44.76	42.55	42.95	635108	38871456.00
2017/08/14	42.93	43.64	42.71	43.12	466780	28364420.00
2017/08/15	43.35	43.55	42.65	43.45	685383	41645872.00
2017/08/16	43.49	46.36	43.25	45.68	1135751	71957152.00
2017/08/17	45.50	45.68	44.79	45.21	641813	40746508.00
2017/08/18	44.81	45.33	43.51	43.68	712094	44400348.00
2017/08/21	41.95	43.71	41.29	42.81	1408007	83646232.00
2017/08/22	42.29	42.91	42.07	42.42	494788	29583630.00
2017/08/23	42.47	42.79	42.07	42.32	295488	17640824.00
2017/08/24	42.29	42.98	42.11	42.18	520088	31122712.00
2017/08/25	42.21	42.93	42.01	42.69	471213	28275018.00
2017/08/28	42.79	45.01	42.32	44.92	1042830	64813268.00
2017/08/29	44.58	46.25	44.57	45.69	1331511	85537808.00
2017/08/30	45.68	45.89	44.07	44.68	757204	47714496.00
2017/08/31	44.68	45.85	44.54	45.47	634207	40458868.00
2017/09/01	45.71	46.71	45.47	46.53	1389905	90448504.00
2017/09/04	46.21	47.86	45.29	46.66	1258953	83067480.00
2017/09/05	46.66	46.91	45.36	45.98	729500	47153668.00
2017/09/06	45.86	45.86	44.86	45.50	571500	36470412.00
2017/09/07	45.58	47.06	45.36	45.94	1064916	69444800.00
2017/09/08	45.75	45.84	44.11	44.69	1239466	78470448.00
2017/09/11	44.54	46.06	44.47	45.94	1049927	67113392.00
2017/09/12	45.71	46.04	44.51	45.21	941666	59772096.00
2017/09/13	45.21	45.22	44.71	45.14	436530	27592030.00
2017/09/14	45.25	45.64	44.49	44.84	996900	63094456.00
2017/09/15	44.89	45.11	43.11	43.39	1198454	74226128.00
2017/09/18	43.37	43.66	42.91	43.51	536194	32694980.00
2017/09/19	43.50	44.02	43.36	43.62	346463	21262342.00
2017/09/20	43.64	48.01	43.44	48.01	1895258	123256360.00
2017/09/21	51.21	52.63	49.89	50.26	3702407	264950832.00
2017/09/22	50.62	52.54	50.27	50.90	2410056	173895072.00
2017/09/25	50.50	54.43	49.51	52.89	2584140	188907232.00
2017/09/26	52.38	52.43	50.71	52.05	1449279	105162072.00
2017/09/27	52.60	54.33	51.23	51.66	1604259	118403024.00
2017/09/28	52.34	55.90	51.29	54.81	2034085	153430544.00
2017/09/29	54.61	55.91	53.36	55.78	1401472	107124688.00
2017/10/09	54.09	57.50	54.08	55.49	2627626	204116160.00
2017/10/10	54.07	55.14	53.26	54.39	1645016	124677592.00
2017/10/11	53.97	54.35	52.86	53.76	1013265	76012832.00
2017/10/12	53.36	53.91	52.64	53.76	765557	57473028.00
2017/10/13	53.27	56.57	53.15	55.66	1115140	87055272.00
2017/10/16	55.50	55.71	53.50	53.94	615479	46895352.00
2017/10/17	54.20	54.69	53.39	53.44	509700	38704860.00
2017/10/18	53.43	54.93	53.06	53.69	503376	38153484.00
2017/10/19	53.64	54.03	52.29	52.36	474396	35366792.00
2017/10/20	52.28	53.43	52.09	53.36	448976	33347804.00
2017/10/23	51.70	53.00	51.70	52.52	483300	35589040.00
2017/10/24	52.50	55.34	52.17	54.56	792197	60281044.00
2017/10/25	54.11	57.64	54.09	56.89	982490	78002360.00
2017/10/26	56.39	57.79	55.79	57.75	973053	77856488.00
2017/10/27	57.70	58.36	56.57	57.26	500488	40195244.00
2017/10/30	57.00	59.76	55.86	59.35	1004837	82724648.00
