603080 新疆火炬 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/01/03	16.13	19.39	16.13	19.39	9052	176912.16
2018/01/04	21.35	21.35	21.35	21.35	5394	116186.76
2018/01/05	23.50	23.50	23.50	23.50	13300	315077.00
2018/01/08	25.87	25.87	25.87	25.87	39315	1024548.88
2018/01/09	28.48	28.48	28.48	28.48	66057	1893854.25
2018/01/10	31.35	31.35	31.35	31.35	67045	2114599.25
2018/01/11	34.50	34.50	34.50	34.50	113758	3946265.00
2018/01/12	37.97	37.97	37.97	37.97	209148	7981087.50
2018/01/15	41.79	41.79	41.79	41.79	999879	41974920.00
2018/01/16	45.99	45.99	45.99	45.99	869796	40167180.00
2018/01/17	50.61	50.61	50.61	50.61	413857	21023936.00
2018/01/18	50.69	55.69	49.14	55.69	25048329	1345694208.00
2018/01/19	52.81	55.49	50.10	50.10	19704286	1034789440.00
2018/01/22	45.21	47.69	45.07	45.07	10327732	470752160.00
2018/01/23	41.81	45.05	41.81	43.86	12189938	529661376.00
2018/01/24	44.54	47.65	44.32	45.83	14475472	670820736.00
2018/01/25	44.81	44.81	41.79	42.63	11949918	517292640.00
2018/01/26	40.81	42.01	40.01	41.74	10192075	419653952.00
2018/01/29	42.12	43.69	40.85	42.57	10038121	428758432.00
2018/01/30	41.31	42.49	41.14	41.55	6254252	262298032.00
2018/01/31	41.11	41.31	37.38	37.38	9317532	363937472.00
2018/02/01	36.51	38.80	36.37	38.08	7875353	298840000.00
2018/02/02	39.71	41.91	39.61	40.14	12282866	506315840.00
2018/02/05	36.31	37.98	36.11	36.11	9230957	341081920.00
2018/02/06	32.95	34.50	32.48	32.48	8032754	266998144.00
2018/02/07	33.32	33.79	29.61	31.56	8318309	264892976.00
2018/02/08	30.87	32.07	30.47	32.04	6391734	202482112.00
2018/02/09	30.43	30.80	28.82	28.82	6222919	185148112.00
2018/02/12	29.21	30.30	29.02	29.63	5519102	164503856.00
2018/02/13	29.76	29.98	27.88	27.99	5766003	168272576.00
2018/02/14	28.30	28.31	26.43	26.82	4745236	130423408.00
2018/02/22	27.15	27.77	26.67	27.63	4493181	123620760.00
2018/02/23	27.38	30.20	27.25	29.31	8565996	249990624.00
2018/02/26	29.76	31.61	29.50	31.32	8280905	256309136.00
2018/02/27	31.26	33.11	30.40	30.84	9755753	310162784.00
2018/02/28	29.68	29.71	28.31	28.74	6740292	196415600.00
2018/03/01	28.85	31.63	28.83	31.63	7917808	239708320.00
2018/03/02	32.72	34.49	31.02	32.81	14942034	494176480.00
