603096 新经典 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/25	24.90	30.07	24.90	30.07	12352	382765.56
2017/04/26	33.17	33.17	33.17	33.17	7400	252562.00
2017/04/27	36.58	36.58	36.58	36.58	8850	332229.00
2017/04/28	40.33	40.33	40.33	40.33	31652	1306911.13
2017/05/02	44.46	44.46	44.46	44.46	67866	3082473.75
2017/05/03	49.00	49.00	49.00	49.00	117474	5869001.00
2017/05/04	54.00	54.00	54.00	54.00	97404	5353324.00
2017/05/05	54.60	59.04	53.14	55.22	17586977	995531264.00
2017/05/08	53.04	58.75	52.62	55.32	12880242	731466240.00
2017/05/09	55.74	59.84	54.18	57.51	13351603	782128000.00
2017/05/10	56.54	57.03	51.66	51.66	11717625	646977856.00
2017/05/11	48.54	50.04	46.44	48.62	11180209	545231488.00
2017/05/12	48.04	49.54	46.74	48.84	7894940	388275552.00
2017/05/15	48.82	50.39	47.37	48.12	8312766	413403040.00
2017/05/16	47.72	48.34	45.21	48.16	8005674	382147648.00
2017/05/17	47.64	49.97	47.46	49.90	8413939	417241952.00
2017/05/18	48.52	49.23	46.54	46.61	6146064	300945760.00
2017/05/19	46.64	47.24	45.39	45.57	5017204	237178224.00
2017/05/22	44.75	44.77	41.66	41.85	6406738	282899776.00
2017/05/23	41.64	42.37	39.77	40.08	3906257	164239104.00
2017/05/24	40.04	41.54	39.92	41.02	3326573	139318608.00
2017/05/25	40.64	41.81	39.55	41.29	4014516	166928336.00
2017/05/26	41.24	43.21	41.10	42.25	3690951	158734048.00
2017/05/31	43.72	45.52	42.24	42.30	4370010	195502336.00
2017/06/01	41.53	41.54	39.47	39.53	3716149	153890048.00
2017/06/02	38.99	41.15	38.74	40.75	2653731	108648408.00
2017/06/05	41.59	42.41	40.94	41.02	2907428	123941664.00
2017/06/06	40.04	41.33	39.76	41.27	1680378	70098816.00
2017/06/07	41.14	42.90	41.05	42.64	3204119	138492752.00
2017/06/08	42.39	42.72	41.28	41.78	3487332	149793328.00
2017/06/09	41.59	42.21	41.27	42.05	1781371	75867224.00
2017/06/12	41.04	41.09	39.44	39.63	2797016	115285960.00
2017/06/13	40.02	41.75	39.94	40.83	3073702	128882032.00
2017/06/14	40.74	41.48	40.54	40.96	1759971	73798296.00
2017/06/15	41.05	42.41	41.05	42.27	3124961	134178208.00
2017/06/16	42.24	42.47	41.64	41.70	1861907	79752080.00
2017/06/19	41.73	42.54	41.51	42.13	1666984	71687168.00
2017/06/20	42.42	42.62	41.59	41.68	1432568	61601060.00
2017/06/21	41.70	41.93	40.56	41.21	1810511	76239560.00
2017/06/22	41.18	41.32	39.80	39.89	1993552	82075600.00
2017/06/23	40.11	40.50	39.11	40.44	1692463	68313304.00
2017/06/26	40.40	40.60	39.94	40.44	1812105	74169720.00
2017/06/27	40.66	40.75	40.09	40.48	1586178	65122284.00
2017/06/28	40.23	40.28	39.40	39.76	1447506	58335800.00
2017/06/29	39.63	40.09	39.60	39.84	1014534	41042576.00
2017/06/30	39.82	41.89	39.51	41.78	3042130	126454976.00
2017/07/03	41.78	43.90	41.22	43.35	3686013	159623920.00
2017/07/04	43.00	43.38	42.48	43.00	2222063	96730104.00
2017/07/05	42.95	44.37	42.81	43.41	2824165	124915264.00
2017/07/06	43.15	44.68	42.40	44.36	3036925	135202720.00
2017/07/07	44.18	44.89	44.00	44.11	2025763	91181688.00
2017/07/10	43.41	43.49	42.19	42.33	1655130	71691264.00
2017/07/11	42.00	43.15	42.00	42.32	1516429	65638552.00
2017/07/12	42.28	42.85	40.45	41.89	1675289	70234784.00
2017/07/13	41.75	41.90	40.79	41.06	890682	37225916.00
2017/07/14	41.06	41.76	40.80	41.06	917625	38438528.00
2017/07/17	40.69	43.00	38.75	39.72	3180076	133488080.00
2017/07/18	39.72	40.97	39.41	40.82	1959740	80471040.00
2017/07/19	40.35	40.79	38.93	39.85	1835025	73823592.00
2017/07/20	39.63	40.90	39.49	40.71	1460735	59792648.00
2017/07/21	40.34	40.61	39.76	39.94	1103228	44949548.00
2017/07/24	39.40	39.62	38.41	39.30	1963872	77864312.00
2017/07/25	39.01	39.48	38.61	38.81	1169183	46312988.00
2017/07/26	38.81	39.07	37.91	38.21	1082290	42250940.00
2017/07/27	38.24	42.09	37.82	42.09	3458212	140968736.00
2017/07/28	42.71	42.89	41.69	41.73	1864806	79857624.00
2017/07/31	41.40	41.78	40.41	41.20	2229260	92773832.00
2017/08/01	40.91	41.45	40.41	40.80	1389097	57666128.00
2017/08/02	40.90	41.84	40.35	40.43	1367520	57120616.00
2017/08/03	40.18	41.37	40.00	40.03	1375709	56581220.00
2017/08/04	39.96	40.70	39.68	39.98	1038759	42402824.00
2017/08/07	40.02	40.75	40.02	40.70	1012711	41662300.00
2017/08/08	40.60	40.78	39.71	40.49	1072703	43862580.00
2017/08/09	40.32	42.05	40.09	41.42	1474833	61794876.00
2017/08/10	41.45	42.75	41.30	41.87	1540037	65518588.00
2017/08/11	41.52	42.69	41.23	42.40	1760930	75234664.00
2017/08/14	46.40	46.70	45.05	46.70	3818850	179810896.00
2017/08/15	46.90	50.00	46.90	48.25	4967471	245459120.00
2017/08/16	48.10	52.39	47.42	51.24	4364764	223511136.00
2017/08/17	50.68	51.30	49.41	51.02	2557753	131453888.00
2017/08/18	51.17	54.30	50.50	51.37	2242037	119053912.00
2017/08/21	52.35	52.40	50.52	51.41	1512218	78408000.00
2017/08/22	50.90	53.69	50.90	52.80	1926868	102157064.00
2017/08/23	52.12	52.76	50.65	50.70	1371970	71494384.00
2017/08/24	50.50	51.23	49.62	49.71	1249605	63237192.00
2017/08/25	50.09	50.79	49.32	50.43	689012	34863916.00
2017/08/28	50.15	52.90	50.11	52.74	1688528	89153312.00
2017/08/29	52.40	52.70	50.98	51.22	1721810	89863712.00
2017/08/30	50.70	54.15	50.70	53.96	1908846	101889520.00
