603118 共进股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/02/25	7.43	7.43	7.43	7.43	60400	1039484.00
2015/02/26	8.21	8.21	8.21	8.21	19600	371028.00
2015/02/27	9.07	9.07	9.07	9.07	24300	505926.00
2015/03/02	10.02	10.02	10.02	10.02	57300	1312170.00
2015/03/03	11.06	11.06	11.06	11.06	337600	8504144.00
2015/03/04	12.20	12.20	12.20	12.20	7183908	199066096.00
2015/03/05	12.34	13.46	12.11	13.46	32458208	952743808.00
2015/03/06	14.06	14.45	12.29	12.37	36754079	1097238016.00
2015/03/09	11.77	11.87	11.24	11.42	21997618	575053568.00
2015/03/10	11.35	11.68	11.25	11.54	12693713	333008224.00
2015/03/11	11.47	11.78	11.43	11.51	9888856	260215776.00
2015/03/12	11.50	11.51	11.05	11.10	12635267	322562464.00
2015/03/13	11.09	11.49	11.09	11.41	8026003	206275616.00
2015/03/16	11.59	12.29	11.59	12.20	14912196	405094208.00
2015/03/17	12.28	12.39	12.06	12.26	11134997	308141184.00
2015/03/18	12.24	12.61	12.20	12.46	10780141	304421696.00
2015/03/19	12.46	12.47	12.27	12.43	8845930	247889088.00
2015/03/20	12.43	12.91	12.37	12.72	10616230	304439328.00
2015/03/23	12.73	13.18	12.72	12.88	10367486	303228384.00
2015/03/24	12.95	12.95	12.14	12.53	11759455	334308768.00
2015/03/25	12.51	13.19	12.32	13.06	12627107	364779584.00
2015/03/26	12.84	12.99	12.52	12.66	8494328	245561872.00
2015/03/27	12.72	12.77	12.56	12.65	5089577	146378208.00
2015/03/30	12.66	12.86	12.49	12.61	6098053	175120384.00
2015/03/31	12.62	12.71	12.49	12.56	5679056	162260016.00
2015/04/01	12.54	12.96	12.50	12.89	8815856	255357904.00
2015/04/02	12.93	13.14	12.79	13.12	9462407	277278912.00
2015/04/03	12.99	13.95	12.93	13.82	12793971	386557216.00
2015/04/07	13.79	14.11	13.61	13.98	10139950	318902912.00
2015/04/08	14.06	14.06	13.30	13.64	8989211	278170496.00
2015/04/09	13.55	13.55	12.85	13.36	8001306	239485472.00
2015/04/10	13.30	14.74	13.19	14.74	12261983	396041344.00
2015/04/13	15.04	16.10	14.80	15.44	15656646	547859648.00
2015/04/14	15.10	16.27	15.09	15.86	11810779	421714912.00
2015/04/15	15.86	16.63	15.53	15.62	12134188	438266208.00
2015/04/16	15.52	15.92	14.84	15.61	7839358	272637728.00
2015/04/17	15.85	16.09	15.32	15.33	7906323	278312032.00
2015/04/20	15.34	15.50	14.22	14.24	8968895	300711520.00
2015/04/21	14.16	14.88	14.16	14.84	5306426	175682352.00
2015/04/22	14.79	15.91	14.75	15.49	6792881	236989744.00
2015/04/23	15.52	15.97	15.39	15.54	7358470	259205904.00
2015/04/24	15.13	17.14	14.89	17.14	14832515	540934656.00
2015/04/27	17.10	17.34	16.43	16.79	10422337	396640096.00
2015/04/28	16.83	17.01	15.64	16.03	7678577	279545984.00
2015/04/29	16.11	17.48	15.75	17.31	8705872	330241216.00
2015/04/30	18.10	19.09	17.49	18.52	14632539	610809344.00
2015/05/04	18.78	19.97	18.29	18.43	11132414	477768384.00
2015/05/05	18.44	18.94	17.78	18.69	8367730	345595168.00
2015/05/06	18.61	19.82	18.38	18.79	10201776	440527840.00
2015/05/07	18.79	18.79	17.84	17.93	5494817	224652512.00
2015/05/08	18.24	19.40	17.95	19.15	5847109	242959088.00
2015/05/11	19.28	21.10	19.28	21.02	7528275	346920096.00
2015/05/12	21.04	22.10	20.77	21.79	8511676	408372384.00
2015/05/13	21.86	23.74	20.88	23.53	7497794	376898752.00
2015/05/14	23.99	25.92	23.98	25.92	8891713	494195104.00
2015/05/19	28.55	28.55	26.43	28.09	9024083	559363392.00
2015/05/20	27.74	28.70	26.49	26.65	9821479	604191808.00
2015/05/21	26.70	27.76	26.15	27.29	6420201	386698784.00
2015/05/22	27.34	27.65	26.06	26.85	7456635	446085888.00
2015/05/25	26.82	29.58	25.93	29.58	8842082	553216512.00
