603123 翠微股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/05/03	10.49	13.14	10.49	13.07	52836110	649300160.00
2012/05/04	12.00	12.24	11.66	11.66	36320759	465245344.00
2012/05/07	11.09	11.51	11.02	11.38	23111744	282406848.00
2012/05/08	11.25	11.64	11.07	11.62	19246548	237863872.00
2012/05/09	11.38	11.45	11.04	11.07	12485422	152798976.00
2012/05/10	10.90	11.14	10.71	10.90	11044424	131649328.00
2012/05/11	10.81	10.94	10.70	10.84	6942016	82102904.00
2012/05/14	10.88	11.18	10.73	10.94	10172401	122082280.00
2012/05/15	10.79	10.88	10.50	10.82	8538244	99505688.00
2012/05/16	10.79	11.56	10.69	11.30	18999169	232302416.00
2012/05/17	11.23	11.37	11.06	11.36	12615698	154598912.00
2012/05/18	11.19	11.29	10.68	10.72	10493708	125304480.00
2012/05/21	10.60	10.72	10.11	10.16	8649647	98487528.00
2012/05/22	10.24	10.36	10.17	10.35	4852006	54722032.00
2012/05/23	10.26	10.33	9.98	10.10	7466174	83017784.00
2012/05/24	10.05	10.16	10.00	10.08	4329951	48046724.00
2012/05/25	10.08	10.11	9.62	9.70	7305094	78827824.00
2012/05/28	9.67	9.67	9.32	9.66	5703306	59871820.00
2012/05/29	9.59	9.91	9.52	9.88	7756789	83402256.00
2012/05/30	9.78	9.81	9.62	9.67	4778454	51259400.00
2012/05/31	9.62	10.46	9.52	10.10	10997157	120986584.00
2012/06/01	9.99	10.05	9.87	9.91	5023039	55081852.00
2012/06/04	9.65	9.76	9.48	9.48	3969139	42157760.00
2012/06/05	9.56	9.67	9.47	9.54	2761864	29180690.00
2012/06/06	9.51	9.67	9.42	9.47	2641459	27865264.00
2012/06/07	9.60	9.65	9.26	9.28	3090967	32335890.00
2012/06/08	9.43	9.46	9.20	9.25	2835170	29315844.00
2012/06/11	9.31	9.54	9.22	9.45	2576069	26768812.00
2012/06/12	9.31	9.35	9.19	9.23	2460184	25265458.00
2012/06/13	9.29	9.48	9.21	9.44	3056503	31755354.00
2012/06/14	9.38	9.57	9.36	9.40	3468602	36386560.00
2012/06/15	9.43	9.50	9.19	9.38	2602362	27021768.00
2012/06/18	9.40	9.57	9.40	9.56	3124043	32822568.00
2012/06/19	9.56	9.56	9.40	9.46	2514379	26278454.00
2012/06/21	9.43	10.27	9.38	9.87	13462709	147451872.00
2012/06/25	9.78	10.02	9.62	9.73	6242257	67667576.00
2012/06/26	9.59	9.59	9.07	9.20	4925110	50461656.00
2012/06/27	9.19	9.40	9.10	9.18	3589565	36794848.00
2012/06/28	9.20	9.31	9.00	9.01	3360698	34176776.00
2012/06/29	8.96	9.00	8.61	9.00	3142257	31043220.00
2012/07/02	9.01	9.22	8.92	9.07	4068224	41131840.00
2012/07/03	8.99	9.29	8.92	9.27	4834400	49228224.00
2012/07/04	9.23	9.44	9.14	9.20	3151060	32358828.00
2012/07/05	9.15	9.17	8.80	8.93	2690900	26809568.00
2012/07/06	8.98	9.22	8.84	9.17	2545655	25561972.00
2012/07/09	9.09	9.23	8.93	8.95	2412708	24264696.00
2012/07/10	8.90	9.00	8.83	8.85	1464389	14481436.00
2012/07/11	8.85	8.99	8.75	8.98	1575099	15629056.00
2012/07/12	8.97	9.15	8.82	9.09	2979282	29849246.00
2012/07/13	9.16	9.16	8.91	8.93	1779660	17846120.00
2012/07/16	8.93	8.93	8.48	8.52	2717911	26216080.00
2012/07/17	8.52	8.62	8.45	8.57	1281676	12244415.00
2012/07/18	8.57	8.57	8.11	8.30	3209083	29854564.00
2012/07/19	8.28	8.58	8.23	8.43	2157373	20141836.00
2012/07/20	8.54	9.37	8.53	9.12	11424322	115451880.00
2012/07/23	8.80	8.92	8.57	8.63	5356094	51719232.00
2012/07/24	8.52	8.73	8.40	8.62	3051911	29071344.00
2012/07/25	8.55	8.91	8.50	8.68	3310579	31926412.00
2012/07/26	8.64	8.71	8.46	8.48	2172144	20626760.00
2012/07/27	8.55	8.61	8.47	8.50	1476953	13969029.00
2012/07/30	8.48	8.58	8.33	8.35	1404712	13143062.00
2012/07/31	8.31	8.38	7.98	8.01	1672695	15230749.00
2012/08/01	8.12	8.35	8.04	8.25	2046494	18697206.00
2012/08/02	8.19	8.35	8.13	8.16	1561518	14252618.00
2012/08/03	8.16	8.37	7.78	8.26	9282193	82895760.00
2012/08/06	8.09	8.41	8.04	8.39	9683952	88590592.00
2012/08/07	8.32	8.60	8.30	8.44	8657144	81125920.00
2012/08/08	8.44	8.58	8.37	8.47	5355998	50339312.00
2012/08/09	8.48	8.57	8.38	8.53	4598806	43282072.00
2012/08/10	8.54	8.56	8.37	8.45	4545794	42627704.00
2012/08/13	8.41	8.41	8.07	8.10	4555808	41795024.00
2012/08/14	8.07	8.19	7.91	8.18	3413525	30618748.00
2012/08/15	8.15	8.15	7.96	7.97	2629948	23534034.00
2012/08/16	7.97	8.14	7.94	8.08	2124838	19043396.00
2012/08/17	8.09	8.11	7.93	8.03	1781545	15914555.00
2012/08/20	7.98	8.17	7.90	8.13	1736390	15563478.00
2012/08/21	8.10	8.40	8.06	8.29	4414522	40476308.00
2012/08/22	8.26	8.44	8.19	8.31	4929820	45712488.00
2012/08/23	8.30	8.76	8.25	8.54	9882289	93810152.00
2012/08/24	8.43	8.60	8.21	8.27	4745787	44333928.00
2012/08/27	8.24	8.26	7.97	7.99	2597678	23392764.00
2012/08/28	7.99	8.25	7.96	8.13	2410188	21750614.00
2012/08/29	8.09	8.27	8.08	8.14	2503090	22792396.00
2012/08/30	8.12	8.33	7.98	8.22	3651075	33182254.00
2012/08/31	8.21	8.51	8.19	8.43	5165177	48114104.00
2012/09/03	8.38	8.66	8.35	8.46	6244842	58916872.00
2012/09/04	8.52	8.65	8.40	8.54	5452591	51422200.00
2012/09/05	8.51	8.70	8.45	8.66	5127015	48808920.00
2012/09/06	8.63	8.73	8.51	8.63	5328242	50717944.00
2012/09/07	8.68	9.00	8.58	8.81	10774932	104677648.00
2012/09/10	8.72	8.87	8.69	8.81	5921822	57493364.00
2012/09/11	8.76	8.81	8.58	8.66	4501836	43155472.00
2012/09/12	8.70	9.05	8.64	8.98	8830827	86502088.00
2012/09/13	8.93	9.02	8.72	8.73	5478760	53644664.00
2012/09/14	8.77	8.90	8.66	8.75	3592223	34789864.00
2012/09/17	8.70	8.81	8.48	8.48	2849279	27222256.00
2012/09/18	8.45	8.53	8.38	8.42	2271105	21316162.00
2012/09/19	8.44	8.63	8.44	8.61	1920692	18159408.00
2012/09/20	8.57	8.58	8.13	8.14	3335077	30970880.00
2012/09/21	8.13	8.23	7.94	8.00	2885674	26051376.00
2012/09/24	8.01	8.14	7.88	8.07	1358467	12169099.00
2012/09/25	8.11	8.15	7.88	7.93	1563601	13935873.00
2012/09/26	7.94	7.98	7.58	7.64	2836877	24512124.00
2012/09/27	7.65	7.87	7.56	7.81	2713299	23469342.00
2012/09/28	7.72	7.95	7.69	7.94	2002135	17608712.00
2012/10/08	7.96	7.97	7.67	7.76	2343518	20427606.00
2012/10/09	7.82	8.10	7.76	8.06	3115803	27739554.00
2012/10/10	7.99	8.18	7.96	8.11	2219238	19944480.00
2012/10/11	8.12	8.13	7.86	7.88	2893729	25698116.00
2012/10/12	7.94	7.99	7.80	7.86	1666645	14683668.00
2012/10/15	7.83	7.85	7.60	7.73	1973091	16998616.00
2012/10/16	7.72	7.85	7.68	7.77	1537723	13383569.00
2012/10/17	7.79	7.82	7.64	7.81	1646257	14261460.00
2012/10/18	7.80	8.03	7.77	7.98	2858090	25253072.00
2012/10/19	7.97	7.99	7.90	7.93	1551592	13736715.00
2012/10/22	7.88	8.14	7.88	8.08	2805807	25078698.00
2012/10/23	8.08	8.22	8.01	8.03	3088818	27927056.00
2012/10/24	8.03	8.13	7.96	8.04	1822365	16350347.00
2012/10/25	8.02	8.11	7.76	7.78	1968173	17439826.00
2012/10/26	7.78	7.85	7.40	7.43	3857349	32674664.00
2012/10/29	7.41	7.51	7.33	7.44	1166349	9729065.00
2012/10/30	7.43	7.50	7.37	7.42	1159095	9677597.00
2012/10/31	7.45	7.45	7.31	7.41	1132802	9383927.00
2012/11/01	7.43	7.59	7.39	7.53	1989162	16777656.00
2012/11/02	7.53	7.57	7.47	7.55	1346788	11361566.00
2012/11/05	7.54	7.57	7.45	7.48	1144767	9630351.00
2012/11/06	7.49	7.49	7.33	7.42	1311045	10899794.00
2012/11/07	7.42	7.48	7.35	7.45	1092753	9111420.00
2012/11/08	7.41	7.42	7.16	7.17	2161200	17741376.00
2012/11/09	7.12	7.19	7.04	7.08	1593691	12773814.00
2012/11/12	7.11	7.15	7.07	7.12	790666	6345219.00
2012/11/13	7.13	7.15	6.98	6.99	1071790	8533779.00
2012/11/14	6.95	7.08	6.95	7.06	904348	7185284.00
2012/11/15	7.06	7.06	6.77	6.80	1225869	9619825.00
2012/11/16	6.78	6.80	6.66	6.73	1342620	10262888.00
2012/11/19	6.74	6.86	6.71	6.83	885201	6812208.00
2012/11/20	6.86	6.86	6.73	6.77	843728	6513634.00
2012/11/21	6.79	6.90	6.73	6.90	1160319	8998599.00
2012/11/22	6.85	6.91	6.76	6.82	1068592	8293609.00
2012/11/23	6.84	6.88	6.75	6.81	826569	6406018.00
2012/11/26	6.81	6.82	6.67	6.68	888260	6805689.00
2012/11/27	6.66	6.67	6.21	6.22	2220415	16190744.00
2012/11/28	6.22	6.23	5.93	5.96	2666755	18550456.00
2012/11/29	5.99	6.01	5.84	5.86	1439742	9863909.00
2012/11/30	5.87	5.95	5.75	5.91	1262144	8583525.00
2012/12/03	5.94	5.94	5.68	5.70	1108899	7461300.00
2012/12/04	5.70	5.92	5.62	5.87	1822211	12171278.00
2012/12/05	5.83	6.25	5.79	6.13	3403125	23823074.00
2012/12/06	6.12	6.15	5.99	6.04	1740565	12178394.00
2012/12/07	6.06	6.33	6.04	6.23	2765068	19795832.00
2012/12/10	6.23	6.43	6.19	6.39	3869391	28149518.00
2012/12/11	6.37	6.40	6.25	6.26	2758460	19940932.00
2012/12/12	6.24	6.30	6.12	6.23	2419212	17245304.00
2012/12/13	6.20	6.23	6.08	6.10	1700110	12017360.00
2012/12/14	6.10	6.65	6.10	6.53	5453246	39992556.00
2012/12/17	6.76	6.76	6.48	6.65	5257888	39659140.00
2012/12/18	6.63	6.69	6.52	6.54	3066203	23095956.00
2012/12/19	6.54	6.73	6.52	6.70	3045529	23097114.00
2012/12/20	6.64	6.82	6.60	6.78	3880607	29642212.00
2012/12/21	6.78	6.94	6.63	6.84	5342952	41290252.00
2012/12/24	6.79	6.87	6.74	6.77	2753268	21239380.00
2012/12/25	6.75	7.49	6.71	7.28	8646472	69483936.00
2012/12/26	7.22	7.92	7.19	7.80	11649385	98818032.00
2012/12/27	7.78	7.84	7.37	7.39	8409307	71241280.00
2012/12/28	7.37	7.52	7.19	7.44	6092991	50512520.00
2012/12/31	7.43	7.48	7.25	7.44	4398484	36490428.00
2013/01/04	7.50	7.53	7.26	7.39	3548221	29474416.00
2013/01/07	7.33	7.48	7.08	7.41	2899923	24027026.00
2013/01/08	7.41	7.58	7.33	7.54	4647434	39133632.00
2013/01/09	7.53	7.66	7.41	7.51	4343846	36815088.00
2013/01/10	7.46	7.59	7.41	7.47	2888699	24277932.00
2013/01/11	7.48	7.56	7.09	7.16	4400566	36275808.00
2013/01/14	7.08	7.43	7.07	7.42	4694875	38611156.00
2013/01/15	7.42	7.63	7.41	7.57	5230011	44229496.00
2013/01/16	7.55	7.75	7.46	7.68	7044304	60024392.00
2013/01/17	7.68	7.68	7.41	7.46	4433838	37389032.00
2013/01/18	7.45	7.59	7.37	7.58	3985490	33590912.00
2013/01/21	7.58	8.02	7.53	7.96	9513088	82874288.00
2013/01/22	7.96	7.96	7.64	7.76	5436532	47341372.00
2013/01/23	7.69	7.84	7.48	7.74	4072524	34967348.00
2013/01/24	7.68	7.81	7.26	7.33	6107671	51684264.00
2013/01/25	7.28	7.37	7.22	7.27	2195836	18025080.00
2013/01/28	7.27	7.49	7.27	7.46	2685107	22383982.00
2013/01/29	7.46	7.55	7.41	7.50	3080044	25854900.00
2013/01/30	7.51	7.53	7.38	7.49	2585776	21618812.00
2013/01/31	7.49	7.52	7.41	7.50	2053289	17219008.00
2013/02/01	7.48	7.70	7.44	7.63	3713961	31586180.00
2013/02/04	7.65	7.93	7.65	7.73	6210608	54017400.00
