603133 碳元科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/20	11.18	11.18	11.18	11.18	11100	125763.00
2017/03/21	12.31	12.31	12.31	12.31	5000	62300.00
2017/03/22	13.56	13.56	13.56	13.56	4945	67795.95
2017/03/23	14.93	14.93	14.93	14.93	5061	76319.88
2017/03/24	16.44	16.44	16.44	16.44	11800	195762.00
2017/03/27	18.10	18.10	18.10	18.10	11815	215623.75
2017/03/28	19.93	19.93	19.93	19.93	18500	371480.00
2017/03/29	21.94	21.94	21.94	21.94	12100	267289.00
2017/03/30	24.15	24.15	24.15	24.15	47067	1143728.13
2017/03/31	26.58	26.58	26.58	26.58	99190	2651348.75
2017/04/05	29.25	29.25	29.25	29.25	277405	8155707.00
2017/04/06	32.19	32.19	32.19	32.19	300628	9722310.00
2017/04/07	35.42	35.42	35.42	35.42	166320	5916002.50
2017/04/10	37.85	38.94	36.52	37.74	30473949	1159188608.00
2017/04/11	34.45	36.04	33.95	35.85	20987688	730569088.00
2017/04/12	34.96	35.05	32.25	32.25	15104425	506954720.00
2017/04/13	31.56	33.71	31.56	32.29	9309672	305025344.00
2017/04/14	31.50	33.81	30.65	32.55	12225671	396975264.00
2017/04/17	30.65	31.13	29.28	29.28	9756878	291396832.00
2017/04/18	28.76	29.55	27.63	27.72	7919310	225841504.00
2017/04/19	27.47	29.13	27.36	28.88	7586570	215575792.00
2017/04/20	28.35	28.97	27.43	27.83	5946057	168356432.00
2017/04/21	27.86	29.73	27.77	28.70	9019754	262524080.00
2017/04/24	28.73	28.74	26.18	27.33	7064191	193025168.00
2017/04/25	27.50	28.20	27.42	27.78	5056781	141507056.00
2017/04/26	28.00	30.57	27.99	30.57	4478742	133708064.00
2017/04/27	31.35	32.60	30.95	31.98	16630542	531214272.00
2017/04/28	31.48	33.70	31.35	32.30	13579494	443013984.00
2017/05/02	31.81	33.18	31.24	33.00	9994880	321442080.00
2017/05/03	32.85	34.30	31.88	33.60	12995737	432576000.00
2017/05/04	33.10	33.10	31.35	32.05	9628011	311793376.00
2017/05/05	31.38	32.72	30.15	30.25	8421900	268304320.00
2017/05/08	29.45	30.19	28.65	28.73	6601394	195920928.00
2017/05/09	28.56	30.40	28.56	29.90	6587807	196361200.00
2017/05/10	29.70	30.35	28.36	28.46	7113278	210544128.00
2017/05/11	28.05	31.32	27.75	31.32	10641843	327738080.00
2017/05/12	32.43	34.47	32.35	33.94	22533978	759245696.00
2017/05/15	33.60	34.73	33.14	33.80	16738388	566784896.00
2017/05/16	33.00	35.01	32.51	34.73	16231849	552490368.00
2017/05/17	34.28	36.00	33.90	34.37	15992407	559476736.00
2017/05/18	33.68	34.23	32.70	33.20	10975292	368547808.00
2017/05/19	32.95	33.85	32.01	32.48	9297289	306345824.00
2017/05/22	31.90	33.35	31.24	31.32	9583616	311272448.00
2017/05/23	30.35	30.63	28.17	28.17	11874133	346259648.00
2017/05/24	27.12	28.42	26.65	28.24	7479060	208253680.00
2017/05/25	27.87	29.05	27.53	28.73	8123159	232505584.00
2017/05/26	28.51	29.64	28.06	28.87	8750357	253349088.00
2017/05/31	30.05	30.50	27.72	27.82	8819338	260615408.00
2017/06/01	27.15	27.40	25.02	25.02	10091591	264613424.00
2017/06/02	24.85	25.93	24.36	25.67	6585706	166268144.00
2017/06/05	25.91	26.75	25.73	25.79	5572860	146659888.00
2017/06/06	25.28	25.81	25.18	25.64	3682161	94366376.00
