603157 拉夏贝尔 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/09/25	9.29	11.31	9.29	11.31	11793	140793.23
2017/09/26	12.52	12.52	12.52	12.52	14750	196470.00
2017/09/27	13.85	13.85	13.85	13.85	7793	114167.45
2017/09/28	15.32	15.32	15.32	15.32	19243	310197.16
2017/09/29	16.93	16.93	16.93	16.93	53000	939690.00
2017/10/09	18.70	18.70	18.70	18.70	115993	2261863.50
2017/10/10	20.65	20.65	20.65	20.65	210238	4509605.00
2017/10/11	22.80	22.80	22.80	22.80	119122	2811279.25
2017/10/12	25.16	25.16	25.16	25.16	135900	3527964.00
2017/10/13	27.76	27.76	26.62	27.76	18699935	529414752.00
2017/10/16	28.98	30.62	27.94	28.80	38049946	1150230784.00
2017/10/17	25.92	28.70	25.90	27.21	21372035	597357568.00
2017/10/18	26.68	27.18	25.01	25.27	18745429	505229440.00
2017/10/19	25.54	26.09	24.30	24.93	14214270	370223808.00
2017/10/20	25.10	25.45	23.70	23.94	13092974	328337888.00
2017/10/23	23.51	24.66	23.44	24.18	8620818	214611632.00
2017/10/24	23.98	24.00	23.08	23.54	10999181	267287056.00
2017/10/25	23.34	23.85	23.31	23.58	5548493	135200336.00
2017/10/26	23.40	25.05	23.00	24.61	11483606	283167328.00
2017/10/27	24.20	25.00	23.48	23.61	7755227	194520176.00
2017/10/30	23.07	23.26	21.51	21.64	7904979	181882416.00
2017/10/31	21.61	21.96	21.40	21.80	4622488	104047504.00
2017/11/01	21.89	22.49	21.62	22.02	5188063	118516096.00
2017/11/02	21.89	22.66	21.72	22.28	5443751	125543576.00
2017/11/03	22.09	22.28	21.64	21.76	3988218	90544376.00
2017/11/06	22.03	22.30	21.81	22.04	2718842	61989456.00
2017/11/07	22.09	22.09	21.15	21.39	5175286	115280144.00
2017/11/08	21.40	22.36	21.31	21.96	7606069	172723216.00
2017/11/09	21.85	22.92	21.75	22.28	7937390	184457904.00
2017/11/10	22.13	22.26	21.82	22.08	4833754	110331848.00
2017/11/13	22.11	23.05	22.11	22.33	6846362	159895296.00
2017/11/14	22.00	22.17	21.15	21.27	6576290	146722256.00
2017/11/15	21.16	21.46	20.42	21.36	6704505	144760592.00
2017/11/16	20.95	21.29	20.41	20.56	2740075	59513840.00
2017/11/17	20.41	20.68	18.66	18.73	5428745	109843488.00
2017/11/20	18.68	18.68	17.81	18.29	3400241	64480192.00
2017/11/21	18.22	18.40	17.42	17.73	3980197	74331672.00
2017/11/22	17.70	17.92	17.41	17.64	2993293	55138992.00
2017/11/23	17.64	17.75	17.18	17.20	2566199	46946472.00
2017/11/24	17.20	17.30	16.95	16.97	2176199	38939008.00
2017/11/27	16.97	17.16	16.52	16.56	2145577	37901840.00
2017/11/28	16.56	17.00	16.50	16.89	2084268	36610056.00
2017/11/29	16.88	16.94	16.08	16.43	2894488	49860596.00
2017/11/30	16.45	16.63	16.22	16.29	2030953	34988072.00
2017/12/01	16.31	16.47	16.17	16.41	1730332	29712050.00
2017/12/04	16.35	16.35	15.21	15.28	3901872	64235552.00
2017/12/05	15.24	15.38	14.23	14.38	3240051	50695324.00
2017/12/06	14.38	14.70	14.25	14.69	2763561	42246016.00
2017/12/07	14.65	15.07	14.47	14.75	2875924	44728492.00
2017/12/08	14.61	15.44	14.57	15.15	4355525	69370048.00
2017/12/11	15.10	15.36	14.92	15.29	2410980	38451460.00
2017/12/12	15.28	15.28	14.57	14.59	3173393	49619204.00
2017/12/13	14.58	14.82	14.50	14.78	1690614	26172072.00
2017/12/14	14.70	14.85	14.58	14.79	1506961	23359022.00
