603199 九华旅游 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/03/26	16.86	16.86	16.86	16.86	15900	276660.00
2015/03/27	18.60	18.60	18.60	18.60	6600	126324.00
2015/03/30	20.51	20.51	20.51	20.51	17400	366270.00
2015/03/31	22.62	22.62	22.62	22.62	62600	1449816.00
2015/04/01	24.94	24.94	24.94	24.94	159100	4053868.00
2015/04/02	27.49	27.49	27.49	27.49	193200	5415396.00
2015/04/03	30.29	30.29	30.29	30.29	557016	17172804.00
2015/04/07	33.37	33.37	33.37	33.37	558514	18939210.00
2015/04/08	36.76	36.76	36.76	36.76	449599	16770043.00
2015/04/09	40.49	40.49	38.34	40.49	13075563	533598208.00
2015/04/10	42.46	44.43	41.46	42.44	12898830	560948864.00
2015/04/13	40.48	42.46	39.80	41.70	7985866	332853856.00
2015/04/14	40.97	42.46	40.48	41.12	5511252	230851088.00
2015/04/15	40.49	41.06	38.01	38.07	5573527	221964832.00
2015/04/16	37.66	39.36	37.15	38.57	3158823	123154288.00
2015/04/17	39.05	40.44	39.02	39.82	4447144	179253424.00
2015/04/20	38.96	40.26	37.94	37.96	3800162	149870496.00
2015/04/21	37.96	39.20	37.65	39.15	2676290	104366632.00
2015/04/22	39.21	39.84	39.11	39.82	3195642	127970256.00
2015/04/23	39.96	39.96	39.22	39.64	2532446	101411032.00
2015/04/24	38.84	39.45	38.57	39.37	2146568	85093232.00
2015/04/27	39.96	42.96	39.52	42.93	6421092	269204704.00
2015/04/28	41.46	41.46	38.76	39.44	5406517	220124480.00
2015/04/29	38.96	40.04	38.76	39.85	2378497	95421944.00
2015/04/30	40.03	41.01	39.47	39.89	3360533	136749840.00
2015/05/04	39.56	39.79	38.89	39.42	1783662	71198448.00
2015/05/05	39.27	39.46	37.77	38.06	2036626	79934768.00
2015/05/06	38.25	38.96	38.12	38.60	1885557	73745168.00
2015/05/07	38.12	38.56	37.51	37.67	1514758	58016268.00
2015/05/08	37.72	38.96	37.72	38.93	1875607	73275688.00
2015/05/11	39.31	42.06	38.97	41.47	5013343	207036096.00
2015/05/12	41.84	43.45	41.04	42.24	4692952	200992400.00
2015/05/13	41.46	46.51	41.08	44.80	6183006	277427616.00
2015/05/14	46.46	47.96	44.56	47.46	5771721	272618976.00
2015/05/15	46.96	48.96	44.48	47.49	6475667	303214592.00
2015/05/18	46.86	52.29	46.47	52.29	6262127	318862848.00
2015/05/19	54.46	57.56	50.34	51.57	6871696	368784544.00
2015/05/20	51.02	53.33	50.02	50.84	5141173	270816864.00
2015/05/21	50.46	51.06	49.05	50.37	4031162	203361040.00
2015/05/22	51.56	55.46	49.34	55.46	5819029	306954784.00
2015/05/25	53.96	60.96	52.48	59.40	6439836	377467840.00
2015/05/26	59.36	65.39	58.76	65.39	5365480	339036320.00
2015/05/27	66.66	71.98	65.36	71.98	5713401	397876256.00
2015/05/28	74.46	79.23	64.73	64.74	8736919	678070464.00
2015/05/29	61.46	67.97	58.21	62.31	7620670	479717280.00
2015/06/01	62.15	62.15	57.34	60.62	5174445	312817632.00
2015/06/02	62.42	62.43	58.96	60.96	4562952	279504416.00
2015/06/03	60.79	64.96	60.04	62.04	4948920	313343360.00
2015/06/04	62.41	62.94	55.78	57.83	4804016	278839104.00
2015/06/05	58.46	60.02	53.99	56.54	3587635	209454704.00
2015/06/08	57.34	57.34	53.99	56.22	4117259	228671856.00
2015/06/09	55.45	57.56	55.27	57.27	3806949	217575200.00
2015/06/10	57.26	62.46	56.37	60.97	4619878	278894048.00
2015/06/11	60.41	62.88	59.46	61.95	3686480	229484224.00
2015/06/12	61.46	61.92	59.67	60.65	3553061	217083968.00
2015/06/15	60.06	60.16	55.46	55.64	3752495	215959392.00
2015/06/16	56.46	56.63	54.14	56.13	2713341	151640944.00
2015/06/17	55.47	57.06	54.36	56.33	2268099	127496920.00
2015/06/18	55.46	55.96	53.26	53.44	2250640	123977880.00
2015/06/19	53.36	53.36	48.04	48.12	1934011	96337152.00
2015/06/23	47.13	49.18	44.71	49.04	2141051	102860464.00
2015/06/24	49.26	50.43	49.14	49.72	2521579	126574936.00
2015/06/25	49.71	49.72	45.76	46.53	1473552	71324536.00
2015/06/26	45.26	45.91	41.82	41.82	1700999	73807296.00
2015/06/29	43.26	44.47	37.58	42.96	4256374	181044272.00
2015/06/30	42.33	46.94	38.96	46.67	2764800	119862912.00
2015/07/01	46.16	47.58	44.83	46.68	2859875	134254656.00
2015/07/02	47.56	51.40	46.13	51.16	7673599	390868288.00
2015/07/03	49.23	54.11	47.56	49.48	3236406	164172928.00
2015/07/06	52.76	53.76	44.48	46.32	2769325	139814992.00
2015/07/07	44.96	48.46	41.63	47.77	3928238	169216720.00
2015/07/08	42.94	47.50	42.94	44.40	2551489	114054136.00
2015/07/09	45.44	48.89	43.46	48.89	3234674	153273168.00
2015/07/10	50.31	53.83	50.04	53.83	3877545	209619856.00
2015/07/13	55.46	59.27	53.97	59.26	6575837	381855712.00
2015/07/14	57.47	58.46	54.15	54.59	4343701	247069072.00
2015/07/15	52.08	56.58	49.09	51.83	3722690	195786688.00
2015/07/16	49.58	53.99	48.60	51.58	3316201	173187152.00
2015/07/17	51.59	54.35	51.59	54.04	3682607	197225280.00
2015/07/20	53.58	55.76	50.58	54.83	3655152	196682608.00
2015/07/21	53.20	57.25	52.08	56.56	3476739	194393088.00
2015/07/22	56.58	57.08	53.08	54.14	2721992	150760016.00
2015/07/23	54.47	59.60	52.99	59.60	5043447	286894400.00
2015/07/24	59.38	62.58	56.59	59.55	5353763	316857536.00
2015/07/27	57.38	62.08	53.55	53.55	4495495	266463472.00
2015/07/28	48.18	54.46	48.15	53.20	3987264	202037648.00
2015/07/29	52.93	55.68	49.83	55.56	3028373	162363040.00
2015/07/30	55.58	58.48	51.60	53.58	4474590	256026480.00
2015/07/31	51.95	53.57	50.46	52.75	2735929	142526000.00
2015/08/03	51.58	51.58	47.59	48.15	2372150	117845048.00
2015/08/04	48.18	52.58	47.60	51.97	1659113	84851192.00
2015/08/05	51.28	53.62	50.13	52.17	1914750	100264696.00
2015/08/06	51.43	53.06	50.17	52.25	1654889	86230216.00
2015/08/07	51.92	55.08	51.92	54.68	1603183	86780192.00
2015/08/10	55.98	57.94	54.78	57.12	2867876	164327136.00
2015/08/11	57.28	61.58	56.28	58.39	4880614	288958208.00
2015/08/12	57.46	64.21	56.58	63.57	6722459	405934528.00
2015/08/13	61.58	64.94	60.66	63.90	4179799	262932256.00
2015/08/14	63.64	64.58	60.58	63.31	3639611	230694656.00
2015/08/17	62.53	62.53	60.09	62.18	2501047	154414512.00
2015/08/18	60.76	61.58	56.08	56.96	3674814	220225760.00
2015/08/19	56.49	58.81	52.58	58.69	2737339	153590288.00
2015/08/20	56.68	60.05	55.64	58.92	3017282	177803792.00
2015/08/21	57.56	59.28	55.58	58.56	3723195	218277904.00
2015/08/24	54.58	57.25	52.66	52.80	1549435	82881384.00
2015/08/25	48.08	55.24	47.48	50.90	3751042	182885872.00
2015/08/26	48.91	54.84	48.91	50.44	3289517	171797792.00
2015/08/27	50.58	53.55	49.59	53.40	4225340	220731520.00
2015/08/28	53.42	56.03	51.08	55.67	3816129	204849984.00
2015/08/31	54.09	60.45	52.98	58.51	4451975	256074848.00
2015/09/01	57.58	60.35	52.62	56.55	5682114	327829312.00
2015/09/02	50.88	55.28	50.85	50.85	7377693	382421920.00
2015/09/07	45.83	50.78	45.72	45.72	8342972	400608672.00
2015/09/08	42.68	45.76	41.11	45.39	8683768	377334016.00
2015/09/09	44.09	49.18	41.58	48.67	8657798	411133280.00
2015/09/10	46.58	51.87	45.61	51.66	7290913	361830848.00
2015/09/11	51.55	53.58	50.28	52.24	8146440	426925568.00
2015/09/14	52.24	55.05	49.58	49.79	9391110	500908480.00
2015/09/15	46.78	47.58	44.77	44.77	3058242	140649856.00
2015/09/16	44.77	48.90	41.12	44.83	8780039	401051648.00
2015/09/17	43.98	45.03	41.18	41.24	6375643	280057856.00
2015/09/18	41.12	42.95	40.59	42.18	4136724	174463072.00
2015/09/21	41.98	44.87	41.19	44.81	4747218	209293440.00
2015/09/22	44.91	45.38	42.59	43.16	4974071	219484176.00
2015/09/23	41.58	42.75	41.46	41.68	2744762	116418528.00
2015/09/24	41.97	43.33	41.97	42.86	2927782	126230968.00
2015/09/25	42.86	42.86	40.38	40.47	2958955	123580664.00
2015/09/28	40.65	41.96	40.58	41.78	2247701	94148200.00
2015/09/29	41.43	41.78	40.48	40.61	1921584	79644208.00
2015/09/30	41.18	41.55	39.68	40.54	1632354	66856008.00
2015/10/08	41.78	42.21	41.15	41.97	2492975	105001888.00
2015/10/09	41.98	41.98	41.32	41.64	2028430	85249464.00
2015/10/12	41.77	43.96	41.77	43.12	3816505	165096544.00
2015/10/13	42.78	43.68	42.44	43.24	3058697	133071840.00
2015/10/14	42.97	43.88	42.80	43.31	3039717	133236320.00
2015/10/15	43.06	45.21	42.90	44.98	4130327	184250832.00
2015/10/16	45.31	45.81	43.59	44.47	4591061	207387968.00
2015/10/19	44.47	44.98	43.35	43.77	3165289	141141408.00
2015/10/20	43.44	44.53	43.28	44.39	2636881	117344320.00
2015/10/21	44.48	45.14	40.08	40.19	3631410	157035824.00
2015/10/22	40.38	41.37	39.79	41.14	2704819	111225320.00
