603228 景旺电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/01/06	32.25	32.25	32.25	32.25	25386	846623.13
2017/01/09	35.59	35.59	35.59	35.59	7592	278550.47
2017/01/10	39.26	39.26	39.26	39.26	9300	375348.00
2017/01/11	43.30	43.30	43.30	43.30	50295	2233098.00
2017/01/12	47.74	47.74	42.91	43.33	22151104	1017572224.00
2017/01/13	41.85	45.85	39.59	42.65	18601352	804472576.00
2017/01/16	41.18	44.68	40.68	44.35	17605959	784102848.00
2017/01/17	43.90	48.90	43.71	47.31	22101888	1050889344.00
2017/01/18	46.21	46.62	43.10	43.36	17726947	818988160.00
2017/01/19	42.01	44.59	42.01	42.72	9015188	398897024.00
2017/01/20	42.67	45.25	42.46	44.26	9134816	413183616.00
2017/01/23	44.41	45.31	43.61	43.80	8404616	382473184.00
2017/01/24	43.71	43.85	41.13	42.13	11010787	475867136.00
2017/01/25	41.58	43.20	41.41	42.68	6814114	297710528.00
2017/01/26	42.71	42.98	41.78	42.10	6289276	272192640.00
2017/02/03	42.14	43.03	41.79	42.44	5494071	238839216.00
2017/02/06	42.90	45.36	42.70	44.93	10336710	466691520.00
2017/02/07	44.41	44.85	43.77	44.27	6647902	301143296.00
2017/02/08	44.28	45.59	44.18	45.07	8622722	397352352.00
2017/02/09	44.78	46.55	44.68	45.05	9421208	439193248.00
2017/02/10	45.06	45.19	43.55	43.59	7286845	329810688.00
2017/02/13	43.41	46.20	43.41	45.49	8591259	396602496.00
2017/02/14	45.30	46.68	45.30	45.77	7624498	357902912.00
2017/02/15	46.03	48.87	46.03	46.58	14398977	697876288.00
2017/02/16	45.95	51.35	45.41	49.09	13913262	680600064.00
2017/02/17	48.40	50.55	47.45	47.71	11947012	596344000.00
2017/02/20	47.58	48.15	45.10	46.86	8443311	400297888.00
2017/02/21	46.40	48.20	46.28	48.10	8229773	398380960.00
2017/02/22	47.87	48.11	46.50	47.40	7215638	348873664.00
2017/02/23	47.03	49.28	47.03	48.55	9904657	489600000.00
2017/02/24	48.48	50.23	48.20	49.05	9823441	495105184.00
2017/02/27	48.52	50.28	47.82	47.90	7600984	379900352.00
2017/02/28	47.48	51.54	47.48	50.85	12480437	634254208.00
2017/03/01	50.68	50.70	49.39	49.92	8004177	408238304.00
2017/03/02	49.77	51.70	49.33	50.44	9814892	506740832.00
2017/03/03	49.90	51.68	49.11	50.67	7289915	375579392.00
2017/03/06	50.70	53.17	50.69	52.02	7983500	423987200.00
2017/03/07	51.62	52.78	51.16	51.83	6920822	366402624.00
