603238 诺邦股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/02/22	18.97	18.97	18.97	18.97	17200	329724.00
2017/02/23	20.89	20.89	20.89	20.89	4200	88578.00
2017/02/24	23.00	23.00	23.00	23.00	5426	125883.20
2017/02/27	25.32	25.32	25.32	25.32	15800	403216.00
2017/02/28	27.87	27.87	27.87	27.87	23050	647013.50
2017/03/01	30.68	30.68	30.68	30.68	16800	518784.00
2017/03/02	33.77	33.77	33.77	33.77	60753	2063779.38
2017/03/03	37.17	37.17	37.17	37.17	147800	5523286.00
2017/03/06	40.91	40.91	40.91	40.91	1082282	44492612.00
2017/03/07	45.02	45.02	45.02	45.02	584590	26435160.00
2017/03/08	49.54	49.54	49.54	49.54	326528	16241503.00
2017/03/09	50.41	54.45	49.83	53.73	20161232	1069336192.00
2017/03/10	50.80	51.30	48.68	48.70	11472735	573522624.00
2017/03/13	47.73	48.60	45.80	48.15	8083456	382216192.00
2017/03/14	47.78	50.10	47.08	48.44	7186582	352258592.00
2017/03/15	48.41	48.41	46.70	47.78	5012308	238602240.00
2017/03/16	47.84	49.79	47.80	49.37	8503469	417936544.00
2017/03/17	48.55	51.30	48.34	51.15	11068237	556287872.00
2017/03/20	50.32	51.66	49.82	51.07	6710589	341173856.00
2017/03/21	50.79	51.64	50.25	51.45	7177659	367912800.00
2017/03/22	50.78	52.03	50.32	51.62	7353128	378022912.00
2017/03/23	51.64	51.64	46.60	49.04	7355388	368535456.00
2017/03/24	48.25	49.73	48.08	49.12	4056693	200125712.00
2017/03/27	49.48	49.48	48.33	48.88	2987611	146749424.00
2017/03/28	48.80	49.29	46.80	46.87	4095861	197699200.00
2017/03/29	46.29	46.59	42.60	42.82	5813169	257464016.00
2017/03/30	42.70	42.70	40.06	40.58	4617348	190002096.00
2017/03/31	40.33	41.30	39.30	39.56	3656126	147803872.00
2017/04/05	39.56	40.96	38.85	40.76	3160922	127441680.00
2017/04/06	40.76	42.16	40.29	41.49	3420198	143078224.00
2017/04/07	41.75	41.75	39.93	40.03	2735204	111771680.00
2017/04/10	39.65	39.65	36.10	36.15	4352957	164427552.00
2017/04/11	35.82	37.46	35.81	37.44	2679216	98913808.00
2017/04/12	37.26	37.79	36.30	36.38	2144627	79900288.00
2017/04/13	36.30	37.00	36.30	36.60	1403761	51762212.00
2017/04/14	36.41	36.63	35.80	35.85	1531392	55424588.00
2017/04/17	34.67	34.67	32.30	32.33	2587455	85868296.00
2017/04/18	32.41	32.97	31.50	31.50	1644976	53302228.00
2017/04/19	31.04	32.83	31.02	32.65	2307830	74294624.00
2017/04/20	32.52	32.89	31.55	32.02	1635921	52818016.00
2017/04/21	32.20	32.50	31.90	32.02	1262948	40886704.00
2017/04/24	32.10	32.10	30.10	31.22	1214962	38057176.00
2017/04/25	31.65	32.15	31.28	31.58	1131978	36101764.00
2017/04/26	31.49	32.55	31.48	31.68	2153092	69589104.00
2017/04/27	31.48	33.30	30.42	33.26	3781437	121806104.00
2017/04/28	32.81	33.40	32.52	32.97	2119223	70324048.00
2017/05/02	32.79	33.10	32.58	32.67	1203675	39683156.00
2017/05/03	32.40	33.05	32.00	32.84	1717128	56248032.00
2017/05/04	32.59	32.77	31.86	31.87	1636802	53235716.00
2017/05/05	31.57	31.67	30.68	30.72	1842974	57899032.00
2017/05/08	30.25	30.57	28.98	29.10	1351720	40820608.00
2017/05/09	29.05	30.10	28.70	29.76	1365584	40474748.00
2017/05/10	29.88	30.28	28.87	28.93	1436255	42862012.00
2017/05/11	28.48	29.30	27.86	29.18	1650306	47433864.00
2017/05/12	29.10	29.55	28.64	29.28	1417312	41612108.00
2017/08/23	31.89	32.22	31.22	32.22	1039636	33382008.00
2017/08/24	33.53	35.45	32.61	32.78	7356465	251800432.00
2017/08/25	31.40	34.34	30.40	33.09	5526175	177469360.00
2017/08/28	32.40	33.75	31.99	32.98	4851437	159705312.00
2017/08/29	32.70	32.83	31.98	32.04	3520931	114212352.00
2017/08/30	31.25	32.09	30.59	30.81	2754849	86637272.00
2017/08/31	30.92	31.48	30.81	31.27	2070940	64819060.00
2017/09/01	31.51	31.55	30.46	30.58	2092648	64865168.00
2017/09/04	30.49	30.49	29.50	29.56	2259260	67655312.00
2017/09/05	29.51	30.37	29.51	30.19	1667255	50117784.00
2017/09/06	30.31	30.31	29.65	29.85	1142750	34248172.00
2017/09/07	30.12	30.68	29.94	30.32	2022489	61699780.00
2017/09/08	30.40	30.84	30.40	30.74	1784343	54865668.00
2017/09/11	31.07	31.27	30.73	31.24	1847354	57474860.00
2017/09/12	31.40	31.69	30.32	30.43	2074477	64524444.00
2017/09/13	30.53	30.53	30.01	30.35	979669	29708154.00
2017/09/14	30.38	30.43	30.01	30.10	951100	28800032.00
2017/09/15	30.00	30.29	29.71	29.82	890777	26840088.00
2017/09/18	29.93	30.13	29.72	29.98	708495	21256868.00
2017/09/19	29.99	30.28	29.91	29.92	978428	29535486.00
2017/09/20	30.08	30.18	29.57	30.15	1080971	32436582.00
2017/09/21	30.21	30.23	29.71	29.77	858376	25795068.00
2017/09/22	30.00	30.00	29.10	29.87	1061096	31394418.00
2017/09/25	29.79	29.87	28.80	28.81	1014244	29925220.00
2017/09/26	28.70	28.90	27.93	28.15	1036502	29356084.00
2017/09/27	28.10	28.68	28.10	28.34	552996	15774020.00
2017/09/28	28.34	28.65	27.95	28.05	665927	18942822.00
2017/09/29	28.21	28.70	28.05	28.64	847645	24181692.00
2017/10/09	29.10	29.30	28.75	28.92	652850	18962704.00
2017/10/10	28.91	29.48	28.80	29.36	829650	24239814.00
2017/10/11	29.23	29.53	28.92	29.04	979754	28651296.00
2017/10/12	29.29	29.58	29.10	29.34	1112072	32747804.00
