603239 浙江仙通 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/12/30	9.78	9.78	9.78	9.78	13024	409604.81
2017/01/03	10.83	10.83	10.83	10.83	2408	83316.80
2017/01/04	11.99	11.99	11.99	11.99	2734	104056.04
2017/01/05	13.26	13.26	13.26	13.26	14154	592628.00
2017/01/06	14.65	14.65	14.65	14.65	18492	851741.50
2017/01/09	16.19	16.19	16.19	16.19	72194	3658070.00
2017/01/10	17.88	17.88	16.80	17.30	13641243	737376192.00
2017/01/11	16.63	17.03	15.93	16.16	8456867	436230112.00
2017/01/12	16.40	17.14	16.13	16.40	6316747	329767296.00
2017/01/13	16.14	16.56	15.37	15.77	4975083	248611200.00
2017/01/16	15.64	16.96	15.64	16.52	5436546	277976832.00
2017/01/17	16.43	18.16	16.13	17.30	7141901	378033024.00
2017/01/18	16.97	17.53	16.73	17.27	4429271	236853760.00
2017/01/19	16.96	17.77	16.78	17.07	3795860	203940160.00
2017/01/20	16.81	17.91	16.72	17.82	4594264	251380144.00
2017/01/23	17.90	19.30	17.64	19.04	4777733	277040768.00
2017/01/24	19.02	19.63	18.69	19.28	4171496	250319296.00
2017/01/25	19.57	21.28	19.03	21.28	3524174	222427072.00
2017/01/26	21.62	21.96	20.63	21.48	3452599	227669600.00
2017/02/03	21.29	21.43	20.23	20.27	2615481	169337568.00
2017/02/06	20.57	21.15	20.33	21.12	2745588	176054752.00
2017/02/07	20.92	20.97	20.28	20.35	1979130	126771792.00
2017/02/08	20.36	20.86	19.98	20.75	1308156	83563192.00
2017/02/09	20.70	21.16	20.56	20.60	1364543	88067432.00
2017/02/10	20.66	20.73	19.67	20.10	1727629	107826160.00
2017/02/13	19.89	22.18	19.81	22.18	3592214	240371088.00
2017/02/14	22.15	22.18	21.52	21.75	2034923	137214720.00
2017/02/15	21.78	23.07	21.64	22.27	2532240	175724640.00
2017/02/16	22.04	22.77	21.67	22.73	1506538	102901280.00
2017/02/17	22.50	23.78	22.32	22.49	1786416	126527688.00
2017/02/20	22.36	22.87	20.92	22.04	1675552	113414224.00
2017/02/21	22.06	23.23	21.81	22.89	1148117	80474752.00
2017/02/22	22.93	25.22	22.79	24.40	2530946	188081808.00
2017/02/23	24.15	25.96	23.74	25.67	2307135	175794944.00
2017/02/24	25.59	26.46	24.80	25.01	1876166	147691824.00
2017/02/27	24.97	26.96	24.57	26.88	2358327	188564944.00
2017/02/28	26.85	28.29	26.65	27.18	1622161	135684256.00
2017/03/01	26.97	27.93	26.50	27.25	1523235	126237784.00
2017/03/02	26.81	27.65	26.30	26.77	1359424	112808840.00
2017/03/03	26.50	27.47	26.47	27.37	1112328	92380712.00
2017/03/06	27.54	27.57	27.01	27.16	870622	73028240.00
2017/03/07	26.89	27.63	26.89	27.20	836988	70087272.00
2017/03/08	27.30	27.46	26.50	26.99	872213	72201296.00
2017/03/09	27.03	28.39	27.03	28.35	1447052	124215400.00
2017/03/10	28.32	28.63	26.64	26.75	1334519	113313688.00
2017/03/13	26.47	27.61	26.47	27.41	1081543	90379264.00
2017/03/14	27.48	27.93	27.03	27.81	716272	60610268.00
2017/03/15	27.95	29.29	27.83	29.23	1493483	132241584.00
2017/03/16	28.67	29.78	28.67	29.10	1080572	96210680.00
2017/03/17	29.11	29.16	28.42	28.69	842920	74407632.00
2017/03/20	29.07	29.78	28.65	29.39	953607	86033840.00
2017/03/21	29.38	30.92	29.38	30.75	1083458	100734472.00
2017/03/22	30.57	31.43	30.17	31.08	945376	89098480.00
2017/03/23	30.97	32.15	30.74	32.12	1012279	97749296.00
2017/03/24	32.27	33.22	31.83	32.16	1168380	116251160.00
2017/03/27	32.00	33.13	31.57	32.17	1151900	113649288.00
2017/03/28	32.23	32.93	31.80	32.71	1133868	112828112.00
2017/03/29	32.92	32.97	31.30	32.19	1194552	116746376.00
2017/03/30	31.63	32.61	31.13	32.28	1196082	116396928.00
2017/04/05	33.89	33.89	29.97	32.10	1495992	147235680.00
2017/04/06	32.47	33.47	32.13	33.42	1342170	135205856.00
2017/04/07	33.40	35.46	33.02	34.76	2065323	219438800.00
2017/04/10	34.23	34.63	31.21	31.27	2704604	266802928.00
2017/04/11	29.98	31.73	28.64	30.04	2195763	202060944.00
2017/04/12	29.97	30.39	29.63	29.79	1090209	100581176.00
2017/04/13	29.72	30.83	29.37	29.97	810609	75332152.00
2017/04/14	29.66	30.26	28.70	28.78	1097825	98885976.00
2017/04/17	27.47	28.90	27.13	28.68	1154311	99713072.00
2017/04/18	28.69	30.76	28.69	30.31	1367092	126067664.00
2017/04/19	30.34	30.95	29.72	30.64	779524	73058080.00
2017/04/20	30.86	31.30	29.63	30.12	1034441	96404536.00
2017/04/21	30.03	30.23	29.23	29.47	1458478	132050744.00
2017/04/24	29.30	31.30	29.30	30.35	977860	90739312.00
2017/04/25	30.19	31.63	30.19	31.55	1534919	146231936.00
2017/04/26	31.47	32.62	30.97	32.53	1300946	128268704.00
2017/04/27	32.23	33.40	31.97	33.08	1361312	136235216.00
2017/04/28	33.07	33.63	32.69	33.05	1052200	107115760.00
2017/05/02	33.63	34.03	32.36	32.91	1478307	149959744.00
2017/05/03	32.64	33.95	32.43	33.17	1811157	183808880.00
2017/05/04	33.10	33.10	31.00	31.59	2156681	210459600.00
2017/05/05	30.89	33.59	30.89	32.92	2338257	233124320.00
