603289 泰瑞机器 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/10/31	8.58	8.58	8.58	8.58	12792	144293.77
2017/11/01	9.45	9.45	9.45	9.45	4100	50881.00
2017/11/02	10.40	10.40	10.40	10.40	12100	165165.00
2017/11/03	11.45	11.45	11.45	11.45	12697	190708.94
2017/11/06	12.61	12.61	12.61	12.61	27220	449674.41
2017/11/07	13.88	13.88	13.88	13.88	65114	1183121.38
2017/11/08	15.28	15.28	15.28	15.28	113659	2272043.50
2017/11/09	16.82	16.82	16.82	16.82	179218	3941003.75
2017/11/10	18.51	18.51	18.51	18.51	518267	12536879.00
2017/11/13	20.37	20.37	20.37	20.37	503091	13387252.00
2017/11/14	22.21	22.21	21.07	21.68	34112214	966731584.00
2017/11/15	20.08	21.48	19.51	20.47	25062607	655284224.00
2017/11/16	19.52	20.21	18.42	18.42	18168706	456747008.00
2017/11/17	17.97	18.27	16.57	16.57	14418479	326378112.00
2017/11/20	16.07	16.40	15.64	16.12	9050994	189756416.00
2017/11/21	16.06	16.95	14.99	16.54	14511663	302267232.00
2017/11/22	16.05	16.38	15.59	15.80	8883885	185987936.00
2017/11/23	15.36	16.42	15.21	15.58	10081653	208874960.00
2017/11/24	15.28	16.28	15.28	15.51	8206999	168784656.00
2017/11/27	15.53	15.67	14.55	14.62	7693014	150857952.00
2017/11/28	14.68	15.21	14.64	14.79	5904205	114889208.00
2017/11/29	14.79	15.41	13.90	15.26	12183818	232352240.00
2017/11/30	15.28	16.80	15.13	16.32	19542174	415384544.00
2017/12/01	15.63	16.05	15.42	15.58	13378512	274835232.00
2017/12/04	15.15	15.19	14.01	14.01	10706154	202087152.00
2017/12/05	13.78	14.05	13.03	13.22	6591657	116875016.00
2017/12/06	13.28	13.72	13.12	13.68	5229876	91770568.00
2017/12/07	13.48	13.69	13.32	13.38	4251363	75043648.00
2017/12/08	13.44	14.03	13.38	13.62	5562491	99979568.00
2017/12/11	13.45	13.75	13.45	13.63	3765712	67092036.00
2017/12/12	13.59	13.59	12.78	12.79	5225862	89950464.00
2017/12/13	12.78	13.03	12.71	12.88	3157917	53262980.00
2017/12/14	12.83	13.21	12.72	13.07	4299217	73224056.00
2017/12/15	12.95	13.32	12.85	12.96	4165433	71400248.00
