603323 吴江银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/11/29	6.11	7.37	6.11	7.37	77312	755830.06
2016/11/30	8.13	8.13	8.13	8.13	33933	367155.06
2016/12/01	8.96	8.96	8.96	8.96	65900	784210.00
2016/12/02	9.87	9.87	9.87	9.87	210899	2760668.00
2016/12/05	10.88	10.88	10.88	10.88	573437	8257493.00
2016/12/06	11.99	11.99	11.99	11.99	567725	8992764.00
2016/12/07	13.20	13.20	12.89	13.20	24815739	432109984.00
2016/12/08	13.69	14.54	13.42	14.54	71029163	1312026368.00
2016/12/09	14.19	14.19	13.22	13.41	62798708	1132111488.00
2016/12/12	13.23	13.77	12.57	12.66	40303686	701620288.00
2016/12/13	12.50	12.75	12.27	12.54	25583994	422445760.00
2016/12/14	12.42	12.84	12.21	12.26	25006285	413265504.00
2016/12/15	12.11	12.41	11.97	12.14	20116872	323254112.00
2016/12/16	12.16	12.37	11.98	12.07	15100664	242147680.00
2016/12/19	12.10	12.16	11.66	12.03	17170078	270430944.00
2016/12/20	11.96	12.17	11.87	12.03	12172197	193406912.00
2016/12/21	12.06	12.16	11.88	12.01	12402933	197063136.00
2016/12/22	12.01	12.11	11.72	11.95	12678551	200228736.00
2016/12/23	11.87	12.30	11.77	11.90	16490818	262296464.00
2016/12/26	11.64	12.41	11.57	12.34	19201599	306215008.00
2016/12/27	12.20	12.37	12.12	12.29	8235554	133416072.00
2016/12/28	12.27	12.33	12.18	12.27	5872356	95033632.00
2016/12/29	12.25	12.40	12.17	12.20	6602449	107229376.00
2016/12/30	12.11	12.27	11.68	11.70	10095093	159419184.00
2017/01/03	11.71	12.01	11.63	11.87	12013614	188627472.00
2017/01/04	11.83	11.90	11.72	11.78	7349796	114572920.00
2017/01/05	11.80	11.90	11.73	11.77	5533027	86301320.00
2017/01/06	11.75	11.87	11.57	11.60	4960020	76944696.00
2017/01/09	11.57	11.69	11.34	11.43	6447599	98025576.00
2017/01/10	11.43	11.46	11.20	11.27	5478578	82052256.00
2017/01/11	11.23	11.39	11.13	11.24	5404572	80526520.00
2017/01/12	11.20	11.30	10.95	10.99	4200926	61894712.00
2017/01/13	10.90	10.96	10.51	10.53	7602020	107955360.00
2017/01/16	10.50	10.53	9.77	9.93	7518574	101243712.00
2017/01/17	9.88	10.10	9.69	10.00	4850954	63781496.00
2017/01/18	9.93	9.96	9.80	9.83	3754355	49121480.00
2017/01/19	9.73	10.02	9.27	9.83	5148276	67253160.00
