603326 我乐家居 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/06/16	8.34	10.04	8.34	10.04	18494	262562.75
2017/06/19	11.05	11.05	11.05	11.05	6786	106065.18
2017/06/20	12.16	12.16	12.16	12.16	20141	346223.78
2017/06/21	13.39	13.39	13.39	13.39	23580	445897.81
2017/06/22	14.74	14.74	14.74	14.74	206196	4288877.00
2017/06/23	16.23	16.23	16.23	16.23	1745040	39926516.00
2017/06/26	16.31	17.81	16.31	16.85	23575420	561787264.00
2017/06/27	16.31	16.63	15.60	15.76	16007050	360515968.00
2017/06/28	15.31	17.28	15.05	16.40	20984429	486400896.00
2017/06/29	15.74	18.05	15.46	18.05	22728484	543739584.00
2017/06/30	17.74	19.86	17.74	19.86	20069470	549356928.00
2017/07/03	19.81	20.72	19.18	20.60	25555621	717848640.00
2017/07/04	20.15	20.35	19.39	19.81	18062430	503785536.00
2017/07/05	19.71	20.31	19.41	19.71	18812626	525356448.00
2017/07/06	19.46	20.73	18.96	20.05	22849071	644567232.00
2017/07/07	19.43	19.51	18.63	18.69	18502511	494665280.00
2017/07/10	18.06	18.30	16.81	17.19	15329834	374614880.00
2017/07/11	17.06	17.42	16.58	17.34	10640812	255006368.00
2017/07/12	17.04	17.99	16.87	17.73	11440748	281978496.00
2017/07/13	17.48	17.56	16.19	16.44	11123849	263081152.00
2017/07/14	16.48	16.74	15.81	15.94	6817310	156364528.00
2017/07/17	15.46	15.56	14.34	14.34	7202049	150329696.00
2017/07/18	14.17	14.85	13.86	14.50	6512551	131993328.00
2017/07/19	14.25	14.69	14.14	14.51	5780175	117964776.00
2017/07/20	14.34	14.79	14.18	14.20	5835525	119207728.00
2017/07/21	14.03	14.34	13.86	14.02	4931115	97816120.00
2017/07/24	13.85	14.58	13.61	14.36	6706035	133616088.00
2017/07/25	14.21	14.36	13.98	14.06	4544076	90635088.00
2017/07/26	14.00	14.24	13.48	13.66	4261372	83306024.00
2017/07/27	13.76	14.31	13.54	14.07	6158440	121706720.00
2017/07/28	13.96	14.06	13.61	13.64	4975972	96983320.00
2017/07/31	13.56	13.74	13.54	13.56	3245895	62381468.00
2017/08/02	13.67	13.78	12.99	13.02	4612834	87006128.00
2017/08/03	12.92	13.24	12.84	13.11	3633925	67001184.00
2017/08/04	13.10	13.17	12.64	12.74	3468938	63286852.00
2017/08/07	12.83	13.29	12.75	12.92	3314618	61050456.00
2017/08/08	12.76	13.24	12.76	13.05	3431188	63283740.00
2017/08/09	12.98	13.19	12.96	13.05	2400684	44315556.00
2017/08/10	13.10	13.13	12.60	12.69	3346932	60514076.00
2017/08/11	12.47	12.71	12.40	12.44	2160670	38315612.00
2017/08/14	12.41	12.63	12.32	12.59	1912338	33933232.00
2017/08/15	12.66	12.97	12.60	12.89	2998224	54288812.00
2017/08/16	12.89	13.16	12.80	13.08	3554640	65335540.00
2017/08/17	13.06	13.16	12.87	13.02	2845311	52302360.00
2017/08/18	12.92	13.15	12.89	12.96	2286392	41936992.00
2017/08/21	13.05	13.31	12.96	13.28	3152585	58703524.00
2017/08/22	13.31	13.71	13.14	13.26	4019157	76069584.00
2017/08/23	13.19	13.69	13.01	13.48	5037897	95110408.00
2017/08/24	13.33	14.14	13.28	13.65	6808494	131509208.00
2017/08/25	13.49	14.16	13.49	14.14	7649235	150199312.00
2017/08/28	15.57	15.57	15.57	15.57	3022894	66382752.00
2017/08/29	16.31	17.14	15.96	16.59	21143735	494776384.00
2017/08/30	15.81	16.49	15.58	15.88	12113902	272384736.00
2017/08/31	15.74	16.48	15.73	16.24	10349801	236015072.00
2017/09/01	16.21	16.25	15.61	15.68	7747067	172307808.00
2017/09/04	15.53	15.53	14.97	15.13	6662255	142445344.00
2017/09/05	15.04	15.51	14.76	15.46	5945773	127756448.00
2017/09/06	15.31	15.37	14.99	15.31	4045093	86823536.00
2017/09/07	15.26	15.69	15.08	15.16	5244663	114249792.00
2017/09/08	15.18	15.47	14.99	15.19	3932852	84428896.00
2017/09/11	15.10	15.78	14.93	15.71	5240601	113644136.00
2017/09/12	15.69	15.69	15.17	15.21	4468618	96768040.00
2017/09/13	15.19	15.33	15.02	15.17	2210199	47220632.00
2017/09/14	15.13	15.21	15.04	15.05	2334700	49777432.00
2017/09/15	15.02	15.14	14.54	14.55	3325906	69249216.00
2017/09/18	14.38	14.64	14.24	14.59	2142676	43733680.00
2017/09/19	14.64	14.89	14.60	14.67	1736152	36115116.00
2017/09/20	14.67	14.94	14.46	14.88	2229096	46451488.00
2017/09/21	14.88	14.96	14.60	14.65	1802317	37622240.00
2017/09/22	14.48	14.89	14.39	14.71	2257622	46673916.00
2017/09/25	14.71	15.16	14.71	14.97	3275842	69405872.00
2017/09/26	14.97	15.05	14.39	14.56	2693915	55585776.00
2017/09/27	14.41	14.70	14.40	14.56	1380055	28413330.00
2017/09/28	14.50	14.76	14.49	14.61	1652501	34212600.00
2017/09/29	14.61	14.88	14.61	14.80	1922092	40083024.00
2017/10/09	15.14	15.14	14.82	14.88	1982860	41790968.00
2017/10/10	14.90	15.59	14.84	15.39	5270918	113454632.00
2017/10/11	15.28	16.06	15.21	16.05	9019569	200334592.00
2017/10/12	15.89	16.09	15.60	15.76	4856240	108043144.00
2017/10/13	15.76	16.05	15.61	15.76	4137832	92269312.00
2017/10/16	15.67	15.76	15.05	15.21	3926993	85212736.00
2017/10/17	15.34	15.60	15.23	15.56	2606624	56631760.00
2017/10/18	15.60	16.31	15.44	15.67	6851149	153726560.00
2017/10/19	15.29	15.57	15.09	15.37	4056003	87612824.00
2017/10/20	15.26	15.82	15.26	15.80	3642400	80403496.00
2017/10/23	15.94	16.49	15.81	16.37	7242848	165345392.00
2017/10/24	16.26	16.26	15.64	16.01	4775342	107467584.00
2017/10/25	15.91	16.38	15.76	16.27	4640348	105925744.00
2017/10/26	16.23	16.60	16.01	16.24	4638149	106359896.00
2017/10/27	16.31	17.73	16.05	17.38	11590434	277314432.00
2017/10/30	17.00	17.16	15.63	15.97	11676742	268426736.00
2017/10/31	15.74	15.92	15.31	15.77	7140559	157174528.00
2017/11/01	15.83	15.86	15.51	15.56	3864383	85088824.00
2017/11/02	15.44	15.56	14.92	15.09	4913790	105143712.00
2017/11/03	15.02	15.24	14.92	15.14	2651929	56161076.00
2017/11/06	15.30	15.61	15.30	15.60	3476790	75708376.00
2017/11/07	15.66	15.66	15.33	15.46	2553452	55695456.00
2017/11/08	15.46	15.79	15.41	15.64	3223000	71104888.00
2017/11/09	15.49	15.78	15.46	15.76	2588230	57028204.00
2017/11/10	15.79	16.02	15.67	15.94	3403817	76191928.00
2017/11/13	15.82	16.39	15.79	16.34	4796420	109305520.00
2017/11/14	16.24	16.36	15.71	15.74	3712202	83664616.00
2017/11/15	15.81	15.84	15.36	15.74	2695264	59067128.00
2017/11/16	15.64	15.93	15.43	15.46	1925548	42544060.00
2017/11/17	15.48	15.52	14.39	14.50	3749449	78358808.00
2017/11/20	14.30	14.66	13.89	14.60	2220019	44581064.00
2017/11/21	14.28	14.84	14.28	14.45	1541329	31516186.00
2017/11/22	14.25	14.54	14.11	14.21	1582500	31919800.00
2017/11/23	14.21	14.42	13.89	13.92	1325552	26322674.00
2017/11/24	13.93	14.06	13.77	13.97	959892	18819112.00
2017/11/27	14.03	14.03	13.59	13.61	860400	16773148.00
2017/11/28	13.49	13.85	13.49	13.81	973071	18825266.00
2017/11/29	13.80	13.80	13.46	13.74	848900	16341148.00
