603378 亚士创能 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/09/28	15.35	18.45	15.35	18.45	10327	192082.02
2017/09/29	20.31	20.31	20.31	20.31	14383	294707.66
2017/10/09	22.36	22.36	22.36	22.36	7100	160034.00
2017/10/10	24.61	24.61	24.61	24.61	29300	726347.00
2017/10/11	27.09	27.09	27.09	27.09	66449	1812064.25
2017/10/12	29.82	29.82	29.82	29.82	159874	4796220.00
2017/10/13	32.82	32.82	32.82	32.82	892117	29439860.00
2017/10/16	36.12	36.12	36.12	36.12	1247499	45284212.00
2017/10/17	36.71	39.75	35.80	39.75	30188852	1165750272.00
2017/10/18	37.12	38.79	35.79	36.71	25265871	954062656.00
2017/10/19	34.97	39.46	34.83	38.02	23613521	899137920.00
2017/10/20	37.44	39.54	35.62	35.98	21248645	798923456.00
2017/10/23	34.79	35.47	33.42	34.04	16391975	567081920.00
2017/10/24	33.73	34.00	30.65	30.97	14920483	481242784.00
2017/10/25	31.50	32.26	30.91	31.25	10613445	334896480.00
2017/10/26	30.82	31.77	29.73	31.38	13626269	418195136.00
2017/10/27	30.85	31.31	30.09	30.14	8790919	271850944.00
2017/10/30	29.79	29.79	27.34	27.55	9487313	270323616.00
2017/10/31	27.69	28.32	27.44	28.16	6022407	169883456.00
2017/11/01	27.94	29.01	27.94	28.42	6472065	186257840.00
2017/11/02	28.32	29.31	27.85	28.93	7970377	230732304.00
2017/11/03	28.60	29.32	28.40	28.71	5171458	150128976.00
2017/11/06	29.22	29.37	28.48	28.76	4818218	140140368.00
2017/11/07	28.42	28.79	27.50	28.33	7027311	198154992.00
2017/11/08	28.34	30.18	28.15	29.76	12140719	358348608.00
2017/11/09	29.32	30.00	28.97	29.57	7837055	231633744.00
2017/11/10	29.33	29.79	29.20	29.34	5279939	156657072.00
2017/11/13	29.52	29.59	28.62	28.70	4419429	129348768.00
2017/11/14	28.37	28.52	26.99	27.16	7983368	221444032.00
2017/11/15	26.98	27.01	26.52	26.99	4258532	114550728.00
2017/11/16	26.85	27.23	25.83	26.03	4377898	117087832.00
2017/11/17	26.02	26.02	23.48	23.65	5458458	136146288.00
2017/11/20	23.57	23.85	22.57	23.81	4049475	94720008.00
2017/11/21	23.55	24.09	22.92	24.04	4274949	101772552.00
2017/11/22	23.84	24.20	23.45	23.64	2959702	71031304.00
2017/11/23	23.65	23.65	22.52	22.55	2803192	65279940.00
2017/11/24	22.33	22.80	22.12	22.21	2088078	47316412.00
2017/11/27	22.22	22.60	21.83	22.18	2038971	45785596.00
2017/11/28	22.19	23.04	22.19	23.01	3371798	77366168.00
2017/11/29	22.93	23.00	22.32	22.62	3019068	68821440.00
2017/11/30	22.62	23.20	22.58	22.81	3275413	75496560.00
2017/12/01	22.61	22.92	22.41	22.79	2447389	55922724.00
2017/12/04	22.48	22.58	20.73	20.75	4567467	99329048.00
2017/12/05	20.78	21.00	19.57	19.80	3560792	72659840.00
2017/12/06	19.82	20.38	19.72	20.28	2622189	52995864.00
2017/12/07	20.12	20.42	20.08	20.31	1902617	38864504.00
2017/12/08	20.32	21.67	20.13	21.41	4650712	99723904.00
2017/12/11	21.04	21.34	21.04	21.27	2525942	54054268.00
2017/12/12	21.32	21.32	20.45	20.62	2585760	54330648.00
2017/12/13	20.42	20.99	20.33	20.90	1758113	36921352.00
2017/12/14	21.06	21.06	20.62	21.02	2181485	45794684.00
2017/12/15	20.82	21.03	20.54	20.67	1742810	36509804.00
2017/12/18	20.80	20.83	20.32	20.78	1585287	32910400.00
2017/12/19	20.70	21.06	20.70	20.93	2292071	48387244.00
2017/12/20	20.79	21.34	20.43	21.31	4955869	104747800.00
2017/12/21	21.81	23.27	21.47	22.69	10397081	235149168.00
2017/12/22	22.05	23.25	21.93	23.08	8940872	204820528.00
2017/12/25	22.72	23.82	22.23	23.69	6707278	154980368.00
2017/12/26	23.35	24.87	23.21	23.59	9871694	238122048.00
2017/12/27	23.45	24.02	22.72	22.76	7337117	172934352.00
2017/12/28	22.32	23.29	22.24	22.77	5153894	118197712.00
2017/12/29	22.79	23.20	22.58	22.70	3519149	81187776.00
2018/01/02	22.74	23.12	22.34	22.95	4212440	96780648.00
2018/01/03	23.02	23.07	22.37	22.53	3899419	88813120.00
2018/01/04	22.53	22.60	22.07	22.21	3209268	72162016.00
2018/01/05	22.20	22.64	22.13	22.61	3376015	76430272.00
2018/01/08	22.66	23.41	22.40	23.37	5645478	130385680.00
2018/01/09	23.32	23.32	22.88	22.96	4007728	93254288.00
2018/01/10	22.82	23.30	22.14	22.42	4332128	99438112.00
2018/01/11	22.33	23.12	21.82	23.09	4722571	108001504.00
2018/01/12	22.92	23.80	22.63	23.26	6772199	158694192.00
2018/01/15	23.07	24.12	22.42	23.51	7228610	170247328.00
2018/01/16	23.27	25.88	23.22	25.88	9323532	236299984.00
2018/01/17	26.72	27.59	25.00	25.22	17901179	476561312.00
2018/01/18	24.89	25.91	24.68	25.55	8310812	212659216.00
2018/01/19	25.00	25.28	24.17	24.21	8095967	201252960.00
2018/01/22	23.87	23.92	22.43	22.90	6009501	139583408.00
2018/01/23	22.88	23.17	22.72	23.06	3256232	75440128.00
2018/01/24	23.13	23.41	22.91	23.40	4005090	93716624.00
2018/01/25	23.20	23.95	23.17	23.72	6012003	142884560.00
2018/01/26	23.40	23.80	22.70	22.73	4232532	99167784.00
2018/01/29	22.67	22.67	21.92	22.29	3698555	83155064.00
2018/01/30	22.33	22.70	22.02	22.55	2710417	61197088.00
2018/01/31	22.27	22.43	20.82	20.96	4010345	87484344.00
2018/02/01	20.96	21.21	19.60	19.62	4145030	84684200.00
2018/02/02	19.33	19.76	18.54	19.17	2513587	49060060.00
2018/02/05	18.87	19.26	18.82	18.97	1429718	27504282.00
2018/02/06	19.03	19.89	17.99	18.16	3335485	64089760.00
2018/02/07	18.69	19.06	17.48	18.79	3560559	66121696.00
2018/02/08	18.62	18.97	18.45	18.86	2346033	44447136.00
2018/02/09	18.30	18.35	17.40	17.52	2438689	44155848.00
2018/02/12	17.52	18.21	17.52	17.98	1686492	30619710.00
2018/02/13	17.92	18.29	17.86	17.88	1366556	24918812.00
