603505 金石资源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/05/03	4.39	5.29	4.39	5.29	15832	84150.08
2017/05/04	5.83	5.83	5.83	5.83	13151	77985.43
2017/05/05	6.42	6.42	6.42	6.42	5851	38148.52
2017/05/08	7.07	7.07	7.07	7.07	14981	107413.77
2017/05/09	7.79	7.79	7.79	7.79	13411	105812.79
2017/05/10	8.58	8.58	8.58	8.58	27800	241304.00
2017/05/11	9.45	9.45	9.45	9.45	49600	473680.00
2017/05/12	10.41	10.41	10.41	10.41	67653	711033.00
2017/05/15	11.46	11.46	11.46	11.46	74971	866664.75
2017/05/16	12.62	12.62	12.62	12.62	118132	1502639.00
2017/05/17	13.89	13.89	13.89	13.89	270169	3779664.25
2017/05/18	15.29	15.29	15.29	15.29	356948	5493429.50
2017/05/19	16.83	16.83	16.83	16.83	362939	6144557.50
2017/05/22	18.52	18.52	18.52	18.52	667938	12437006.00
2017/05/23	20.38	20.38	20.01	20.38	25106749	514094496.00
2017/05/24	20.38	22.43	20.02	22.43	19735883	427651040.00
2017/05/25	24.68	24.68	21.30	23.18	45122233	1071028992.00
2017/05/26	23.90	25.42	23.20	23.87	42141600	1028788224.00
2017/05/31	25.02	26.27	22.41	22.63	39787212	986489664.00
2017/06/01	22.50	23.49	21.63	22.10	27301382	624733120.00
2017/06/02	20.31	21.10	19.88	20.04	29920157	607197824.00
2017/06/05	21.01	22.05	20.55	21.32	33890487	731021760.00
2017/06/06	19.92	20.78	19.40	20.18	25793787	522077856.00
2017/06/07	20.02	21.59	19.96	20.90	28015517	583972416.00
2017/06/08	20.71	20.78	19.58	19.72	23603587	475311264.00
2017/06/09	19.50	20.10	19.29	19.78	13935948	276168992.00
2017/06/12	18.90	19.32	17.79	17.91	19672346	365621088.00
2017/06/13	17.60	19.15	17.56	18.59	20111835	372769440.00
2017/06/14	18.36	18.47	17.70	17.85	13618497	246545664.00
2017/06/15	17.81	19.03	17.81	18.51	16164960	299944640.00
2017/06/16	18.70	20.10	18.10	18.81	20367525	388093664.00
2017/06/19	18.49	19.00	18.22	18.87	11996494	223962656.00
2017/06/20	18.69	19.68	18.61	18.84	14874393	285762848.00
2017/06/21	19.04	20.18	18.90	19.57	20720502	409300064.00
2017/06/22	19.15	19.43	18.30	18.37	16320975	310482496.00
2017/06/23	17.91	18.74	17.91	18.64	11177909	206454944.00
2017/06/26	18.56	19.38	18.30	19.06	10887555	206591424.00
2017/06/27	18.98	19.30	18.80	19.11	9992299	191740704.00
2017/06/28	19.09	20.45	19.08	19.52	19600672	389761472.00
2017/06/29	19.32	20.00	19.02	19.91	15030008	293755040.00
2017/06/30	19.75	21.48	19.61	20.51	21635243	447009760.00
2017/07/03	20.61	22.57	20.61	22.24	25771503	565546944.00
2017/07/04	22.00	23.17	21.50	21.97	25236348	565688128.00
2017/07/05	22.05	23.50	21.40	23.42	25097001	565013504.00
2017/07/06	23.19	25.66	22.80	25.21	26271037	630801984.00
2017/07/07	24.63	25.78	24.22	25.14	23096949	582755712.00
2017/07/10	23.42	23.88	22.62	22.62	22610681	523178464.00
2017/07/11	22.14	23.07	21.16	21.25	19112988	422238624.00
2017/07/12	21.32	22.05	20.90	21.91	14841440	320219232.00
2017/07/13	21.74	21.84	20.78	21.03	14261197	304194208.00
2017/07/14	20.98	21.40	20.54	21.36	9620788	204105456.00
2017/07/17	20.85	20.85	19.21	19.21	10823408	213226624.00
2017/07/18	18.41	18.96	18.02	18.81	11318494	210586768.00
2017/07/19	18.78	20.33	18.40	19.98	14216596	279113760.00
2017/07/20	19.70	20.63	19.61	19.85	12679873	256080096.00
2017/07/21	19.56	19.82	19.20	19.47	8227780	160623120.00
2017/07/24	19.21	20.16	18.50	20.00	10397267	203206704.00
2017/07/25	20.05	20.25	19.38	19.50	7632551	151298240.00
2017/07/26	19.55	20.13	19.43	19.63	7613156	151267984.00
2017/07/27	19.40	19.89	18.79	19.56	8638902	168025872.00
2017/07/28	19.30	20.70	19.19	20.31	12299075	246635920.00
2017/07/31	20.38	22.35	20.15	22.11	20131762	433662144.00
2017/08/01	22.00	24.33	21.11	24.33	24968116	561639104.00
2017/08/02	23.41	26.41	23.30	24.53	34278626	850029056.00
2017/08/03	23.85	24.33	22.90	23.02	20746249	492578336.00
2017/08/04	22.81	23.50	21.68	21.93	18612301	422482528.00
2017/08/07	21.60	22.27	21.50	22.03	11906558	261397440.00
2017/08/08	21.82	22.20	21.18	21.24	13035888	282724160.00
2017/08/09	21.08	21.58	21.00	21.43	9338021	200006192.00
2017/08/10	21.26	22.10	20.81	22.07	13090497	282906816.00
2017/08/11	21.75	21.98	20.43	20.54	11276841	242123728.00
2017/08/14	20.36	21.05	19.72	20.79	9768959	199894208.00
2017/08/15	20.55	22.76	20.43	22.52	16059740	349423360.00
2017/08/16	22.28	23.08	21.90	22.46	16382736	369597120.00
2017/08/17	22.59	23.05	22.03	22.71	11760192	266207232.00
2017/08/18	22.19	22.40	20.73	21.17	12640705	275452896.00
2017/08/21	21.10	21.60	21.09	21.49	6704319	144065888.00
2017/08/22	21.47	23.04	21.09	22.70	15990185	356867904.00
2017/08/23	22.38	22.70	21.84	22.00	10354837	230632080.00
2017/08/24	22.05	22.24	21.25	21.37	8778448	190857696.00
2017/08/25	21.11	22.70	21.04	22.16	11669318	258477328.00
2017/08/28	22.00	23.55	21.91	23.07	16431516	377200896.00
2017/08/29	22.87	25.39	22.78	25.39	18156360	442852768.00
2017/08/30	26.12	26.23	24.28	24.65	22744433	570416384.00
2017/08/31	24.89	27.13	24.65	27.13	17008768	446842048.00
2017/09/01	29.05	29.85	27.31	27.41	35219897	1014843136.00
2017/09/04	26.35	26.69	24.98	25.08	25601464	658788864.00
2017/09/05	24.99	25.57	24.38	25.07	15431080	389074336.00
2017/09/06	24.60	25.78	24.46	25.42	14193380	361931776.00
2017/09/07	25.20	27.18	25.06	27.05	22178350	590921664.00
2017/09/08	26.69	27.25	26.10	26.76	15592544	417579712.00
2017/09/11	26.39	28.10	26.26	27.78	16663048	458869184.00
2017/09/12	27.59	27.63	24.99	25.50	19198595	514195328.00
2017/09/13	25.00	26.38	25.00	26.29	9627474	249225056.00
2017/09/14	26.26	27.10	25.40	25.74	9939373	261257488.00
2017/09/15	25.64	26.09	25.06	25.49	7549027	193850144.00
2017/09/18	25.29	27.18	25.08	27.04	12741850	336720320.00
2017/09/19	27.00	27.46	26.48	27.37	14112858	383040320.00
2017/09/20	27.08	28.78	26.78	28.18	19292133	541415552.00
2017/09/21	27.90	27.90	26.30	26.36	15107723	411274272.00
2017/09/22	26.10	27.69	26.10	26.87	10503034	283998432.00
2017/09/25	26.91	29.40	26.90	27.74	20167761	572488128.00
2017/09/26	28.70	30.52	27.90	30.52	22728721	681396544.00
2017/09/27	31.80	31.80	27.70	29.35	26540981	780680640.00
2017/09/28	28.06	30.50	28.06	30.22	20620278	609484736.00
2017/09/29	30.10	30.85	28.80	29.19	15467305	457948192.00
2017/10/09	29.75	29.86	28.46	29.51	11014421	321173824.00
2017/10/10	29.29	30.08	28.95	29.84	12696977	376809408.00
2017/10/11	29.52	30.80	28.06	30.70	20310163	601903104.00
2017/10/12	30.20	30.88	29.41	29.75	14292961	430986144.00
2017/10/13	29.13	29.74	28.70	28.84	9772871	285119808.00
2017/10/16	28.46	29.52	27.90	28.44	9483392	274027488.00
2017/10/17	28.29	28.85	28.12	28.48	6566945	187731904.00
2017/10/18	28.60	28.79	25.62	25.82	15845796	427621440.00
2017/10/19	25.52	26.09	24.85	24.90	8713379	222028464.00
2017/10/20	24.68	26.06	24.68	25.84	7831076	201255408.00
2017/10/23	25.78	26.19	25.42	25.88	5461775	141594544.00
2017/10/24	25.75	26.25	25.59	25.85	5083657	132428360.00
2017/10/25	25.75	26.00	25.60	25.92	4413686	114319720.00
2017/10/26	25.82	27.20	25.78	27.13	9568214	257411072.00
2017/10/27	27.02	27.54	26.56	26.66	6681010	180876976.00
2017/10/30	26.66	26.89	24.46	24.68	8185100	207090624.00
2017/10/31	24.89	25.50	24.68	25.18	4084202	103244672.00
2017/11/01	25.10	25.88	24.94	25.65	4890000	125304536.00
2017/11/02	25.60	25.65	24.80	24.88	5083148	128038432.00
2017/11/03	24.88	25.05	23.40	23.72	6423063	155005712.00
2017/11/06	23.75	24.22	23.63	24.17	3754263	90050136.00
2017/11/07	24.19	24.34	23.41	24.04	4558083	109255456.00
2017/11/08	23.91	24.75	23.66	24.39	6194497	151416736.00
2017/11/09	24.30	24.75	23.98	24.35	4745861	116159360.00
2017/11/10	24.39	24.40	23.80	23.90	4472533	107590736.00
2017/11/13	23.92	24.43	23.63	24.30	5136700	124168840.00
2017/11/14	24.20	24.36	23.60	23.71	4561899	109744168.00
2017/11/15	23.50	23.50	21.89	22.05	7053788	159600944.00
2017/11/16	21.91	22.13	21.12	21.16	4458600	96959120.00
2017/11/17	21.12	21.49	19.10	19.57	6236033	126991872.00
2017/11/20	19.18	19.53	18.40	19.41	4294737	82174136.00
2017/11/21	19.39	19.74	18.78	19.49	4324479	84237496.00
2017/11/22	19.35	19.70	19.11	19.33	3054177	59524756.00
2017/11/23	19.30	19.79	18.90	18.91	4593564	89654944.00
2017/11/24	18.92	19.79	18.78	19.63	4848369	94252576.00
2017/11/27	19.64	20.23	19.40	19.88	4922210	97950504.00
2017/11/28	19.86	20.25	19.35	19.95	4458335	88729880.00
2017/11/29	19.81	21.36	19.81	20.98	8144833	168799008.00
2017/11/30	20.78	20.88	20.28	20.43	5000639	103145928.00
2017/12/01	20.29	20.67	20.02	20.09	3854855	78472800.00
2017/12/04	19.86	20.26	18.91	18.96	4683494	92346376.00
2017/12/05	18.70	19.15	17.80	17.88	4715982	87318336.00
2017/12/06	18.00	18.48	17.77	18.45	3615946	66139892.00
2017/12/07	18.48	18.85	18.21	18.42	2703464	50464168.00
2017/12/08	18.40	19.33	18.27	19.13	3892045	74125872.00
2017/12/11	19.01	19.23	18.88	19.16	2795144	53527472.00
2017/12/12	18.99	19.16	18.43	18.45	3457373	65167444.00
2017/12/13	18.57	18.57	18.10	18.52	2559950	47274536.00
2017/12/14	18.40	18.56	18.13	18.41	2473659	45600120.00
2017/12/15	18.44	18.70	18.31	18.62	2597159	48387848.00
2017/12/18	18.87	18.87	18.14	18.51	2200110	40829008.00
2017/12/19	18.50	18.93	18.40	18.77	2973192	55904900.00
2017/12/20	18.76	19.07	18.36	18.48	2233346	41949676.00
2017/12/21	18.45	18.46	17.92	18.33	2138936	39191892.00
2017/12/22	18.30	18.69	18.15	18.35	2435787	45155580.00
2017/12/25	18.32	18.48	18.02	18.15	2410370	44062100.00
2017/12/26	18.15	19.33	18.04	19.01	5418370	102454080.00
2017/12/27	18.93	20.92	18.71	20.92	5518024	112869488.00
2017/12/28	21.00	23.02	21.00	22.03	18150027	400352352.00
2017/12/29	21.25	21.60	20.47	20.68	9566446	201026272.00
2018/01/02	20.56	21.10	20.56	20.72	5788559	121253336.00
2018/01/03	20.70	22.03	20.65	21.36	8558693	184523504.00
2018/01/04	20.94	21.88	20.92	21.39	6243268	133787680.00
2018/01/05	21.80	22.08	21.40	21.43	6978927	152611056.00
2018/01/08	21.15	22.40	20.78	22.20	9859994	214305360.00
2018/01/09	22.01	22.12	21.56	21.61	6932686	151855264.00
2018/01/10	21.52	21.94	20.76	20.95	6269450	134630928.00
2018/01/11	20.92	21.70	20.90	21.25	4667570	100081600.00
2018/01/12	21.00	21.33	20.61	20.66	4188333	87775792.00
2018/01/15	20.67	20.98	20.26	20.28	3693100	76486408.00
2018/01/16	20.31	21.14	20.31	21.05	4752501	99264608.00
2018/01/17	21.32	22.02	20.49	22.00	8072337	173875040.00
2018/01/18	21.70	22.10	21.34	21.46	4856392	105581336.00
2018/01/19	21.64	21.81	21.18	21.39	3876136	83599656.00
2018/01/22	21.90	22.82	21.50	21.86	8006981	177672736.00
2018/01/23	21.27	22.80	21.27	22.41	9642797	214374288.00
2018/01/24	22.20	22.49	21.90	22.33	6853319	152808720.00
2018/01/25	22.36	22.86	21.81	21.92	6026407	135327120.00
2018/01/26	21.61	21.76	20.97	21.11	5566200	119088104.00
2018/01/29	21.00	21.45	20.82	21.21	2860935	60763568.00
2018/01/30	21.06	21.85	20.81	21.79	5023256	108777352.00
2018/01/31	22.31	22.65	20.97	21.08	6576087	143402960.00
2018/02/01	21.10	22.79	20.72	21.50	8697109	191450960.00
2018/02/02	20.40	20.79	19.34	20.54	8279922	166362992.00
2018/02/05	20.05	21.83	20.02	21.78	7860208	166953808.00
2018/02/06	21.30	22.33	20.01	20.28	8053114	172141744.00
2018/02/07	20.79	21.20	19.90	20.32	5440693	112826288.00
2018/02/08	20.59	20.85	20.11	20.19	3937015	80843384.00
2018/02/09	19.45	20.05	18.30	18.36	5171895	99302984.00
2018/02/12	18.71	19.36	18.50	19.03	3166446	60266372.00
2018/02/13	19.50	19.79	18.70	18.76	3724300	72062160.00
2018/02/14	18.78	19.88	18.70	19.76	5132951	100517376.00
2018/02/22	19.90	21.67	19.72	21.45	7701172	161092576.00
2018/02/23	21.77	21.90	20.92	21.68	7869403	169901376.00
2018/02/26	21.74	23.00	21.60	22.72	9961357	223427264.00
2018/02/27	22.45	22.90	21.99	22.27	7860208	176980064.00
2018/02/28	21.74	24.39	21.66	22.79	12475029	287822496.00
2018/03/01	23.09	25.08	23.00	24.58	20180531	495541696.00
2018/03/02	23.90	24.75	23.55	23.96	12589717	304096928.00
2018/03/05	24.25	24.68	23.48	24.06	9358686	225312704.00
2018/03/06	24.20	24.20	23.48	23.73	8878166	211731904.00
2018/03/07	23.54	23.88	23.11	23.47	7514631	176993888.00
2018/03/08	23.48	23.85	23.29	23.59	5782839	136854896.00
2018/03/09	23.66	23.68	22.90	23.60	7383055	172808080.00
2018/03/12	23.50	24.70	23.35	24.67	11413204	277309568.00
2018/03/13	24.50	24.50	23.99	24.03	6680500	162299664.00
2018/03/14	24.01	24.86	23.51	23.60	8318000	203281904.00
2018/03/15	23.12	23.54	22.41	23.08	7576597	174518400.00
2018/03/16	22.95	23.19	22.77	22.79	3237608	74684832.00
2018/03/19	22.63	23.20	22.46	23.00	3415220	78534144.00
2018/03/20	22.70	22.89	22.46	22.63	3652859	83049400.00
2018/03/21	22.74	23.71	22.61	23.51	8468829	197946064.00
2018/03/22	23.39	23.60	22.77	22.99	4995852	116444952.00
2018/03/23	21.90	22.25	20.68	20.68	7093455	151795408.00
2018/03/26	19.90	20.88	19.15	20.81	4987370	100944296.00
2018/03/27	20.90	21.85	20.90	21.43	5783700	123337424.00
2018/03/28	21.00	21.18	20.50	20.66	3608800	75721480.00
2018/03/29	20.62	21.18	20.62	21.06	3108406	65594920.00
2018/03/30	21.25	21.39	21.10	21.17	3202700	68359664.00
2018/04/02	21.25	21.70	21.01	21.39	4537229	97331240.00
2018/04/03	20.70	21.07	20.61	20.72	3323000	69382992.00
2018/04/04	20.85	21.26	20.20	20.94	3512006	73514296.00
2018/04/09	20.90	21.46	20.51	21.42	4997400	106628336.00
2018/04/10	21.23	22.40	21.23	22.23	7230569	159240240.00
2018/04/11	22.20	22.53	21.91	22.09	5046567	112191072.00
2018/04/12	22.20	22.20	21.41	21.45	4043688	88480168.00
2018/04/13	21.61	21.99	21.20	21.90	4683004	101908744.00
2018/04/16	21.72	21.91	20.81	21.05	4444995	95257056.00
2018/04/17	21.15	21.33	20.30	20.36	3323600	69431584.00
2018/04/18	20.49	20.68	19.96	20.60	2707128	55243728.00
2018/04/19	20.63	21.03	20.60	20.76	2731028	57068960.00
2018/04/20	20.49	20.78	19.42	19.65	3381740	68056064.00
2018/04/23	19.05	19.75	19.05	19.21	2135188	41608556.00
2018/04/24	19.39	19.73	19.39	19.67	2137439	42135824.00
2018/04/25	19.60	20.15	19.38	19.93	2659900	52842348.00
2018/04/26	19.76	19.88	18.80	18.83	3511100	68024936.00
2018/04/27	18.90	19.10	18.38	18.51	2761020	51900752.00
2018/05/02	18.61	18.84	18.50	18.79	1939021	36385652.00
2018/05/03	17.90	18.73	17.50	18.66	2594378	47999340.00
2018/05/04	18.59	18.74	18.17	18.21	1992170	37035336.00
2018/05/07	18.05	18.50	18.00	18.26	3734900	68723992.00
2018/05/08	18.30	18.36	18.17	18.21	3373570	61909404.00
2018/05/09	18.12	18.25	17.95	18.05	3924051	71306056.00
2018/05/10	18.12	18.55	18.12	18.39	5093300	93805720.00
2018/05/11	18.54	19.39	18.16	18.95	7837013	146690384.00
2018/05/14	18.90	18.98	18.65	18.80	5190402	98025608.00
2018/05/15	18.80	18.80	18.37	18.68	4505253	84064688.00
2018/05/16	18.52	18.66	18.31	18.37	3375095	62772592.00
2018/05/17	18.22	18.98	18.13	18.47	4680239	87161992.00
2018/05/18	18.26	18.78	18.25	18.64	3879862	72269832.00
2018/05/21	18.60	20.51	18.33	19.85	11639802	226922512.00
2018/05/22	19.42	19.64	19.28	19.49	6708262	130991288.00
2018/05/23	19.37	19.77	19.03	19.06	4723620	92244024.00
2018/05/24	18.95	19.32	18.82	18.98	2911887	55508308.00
2018/05/25	18.99	19.35	18.98	19.10	3714161	71469552.00
2018/05/28	19.04	19.04	18.30	18.37	3508300	65698692.00
2018/05/29	18.40	18.63	18.12	18.18	2150951	39790268.00
2018/05/30	17.70	17.70	16.79	16.94	4515851	78886144.00
2018/05/31	17.03	17.38	16.90	17.12	2074237	35711856.00
2018/06/01	17.09	17.86	16.92	17.29	3218311	56506372.00
2018/06/04	17.25	17.48	17.10	17.20	1573800	27388202.00
2018/06/05	17.25	17.57	17.20	17.56	1807164	31745304.00
2018/06/06	17.60	17.79	17.39	17.57	1954751	34538884.00
2018/06/07	17.64	18.25	17.44	17.85	5660122	101489520.00
2018/06/08	17.60	17.60	16.95	17.11	4000924	69160888.00
2018/06/11	16.98	17.16	16.75	16.90	2171800	37035896.00
