603558 健盛集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/01/27	6.92	6.92	6.92	6.92	35300	978516.00
2015/01/28	7.66	7.66	7.66	7.66	21500	655535.00
2015/01/29	8.47	8.47	8.47	8.47	37800	1267812.00
2015/01/30	9.37	9.37	9.37	9.37	160800	5931912.00
2015/02/02	10.35	10.35	10.35	10.35	935787	37974236.00
2015/02/03	11.40	11.43	11.16	11.43	4811690	213654208.00
2015/02/04	12.15	12.62	10.95	10.97	13279735	612563648.00
2015/02/05	10.60	11.77	10.32	11.15	9339871	392457632.00
2015/02/06	10.47	10.57	9.98	9.98	4743017	188219328.00
2015/02/09	9.43	9.65	8.94	8.94	5143168	185005200.00
2015/02/10	8.94	9.19	8.78	9.02	3047544	108194256.00
2015/02/11	9.25	9.28	8.87	9.00	2569871	91678768.00
2015/02/12	9.00	9.08	8.80	8.91	2000336	70506040.00
2015/02/13	8.96	9.36	8.91	9.18	3649830	131348520.00
2015/02/16	9.13	9.15	8.95	9.11	2065683	73830848.00
2015/02/17	9.06	9.12	9.01	9.04	1464356	52326224.00
2015/02/25	9.05	9.07	8.81	8.82	1760074	61827520.00
2015/02/26	8.83	8.93	8.83	8.90	1257750	44093628.00
2015/02/27	8.93	9.19	8.87	9.09	2048900	72969152.00
2015/03/02	9.08	9.30	8.99	9.27	2557204	92025528.00
2015/03/03	9.20	9.21	8.94	8.99	2420853	86368696.00
2015/03/04	8.95	9.04	8.94	9.02	1373385	48720404.00
2015/03/05	9.00	9.22	8.94	9.18	2370363	85190184.00
2015/03/06	9.16	9.17	9.00	9.02	1522689	54414060.00
2015/03/09	8.95	8.98	8.84	8.94	1148670	40393204.00
2015/03/10	8.94	9.18	8.84	9.05	1937401	69299568.00
2015/03/11	9.54	9.82	9.40	9.57	5577535	210608656.00
2015/03/12	9.42	9.48	9.18	9.24	2830474	103498288.00
2015/03/13	9.24	9.38	9.21	9.36	1502591	55182144.00
2015/03/16	9.37	9.74	9.37	9.64	2728526	103034208.00
2015/03/17	9.69	9.71	9.50	9.61	2518337	95073504.00
2015/03/18	9.61	10.56	9.56	10.26	4456337	173385600.00
2015/03/19	10.20	10.26	9.94	10.06	2849353	112604472.00
2015/03/20	10.06	10.17	10.03	10.10	1853280	73345448.00
2015/03/23	10.19	10.32	10.04	10.20	2304367	92056840.00
2015/03/24	10.25	10.52	9.80	10.12	2811843	112345768.00
2015/03/25	10.04	10.25	9.99	10.19	2490083	99006648.00
2015/03/26	10.22	10.54	10.06	10.39	2746928	110902016.00
2015/03/27	10.31	10.51	10.25	10.51	1747478	71064608.00
2015/03/30	10.57	10.58	10.22	10.33	1878536	76283200.00
2015/03/31	10.30	10.32	10.07	10.11	1832358	73120784.00
2015/04/01	10.11	10.24	10.09	10.17	1442367	57499888.00
2015/04/02	10.20	10.40	10.15	10.39	2007499	81079760.00
2015/04/03	10.33	10.82	10.28	10.75	3093896	127576592.00
2015/04/07	10.70	11.45	10.70	11.39	3891851	169916272.00
2015/04/08	11.41	12.40	10.91	12.16	3740436	168533456.00
2015/04/09	12.01	12.43	11.67	12.02	2560500	120561296.00
2015/04/10	12.02	12.86	12.01	12.77	2725688	133718840.00
2015/04/13	12.60	13.13	12.30	13.11	4392979	215228320.00
2015/04/14	12.95	13.48	12.58	12.80	2364167	119156912.00
2015/04/15	12.73	12.80	12.01	12.13	2726697	129505864.00
2015/04/16	11.88	12.70	11.87	12.57	1529241	73845136.00
2015/04/17	12.57	12.78	12.35	12.57	1362123	66518256.00
2015/04/20	12.46	12.46	11.56	11.69	1384400	64999464.00
2015/04/21	11.68	12.06	11.58	11.90	1373265	63753080.00
2015/04/22	11.95	12.18	11.90	11.99	1624094	76214064.00
2015/04/23	11.97	12.11	11.80	12.05	1599165	74471064.00
2015/04/24	11.96	12.59	11.81	12.56	1770715	83789496.00
2015/04/27	12.63	12.86	12.59	12.64	2722329	134016104.00
2015/04/28	12.73	12.86	12.49	12.72	1690148	83363416.00
2015/04/29	12.80	13.40	12.73	13.33	1474622	75102544.00
2015/04/30	13.36	13.65	13.07	13.17	1503323	77553336.00
2015/05/04	13.26	13.34	12.76	12.87	700529	35139648.00
2015/05/05	12.81	12.81	12.33	12.59	853700	41525564.00
2015/05/06	12.60	12.65	12.34	12.57	736639	35760008.00
2015/05/07	12.62	12.62	11.54	12.39	1228007	57443120.00
2015/05/08	12.31	12.72	12.12	12.68	874880	42313996.00
2015/05/11	12.70	13.58	12.61	13.52	2043206	105217720.00
2015/05/12	13.56	14.17	12.84	14.14	3112228	161205856.00
2015/05/13	13.82	14.33	13.40	13.80	1497130	80615632.00
2015/05/14	13.80	15.13	13.56	14.95	2813289	156459360.00
2015/05/15	14.96	15.26	14.24	14.58	2612758	147902880.00
2015/05/18	14.60	16.08	14.60	15.99	2655863	158855648.00
2015/05/19	15.70	16.86	15.27	16.08	1946684	119823896.00
2015/05/20	16.33	16.81	15.48	16.04	1457195	91851624.00
2015/05/21	15.76	17.10	15.76	17.03	1827959	116479776.00
2015/05/22	17.66	17.82	16.60	17.50	1198390	78982048.00
2015/05/25	17.24	18.27	16.87	17.90	1318088	90501832.00
2015/05/26	18.20	19.74	17.90	19.74	2454756	180306416.00
2015/05/27	19.80	21.76	19.74	21.76	3588981	288329088.00
2015/06/18	23.57	23.57	19.55	19.55	5670463	291366816.00
2015/06/19	17.73	18.33	17.56	17.56	1781394	80676752.00
2015/06/23	15.97	18.65	15.77	17.67	3447662	146253584.00
2015/06/24	17.68	18.45	17.43	17.68	2480300	112895032.00
2015/06/25	17.68	17.97	16.65	17.07	1932673	83575576.00
2015/06/26	16.71	16.71	15.33	15.33	1455032	58901980.00
2015/06/29	15.64	16.16	13.76	13.76	2756393	102123912.00
2015/06/30	13.84	14.75	12.35	14.69	2929510	100472312.00
2015/07/01	14.45	15.13	13.49	14.78	2255647	84133856.00
2015/07/02	14.97	16.29	14.97	16.29	7350295	303442592.00
2015/07/03	15.25	17.12	15.09	16.06	3410751	142810400.00
2015/07/06	17.65	17.65	14.42	14.45	2592916	103535304.00
2015/07/07	13.65	13.70	12.97	12.97	1913547	64420136.00
2015/07/15	14.30	14.30	14.30	14.30	651672	23864228.00
2015/07/16	13.05	15.45	12.83	15.05	1977269	72716760.00
2015/07/17	14.87	15.87	14.87	15.84	1980925	78596400.00
2015/07/20	16.05	16.43	15.21	15.65	1942551	78918760.00
2015/07/21	15.65	16.41	14.85	15.73	1187427	47786972.00
2015/07/22	15.65	16.04	14.97	15.47	1005664	39811656.00
2015/07/23	15.54	16.58	15.26	16.45	2469084	101170744.00
