603607 京华激光 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/10/25	16.21	16.21	16.21	16.21	11892	274705.19
2017/10/26	17.86	17.86	17.86	17.86	2100	53361.00
2017/10/27	19.68	19.68	19.68	19.68	2780	77701.00
2017/10/30	21.68	21.68	21.68	21.68	7500	230625.00
2017/10/31	23.88	23.88	23.88	23.88	18768	634921.44
2017/11/01	26.29	26.29	26.29	26.29	34000	1265140.00
2017/11/02	28.95	28.95	28.95	28.95	75200	3077936.00
2017/11/03	31.87	31.87	31.87	31.87	134761	6066940.00
2017/11/06	35.09	35.09	35.09	35.09	89308	4422532.00
2017/11/07	38.62	38.62	38.62	38.62	856616	46659872.00
2017/11/08	42.51	42.51	42.51	42.51	576247	34528720.00
2017/11/09	45.43	46.79	44.71	46.79	6961032	451211456.00
2017/11/10	49.00	51.00	48.29	48.89	15659406	1087818752.00
2017/11/13	47.79	49.86	47.79	48.23	9934862	681842304.00
2017/11/14	47.21	47.79	43.38	43.38	10616891	675478336.00
2017/11/15	42.42	44.63	41.58	43.51	7355103	445169504.00
2017/11/16	41.89	42.76	39.14	39.14	7900007	449623584.00
2017/11/17	38.16	38.76	35.91	36.28	5927441	314692416.00
2017/11/20	36.19	37.00	34.59	36.88	3643447	186986208.00
2017/11/21	36.56	36.87	34.01	35.88	5143521	257643664.00
2017/11/22	35.79	36.97	35.14	36.68	4803561	245247200.00
2017/11/23	36.14	36.56	34.04	34.27	3853023	193022048.00
2017/11/24	33.87	34.56	32.84	32.94	2875332	136651088.00
2017/11/27	32.56	33.64	32.21	33.26	2872012	134536048.00
2017/11/28	33.00	33.90	33.00	33.56	2834007	133954504.00
2017/11/29	33.99	34.77	32.32	33.89	4701091	223891408.00
2017/11/30	33.50	34.27	33.07	33.91	3337902	159035824.00
2017/12/01	33.57	33.97	33.04	33.45	2227282	105563576.00
2017/12/04	33.00	33.00	30.08	30.08	3434955	148976112.00
2017/12/05	28.71	29.36	27.22	27.51	3502626	140026576.00
2017/12/06	27.77	28.19	27.33	28.16	1950282	76753240.00
2017/12/07	28.11	28.24	27.51	27.65	1710141	67407216.00
2017/12/08	27.65	29.29	27.65	28.68	3362978	136460128.00
2017/12/11	28.56	28.94	28.43	28.75	1925785	78124848.00
2017/12/12	28.43	28.56	26.74	26.89	2625720	102547352.00
2017/12/13	26.90	28.24	26.88	27.84	2645032	103700912.00
2017/12/14	27.92	28.61	27.21	28.42	2754563	109345080.00
2017/12/15	28.14	28.68	27.71	27.94	1986504	79168944.00
2017/12/18	27.89	28.07	26.93	27.59	1571699	61002000.00
2017/12/19	27.59	27.93	27.29	27.79	1361166	53261788.00
2017/12/20	27.65	27.91	26.44	26.93	1744355	67140672.00
2017/12/21	26.64	27.68	26.05	27.18	2145092	82221128.00
2017/12/22	27.00	27.67	27.00	27.17	1587266	61362220.00
2017/12/25	27.03	27.57	26.14	27.34	2075005	78849464.00
2017/12/26	27.56	29.66	27.29	28.99	4834035	195929408.00
2017/12/27	28.60	29.75	28.20	29.06	4523472	185773008.00
2017/12/28	28.64	30.07	28.50	29.36	3581210	148677984.00
2017/12/29	29.36	29.83	28.60	28.79	2514086	103252520.00
2018/01/02	28.96	29.03	28.44	28.86	1856980	75539896.00
2018/01/03	28.84	29.21	27.89	28.81	2787515	112400928.00
2018/01/04	28.71	28.93	28.32	28.66	1746493	70694232.00
2018/01/05	28.49	28.95	28.45	28.48	1597470	64698660.00
2018/01/08	28.44	28.78	27.65	28.54	2213274	88280520.00
2018/01/09	28.45	31.04	28.18	30.79	5777262	241967584.00
2018/01/10	29.87	30.42	28.94	29.67	4399272	185480544.00
2018/01/11	29.09	30.78	28.79	30.23	4254759	181488688.00
2018/01/12	30.29	32.07	30.11	30.65	4588185	201045232.00
2018/01/15	30.47	31.91	28.86	31.01	4723055	203382176.00
2018/01/16	31.00	33.29	30.28	32.73	7100068	323136864.00
2018/01/17	32.05	33.41	31.48	32.72	5781551	265002800.00
2018/01/18	32.35	32.94	31.86	32.00	3590096	163710096.00
2018/01/19	32.06	32.77	30.82	30.92	3575169	160127152.00
2018/01/22	30.15	30.64	29.18	29.88	2619634	111335264.00
2018/01/23	29.88	30.45	29.52	30.36	2527373	107125768.00
2018/01/24	30.36	31.16	30.07	30.54	2206179	95382888.00
2018/01/25	30.93	31.28	30.07	30.11	1983216	86159848.00
2018/01/26	29.82	31.02	29.79	30.35	2570518	110900720.00
2018/01/29	30.41	30.81	28.50	29.61	2313743	96919544.00
2018/01/30	29.47	29.68	28.57	28.86	1612863	66096796.00
2018/01/31	28.59	29.13	26.24	26.84	2758055	108056712.00
2018/02/01	26.89	27.14	25.11	25.56	2412591	88379944.00
2018/02/02	25.29	26.05	24.27	25.48	1597232	57181060.00
2018/02/05	25.16	25.16	24.08	24.34	1508374	52450580.00
2018/02/06	23.32	23.64	21.87	21.87	2013252	64963912.00
2018/02/07	22.49	22.56	20.91	22.06	2045272	63891968.00
2018/02/08	22.02	22.56	21.64	22.11	1210548	38126024.00
2018/02/09	20.96	21.81	20.54	20.69	1344714	40267372.00
2018/02/12	21.14	22.49	20.83	22.06	1689653	52128692.00
2018/02/13	22.21	22.29	21.51	21.55	1222980	37814736.00
2018/02/14	21.62	21.84	21.32	21.67	869018	26651386.00
2018/02/22	21.83	22.18	21.76	22.09	847810	26455978.00
2018/02/23	22.15	23.50	21.96	22.92	1706270	54956600.00
2018/02/26	23.21	23.99	23.00	23.53	1764103	58695600.00
2018/02/27	23.64	23.96	23.21	23.71	1730324	57794364.00
2018/02/28	23.36	23.64	22.93	23.03	1101968	36175908.00
2018/03/01	22.68	23.58	22.65	23.41	1561848	51618460.00
2018/03/02	23.20	23.46	22.86	22.94	1201445	39405984.00
2018/03/05	22.96	23.81	22.95	23.76	1540800	51092004.00
2018/03/06	23.77	24.40	23.52	24.20	2111534	71917416.00
2018/03/07	24.49	24.49	23.72	24.36	1678185	57411340.00
2018/03/08	24.34	24.96	24.13	24.94	2183363	76415800.00
2018/03/09	24.94	25.53	24.75	25.34	2233363	79607688.00
2018/03/12	26.13	26.42	25.51	25.81	2507494	92001376.00
2018/03/13	25.77	26.79	25.50	25.51	2246250	83224152.00
2018/03/14	25.28	25.56	24.94	25.20	1583546	56471056.00
2018/03/15	24.71	24.98	22.79	23.65	2824714	94992432.00
2018/03/16	23.50	23.82	23.35	23.50	1103823	36927500.00
2018/03/19	23.50	24.29	23.50	24.21	1306110	44521960.00
2018/03/20	23.93	25.03	23.82	25.00	2009586	70314104.00
2018/03/21	24.96	25.54	24.52	24.65	2252163	80219480.00
2018/03/22	24.68	25.81	24.63	25.35	2181478	78373088.00
2018/03/23	24.00	24.51	22.79	22.79	2332224	77995896.00
2018/03/26	22.08	23.70	21.65	23.64	1309308	42227480.00
2018/03/27	23.98	24.79	23.98	24.71	1706274	59243880.00
2018/03/28	24.43	25.86	24.29	25.41	2325600	83082984.00
2018/03/29	25.46	26.84	24.80	26.16	3346800	122988960.00
2018/03/30	25.56	26.27	25.15	26.01	3168309	115375232.00
2018/04/02	25.91	26.26	25.61	25.73	2636042	96895888.00
2018/04/03	25.46	27.09	24.93	26.92	4073549	149997488.00
2018/04/04	26.84	27.07	26.01	26.03	2935710	110337424.00
2018/04/09	26.00	26.81	25.21	26.77	2768046	102510824.00
2018/04/10	26.99	28.97	26.21	28.61	6116313	240680240.00
2018/04/11	29.41	31.50	28.29	31.50	9029103	394344256.00
2018/04/12	32.56	34.68	32.27	32.34	13644274	648406400.00
2018/04/13	29.65	30.91	29.08	29.08	9035564	380871552.00
2018/04/16	28.00	28.50	27.15	27.58	4793365	189115216.00
2018/04/17	27.68	28.23	27.15	27.33	3743200	146845184.00
2018/04/18	27.51	27.67	25.43	26.97	4076987	152963424.00
2018/04/19	26.85	27.79	26.51	27.61	3863542	149045728.00
2018/04/20	27.21	27.52	25.41	25.43	3019586	112806304.00
2018/04/23	24.70	25.88	24.70	25.77	1706144	61614548.00
2018/04/24	25.47	27.12	25.47	26.91	2719135	101877984.00
2018/04/25	26.62	28.14	26.62	27.51	3450798	134183016.00
2018/04/26	27.59	27.79	25.46	25.81	2417026	90946176.00
2018/04/27	26.14	26.71	25.86	26.01	1486188	55168116.00
2018/05/02	26.27	26.41	25.56	25.64	1244489	45780076.00
2018/05/03	25.83	26.76	24.97	26.72	1906311	69993800.00
2018/05/04	26.44	27.21	26.43	26.76	2161382	82079944.00
2018/05/07	27.01	28.14	26.99	27.80	3220157	126081280.00
2018/05/08	27.63	27.98	27.22	27.97	2796471	109180816.00
2018/05/09	27.89	28.20	27.70	27.91	2197317	86768840.00
2018/05/10	28.13	28.13	27.15	27.64	1970643	77144440.00
2018/05/11	27.60	27.74	26.39	26.48	2004343	76451992.00
2018/05/14	26.46	27.04	26.01	26.31	1191900	44769644.00
2018/05/15	26.23	27.14	26.23	27.12	1617780	61172756.00
2018/05/16	26.91	27.12	26.64	26.71	1190789	45179652.00
2018/05/17	26.71	27.21	26.71	26.99	1239514	47241084.00
2018/05/18	27.00	29.29	27.00	28.91	5873917	234744768.00
2018/05/21	29.29	29.51	28.32	29.34	5315349	217926864.00
2018/05/22	28.92	29.46	28.65	29.43	3564434	146522656.00
2018/05/23	29.46	30.64	28.85	29.84	4603683	192241632.00
2018/05/24	29.34	29.70	28.91	29.14	2714053	112403648.00
2018/05/25	29.00	29.90	28.30	29.26	2380700	70042416.00
2018/05/28	29.04	29.07	26.59	26.93	3668274	102639120.00
2018/05/29	26.70	29.62	26.59	29.62	3414040	99146712.00
2018/05/30	30.51	32.18	27.88	28.36	14684857	447802912.00
2018/05/31	27.25	31.20	27.25	31.20	6813257	200164176.00
2018/06/01	32.63	33.80	30.13	31.51	15990278	512410176.00
2018/06/04	31.01	31.48	29.60	29.68	8271873	249823344.00
2018/06/05	29.70	30.97	29.70	30.63	7440710	226239904.00
2018/06/06	32.00	33.69	32.00	33.69	7409196	244629472.00
2018/06/07	33.69	33.69	31.70	31.76	11846951	386860128.00
2018/06/08	30.99	31.76	29.80	31.37	7248769	222799312.00
2018/06/11	30.80	32.97	30.41	32.42	9147534	294787040.00
2018/06/12	31.61	32.09	29.20	31.44	7447051	230265856.00
2018/06/13	30.90	31.16	29.11	29.60	5525738	166714224.00
2018/06/14	29.12	30.58	28.65	29.89	4448588	131845960.00
2018/06/15	29.60	29.99	27.86	28.10	3960036	113587728.00
2018/06/19	28.00	28.00	25.29	25.29	3767629	97665464.00
2018/06/20	24.53	26.00	24.01	25.40	3567475	90260160.00
2018/06/21	25.40	25.99	24.44	24.56	3406270	86377312.00
2018/06/22	23.85	25.30	23.85	25.00	3048614	75945032.00
2018/06/25	25.01	25.85	25.00	25.28	3025799	76607576.00
2018/06/26	24.65	26.69	24.18	26.26	4028080	102980952.00
2018/06/27	26.06	27.28	25.81	26.53	4947926	131426872.00
2018/06/28	26.15	26.84	25.17	25.32	3310968	86526560.00
2018/06/29	25.73	26.73	25.40	26.50	3917452	103309992.00
2018/07/02	26.14	26.97	25.85	26.20	4061268	107423472.00
2018/07/03	26.29	26.75	25.25	26.70	3636032	95616880.00
2018/07/04	26.50	26.51	24.30	25.07	3392572	86924472.00
2018/07/05	25.06	25.77	24.50	25.01	2807800	71125992.00
2018/07/06	25.00	25.50	23.88	24.56	3083060	76326344.00
2018/07/09	24.79	25.68	24.71	25.37	2533200	64005576.00
2018/07/10	25.62	26.66	25.37	26.45	4799590	125237416.00
2018/07/11	25.15	25.87	24.56	25.39	3957769	100178528.00
2018/07/12	25.35	27.93	25.35	27.93	5566658	149169232.00
2018/07/13	28.10	28.88	27.11	27.53	7492991	207443024.00
2018/07/16	27.64	28.11	27.27	28.08	5001943	138807104.00
2018/07/17	27.89	27.96	27.13	27.65	3775896	103897432.00
2018/07/18	27.63	27.68	26.83	26.94	2668627	72849792.00
2018/07/19	27.04	27.37	26.50	26.78	1969000	52828784.00
2018/07/20	26.65	27.86	26.61	27.83	3915703	107286440.00
2018/07/23	27.65	28.16	27.37	27.93	3522752	97508576.00
2018/07/24	27.81	28.19	27.42	28.04	4189411	116807472.00
2018/07/25	28.05	28.14	27.10	27.16	3408511	94056584.00
2018/07/26	27.00	27.16	25.75	25.85	3498398	91941584.00
2018/07/27	25.90	26.09	25.49	25.96	1793387	46307496.00
2018/07/30	25.84	25.89	24.80	24.99	1790020	45237592.00
2018/07/31	25.01	25.19	24.81	25.08	1048458	26250464.00
2018/08/01	25.20	26.79	25.12	25.68	3556342	92546016.00
2018/08/02	24.68	24.98	23.38	24.17	3061704	74081960.00
2018/08/03	24.02	24.63	23.49	23.54	1568196	37755528.00
2018/08/06	23.60	23.95	22.80	22.92	1499454	34935032.00
2018/08/07	23.40	23.80	22.50	23.73	1929060	44978000.00
2018/08/08	23.42	23.70	22.31	22.56	1787200	41140572.00
2018/08/09	22.26	23.40	22.26	23.11	1781508	41105040.00
2018/08/10	23.00	23.59	22.88	23.29	1591220	36929308.00
