603612 索通发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/07/18	7.62	7.62	7.62	7.62	20200	229270.00
2017/07/19	8.44	8.44	8.44	8.44	9200	114908.00
2017/07/20	9.33	9.33	9.33	9.33	8000	109920.00
2017/07/21	10.31	10.31	10.31	10.31	37375	564736.25
2017/07/24	11.39	11.39	11.39	11.39	96400	1602168.00
2017/07/25	12.57	12.57	12.57	12.57	111900	2045532.00
2017/07/26	13.88	13.88	13.88	13.88	92967	1869566.38
2017/07/27	15.32	15.32	15.32	15.32	197032	4358348.00
2017/07/28	16.90	16.90	16.90	16.90	320660	7801658.00
2017/07/31	18.63	18.63	18.63	18.63	252758	6763804.00
2017/08/01	20.55	20.55	20.55	20.55	698703	20569816.00
2017/08/02	22.65	22.65	22.65	22.65	1020057	33029446.00
2017/08/03	24.96	24.96	24.96	24.96	364692	12990329.00
2017/08/04	27.50	27.50	27.50	27.50	395299	15487815.00
2017/08/07	30.30	30.30	30.30	30.30	1760349	75871040.00
2017/08/08	33.38	33.38	33.38	33.38	1101368	52215856.00
2017/08/09	36.77	36.77	36.77	36.77	748908	39055552.00
2017/08/10	36.66	37.37	33.05	33.05	39893077	1957513088.00
2017/08/11	33.70	34.07	30.80	31.26	25949552	1190757888.00
2017/08/14	32.33	32.82	31.46	31.60	18088658	825849344.00
2017/08/15	30.95	34.80	30.59	34.80	27664132	1304583040.00
2017/08/16	36.00	36.93	35.00	35.62	28055155	1433149184.00
2017/08/17	39.22	39.24	38.23	39.24	12751836	707528896.00
2017/08/18	40.07	43.05	38.10	40.70	26635709	1507036928.00
2017/08/21	41.36	44.82	41.16	44.82	19309567	1172393600.00
2017/08/22	44.36	46.20	42.45	43.75	19106876	1195141120.00
2017/08/23	44.00	46.16	42.76	43.12	19792183	1242042496.00
2017/08/24	43.59	44.17	39.67	40.15	21203096	1247844480.00
2017/08/25	39.92	44.22	39.80	44.04	24842188	1496914688.00
2017/08/28	43.22	45.15	42.02	43.74	20899573	1285803264.00
2017/08/29	43.10	46.20	42.61	43.25	20604713	1301346944.00
2017/08/30	42.37	44.69	40.96	44.03	16998912	1028288704.00
2017/08/31	43.80	48.41	43.23	46.70	20141304	1322282880.00
2017/09/01	46.20	49.52	46.12	46.71	18679119	1254958336.00
2017/09/04	47.37	48.81	46.45	46.83	12724821	852268672.00
2017/09/05	47.26	48.32	46.45	47.74	10841818	725392192.00
2017/09/06	46.67	48.87	46.52	47.37	11090700	746305664.00
2017/09/07	47.09	48.50	45.73	47.59	14303933	952901056.00
2017/09/08	47.02	52.40	46.91	52.40	24206637	1735768320.00
2017/09/11	50.95	52.73	50.42	52.47	13623780	993865536.00
2017/09/12	53.59	54.97	48.02	48.37	20706493	1522799360.00
2017/09/13	47.55	49.91	47.02	48.72	10614235	727623872.00
2017/09/14	48.29	49.45	47.27	47.30	9083788	618441024.00
2017/09/15	47.87	48.45	46.35	47.70	8603568	576399232.00
2017/09/18	46.84	47.37	45.59	46.72	6863826	452978496.00
2017/09/19	46.75	50.90	46.73	49.67	11234880	773837376.00
2017/09/20	49.68	52.02	49.20	51.47	11776079	841472256.00
2017/09/21	51.18	55.86	50.86	52.35	14706583	1106569600.00
2017/09/22	50.95	52.18	48.48	50.03	11725504	836082112.00
2017/09/25	49.34	50.41	48.09	48.32	7262553	505588896.00
2017/09/26	48.11	50.00	48.10	49.07	6607564	458616960.00
2017/09/27	48.46	49.50	47.37	48.96	6382279	437720000.00
2017/09/28	49.37	51.15	49.15	50.39	7615270	541782400.00
2017/09/29	50.49	50.95	47.65	48.32	8298917	574694976.00
2017/10/09	48.99	49.12	47.00	47.81	5613684	378700832.00
2017/10/10	47.60	48.50	47.41	47.95	4674142	317214816.00
2017/10/11	47.59	47.94	43.10	43.10	9250619	581796800.00
2017/10/12	41.66	42.30	38.75	40.12	14058730	799658176.00
2017/10/13	39.74	40.54	39.60	39.95	5761532	326376128.00
2017/10/16	39.87	40.36	37.75	39.25	8411883	464176000.00
2017/10/17	38.80	39.27	37.37	37.82	6821883	370960032.00
2017/10/18	37.84	38.35	36.93	37.10	5751304	306646720.00
2017/10/19	37.08	37.72	36.73	37.52	4802868	253773456.00
2017/10/20	37.40	39.47	37.16	39.32	8129490	445810144.00
2017/10/23	38.92	39.28	38.37	38.81	4782050	262885152.00
2017/10/24	38.74	39.82	38.42	39.55	5712312	317426400.00
2017/10/25	39.45	40.65	39.12	40.62	6829817	387261984.00
2017/10/26	39.87	43.00	39.52	41.57	11736317	681124992.00
2017/10/27	40.95	41.52	39.37	39.47	8086507	463788800.00
2017/10/30	38.82	39.30	37.50	38.16	6612970	360609536.00
2017/10/31	38.11	40.45	37.82	40.37	8089202	452947680.00
2017/11/01	40.59	43.50	40.26	41.96	11767565	698208960.00
2017/11/02	42.37	45.55	42.02	43.70	13018803	811254144.00
2017/11/03	43.00	43.70	42.13	43.33	7858547	478659552.00
2017/11/06	43.42	44.87	42.87	44.02	7273613	452244576.00
2017/11/07	44.09	44.81	42.73	43.70	7395413	457585536.00
2017/11/08	43.09	44.83	42.88	43.41	7582031	472097568.00
2017/11/09	42.86	44.73	42.86	43.92	6801006	423222496.00
2017/11/10	43.80	44.70	43.15	44.49	8358983	519619616.00
2017/11/13	44.52	46.65	44.50	46.62	11181343	724581120.00
2017/11/14	46.62	48.66	45.80	46.85	11733251	780384576.00
2017/11/15	45.45	46.37	43.80	43.88	8974603	574090368.00
2017/11/16	43.52	44.35	42.02	42.17	6654618	406714880.00
2017/11/17	41.86	42.72	37.92	38.76	9937076	561556800.00
2017/11/20	38.75	39.85	35.62	39.60	5543275	300349568.00
2017/11/21	38.95	39.79	37.66	38.55	5057944	277225376.00
2017/11/22	38.62	39.27	37.30	38.29	3984349	217414768.00
2017/11/23	37.64	39.27	37.50	37.52	4615405	251734928.00
2017/11/24	37.23	38.56	37.21	38.39	4566053	245693552.00
2017/11/27	38.01	38.06	34.50	34.53	5925065	307872448.00
2017/11/28	34.59	35.43	34.00	35.15	4119197	203258608.00
2017/11/29	35.07	36.45	34.25	36.03	5813774	292291264.00
2017/11/30	35.72	36.80	35.47	35.57	3540049	180938912.00
2017/12/01	35.82	35.92	34.96	35.60	2711632	136758768.00
2017/12/04	35.60	35.78	32.30	32.47	5884609	279034112.00
2017/12/05	32.14	32.98	30.23	30.87	4369596	197152688.00
2017/12/06	30.87	32.61	30.72	32.57	4055624	182145280.00
2017/12/07	32.37	32.99	32.13	32.20	3547494	164474960.00
2017/12/08	31.89	33.45	31.88	33.00	3335119	156347520.00
2017/12/11	33.08	33.77	32.41	33.70	3271593	154355632.00
2017/12/12	33.80	34.87	33.46	33.63	4656310	225497584.00
2017/12/13	33.37	34.19	33.30	33.91	2450362	117634200.00
2017/12/14	33.91	34.43	33.66	33.94	2382890	115062032.00
2017/12/15	33.80	34.14	32.41	32.47	3748815	177066016.00
2017/12/18	32.43	32.96	31.77	32.69	2677642	123345368.00
2017/12/19	32.63	32.95	32.38	32.70	2168330	100669440.00
2017/12/20	32.69	32.84	31.26	31.33	3011506	135995024.00
2017/12/21	31.52	32.20	31.33	31.92	2768802	125445032.00
2017/12/22	32.09	33.80	31.94	33.32	4702654	221307808.00
2017/12/25	33.15	34.50	32.52	34.40	5894938	280529280.00
2017/12/26	34.02	36.25	33.76	35.37	7305743	364248352.00
2017/12/27	35.04	37.14	34.78	34.87	6774607	345891040.00
2017/12/28	34.62	36.54	34.62	36.14	6673518	340113312.00
2017/12/29	36.46	36.66	34.80	35.18	4990157	251835776.00
2018/01/02	35.23	35.80	34.75	35.51	3226601	162335440.00
2018/01/03	35.38	36.62	35.38	35.85	4031244	205352896.00
2018/01/04	35.56	37.86	35.09	37.75	9879043	511981696.00
2018/01/05	41.47	41.57	39.30	39.46	18685142	1083205888.00
2018/01/08	38.80	40.59	38.55	39.46	10600382	594972864.00
2018/01/09	38.99	39.92	38.62	39.16	7583899	421545984.00
2018/01/10	38.81	38.85	37.08	37.35	7674729	412071104.00
2018/01/11	37.02	37.30	36.30	37.01	5100482	266684720.00
2018/01/12	37.37	38.01	36.02	36.26	5222295	273463072.00
2018/01/15	35.95	35.98	32.86	33.35	7179751	349958048.00
2018/01/16	33.24	34.21	33.24	33.89	3662194	175643088.00
2018/01/17	34.09	35.14	33.51	34.72	4732085	231525568.00
2018/01/18	35.02	35.85	34.67	34.92	4349465	218112800.00
2018/01/19	34.64	35.57	34.40	34.44	3688674	182439200.00
2018/01/22	33.89	34.47	33.23	34.32	3178200	153005408.00
2018/01/23	34.49	36.57	34.34	36.14	6572328	332328544.00
2018/01/24	35.92	36.29	35.37	36.19	4476094	227530288.00
2018/01/25	35.96	36.65	35.43	35.46	4013626	204864800.00
2018/01/26	35.00	35.38	34.21	34.31	3559765	175904960.00
2018/01/29	33.98	35.34	33.98	35.18	4002476	198019728.00
2018/01/30	34.93	35.93	34.17	35.12	4167850	208503552.00
2018/01/31	35.10	35.16	32.48	32.89	5195116	249036544.00
2018/02/01	33.09	33.73	32.03	32.87	3266282	153306336.00
