603661 恒林股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/11/21	67.37	81.02	67.37	81.02	24600	2001336.00
2017/11/22	89.21	89.21	89.21	89.21	21884	1971748.38
2017/11/23	98.22	98.22	98.22	98.22	29953	2968641.75
2017/11/24	104.13	104.13	88.31	88.31	8658049	802985024.00
2017/11/27	85.16	96.11	84.74	91.00	8116940	750624896.00
2017/11/28	88.91	92.61	88.12	89.37	4385071	396889056.00
2017/11/29	89.11	89.11	83.81	86.02	5000376	432957888.00
2017/11/30	86.11	87.01	83.83	85.21	3959905	341685376.00
2017/12/01	84.31	85.99	83.61	84.07	2914390	248974896.00
2017/12/04	83.11	83.11	75.72	76.05	5112253	405833824.00
2017/12/05	75.10	77.08	70.40	72.18	3993319	298286240.00
2017/12/06	71.99	73.50	71.33	73.48	2575494	189431040.00
2017/12/07	72.82	73.01	71.11	71.15	2242281	163428816.00
2017/12/08	71.04	73.51	71.03	72.19	2618415	192099680.00
2017/12/11	72.08	72.90	71.72	72.25	1776541	129755160.00
2017/12/12	72.25	72.85	69.89	69.91	2351774	169593280.00
2017/12/13	70.02	70.52	69.61	70.20	1361263	96609336.00
2017/12/14	70.16	72.61	69.76	71.55	2378252	172164432.00
2017/12/15	70.91	71.29	69.86	70.13	1753742	124759872.00
2017/12/18	70.16	70.50	68.51	68.91	1445240	101486832.00
2017/12/19	68.98	69.40	68.81	69.21	1066982	74674272.00
2017/12/20	69.37	69.37	67.42	67.59	1582348	109172288.00
2017/12/21	67.27	67.58	65.37	66.69	1828072	123369280.00
2017/12/22	66.43	67.46	66.12	66.27	1331171	90153008.00
2017/12/25	66.30	66.50	63.92	64.84	1946076	127806792.00
2017/12/26	64.75	68.24	64.38	67.45	2743644	185775488.00
2017/12/27	67.30	70.61	66.19	68.88	3845363	267079952.00
2017/12/28	68.09	69.76	67.48	68.40	2482736	172657488.00
2017/12/29	68.38	69.78	67.11	67.61	1492525	103201712.00
2018/01/02	67.63	68.08	67.33	67.65	1137473	78064200.00
2018/01/03	67.66	68.01	65.71	66.32	2144394	144174736.00
2018/01/04	66.38	66.54	65.64	65.73	1581806	105765216.00
2018/01/05	65.85	66.72	65.52	66.23	1589590	106543272.00
2018/01/08	66.39	68.21	66.01	68.20	2655227	181051664.00
2018/01/09	68.11	68.61	67.17	67.35	2145640	147639744.00
2018/01/10	67.11	67.30	65.17	65.54	1849738	123799688.00
2018/01/11	65.54	66.66	65.54	66.19	1301274	87379560.00
2018/01/12	66.01	66.91	65.33	66.75	1934816	129793824.00
2018/01/15	66.54	66.54	64.11	64.35	1697312	111910128.00
2018/01/16	64.21	65.75	64.13	65.22	1475524	97463160.00
2018/01/17	65.41	67.59	64.63	67.46	2688634	180617488.00
2018/01/18	67.12	68.60	66.56	66.73	2204620	150603280.00
2018/01/19	66.15	68.11	66.14	66.53	1840336	125173496.00
2018/01/22	66.55	69.01	66.55	68.00	2410397	165935840.00
2018/01/23	67.41	68.41	66.93	67.35	1562408	106759376.00
2018/01/24	67.31	67.97	66.61	67.88	1691631	115568816.00
2018/01/25	67.69	68.91	67.40	67.72	2281689	157820912.00
2018/01/26	67.23	67.69	65.71	65.81	1788179	120539992.00
2018/01/29	65.84	66.10	64.55	65.06	1221720	80735480.00
2018/01/30	64.76	65.52	64.73	65.24	712514	47024276.00
2018/01/31	65.36	65.36	61.61	61.92	1853878	119084728.00
2018/02/01	61.92	62.55	58.77	58.82	1765662	107720904.00
2018/02/02	58.23	58.70	56.21	58.08	992538	58205860.00
2018/02/05	57.09	57.99	56.44	57.18	638287	37177636.00
2018/02/06	56.46	58.07	55.16	55.37	1408356	81181056.00
2018/02/07	56.52	56.91	54.41	55.90	1051680	59656980.00
2018/02/08	55.61	56.69	55.51	55.97	771017	43959440.00
2018/02/09	54.97	55.51	53.41	53.49	1126140	62151976.00
2018/02/12	54.10	54.98	53.93	54.64	750360	41666840.00
2018/02/13	55.11	55.11	54.20	54.24	822196	45597840.00
2018/02/14	54.37	54.49	53.86	54.07	481370	26465742.00
2018/02/22	54.64	54.98	54.33	54.88	664996	36980336.00
2018/02/23	54.91	56.31	54.76	55.97	910224	51523236.00
2018/02/26	56.71	57.11	56.31	57.03	1163217	67109888.00
2018/02/27	57.03	57.03	56.04	56.27	1056535	60449776.00
2018/02/28	55.94	55.94	55.14	55.56	861042	48558632.00
2018/03/01	55.14	55.89	54.83	55.66	796214	44983828.00
2018/03/02	55.27	56.58	55.20	55.60	801097	45449740.00
2018/03/05	55.29	55.91	55.29	55.87	598990	33881376.00
2018/03/06	56.28	56.69	55.86	56.66	965616	55194788.00
2018/03/07	56.77	56.90	55.91	55.94	942412	53972120.00
2018/03/08	56.01	56.84	55.72	56.80	1212669	69541768.00
2018/03/09	56.91	58.10	56.73	57.79	1643951	95902912.00
2018/03/12	57.80	58.80	57.62	58.03	1343220	79303736.00
2018/03/13	57.91	57.93	56.82	56.87	1200418	69748328.00
2018/03/14	56.89	57.68	56.71	57.02	846846	49191936.00
2018/03/15	56.86	56.86	54.61	55.11	1372313	77232016.00
2018/03/16	55.10	55.57	54.74	54.79	713801	39979060.00
2018/03/19	54.80	55.67	54.29	55.40	672495	37757416.00
2018/03/20	54.61	55.34	54.35	55.13	645830	36026780.00
2018/03/21	55.32	56.41	55.32	55.86	1162991	66044068.00
2018/03/22	55.82	56.38	55.12	55.76	743919	42209828.00
2018/03/23	54.00	54.00	50.10	50.10	2217850	116578960.00
2018/03/26	48.90	49.58	47.11	49.43	1150793	56675512.00
2018/03/27	49.95	52.07	49.71	51.34	1407582	72970688.00
2018/03/28	50.11	50.89	49.66	50.29	740169	37968472.00
2018/03/29	50.50	51.61	50.45	51.30	881816	45912888.00
2018/03/30	51.49	51.67	51.21	51.39	821990	43024972.00
2018/04/02	51.50	52.07	51.14	51.19	764313	40142448.00
2018/04/03	50.06	50.44	49.80	50.09	798458	40685168.00
2018/04/04	50.23	55.05	50.23	53.02	2342126	126126448.00
2018/04/09	52.61	52.61	51.13	52.24	1283599	67836840.00
2018/04/10	52.19	54.39	52.19	53.72	1641261	89316200.00
2018/04/11	54.21	54.49	53.12	53.99	1191028	65096656.00
2018/04/12	53.75	54.48	53.50	53.88	1076013	59095924.00
2018/04/13	54.41	56.98	54.32	54.46	2003960	113011336.00
2018/04/16	54.12	54.12	51.80	52.43	1082184	58358020.00
2018/04/17	52.52	53.46	51.12	51.28	797538	42438336.00
2018/04/18	52.15	52.20	50.11	51.77	755220	39201500.00
2018/04/19	51.39	52.25	51.34	51.50	694817	36596348.00
2018/04/20	51.21	51.21	49.99	50.21	705254	36255572.00
2018/04/23	48.11	48.69	47.61	48.46	1174188	57566816.00
2018/04/24	48.41	49.51	48.17	49.34	733252	36602052.00
2018/04/25	49.11	49.68	48.91	49.29	646018	32374750.00
2018/04/26	49.30	49.48	47.92	47.96	680514	33556596.00
2018/04/27	48.17	48.61	47.97	48.33	439868	21665758.00
2018/05/02	44.42	45.91	43.71	44.00	1759597	79996232.00
2018/05/03	44.01	44.56	43.15	44.41	921044	41253912.00
2018/05/04	44.23	44.31	43.65	43.71	752096	33697784.00
2018/05/07	43.74	44.76	43.72	44.59	764211	34622060.00
2018/05/08	45.30	46.44	44.91	46.04	1224815	57168068.00
2018/05/09	46.15	46.15	45.19	45.71	761429	35300080.00
2018/05/10	45.57	47.09	45.56	46.71	1065196	50486908.00
2018/05/11	46.62	46.71	45.77	45.92	632120	29709528.00
2018/05/14	45.27	45.96	44.72	45.06	574061	26521884.00
2018/05/15	45.08	45.93	44.92	45.86	530467	24598200.00
2018/05/16	45.87	45.87	45.32	45.34	442971	20570556.00
2018/05/17	45.37	45.66	45.17	45.49	517763	23971708.00
2018/05/18	45.39	45.70	44.97	45.49	566092	26140280.00
2018/05/21	45.49	46.68	45.49	46.48	986338	46560488.00
2018/05/22	46.81	48.47	46.58	47.92	1554117	75622080.00
2018/05/23	47.60	48.40	47.11	47.24	1009904	48995164.00
2018/05/24	47.34	48.05	47.22	47.87	738265	35793692.00
2018/05/25	48.01	48.27	47.51	47.92	1035343	50549704.00
2018/05/28	48.01	48.02	45.06	45.74	986121	45386712.00
2018/05/29	45.64	46.44	45.50	45.69	610375	28010670.00
2018/05/30	45.50	45.50	43.43	43.54	1004326	44476996.00
2018/05/31	43.70	44.62	43.70	44.34	597156	26439178.00
2018/06/01	44.56	48.77	44.50	47.89	2966573	142514944.00
2018/06/04	47.10	48.82	46.58	48.57	2074085	99407664.00
2018/06/05	48.20	48.46	47.50	48.28	1440558	69215328.00
2018/06/06	48.42	48.43	47.45	47.89	1186562	56732108.00
2018/06/07	47.90	48.10	46.11	46.29	1218378	57275108.00
2018/06/08	46.00	46.00	44.80	45.49	895584	40687040.00
2018/06/11	45.26	46.27	45.26	45.50	621532	28433738.00
2018/06/12	45.50	46.00	44.80	45.91	678743	30961664.00
2018/06/13	45.71	45.93	44.44	44.45	877538	39484792.00
2018/06/14	43.85	45.23	43.85	45.04	607382	27193324.00
2018/06/15	45.00	45.49	43.54	43.98	656133	29140610.00
2018/06/19	43.70	43.70	39.58	39.62	1415946	58436400.00
2018/06/20	39.46	40.45	39.00	39.88	727428	28941300.00
2018/06/21	40.00	40.20	38.12	38.16	746359	29229282.00
2018/06/22	38.26	38.98	37.35	38.55	596700	22922334.00
2018/06/25	39.49	39.50	38.59	38.85	629012	24527164.00
2018/06/26	38.38	39.38	38.06	39.20	528649	20543660.00
2018/06/27	39.38	40.19	39.20	39.39	653975	25974010.00
2018/06/28	39.25	39.98	39.01	39.23	464546	18346294.00
2018/06/29	39.69	40.40	39.27	40.21	846784	33802028.00
2018/07/02	40.21	40.38	39.31	39.52	755775	30128742.00
2018/07/03	39.68	42.97	39.40	41.72	1807178	75525056.00
2018/07/04	41.30	41.87	40.52	41.22	922140	37771512.00
2018/07/05	41.15	42.00	40.42	40.51	698698	28697156.00
2018/07/06	40.80	43.66	40.30	42.61	2199826	93148592.00
2018/07/09	42.08	42.98	41.93	42.27	1239188	52524540.00
2018/07/10	42.48	42.48	41.12	41.68	1475722	61382768.00
2018/07/11	41.10	41.10	38.13	38.96	1740821	68692656.00
2018/07/12	38.70	40.16	38.70	40.09	897075	35671832.00
2018/07/13	39.94	40.30	39.51	39.63	699442	27836100.00
2018/07/16	39.83	39.83	39.23	39.50	376558	14869856.00
2018/07/17	39.49	39.73	39.22	39.70	408038	16130769.00
2018/07/18	39.61	40.40	39.34	39.45	480600	19120088.00
2018/07/19	39.61	39.79	39.25	39.47	493700	19504500.00
2018/07/20	39.67	40.91	39.53	40.38	933900	37727584.00
2018/07/23	39.67	40.00	39.32	39.84	658074	26104342.00
2018/07/24	40.00	40.70	39.99	40.62	807882	32662116.00
2018/07/25	40.62	41.37	40.46	40.70	1001682	40905692.00
2018/07/26	40.72	40.72	40.15	40.30	834350	33670960.00
2018/07/27	40.40	40.43	39.93	39.98	430300	17261076.00
2018/07/30	40.10	40.10	39.07	39.17	631845	24895824.00
2018/07/31	39.16	39.36	38.80	39.18	296791	11616560.00
2018/08/01	39.42	39.48	38.51	38.64	373410	14555234.00
2018/08/02	38.70	38.70	36.30	36.98	659098	24577888.00
2018/08/03	37.04	37.18	36.51	36.61	329028	12110594.00
2018/08/06	36.55	36.87	35.50	35.89	424677	15422848.00
