603666 亿嘉和 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/06/12	35.34	35.34	35.34	35.34	22200	1101564.00
2018/06/13	38.89	38.89	38.89	38.89	1300	70954.00
2018/06/14	42.79	42.79	42.79	42.79	7720	463508.81
2018/06/15	47.07	47.07	47.07	47.07	43695	2885617.75
2018/06/19	51.79	51.79	51.79	51.79	145579	10574859.00
2018/06/20	56.97	56.97	56.97	56.97	106100	8477390.00
2018/06/21	62.68	62.68	62.68	62.68	50972	4479929.00
2018/06/22	68.96	68.96	68.96	68.96	2400909	232119888.00
2018/06/25	70.98	75.86	70.73	75.86	10652394	1089032704.00
2018/06/26	74.90	83.39	73.11	76.06	9916737	1073255552.00
2018/06/27	78.46	82.10	76.33	80.20	7718186	854848256.00
2018/06/28	77.26	79.09	72.40	72.79	7111603	755176640.00
2018/06/29	72.90	80.07	71.42	80.07	6302259	674441088.00
2018/07/02	82.76	86.31	80.11	81.49	7959381	926243136.00
2018/07/03	81.26	85.04	80.33	82.44	6423361	744465216.00
2018/07/04	80.61	81.30	75.10	77.16	5168728	563367168.00
2018/07/05	76.30	81.33	75.85	78.46	5342450	589156928.00
2018/07/06	78.47	86.32	78.46	82.39	8579390	1006151232.00
2018/07/09	82.11	85.50	81.34	84.26	6111677	715115392.00
2018/07/10	84.19	84.19	80.99	83.65	4789811	554651136.00
2018/07/11	80.62	82.39	78.47	82.26	4903732	553114112.00
2018/07/12	81.76	88.39	80.69	84.34	5927600	700283456.00
2018/07/13	82.76	83.90	79.30	79.58	5900796	669786432.00
2018/07/16	79.19	82.44	79.19	81.24	4057457	459374112.00
2018/07/17	80.26	85.69	78.48	85.45	6335565	734285440.00
2018/07/18	84.33	85.04	79.64	80.17	5449945	626116608.00
2018/07/19	80.61	81.54	74.76	76.81	4302010	467286144.00
2018/07/20	75.61	77.26	74.90	76.55	3039482	324978176.00
2018/07/23	76.11	77.94	74.58	76.27	2710807	289752576.00
2018/07/24	75.76	78.47	75.64	77.74	3414011	370956320.00
2018/07/25	77.15	78.46	73.40	74.00	3775970	401545056.00
2018/07/26	74.11	74.54	71.03	71.66	2748807	278688256.00
2018/07/27	70.98	72.02	70.05	70.90	1564984	155959616.00
2018/07/30	70.86	70.89	68.13	69.17	1994464	193339328.00
2018/07/31	68.83	69.39	67.47	68.51	1579500	151295136.00
2018/08/01	68.69	70.53	68.19	69.08	2003065	195075904.00
2018/08/02	68.47	68.83	66.33	67.81	1979364	187067696.00
2018/08/03	67.39	67.60	63.37	63.43	2595984	236629296.00
2018/08/06	62.74	62.75	58.22	58.55	2772454	234436592.00
2018/08/07	59.57	61.56	58.55	61.39	2555164	215786032.00
2018/08/08	61.03	61.03	56.31	57.43	2432162	200276688.00
2018/08/09	58.43	63.18	57.56	63.18	3149889	270479712.00
2018/08/10	64.54	64.60	61.89	62.75	2945389	260744176.00
2018/08/13	60.96	64.90	60.80	63.98	2789912	247416896.00
2018/08/14	63.48	64.76	62.26	63.77	2002913	177975504.00
2018/08/15	63.61	63.94	59.90	60.13	2315303	198725248.00
2018/08/16	58.40	60.90	57.62	58.94	1662499	138529904.00
2018/08/17	60.24	61.32	58.62	58.94	1880972	158189152.00
2018/08/20	58.36	62.68	57.46	62.14	2840514	240807936.00
2018/08/21	61.44	64.24	60.33	62.90	2843124	248047280.00
2018/08/22	62.41	65.73	62.41	63.84	2949163	265434896.00
2018/08/23	63.84	67.02	62.54	66.97	3207215	292407200.00
2018/08/24	68.47	69.90	65.12	65.26	4054419	382834080.00
2018/08/27	64.91	67.29	64.56	65.51	3061269	281955488.00
2018/08/28	65.47	66.11	63.87	64.83	2165739	196960752.00
2018/08/29	64.83	66.19	64.26	64.90	1630323	149244608.00
2018/08/30	64.66	65.23	63.39	63.39	1363500	122708160.00
2018/08/31	63.44	63.44	59.60	59.60	2229775	190819248.00
2018/09/03	58.95	60.96	57.64	60.84	1923202	159811584.00
2018/09/04	60.54	61.26	59.54	60.68	1414905	119955896.00
2018/09/05	60.70	62.04	59.61	59.72	1441808	123220728.00
2018/09/06	58.86	61.46	58.76	61.03	1709723	145502432.00
2018/09/07	61.97	64.61	61.59	62.47	2693080	238475664.00
2018/09/10	61.90	61.90	59.70	60.24	1537480	130630728.00
2018/09/11	60.61	62.66	60.13	62.13	1564030	134499312.00
2018/09/12	61.56	64.79	61.41	63.25	2069558	184454736.00
2018/09/13	64.19	64.81	61.96	63.54	1880097	166768960.00
2018/09/14	63.26	63.39	58.47	59.19	2174215	184953136.00
2018/09/17	58.46	58.90	57.45	57.94	1107239	90152688.00
2018/09/18	57.82	59.01	55.97	58.89	1884501	152789440.00
2018/09/19	58.27	59.88	57.48	58.48	1836762	151112288.00
2018/09/20	58.61	59.54	57.10	57.34	1357824	110962344.00
2018/09/21	57.41	59.54	57.31	59.34	1655371	136070256.00
2018/09/25	59.11	59.47	58.40	59.19	1020700	84424672.00
2018/09/26	59.31	60.51	58.84	59.65	1411312	118194880.00
2018/09/27	59.85	62.97	59.83	60.69	2307912	199069856.00
2018/09/28	61.10	61.96	60.26	61.34	1486312	127504248.00
2018/10/08	60.01	60.01	56.35	57.04	1767650	144736816.00
2018/10/09	56.97	58.17	56.56	57.44	974900	78464280.00
2018/10/10	57.47	58.69	57.19	58.13	992900	80763984.00
2018/10/11	54.96	55.10	52.31	52.31	1813212	135674656.00
2018/10/12	52.04	52.04	49.44	50.67	1702000	121098904.00
2018/10/15	51.33	51.69	49.66	50.18	1226300	86991360.00
2018/10/16	50.45	50.81	47.61	49.43	1509900	104262328.00
2018/10/17	50.71	50.86	48.10	49.86	1301900	90783888.00
2018/10/18	49.18	50.61	48.51	49.41	1427397	99086392.00
2018/10/19	48.33	51.51	47.90	51.33	1768639	124447016.00
2018/10/22	51.79	54.81	50.91	53.82	2080039	154766016.00
2018/10/23	53.10	53.73	51.30	51.30	1527100	112716408.00
2018/10/24	50.97	52.09	50.21	50.74	1127057	80702816.00
2018/10/25	48.58	50.45	48.13	50.18	1292397	89026400.00
2018/10/26	50.62	51.40	48.95	50.31	1053797	74196800.00
2018/10/29	51.16	51.73	50.26	50.72	1213843	86960568.00
2018/10/30	50.61	52.69	49.19	52.09	1678585	120591312.00
2018/10/31	50.22	51.54	49.04	51.29	2288168	161300208.00
2018/11/01	53.40	53.84	51.25	51.31	2333832	171493360.00
2018/11/02	52.40	54.33	51.67	54.04	2407497	127960880.00
2018/11/05	54.08	54.55	50.21	51.48	4044830	211947488.00
2018/11/06	50.20	50.20	46.50	48.05	4347659	208636352.00
2018/11/07	47.62	48.68	47.50	47.80	2019870	96880536.00
2018/11/08	47.90	48.29	46.67	46.67	2001435	95099168.00
2018/11/09	46.42	47.55	45.08	47.29	1917043	89009368.00
2018/11/12	46.98	49.83	46.22	49.05	3030283	147036976.00
2018/11/13	48.50	51.87	48.13	50.17	3339035	168550080.00
2018/11/14	49.99	51.55	49.65	49.81	2092258	105890712.00
2018/11/15	50.55	52.69	50.22	52.30	2900998	149781392.00
2018/11/16	53.00	56.99	53.00	53.61	3241485	176757792.00
2018/11/19	54.00	54.60	52.69	53.60	2036760	108861240.00
2018/11/20	52.60	54.00	51.54	51.80	1717580	90673200.00
2018/11/21	50.69	51.67	50.00	51.12	1794840	91259368.00
2018/11/22	51.60	52.00	50.60	50.82	1142640	58646516.00
2018/11/23	50.50	50.82	47.60	47.61	1939083	94540832.00
2018/11/26	47.01	48.10	46.24	46.94	1171748	55113476.00
2018/11/27	47.39	47.96	46.21	47.32	881520	41554220.00
2018/11/28	46.90	48.04	46.28	48.00	1173041	55431928.00
2018/11/29	48.30	48.84	46.50	46.50	1049265	50000596.00
2018/11/30	46.50	47.58	46.02	47.54	904480	42341856.00
2018/12/03	48.71	49.85	48.20	49.31	1628134	79894376.00
2018/12/04	49.14	49.20	48.13	49.12	1216062	59296348.00
2018/12/05	47.22	48.45	47.22	47.97	837320	40148092.00
2018/12/06	48.05	49.60	47.40	48.60	1239257	60091532.00
2018/12/07	48.42	49.49	48.42	48.73	805732	39523904.00
2018/12/10	48.06	48.06	47.09	47.24	710920	33721216.00
2018/12/11	47.50	47.95	47.21	47.84	495040	23565004.00
2018/12/12	48.00	48.50	47.50	47.65	594280	28531244.00
2018/12/13	47.77	48.33	47.28	48.00	741392	35612868.00
2018/12/14	47.70	48.11	46.12	46.20	887456	41763128.00
2018/12/17	46.05	47.11	46.00	46.75	687030	32042636.00
2018/12/18	46.70	46.70	45.90	46.30	871368	40318748.00
2018/12/19	46.58	46.67	45.46	45.62	619784	28539296.00
2018/12/20	45.61	46.35	45.34	46.13	668300	30768160.00
2018/12/21	45.80	46.10	45.16	45.88	669560	30607464.00
2018/12/24	46.02	49.46	46.02	48.39	2099187	100903448.00
2018/12/25	47.55	49.21	46.81	49.16	1915754	91693416.00
2018/12/26	49.16	50.38	48.34	48.34	2007814	99295128.00
2018/12/27	49.31	49.56	46.62	47.01	1412748	68216544.00
2018/12/28	47.25	47.58	45.64	45.80	1599013	74313904.00
2019/01/02	46.03	46.65	45.52	45.81	628948	28835560.00
2019/01/03	45.79	46.50	45.31	45.38	750294	34341000.00
数据来源:通达信
