603711 香飘飘 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/11/30	16.92	20.32	16.92	20.32	26908	545721.38
2017/12/01	22.36	22.36	22.36	22.36	22572	506967.13
2017/12/04	24.61	24.61	24.61	24.61	123074	3041158.50
2017/12/05	27.08	27.08	27.08	27.08	600716	16327461.00
2017/12/06	29.80	29.80	29.80	29.80	5495292	164309232.00
2017/12/07	32.79	32.79	30.41	31.60	27417317	865069184.00
2017/12/08	31.70	34.77	30.91	34.77	15569958	525547104.00
2017/12/11	37.68	37.90	32.66	33.17	29002074	1012033216.00
2017/12/12	30.21	31.38	29.84	29.84	18278266	556265216.00
2017/12/13	28.41	30.56	28.41	29.76	13403049	396617728.00
2017/12/14	28.92	29.63	28.06	29.10	13524550	389988672.00
2017/12/15	28.85	28.85	27.62	27.75	11103018	314850592.00
2017/12/18	27.66	27.70	25.27	25.56	11687368	307256512.00
2017/12/19	25.11	25.80	24.98	25.65	7651477	195467952.00
2017/12/20	25.40	25.70	24.63	24.67	7835101	196917184.00
2017/12/21	24.60	25.16	23.90	24.76	9519808	234638032.00
2017/12/22	24.53	27.20	24.40	26.96	16354515	429339872.00
2017/12/25	26.25	27.38	25.70	26.65	11611888	307354176.00
2017/12/26	26.30	28.40	26.16	27.08	14953541	409555136.00
2017/12/27	26.81	29.07	26.54	28.49	17979818	503101568.00
2017/12/28	27.70	30.63	27.41	29.25	19491433	563958528.00
2017/12/29	28.60	29.32	26.32	26.47	13651439	380044992.00
2018/01/02	26.65	27.70	25.82	27.05	9608848	259844176.00
2018/01/03	26.73	26.74	25.53	26.20	9817734	256782656.00
2018/01/04	25.90	26.50	25.71	25.95	6026761	157937712.00
2018/01/05	25.95	26.30	25.55	25.60	5181300	134562064.00
2018/01/08	25.59	26.08	25.55	26.01	4901738	127118416.00
2018/01/09	26.06	28.62	25.76	28.62	13386943	368333152.00
2018/01/10	28.90	31.40	28.41	30.69	24203556	722469312.00
2018/01/11	29.60	31.76	28.89	29.79	17240174	520182464.00
2018/01/12	29.10	29.68	27.92	28.48	11707415	335894816.00
2018/01/15	27.93	30.94	27.70	29.73	14403742	422337728.00
2018/01/16	29.29	30.89	28.91	30.52	15743759	477300736.00
2018/01/17	29.78	30.40	29.10	29.97	10007998	299378816.00
2018/01/18	29.96	31.50	29.29	29.56	10187612	310428480.00
2018/01/19	28.90	31.40	28.40	31.13	16355287	496893152.00
2018/01/22	30.20	30.65	28.95	29.79	10225907	306007456.00
2018/01/23	29.23	30.20	28.90	29.34	6935265	205139408.00
2018/01/24	29.57	30.20	29.06	29.75	7369508	219542736.00
2018/01/25	29.40	29.63	28.53	28.59	7624765	222158304.00
2018/01/26	27.98	28.39	26.80	27.13	8008959	221787968.00
2018/01/29	27.12	27.69	26.52	27.37	4679706	127581976.00
2018/01/30	27.06	27.64	27.06	27.61	4007764	110351272.00
2018/01/31	27.81	29.76	27.30	29.24	12529241	363930400.00
2018/02/01	28.50	28.89	26.31	26.34	9766733	266233728.00
