603766 隆鑫通用 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/08/10	3.48	4.48	3.46	4.42	72393333	844059008.00
2012/08/13	4.12	4.52	3.88	3.88	49175919	616745088.00
2012/08/14	3.52	3.69	3.40	3.47	38720634	428777760.00
2012/08/15	3.34	3.40	3.03	3.04	30926179	316038080.00
2012/08/16	2.93	3.42	2.92	3.15	30539849	315813440.00
2012/08/17	3.04	3.07	2.79	2.93	23185074	222337424.00
2012/08/20	2.84	2.91	2.76	2.84	17153119	161020768.00
2012/08/21	2.88	3.12	2.86	2.94	20850109	203365440.00
2012/08/22	2.86	3.13	2.84	3.03	23465012	230411168.00
2012/08/23	3.01	3.20	2.92	3.03	22156274	221735248.00
2012/08/24	2.96	2.98	2.76	2.77	16960709	160617600.00
2012/08/27	2.70	2.74	2.48	2.50	12963782	113472248.00
2012/08/28	2.52	2.62	2.47	2.56	10232801	88640064.00
2012/08/29	2.53	2.59	2.46	2.49	8672926	74635848.00
2012/08/30	2.48	2.54	2.24	2.32	10500385	86984392.00
2012/08/31	2.34	2.43	2.27	2.37	9159050	74644168.00
2012/09/03	2.34	2.42	2.32	2.39	7896576	65374540.00
2012/09/04	2.40	2.72	2.30	2.71	23715002	205132480.00
2012/09/05	2.63	2.89	2.56	2.76	28245702	258088336.00
2012/09/06	2.69	2.95	2.63	2.82	21424509	200247744.00
2012/09/07	2.80	2.92	2.76	2.82	22820229	214807824.00
2012/09/10	2.79	2.87	2.78	2.81	14752263	138042000.00
2012/09/11	2.78	2.81	2.66	2.79	12686387	116139064.00
2012/09/12	2.78	3.02	2.74	2.90	21439371	204887568.00
2012/09/13	2.87	2.93	2.70	2.71	13292436	124499880.00
2012/09/14	2.75	2.78	2.56	2.69	11939140	107132584.00
2012/09/17	2.70	2.70	2.44	2.44	8728670	75690256.00
2012/09/18	2.41	2.50	2.41	2.44	5007509	42373836.00
2012/09/19	2.46	2.49	2.43	2.48	3694872	31278740.00
2012/09/20	2.48	2.64	2.44	2.55	10548434	91535472.00
2012/09/21	2.49	2.53	2.35	2.37	6217262	51895892.00
2012/09/24	2.32	2.41	2.27	2.36	4418732	36041448.00
2012/09/25	2.36	2.38	2.31	2.32	3100474	25347232.00
2012/09/26	2.29	2.34	2.08	2.14	5426558	42739048.00
2012/09/27	2.12	2.22	2.10	2.21	5927983	45937540.00
2012/09/28	2.19	2.24	2.17	2.23	4436632	34808640.00
2012/10/08	2.22	2.26	2.20	2.22	3203261	25204696.00
2012/10/09	2.21	2.38	2.21	2.34	8064642	65268788.00
2012/10/10	2.32	2.39	2.30	2.38	6967379	57029492.00
2012/10/11	2.36	2.39	2.25	2.26	5683137	46129400.00
2012/10/12	2.26	2.32	2.21	2.22	4360275	34651896.00
2012/10/15	2.22	2.24	2.12	2.16	3675925	28474344.00
2012/10/16	2.16	2.32	2.16	2.23	5623318	44525100.00
2012/10/17	2.23	2.36	2.21	2.31	8782145	70786776.00
2012/10/18	2.31	2.39	2.29	2.37	7854102	64059704.00
2012/10/19	2.36	2.40	2.32	2.34	6867079	56364236.00
2012/10/22	2.30	2.34	2.29	2.32	3018358	24429620.00
2012/10/23	2.32	2.35	2.30	2.32	3723037	30231964.00
2012/10/24	2.29	2.33	2.25	2.25	4461303	35797912.00
2012/10/25	2.26	2.28	2.16	2.17	4103192	32067178.00
2012/10/26	2.14	2.18	2.00	2.02	5173196	38628412.00
2012/10/29	2.02	2.10	2.02	2.05	2884593	21549502.00
2012/10/30	2.06	2.09	2.03	2.04	2112971	15726958.00
2012/10/31	2.04	2.05	1.98	2.04	3762678	27577604.00
2012/11/01	2.04	2.15	2.03	2.14	5710034	43317788.00
2012/11/02	2.13	2.18	2.08	2.12	4448884	33793784.00
2012/11/05	2.10	2.17	2.10	2.14	4755435	36444696.00
2012/11/06	2.13	2.20	2.08	2.14	4450390	34011296.00
2012/11/07	2.12	2.16	2.10	2.13	2591235	19784102.00
2012/11/08	2.10	2.11	1.96	1.97	6195164	45393904.00
2012/11/09	1.98	1.98	1.92	1.93	3410723	24421408.00
2012/11/12	1.96	1.98	1.94	1.96	2887565	20772930.00
2012/11/13	1.95	1.96	1.86	1.86	3251653	22964420.00
2012/11/14	1.87	1.98	1.86	1.96	4993097	35735052.00
2012/11/15	1.94	1.94	1.85	1.88	3263088	23089648.00
2012/11/16	1.90	1.97	1.88	1.94	4193568	30008008.00
2012/11/19	1.93	1.99	1.89	1.97	3154135	22607548.00
2012/11/20	1.98	1.99	1.90	1.90	2740122	19612508.00
2012/11/21	1.90	2.00	1.90	2.00	5151990	37228928.00
2012/11/22	1.98	2.18	1.95	2.08	9355153	70012448.00
2012/11/23	2.04	2.22	2.02	2.14	10260792	78264480.00
2012/11/26	2.11	2.14	2.00	2.02	5579453	41970636.00
2012/11/27	2.00	2.01	1.80	1.81	5943546	41745500.00
2012/11/28	1.76	1.91	1.76	1.83	4506241	31199640.00
2012/11/29	1.80	1.86	1.73	1.74	4062715	27596936.00
2012/11/30	1.74	1.78	1.71	1.76	3032364	20292746.00
2012/12/03	1.76	1.82	1.71	1.72	3057414	20473288.00
2012/12/04	1.68	1.71	1.59	1.70	4119881	26446092.00
2012/12/05	1.70	1.87	1.68	1.82	5995092	40780340.00
2012/12/06	1.80	1.85	1.78	1.81	3422766	23416808.00
2012/12/07	1.82	1.96	1.78	1.95	7881225	55602640.00
2012/12/10	1.94	2.06	1.91	2.02	9530344	69405920.00
2012/12/11	2.00	2.00	1.94	1.95	6125848	44258468.00
2012/12/12	1.94	2.06	1.92	2.04	7054807	51525168.00
2012/12/13	2.03	2.03	1.92	1.93	4897655	35377248.00
2012/12/14	1.92	2.17	1.92	2.12	11856616	88509360.00
2012/12/17	2.12	2.17	2.06	2.16	9850391	74942232.00
2012/12/18	2.15	2.18	2.06	2.08	7899829	60112848.00
2012/12/19	2.08	2.12	2.04	2.08	5067080	38129016.00
2012/12/20	2.06	2.28	2.05	2.19	11674180	90845704.00
2012/12/21	2.19	2.47	2.14	2.32	14693317	117464336.00
2012/12/24	2.28	2.38	2.24	2.31	9057748	73233456.00
2012/12/25	2.30	2.64	2.28	2.64	18647654	160628448.00
2012/12/26	2.67	2.81	2.60	2.77	25491424	232228672.00
2012/12/27	2.74	2.75	2.56	2.58	15702739	140210816.00
2012/12/28	2.54	2.66	2.46	2.56	11958617	103910120.00
2012/12/31	2.55	2.60	2.48	2.56	6909843	59824252.00
2013/01/04	2.58	2.67	2.52	2.63	11198120	99427872.00
2013/01/07	2.60	2.66	2.54	2.64	7766364	68494472.00
2013/01/08	2.63	2.71	2.60	2.65	9259950	83088024.00
2013/01/09	2.65	2.79	2.62	2.72	12008666	109262696.00
2013/01/10	2.72	2.75	2.55	2.60	9953906	89077120.00
2013/01/11	2.57	2.62	2.44	2.45	9623217	82600096.00
2013/01/14	2.44	2.58	2.39	2.56	7478594	64212824.00
2013/01/15	2.56	2.67	2.53	2.62	7686480	68129416.00
2013/01/16	2.62	2.77	2.60	2.75	14082564	127587112.00
2013/01/17	2.76	2.76	2.60	2.61	8011348	71571936.00
2013/01/18	2.60	2.96	2.60	2.89	24338256	229336496.00
2013/01/21	2.83	3.19	2.82	3.08	23792290	234223088.00
2013/01/22	3.05	3.05	2.90	2.99	14061668	136788352.00
2013/01/23	2.96	3.04	2.84	2.94	9307923	89831904.00
2013/01/24	2.92	3.02	2.70	2.78	10916147	103639232.00
2013/01/25	2.78	2.78	2.66	2.67	6226909	56525040.00
2013/01/28	2.64	2.79	2.64	2.78	5363065	49248656.00
2013/01/29	2.79	2.94	2.78	2.87	5971223	56726272.00
2013/01/30	2.89	2.89	2.78	2.83	4633412	43431816.00
2013/01/31	2.83	2.85	2.70	2.76	4947385	45474992.00
2013/02/01	2.76	2.82	2.74	2.77	5089325	47150912.00
2013/02/04	2.78	2.80	2.64	2.65	5660111	51159220.00
2013/02/05	2.61	2.63	2.52	2.62	6583366	57578492.00
2013/02/06	2.60	2.65	2.60	2.64	2928203	26043316.00
2013/02/07	2.63	2.64	2.53	2.58	4198638	36763344.00
2013/02/08	2.58	2.75	2.56	2.72	5310908	47941408.00
2013/02/18	2.72	2.81	2.72	2.76	5194632	47950116.00
2013/02/19	2.76	2.76	2.60	2.64	4052771	36366040.00
2013/02/20	2.61	2.71	2.61	2.71	2999387	26861670.00
2013/02/21	2.70	2.74	2.60	2.64	4347641	39030184.00
2013/02/22	2.62	2.69	2.56	2.59	3382541	29916424.00
2013/02/25	2.58	2.62	2.55	2.58	2605375	22804316.00
2013/02/26	2.58	2.61	2.51	2.51	2933299	25658836.00
2013/02/27	2.52	2.57	2.50	2.54	2744135	23724414.00
2013/02/28	2.54	2.62	2.51	2.62	3732965	32605336.00
2013/03/01	2.61	2.66	2.58	2.65	3714275	32907854.00
2013/03/04	2.63	2.73	2.52	2.59	4828981	42872536.00
2013/03/05	2.59	2.69	2.57	2.69	4206932	37502524.00
2013/03/06	2.70	2.74	2.65	2.73	5870827	53075936.00
2013/03/07	2.74	2.74	2.67	2.68	3685159	33298474.00
2013/03/08	2.70	2.70	2.57	2.58	2871076	25450224.00
2013/03/11	2.57	2.63	2.53	2.61	2521757	22101960.00
2013/03/12	2.59	2.64	2.33	2.39	4518853	38455984.00
2013/03/13	2.39	2.40	2.24	2.30	3194724	25706600.00
2013/03/14	2.27	2.34	2.26	2.28	1881217	15164781.00
2013/03/15	2.29	2.37	2.26	2.29	2188701	17738480.00
2013/03/18	2.29	2.32	2.19	2.21	1936674	15399225.00
2013/03/19	2.21	2.26	2.18	2.25	1230144	9665397.00
2013/03/20	2.25	2.56	2.24	2.50	6457163	54834296.00
2013/03/21	2.50	2.59	2.45	2.55	5251464	45388528.00
2013/03/22	2.54	2.55	2.44	2.50	2571243	21985792.00
2013/03/25	2.49	2.72	2.49	2.71	9493491	85009848.00
2013/03/26	2.72	2.77	2.64	2.72	6294987	57043864.00
2013/03/27	2.72	2.79	2.69	2.75	4270472	39040400.00
2013/03/28	2.74	2.74	2.59	2.59	4308855	38755800.00
2013/03/29	2.60	2.70	2.59	2.60	2931675	26227292.00
2013/04/01	2.57	2.76	2.57	2.72	4144010	37682824.00
2013/04/02	2.68	2.79	2.64	2.72	3467692	31555616.00
2013/04/03	2.78	2.86	2.71	2.75	4928401	45528864.00
2013/04/08	2.71	2.71	2.52	2.68	2618439	23191856.00
2013/04/09	2.68	2.92	2.68	2.91	7632060	71689728.00
2013/04/10	2.88	2.98	2.82	2.96	7425987	71070816.00
2013/04/11	2.94	3.01	2.85	2.86	5026997	48464072.00
2013/04/12	2.84	2.93	2.80	2.86	3363906	31909104.00
2013/04/15	2.82	2.94	2.82	2.87	3407905	32465256.00
2013/04/16	2.86	2.89	2.68	2.88	3481017	32441572.00
2013/04/17	2.88	2.92	2.71	2.76	5136133	47828312.00
2013/04/18	2.71	2.79	2.68	2.75	3056411	27969380.00
2013/04/19	2.75	3.06	2.73	3.01	10035488	96523072.00
2013/04/22	2.96	3.07	2.94	3.06	8963413	87999328.00
2013/04/23	3.04	3.10	2.91	2.95	7093104	69276496.00
2013/04/24	2.95	3.18	2.95	3.16	12735050	128468608.00
2013/04/25	3.12	3.42	3.06	3.07	14895074	154503632.00
2013/04/26	3.06	3.22	2.99	3.18	10220624	103476560.00
2013/05/02	3.14	3.27	3.11	3.20	5956842	61411656.00
2013/05/03	3.18	3.29	3.16	3.16	6771813	70153344.00
2013/05/06	3.16	3.27	3.10	3.21	7767690	79829936.00
2013/05/07	3.19	3.21	3.13	3.15	5271829	53910496.00
2013/05/08	3.16	3.27	3.15	3.25	7773402	80530896.00
2013/05/09	3.24	3.24	3.01	3.12	8124105	82162032.00
2013/05/10	3.08	3.12	2.92	2.98	7817175	76779168.00
2013/05/13	2.98	3.06	2.95	3.06	4017854	39652328.00
2013/05/14	3.05	3.15	3.03	3.12	5752426	57869852.00
2013/05/15	3.11	3.14	2.99	3.05	3801151	37782792.00
2013/05/16	3.04	3.11	2.97	3.07	5388719	53538852.00
