603767 中马传动 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/06/13	11.29	11.29	11.29	11.29	19179	308973.69
2017/06/14	12.44	12.44	12.44	12.44	3675	65121.00
2017/06/15	13.71	13.71	13.71	13.71	9200	179308.00
2017/06/16	15.10	15.10	15.10	15.10	60328	1293432.38
2017/06/19	16.63	16.63	16.63	16.63	398570	9398281.00
2017/06/20	17.79	18.31	17.64	18.31	11513761	295765952.00
2017/06/21	19.64	19.64	17.51	17.93	32727391	864711744.00
2017/06/22	17.18	19.56	16.62	18.59	30850991	793211840.00
2017/06/23	17.99	18.29	16.79	17.06	20337418	503786432.00
2017/06/26	16.92	17.32	16.21	16.42	14709960	345053920.00
2017/06/27	16.26	16.82	16.07	16.56	12444294	289912832.00
2017/06/28	16.28	16.34	15.58	15.70	10666596	240986752.00
2017/06/29	15.67	15.84	15.43	15.51	8708033	192628272.00
2017/06/30	15.51	15.99	15.42	15.69	10435113	233392448.00
2017/07/03	15.41	16.57	15.21	16.19	12320168	276059520.00
2017/07/04	15.95	16.21	15.79	15.85	7868759	178294080.00
2017/07/05	15.86	16.41	15.72	16.13	10756215	246448016.00
2017/07/06	16.13	16.56	16.04	16.39	13010705	301911072.00
2017/07/07	16.36	16.42	15.94	16.09	9417618	216044352.00
2017/07/10	15.76	15.76	14.81	14.88	12285821	265346176.00
2017/07/11	14.79	15.06	14.65	14.66	4786345	100857152.00
2017/07/12	14.69	14.79	14.11	14.59	5561628	113887760.00
2017/07/13	14.50	14.60	14.22	14.30	3611906	73915784.00
2017/07/14	14.23	14.47	14.16	14.23	2765050	56196080.00
2017/07/17	14.23	14.23	12.81	12.84	6232724	117840640.00
2017/07/18	13.00	13.34	12.85	13.19	3958256	73697792.00
2017/07/19	13.07	13.87	12.91	13.45	6490071	124320504.00
2017/07/20	13.36	13.63	13.11	13.18	4791055	91010904.00
2017/07/21	13.25	13.35	13.00	13.06	3084318	57709568.00
2017/07/24	12.86	13.31	12.81	13.22	3328390	61979284.00
2017/07/25	13.21	13.29	13.02	13.09	3030137	56693376.00
2017/07/26	13.10	13.12	12.81	12.89	2843546	52348024.00
2017/07/27	12.89	13.21	12.81	13.17	3860547	71897160.00
2017/07/28	13.19	13.30	13.02	13.04	2806185	52438488.00
2017/07/31	13.00	13.18	12.97	13.05	2117168	39344228.00
2017/08/01	13.05	13.14	12.94	13.09	2870448	53208420.00
2017/08/02	13.07	13.07	12.79	12.79	3360833	61755584.00
2017/08/03	12.81	13.53	12.75	13.29	6708983	125906104.00
2017/08/04	13.18	13.33	12.90	12.92	4232406	78617640.00
2017/08/07	12.89	13.04	12.86	12.98	2203885	40636120.00
2017/08/08	12.91	13.02	12.86	12.91	2207193	40595244.00
2017/08/09	12.93	12.98	12.89	12.93	1668785	30689460.00
2017/08/10	12.91	13.03	12.71	12.72	2675000	48892604.00
2017/08/11	12.73	12.74	12.29	12.34	2936539	52018840.00
2017/08/14	12.29	12.51	12.28	12.49	1859499	32948264.00
2017/08/15	12.55	12.62	12.43	12.54	1960349	34959052.00
2017/08/16	12.55	12.82	12.43	12.80	3421466	61816876.00
2017/08/17	12.76	12.85	12.66	12.77	2642385	47959080.00
2017/08/18	12.65	12.71	12.56	12.59	2282665	41008468.00
2017/08/21	12.62	12.85	12.59	12.83	2830661	51420668.00
2017/08/22	12.82	13.60	12.75	13.26	8333594	156033648.00
2017/08/23	13.29	13.29	12.91	13.01	4722886	87800840.00
2017/08/24	13.02	13.42	12.99	13.15	6106225	114806648.00
2017/08/25	13.05	14.16	13.01	13.81	10759005	206921440.00
2017/08/28	13.82	14.36	13.70	13.99	11386929	226491568.00
2017/08/29	13.93	14.71	13.72	14.29	13258163	267020256.00
2017/08/30	13.94	14.23	13.62	13.65	8653358	170712064.00
2017/08/31	13.66	14.21	13.66	14.07	8337607	165811792.00
2017/09/01	14.07	14.28	13.80	14.05	7128511	142473664.00
2017/09/04	13.99	14.04	13.57	13.65	6150187	120535288.00
2017/09/05	13.66	13.75	13.57	13.67	3358555	65183632.00
2017/09/06	13.60	13.76	13.46	13.75	4266208	82570824.00
2017/09/07	13.71	13.99	13.58	13.59	4673596	91542592.00
2017/09/08	13.51	13.61	13.39	13.49	3445960	66116612.00
2017/09/11	13.59	14.86	13.59	14.86	15360930	312404288.00
2017/09/12	15.35	16.21	15.13	15.21	25774215	569272640.00
2017/09/13	14.43	15.06	14.43	14.84	11330522	237265376.00
2017/09/14	14.74	15.09	14.27	14.31	10151538	210391712.00
2017/09/15	14.30	15.52	14.00	15.29	15568692	326951328.00
