603880 南卫股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/08/07	10.70	12.87	10.70	12.87	7400	124630.00
2017/08/08	14.17	14.17	14.17	14.17	7400	137418.00
2017/08/09	15.60	15.60	15.60	15.60	16664	340445.53
2017/08/10	17.17	17.17	17.17	17.17	58203	1307821.38
2017/08/11	18.90	18.90	17.97	18.90	11637415	281058752.00
2017/08/14	18.09	19.10	17.70	18.93	11382580	271408448.00
2017/08/15	19.12	20.57	18.73	20.40	13684107	349972000.00
2017/08/16	20.35	22.00	19.57	20.41	13692881	368728032.00
2017/08/17	19.73	21.06	18.91	19.92	11025037	288670368.00
2017/08/18	19.73	21.40	19.36	20.94	10014052	265491072.00
2017/08/21	20.61	22.95	20.50	22.60	11192758	317259168.00
2017/08/22	22.13	23.31	21.50	21.93	10563521	307250848.00
2017/08/23	21.72	23.33	21.12	22.80	10964972	318836320.00
2017/08/24	22.20	24.00	21.49	21.52	13378160	394348384.00
2017/08/25	21.03	23.20	20.80	22.56	10354073	299566752.00
2017/08/28	22.78	24.83	22.54	24.83	12062686	375129568.00
2017/08/29	25.12	27.23	23.73	24.43	14913561	493697952.00
2017/08/30	23.43	24.66	22.97	23.50	9030941	278299264.00
2017/08/31	23.46	25.07	23.46	25.00	8250811	261904208.00
2017/09/01	25.08	25.90	23.97	24.27	7919390	255185808.00
2017/09/04	23.71	23.71	22.20	22.30	7021793	210048544.00
2017/09/05	22.50	22.85	22.21	22.70	3621410	106864200.00
2017/09/06	22.43	22.53	21.50	22.17	4024401	115754488.00
2017/09/07	22.18	22.57	21.97	22.05	3314241	96553128.00
2017/09/08	21.95	22.15	21.43	21.63	3051770	86698264.00
2017/09/11	21.65	22.66	21.47	22.50	4146424	120670752.00
2017/09/12	22.50	22.57	21.86	22.03	3081166	89148344.00
2017/09/13	21.97	22.30	21.93	22.15	1946091	56259324.00
2017/09/14	22.20	24.33	22.17	23.68	8412287	254048256.00
2017/09/15	23.23	23.33	22.35	22.43	4837956	144179872.00
2017/09/18	22.18	22.18	20.66	21.37	3196253	89186144.00
2017/09/19	21.32	21.77	21.31	21.43	1878735	52732972.00
2017/09/20	21.36	21.70	21.27	21.68	1923103	54140408.00
2017/09/21	21.75	22.39	21.60	21.68	2915422	83845352.00
2017/09/22	21.58	22.03	20.93	21.74	2344213	65762828.00
2017/09/25	21.48	22.20	21.48	21.61	2138903	61199176.00
2017/09/26	21.53	21.78	20.04	20.67	2781386	75770920.00
2017/09/27	20.66	20.87	20.37	20.69	1304484	35218196.00
2017/09/28	20.84	21.00	20.18	20.40	1418851	38400860.00
2017/09/29	20.50	20.70	20.38	20.48	1066642	28590290.00
2017/10/09	20.83	20.96	20.60	20.80	1160431	31532490.00
2017/10/10	20.75	22.90	20.70	22.90	6705214	195370288.00
2017/10/11	23.73	24.47	22.42	22.47	9585935	297096096.00
2017/10/12	22.50	24.03	21.57	23.62	6911021	203975136.00
2017/10/13	23.05	25.96	22.97	24.50	11863026	381940352.00
2017/10/16	23.27	23.72	22.60	23.23	7020376	211724432.00
2017/10/17	22.79	23.37	22.66	22.80	3695094	110819856.00
2017/10/18	22.81	23.73	22.64	23.16	5410867	164617088.00
2017/10/19	22.54	23.74	22.54	22.87	4664163	141613568.00
2017/10/20	22.33	22.58	21.20	21.84	4507251	128058384.00
2017/10/23	21.52	22.18	21.49	22.14	2577490	73733096.00
