603889 新澳股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/12/31	6.39	7.83	6.39	7.83	51950	1329977.50
2015/01/05	8.69	8.69	8.69	8.69	42650	1212966.00
2015/01/06	9.64	9.64	9.64	9.64	150000	4692000.00
2015/01/07	10.68	10.68	9.54	9.55	14468915	470346272.00
2015/01/08	9.08	9.50	8.81	9.02	7271988	214823952.00
2015/01/09	8.81	8.93	8.59	8.60	6096272	173888192.00
2015/01/12	8.41	8.50	8.04	8.08	4728138	127809592.00
2015/01/13	8.03	8.34	8.03	8.26	3432302	92922632.00
2015/01/14	8.14	8.41	8.07	8.11	3006437	81210200.00
2015/01/15	8.11	8.63	8.11	8.55	5687618	157813072.00
2015/01/16	8.38	8.69	8.31	8.51	4230854	117884536.00
2015/01/19	8.38	8.99	8.21	8.66	5861630	166367712.00
2015/01/20	8.64	9.54	8.58	9.40	7918606	235018752.00
2015/01/21	9.44	9.48	9.01	9.23	6615554	197901152.00
2015/01/22	9.11	9.20	9.02	9.16	3926054	116646320.00
2015/01/23	9.19	9.19	8.81	8.83	4200522	122637736.00
2015/01/26	8.80	8.97	8.72	8.92	2221004	64285692.00
2015/01/27	8.93	8.98	8.75	8.83	2335136	67712128.00
2015/01/28	8.87	9.00	8.77	8.85	2149477	62493228.00
2015/01/29	8.72	8.81	8.54	8.58	2344407	66418224.00
2015/01/30	8.54	8.64	8.43	8.49	1439634	40203708.00
2015/02/02	8.41	8.59	8.34	8.53	1281770	35721344.00
2015/02/03	8.58	8.79	8.54	8.71	1694485	48153976.00
2015/02/04	8.71	8.74	8.51	8.52	1675081	47205180.00
2015/02/05	8.57	8.60	8.44	8.44	1170801	32672372.00
2015/02/06	8.44	8.49	8.13	8.16	1561901	42282528.00
2015/02/09	8.10	8.24	8.08	8.14	774961	20778646.00
2015/02/10	8.17	8.19	8.13	8.18	908532	24361362.00
2015/02/11	8.19	8.26	8.16	8.25	865863	23337498.00
2015/02/12	8.23	8.34	8.21	8.30	860397	23451600.00
2015/02/13	8.30	8.54	8.30	8.48	1605237	44549432.00
2015/02/16	8.49	8.54	8.42	8.49	1110422	30859462.00
2015/02/17	8.52	8.52	8.45	8.49	824358	22928254.00
2015/02/25	8.49	8.51	8.27	8.29	1017916	27954454.00
2015/02/26	8.26	8.44	8.26	8.44	990781	27260548.00
2015/02/27	8.44	8.49	8.42	8.49	1190773	33054662.00
2015/03/02	8.54	8.63	8.48	8.62	1968964	55245028.00
2015/03/03	8.61	8.61	8.47	8.47	1470047	41020820.00
2015/03/04	8.46	8.57	8.44	8.55	1448173	40440876.00
2015/03/05	8.55	8.56	8.47	8.53	1207019	33663572.00
2015/03/06	8.54	8.75	8.52	8.68	3226936	91401664.00
2015/03/09	8.61	8.61	8.28	8.47	2226087	61523864.00
2015/03/10	8.45	8.54	8.41	8.46	1214000	33725292.00
2015/03/11	8.44	8.53	8.42	8.45	1387523	38539072.00
2015/03/12	8.51	8.51	8.28	8.31	1697420	46552544.00
2015/03/13	8.33	8.46	8.33	8.45	1160822	32090892.00
2015/03/16	8.50	8.68	8.50	8.66	2568810	72514944.00
2015/03/17	8.67	9.00	8.67	8.80	3928647	113525480.00
2015/03/18	8.81	8.96	8.71	8.93	2796907	80926136.00
2015/03/19	8.96	8.98	8.81	8.88	2264056	65680084.00
2015/03/20	8.86	8.94	8.84	8.91	2397165	69588200.00
2015/03/23	8.93	9.10	8.90	9.03	3117831	91601136.00
2015/03/24	9.02	9.06	8.71	8.88	2893501	83938992.00
2015/03/25	8.87	9.53	8.78	9.46	6073262	184377600.00
2015/03/26	9.37	9.37	9.09	9.17	3576521	107035368.00
