603908 牧高笛 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/07	22.67	22.67	22.67	22.67	10500	247485.00
2017/03/08	25.03	25.03	25.03	25.03	2500	64825.00
2017/03/09	27.62	27.62	27.62	27.62	4500	128340.00
2017/03/10	30.47	30.47	30.47	30.47	5900	185083.00
2017/03/13	33.61	33.61	33.61	33.61	3000	103530.00
2017/03/14	37.06	37.06	37.06	37.06	8100	307476.00
2017/03/15	40.86	40.86	40.86	40.86	10400	434304.00
2017/03/16	45.04	45.04	45.04	45.04	18700	859078.00
2017/03/17	49.63	49.63	49.63	49.63	74400	3759432.00
2017/03/20	54.68	54.68	54.68	54.68	46300	2573354.00
2017/03/21	60.24	60.24	60.24	60.24	61400	3753996.00
2017/03/22	66.35	66.35	66.35	66.35	135034	9081036.00
2017/03/23	73.08	73.08	73.08	73.08	95900	7094682.00
2017/03/24	80.48	80.48	80.11	80.48	3624612	294970240.00
2017/03/27	81.18	87.40	79.11	82.04	10284932	872690944.00
2017/03/28	81.10	81.10	74.50	74.58	5767286	449008544.00
2017/03/29	72.10	73.09	68.72	69.25	4962796	353834976.00
2017/03/30	67.60	70.85	66.40	68.31	3582186	249469552.00
2017/03/31	68.06	69.05	62.15	62.49	3731346	245721872.00
2017/04/05	62.26	63.60	59.73	62.99	2796799	175816656.00
2017/04/06	62.23	65.42	61.76	63.25	2855430	184960544.00
2017/04/07	63.52	64.57	62.40	62.52	1976007	126737408.00
2017/04/10	61.81	61.81	56.18	56.20	3142736	186531728.00
2017/04/11	55.30	57.90	55.10	57.76	2165313	124440688.00
2017/04/12	57.19	57.58	55.54	55.69	1587577	91151528.00
2017/04/13	55.30	57.10	55.30	56.38	1162409	66785512.00
2017/04/14	56.05	56.40	55.43	56.07	922500	52403008.00
2017/04/17	53.84	53.84	50.40	50.72	1810529	95699624.00
2017/04/18	50.30	51.95	49.78	49.96	939049	48578616.00
2017/04/19	49.80	52.38	49.71	51.97	1445582	75393696.00
2017/04/20	51.70	52.70	50.37	52.05	1175041	61821964.00
2017/04/21	51.63	52.46	51.63	51.91	527100	27855276.00
2017/04/24	51.55	52.55	50.21	52.17	763996	40003636.00
2017/04/25	52.40	53.69	51.92	53.19	824580	44461124.00
2017/04/26	52.65	54.09	52.65	53.28	831380	45187996.00
2017/04/27	53.21	56.50	50.60	55.26	2114395	115769232.00
2017/04/28	54.96	56.10	54.22	55.17	1036515	58267372.00
2017/05/02	55.20	56.55	55.16	55.55	970697	55022320.00
2017/05/03	55.26	56.66	55.20	56.60	1328878	75624688.00
2017/05/04	56.10	57.08	55.70	55.92	1083435	61962968.00
2017/05/05	55.25	55.57	52.20	52.71	1050809	58257800.00
2017/05/08	52.31	53.77	50.21	51.11	891600	47649724.00
2017/05/09	50.50	52.38	50.36	52.01	875601	46027132.00
2017/05/10	52.02	52.67	50.28	50.60	911301	48048988.00
2017/05/11	50.49	51.08	48.10	50.66	1155900	58563404.00
2017/05/12	50.41	51.30	50.18	51.05	738900	38164888.00
2017/05/15	51.21	51.60	50.60	50.78	530100	27504444.00
2017/05/16	50.40	51.95	49.80	51.83	780253	40416196.00
2017/05/17	51.76	57.10	51.66	57.10	4288228	245633664.00
2017/05/18	57.68	58.30	55.76	56.16	4362748	253166752.00
