603920 世运电路 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/04/26	17.64	21.26	17.64	21.26	29989	650999.06
2017/04/27	23.43	23.43	23.43	23.43	18000	430020.00
2017/04/28	25.82	25.82	25.82	25.82	22541	592377.50
2017/05/02	28.45	28.45	28.45	28.45	62258	1799878.75
2017/05/03	31.34	31.34	31.34	31.34	178067	5662530.50
2017/05/04	34.52	34.52	32.84	33.82	40739428	1394071552.00
2017/05/05	32.24	33.00	30.42	30.43	26887759	870056128.00
2017/05/08	29.36	29.89	28.27	28.31	15942277	470802272.00
2017/05/09	27.83	29.31	27.82	28.70	12244114	357826816.00
2017/05/10	28.54	29.11	26.54	26.79	17894043	502913120.00
2017/05/11	26.22	27.50	25.75	27.23	12427239	334740608.00
2017/05/12	27.00	27.39	26.05	26.77	10981857	298934912.00
2017/05/15	26.64	27.08	26.42	26.89	9102976	248221920.00
2017/05/16	26.65	27.67	25.96	27.48	12514455	340912384.00
2017/05/17	27.19	27.84	26.96	27.00	10760812	299645376.00
2017/05/18	26.44	26.70	25.54	25.56	10306750	274262848.00
2017/05/19	25.48	25.79	24.41	24.57	9650666	245267760.00
2017/05/22	24.53	24.53	23.07	23.17	8813449	213385280.00
2017/05/23	23.20	24.22	23.08	23.35	10210594	245819888.00
2017/05/24	23.33	23.84	22.45	23.81	8379798	200500656.00
2017/05/25	23.74	23.74	22.74	23.43	8457369	201355792.00
2017/05/26	23.47	24.43	23.35	23.89	9642064	234464480.00
2017/05/31	24.91	25.18	23.67	23.72	9922931	248323904.00
2017/06/01	23.44	23.50	21.55	21.70	9818152	226608208.00
2017/06/02	21.73	22.50	21.50	22.32	5681067	127582488.00
2017/06/05	22.79	22.93	22.34	22.37	5896324	136018176.00
2017/06/06	22.14	22.42	21.96	22.33	4069826	92196080.00
2017/06/07	22.38	23.12	22.29	22.98	7329274	170737936.00
2017/06/08	22.96	23.07	22.49	22.56	6469131	150138096.00
2017/06/09	22.60	22.69	22.16	22.67	4918864	112556504.00
2017/06/12	22.32	22.34	21.77	21.81	4606739	103664664.00
2017/06/13	21.96	22.42	21.85	22.27	3909311	88568016.00
2017/06/14	22.16	22.28	21.92	22.10	3408238	76836984.00
2017/06/15	22.03	22.92	22.03	22.73	7216673	167094144.00
2017/06/16	22.62	22.82	22.45	22.64	3939515	90719152.00
2017/06/19	22.70	22.87	22.32	22.58	3880392	89671824.00
2017/06/20	22.69	22.79	22.54	22.67	4456862	103096680.00
2017/06/21	22.72	22.72	22.29	22.49	3942558	90440000.00
2017/06/22	22.37	22.47	21.79	21.87	4387845	99327760.00
2017/06/23	21.85	22.05	21.34	21.71	3720290	82307008.00
2017/06/26	21.69	21.95	21.49	21.87	2997194	66540312.00
