603963 大理药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/09/22	13.86	13.86	13.86	13.86	6800	123216.00
2017/09/25	15.25	15.25	15.25	15.25	5597	111548.21
2017/09/26	16.78	16.78	16.78	16.78	5899	129306.08
2017/09/27	18.47	18.47	18.47	18.47	4300	103673.00
2017/09/28	20.32	20.32	20.32	20.32	13547	359266.44
2017/09/29	22.36	22.36	22.36	22.36	48298	1408852.63
2017/10/09	24.61	24.61	24.61	24.61	95648	3069344.25
2017/10/10	27.08	27.08	27.08	27.08	426924	15070417.00
2017/10/11	29.79	29.79	29.79	29.79	137319	5332097.00
2017/10/12	32.78	32.78	31.46	32.78	10611063	450928832.00
2017/10/13	34.25	36.06	33.00	36.06	14957419	681493824.00
2017/10/16	34.54	34.54	32.45	32.45	13600988	584717568.00
2017/10/17	30.92	32.46	29.92	31.40	8362279	339907904.00
2017/10/18	30.98	32.74	30.34	32.00	8148978	335132128.00
2017/10/19	31.08	35.06	30.78	34.02	12363994	534910272.00
2017/10/20	33.00	33.53	30.62	30.82	9376385	387329888.00
2017/10/23	29.46	30.43	29.28	29.85	6214279	241154064.00
2017/10/24	29.60	29.92	27.50	27.94	6298998	233989904.00
2017/10/25	28.21	28.52	27.71	28.23	3997792	146877712.00
2017/10/26	28.24	28.31	27.69	27.85	3457568	125730240.00
2017/10/27	27.92	28.53	27.81	27.94	3185834	116796544.00
2017/10/30	27.62	27.71	25.45	25.84	3902969	134033344.00
2017/10/31	25.69	26.46	25.69	26.29	2309347	78857976.00
2017/11/01	26.00	26.92	26.00	26.79	2912415	101038648.00
2017/11/02	26.77	28.62	26.54	27.35	4359484	156978416.00
2017/11/03	27.22	27.60	26.31	26.40	2765192	97242456.00
2017/11/06	26.69	28.35	26.69	28.02	3889546	139851296.00
2017/11/07	28.02	28.02	27.32	27.87	2925137	105214776.00
2017/11/08	27.69	28.66	27.51	27.87	4388270	161167552.00
2017/11/09	27.58	27.89	27.17	27.40	2641733	94334992.00
