603968 醋化股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/05/18	13.16	13.16	13.16	13.16	13700	386340.00
2015/05/19	14.57	14.57	14.57	14.57	8000	248160.00
2015/05/20	16.12	16.12	16.12	16.12	1700	58004.00
2015/05/21	17.83	17.83	17.83	17.83	3700	138861.00
2015/05/22	19.70	19.70	19.70	19.70	4500	185760.00
2015/05/25	21.77	21.77	21.77	21.77	8300	376903.00
2015/05/26	24.04	24.04	24.04	24.04	10566	527771.69
2015/05/27	26.54	26.54	26.54	26.54	8100	445095.00
2015/05/28	29.29	29.29	29.29	29.29	44100	2665845.00
2015/05/29	32.31	32.31	32.31	32.31	111200	7394800.00
2015/06/01	35.64	35.64	35.64	35.64	28200	2062830.00
2015/06/02	39.30	39.30	39.30	39.30	59100	4755777.00
2015/06/03	43.32	43.32	43.32	43.32	254310	22511522.00
2015/06/04	47.75	47.75	40.06	47.75	10443243	997962560.00
2015/06/05	43.09	47.55	42.88	44.50	12991392	1173633920.00
2015/06/08	41.58	42.94	39.95	39.95	4599343	380418080.00
2015/06/09	36.07	39.97	35.86	36.27	7737192	584690112.00
2015/06/10	36.01	39.99	35.32	39.99	5591460	438322144.00
2015/06/11	40.06	44.09	39.23	44.09	5655430	496283360.00
2015/06/12	48.54	48.59	40.06	40.50	11195131	1025647232.00
2015/06/15	37.59	39.50	36.36	36.36	7040656	536381920.00
2015/06/16	35.36	37.56	35.06	36.77	4163366	310912768.00
2015/06/17	36.58	37.46	35.06	36.87	3403883	252865632.00
2015/06/18	36.06	36.43	33.09	33.09	4587320	324151968.00
2015/06/19	31.82	33.56	29.81	29.90	3309975	214873088.00
2015/06/23	30.35	31.60	29.30	31.28	3147006	199205904.00
2015/06/24	31.93	32.06	29.87	30.99	3494440	223145264.00
2015/06/25	31.06	31.06	28.56	28.88	2549016	157467872.00
2015/06/26	27.91	27.97	25.90	25.90	3054044	167905328.00
2015/06/29	26.29	26.56	23.22	23.22	3514154	178926496.00
2015/06/30	22.60	25.56	21.02	25.26	4023455	194992976.00
