603977 国泰集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/11/11	5.10	6.21	5.10	6.21	9029	83724.41
2016/11/14	6.87	6.87	6.87	6.87	7800	79716.00
2016/11/15	7.60	7.60	7.60	7.60	10061	113085.64
2016/11/16	8.40	8.40	8.40	8.40	9600	118656.00
2016/11/17	9.29	9.29	9.29	9.29	9991	135877.59
2016/11/18	10.26	10.26	10.26	10.26	17719	265076.25
2016/11/21	11.33	11.33	11.33	11.33	36901	607390.44
2016/11/22	12.51	12.51	12.51	12.51	41000	742510.00
2016/11/23	13.80	13.80	13.80	13.80	42600	848592.00
2016/11/24	15.22	15.22	15.22	15.22	44635	977952.88
2016/11/25	16.79	16.79	16.79	16.79	115937	2794081.75
2016/11/28	18.51	18.51	18.51	18.51	196878	5219236.00
2016/11/29	20.40	20.40	20.40	20.40	303961	8863503.00
2016/11/30	22.49	22.49	22.49	22.49	863900	27713912.00
2016/12/01	24.78	24.78	24.78	24.78	6249043	220528720.00
2016/12/02	26.31	27.30	26.04	27.30	14952433	567328896.00
2016/12/05	29.29	29.36	25.49	25.85	34349972	1340656896.00
2016/12/06	25.04	27.18	24.86	26.09	24150513	893907648.00
2016/12/07	25.80	25.91	24.29	25.47	19069911	681255168.00
2016/12/08	25.21	28.06	25.14	28.06	33606046	1315779584.00
2016/12/09	27.00	27.07	25.39	25.59	26988196	1005977792.00
2016/12/12	25.07	25.07	22.99	22.99	18934414	639406848.00
2016/12/13	22.07	23.27	21.43	22.38	14478665	460963616.00
2016/12/14	22.06	22.88	21.39	21.65	12307950	387441440.00
2016/12/15	21.71	22.69	21.71	22.17	10770049	341024768.00
2016/12/16	22.00	22.64	21.73	22.44	10803341	342682336.00
2016/12/19	22.19	22.34	21.45	21.65	8723404	271615840.00
2016/12/20	21.51	21.93	21.22	21.41	7085573	218328848.00
2016/12/21	21.50	21.64	20.54	21.16	9511633	285480704.00
2016/12/22	21.02	21.14	20.65	20.93	5453346	163037344.00
2016/12/23	20.77	20.88	19.15	19.26	9814942	279941728.00
2016/12/26	18.86	20.06	18.64	19.88	8223242	228667600.00
2016/12/27	19.78	20.13	19.54	19.67	5619144	159194144.00
2016/12/28	19.57	19.69	19.01	19.14	4952995	137151520.00
2016/12/29	19.01	19.70	18.86	19.21	5217229	144431168.00
2016/12/30	19.18	19.42	18.99	19.18	3770859	103783664.00
2017/01/03	19.24	19.81	19.15	19.81	6052795	169508656.00
2017/01/04	19.79	19.79	19.50	19.66	4451966	125017896.00
2017/01/05	19.71	19.95	19.23	19.26	6050094	169404576.00
2017/01/06	19.07	19.16	18.14	18.16	6986699	185490864.00
2017/01/09	18.11	18.84	17.94	18.54	4776866	126025272.00
2017/01/10	18.51	18.80	17.91	17.96	4639329	122140416.00
2017/01/11	17.82	18.14	17.47	17.48	3854037	97942576.00
2017/01/12	17.53	18.02	17.36	17.67	4366420	110788568.00
2017/01/13	17.64	17.74	17.09	17.64	4390259	109480744.00
2017/01/16	17.57	17.85	16.11	16.86	5016485	124008240.00
2017/01/17	16.72	18.59	16.20	18.59	6763272	170811376.00
2017/01/18	19.21	20.07	18.23	18.56	15280155	418158528.00
2017/01/19	17.90	19.52	17.34	18.33	13154299	345072480.00
2017/01/20	17.71	19.04	17.66	18.45	9232093	243240512.00
2017/01/23	18.47	19.40	18.36	19.02	9337099	251882496.00
2017/01/24	18.84	19.14	18.25	18.29	6341550	169320304.00
2017/01/25	18.04	18.57	17.96	18.47	4086910	107726856.00
2017/01/26	18.47	18.64	18.26	18.54	3919147	103617928.00
2017/02/03	18.54	18.75	18.14	18.46	4041959	106686992.00
2017/02/06	18.58	19.41	18.58	19.36	8457833	231601392.00
2017/02/07	19.42	19.42	18.96	19.17	5778684	158380320.00
2017/02/08	19.05	19.77	18.85	19.73	8740738	242895056.00
2017/02/09	19.76	20.09	19.36	19.45	9672926	271628224.00
2017/02/10	19.38	19.38	18.59	18.64	7611204	206552560.00
2017/02/13	18.46	19.11	18.46	18.83	4992037	134867968.00
2017/02/14	18.56	19.17	18.52	19.06	5316162	143796080.00
2017/02/15	19.14	19.77	19.07	19.24	10636617	295902944.00
2017/02/16	18.97	19.07	18.55	18.80	6342653	170786736.00
2017/02/17	18.71	19.07	18.07	18.14	6522637	172999728.00
2017/02/20	18.07	18.07	17.44	17.82	4289479	109049592.00
2017/02/21	17.79	18.12	17.68	18.07	2787123	71859736.00
