000055 方大集团 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	3.46	3.62	3.40	3.46	212600	3049139.25
2000/01/05	3.54	3.61	3.53	3.59	207700	3009258.50
2000/01/06	3.58	3.72	3.52	3.70	246200	3632306.50
2000/01/07	3.72	3.96	3.71	3.85	788900	12152412.00
2000/01/10	3.93	3.94	3.79	3.88	643900	9989025.00
2000/01/11	3.88	3.88	3.67	3.68	449300	6779324.00
2000/01/12	3.65	3.73	3.57	3.58	243100	3557367.00
2000/01/13	3.58	3.58	3.53	3.55	115300	1659577.13
2000/01/14	3.66	3.66	3.52	3.53	142700	2050246.13
2000/01/17	3.49	3.55	3.47	3.54	133000	1891988.38
2000/01/18	3.52	3.55	3.48	3.51	151700	2165125.25
2000/01/19	3.49	3.55	3.46	3.51	187100	2651610.00
2000/01/20	3.53	3.64	3.47	3.61	264200	3783117.00
2000/01/21	3.62	3.62	3.49	3.52	334200	4789719.00
2000/01/24	3.52	3.53	3.43	3.47	681800	9588032.00
2000/01/25	3.49	3.56	3.41	3.50	426500	6068594.50
2000/01/26	3.48	3.55	3.44	3.47	409900	5766522.50
2000/01/27	3.47	3.68	3.44	3.61	738500	10625624.00
2000/01/28	3.46	3.55	3.38	3.44	1234300	17394912.00
2000/02/14	3.47	3.84	3.47	3.83	1586300	23806514.00
2000/02/15	3.87	3.94	3.69	3.71	1630500	25018562.00
2000/02/16	3.64	4.14	3.61	4.14	1481900	22567972.00
2000/02/17	4.30	4.53	3.72	3.75	2181900	35600112.00
2000/02/18	3.72	3.99	3.67	3.96	976200	15109814.00
2000/02/21	3.96	4.16	3.94	3.99	1125300	18028998.00
2000/02/22	4.01	4.06	3.78	3.80	756300	11674697.00
2000/02/23	3.67	3.88	3.65	3.82	786200	12064175.00
2000/02/24	3.87	3.96	3.76	3.93	511900	7936626.50
2000/02/25	3.87	3.96	3.81	3.93	589600	9217113.00
2000/02/28	3.93	4.11	3.88	4.04	1168700	18719620.00
2000/02/29	4.09	4.11	3.94	4.05	1088700	17489666.00
2000/03/01	4.04	4.05	3.90	3.96	730400	11598975.00
2000/03/02	3.97	4.09	3.92	4.04	825100	13220351.00
2000/03/03	4.04	4.19	4.01	4.17	1121600	18300850.00
2000/03/06	4.22	4.27	4.01	4.06	987800	16254787.00
2000/03/07	4.01	4.07	3.85	4.05	860900	13617858.00
2000/03/08	4.01	4.19	3.92	4.16	921800	15055253.00
2000/03/09	4.08	4.36	4.08	4.35	1338900	22360890.00
2000/03/10	4.35	4.39	4.19	4.38	1566400	26736046.00
2000/03/13	4.38	4.50	4.27	4.29	1206100	20913280.00
2000/03/14	4.26	4.26	3.90	4.11	720100	11726393.00
2000/03/15	4.01	4.20	4.01	4.13	439600	7182433.50
2000/03/16	4.10	4.10	3.87	3.87	431600	6855099.00
2000/03/17	3.81	4.10	3.81	4.05	365000	5755406.00
2000/03/20	3.96	4.22	3.93	4.21	569300	9350466.00
2000/03/21	4.19	4.22	4.11	4.17	408500	6735162.50
2000/03/22	4.17	4.36	3.98	4.26	616300	10381078.00
2000/03/23	4.24	4.30	4.16	4.27	421800	7092259.50
2000/03/24	4.30	4.49	4.24	4.42	2303500	40020536.00
2000/03/27	4.45	4.88	4.45	4.70	1898200	34450900.00
2000/03/28	4.73	4.82	4.59	4.65	799100	14572949.00
2000/03/29	4.65	4.71	4.45	4.49	658100	11780412.00
2000/03/30	4.53	4.66	4.50	4.64	631900	11384249.00
2000/03/31	4.64	5.17	4.64	5.17	5503500	108064848.00
2000/04/03	5.37	5.74	5.15	5.21	4453000	93665688.00
2000/04/04	5.16	5.18	4.92	5.04	1127300	22210726.00
2000/04/05	5.02	5.46	5.02	5.31	1367200	27795278.00
2000/04/06	5.71	5.72	5.17	5.31	1530800	31573340.00
2000/04/07	5.34	5.39	5.16	5.20	1040600	20995890.00
2000/04/10	5.28	5.41	5.14	5.16	1113500	22572202.00
2000/04/11	5.20	5.20	4.93	5.16	806500	15804930.00
2000/04/12	5.16	5.16	4.94	4.96	429900	8345557.50
2000/04/13	5.17	5.17	4.96	5.05	399800	7838258.00
2000/04/14	5.02	5.14	4.94	5.10	583700	11416097.00
2000/04/17	5.04	5.07	4.59	4.69	898000	16764698.00
2000/04/18	4.69	4.81	4.62	4.75	499900	9240510.00
2000/04/19	4.81	4.81	4.70	4.77	335400	6240275.00
2000/04/20	4.75	5.02	4.69	4.89	1443300	27362816.00
2000/04/21	4.91	5.14	4.84	4.92	863300	16623359.00
2000/04/24	5.02	5.03	4.79	4.82	550300	10449679.00
2000/04/25	4.77	4.82	4.59	4.65	866800	15679969.00
2000/04/26	4.64	4.71	4.59	4.64	335700	6113960.50
2000/04/27	4.73	4.73	4.59	4.64	273000	4956227.00
2000/04/28	4.65	4.69	4.54	4.64	320900	5793763.50
2000/05/09	4.53	4.63	4.45	4.47	261600	4662040.00
2000/05/10	4.46	4.46	4.20	4.30	400800	6784090.00
2000/05/11	4.26	4.32	4.06	4.09	387700	6368004.50
2000/05/12	4.11	4.21	4.04	4.08	177600	2897689.00
2000/05/15	4.16	4.16	3.88	4.01	276600	4372089.50
2000/05/16	4.01	4.18	3.94	4.15	204300	3306211.25
2000/05/17	4.13	4.22	4.07	4.18	302600	5002990.50
2000/05/18	4.16	4.30	4.12	4.30	207600	3492584.25
2000/05/19	4.33	4.33	4.19	4.31	251300	4219194.50
2000/05/22	4.30	4.56	4.18	4.49	3090300	53484084.00
2000/05/23	4.49	4.76	4.49	4.62	1123500	20259188.00
2000/05/24	4.62	4.70	4.50	4.57	351800	6324285.50
2000/05/25	4.59	4.73	4.53	4.64	711900	12962929.00
2000/05/26	4.65	4.79	4.57	4.65	865300	15879702.00
2000/05/29	4.68	4.88	4.66	4.88	1667800	31044232.00
2000/05/30	4.88	4.90	4.59	4.70	955600	17664496.00
2000/05/31	4.60	4.73	4.59	4.65	519600	9431862.00
2000/06/01	4.67	4.73	4.16	4.66	584600	10551339.00
2000/06/02	4.66	4.66	4.46	4.58	481300	8566491.00
2000/06/05	4.56	4.57	4.38	4.47	385500	6758942.50
2000/06/06	4.39	4.68	4.33	4.62	414900	7448934.50
2000/06/07	4.59	4.78	4.53	4.62	1207700	22090376.00
2000/06/08	4.62	4.75	4.62	4.67	320500	5870782.50
2000/06/09	4.70	4.73	4.58	4.59	225900	4105531.50
2000/06/12	4.45	4.59	4.45	4.51	175200	3113247.50
2000/06/13	4.58	4.59	4.46	4.54	171200	3045339.25
2000/06/14	4.50	4.50	4.39	4.47	504000	8808154.00
2000/06/15	4.47	4.47	4.34	4.41	447900	7723779.00
2000/06/16	4.39	4.45	4.34	4.40	253900	4375937.50
2000/06/19	4.39	4.45	4.30	4.44	283500	4901993.00
2000/06/20	4.46	4.46	4.30	4.39	349900	5995757.00
2000/06/21	4.36	4.44	4.30	4.42	132800	2295861.25
2000/06/22	4.41	4.64	4.38	4.53	427600	7597313.50
2000/06/23	4.56	4.56	4.38	4.56	270700	4774646.00
2000/06/26	4.58	4.65	4.52	4.58	457900	8248195.50
2000/06/27	4.64	4.64	4.56	4.59	336000	6056267.00
