000062 深圳华强 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	13.28	14.01	13.07	13.69	3025400	61305904.00
2000/01/05	13.82	14.10	13.42	13.47	2059500	42210724.00
2000/01/06	13.43	14.20	13.36	14.04	2123600	43928588.00
2000/01/07	14.27	14.96	14.13	14.87	5131600	109838784.00
2000/01/10	15.17	15.36	14.55	14.90	2679000	58706884.00
2000/01/11	14.97	15.04	13.44	13.86	1913100	40270892.00
2000/01/12	13.81	14.15	13.37	13.42	1175300	23759678.00
2000/01/13	13.44	13.59	12.91	13.01	602300	11829490.00
2000/01/14	12.90	13.20	12.41	12.63	1275800	24151128.00
2000/01/17	12.54	12.99	12.28	12.82	558600	10531073.00
2000/01/18	12.50	12.66	12.20	12.24	1454200	27121138.00
2000/01/19	12.19	12.90	12.04	12.42	2123500	40214128.00
2000/01/20	13.44	13.44	12.42	12.88	6527300	126825848.00
2000/01/21	13.44	14.37	13.44	14.37	6293300	132575496.00
2000/01/24	14.87	15.90	14.83	15.47	13287600	296704576.00
2000/01/25	15.32	15.59	14.44	14.56	4641800	101116520.00
2000/01/26	14.36	14.81	14.28	14.79	1989700	42896152.00
2000/01/27	14.97	15.96	14.83	15.74	6949700	158413360.00
2000/01/28	16.01	16.44	15.53	15.60	5442200	126650984.00
2000/02/14	15.91	17.28	15.59	17.28	7637300	184483952.00
2000/02/15	17.20	19.20	16.48	17.24	11248600	290525984.00
2000/02/16	17.13	18.02	16.59	17.08	7358200	181924448.00
2000/02/17	17.17	17.86	15.18	15.18	8784300	205538800.00
2000/02/18	14.20	15.17	13.88	15.07	3813400	81092936.00
2000/02/21	15.05	15.06	13.97	14.12	4104900	86867496.00
2000/02/22	13.98	15.20	13.82	14.24	2606700	55949488.00
2000/02/23	14.05	14.51	14.01	14.10	1973700	41381044.00
2000/02/24	14.10	14.88	14.10	14.82	1885200	39939352.00
2000/02/25	14.82	14.88	14.20	14.30	1907400	40444632.00
2000/02/28	14.36	14.96	13.90	14.82	3368700	72006376.00
2000/02/29	14.82	14.96	14.27	14.34	2778600	59422236.00
2000/03/01	14.35	14.96	14.28	14.57	2054300	44091316.00
2000/03/02	14.57	14.80	14.10	14.27	1998600	42292644.00
2000/03/03	14.28	14.57	14.13	14.36	2132900	45051084.00
2000/03/06	14.44	14.57	13.36	13.41	2532100	52364472.00
2000/03/07	13.05	13.57	13.05	13.46	1582800	31525130.00
2000/03/08	13.47	14.50	13.36	14.14	2325900	47548868.00
2000/03/09	14.17	14.17	13.65	13.72	1535200	31414080.00
2000/03/10	13.81	13.90	13.36	13.40	1449900	29091552.00
2000/03/13	13.35	13.74	13.34	13.43	1045400	20938190.00
2000/03/14	13.05	13.32	12.74	12.93	1605100	31074350.00
2000/03/15	12.93	13.34	12.86	12.98	1146600	22340970.00
2000/03/16	12.90	12.94	12.28	12.36	1340000	25285068.00
2000/03/17	12.36	12.86	12.36	12.82	1189200	22540982.00
2000/03/20	12.61	13.04	12.37	12.99	1092000	21030512.00
2000/03/21	13.17	13.78	13.05	13.50	2076400	41864784.00
2000/03/22	13.50	13.94	13.27	13.54	1192700	24059472.00
2000/03/23	13.59	13.71	13.31	13.49	1006500	20099698.00
2000/03/24	13.56	13.67	13.04	13.04	2873400	56636288.00
2000/03/27	13.02	13.55	12.58	13.37	2755500	53651788.00
2000/03/28	13.44	13.55	13.05	13.47	2768100	54858128.00
2000/03/29	13.59	13.97	13.37	13.88	2626900	53176076.00
2000/03/30	13.90	14.05	13.59	13.76	1470400	30021068.00
2000/03/31	13.74	13.74	13.28	13.36	1501400	30028202.00
2000/04/03	13.40	13.42	13.05	13.19	1295700	25522584.00
2000/04/04	13.13	13.30	12.82	13.01	959400	18632248.00
2000/04/05	12.98	13.35	12.97	13.11	646500	12629490.00
2000/04/06	13.19	13.50	12.97	13.47	1299900	25688348.00
2000/04/07	13.53	13.90	13.44	13.70	2252300	45762912.00
2000/04/10	13.90	13.90	13.51	13.52	1561000	31539622.00
2000/04/11	13.52	14.96	13.30	14.27	4643200	97057488.00
2000/04/12	14.34	14.36	13.78	13.79	2377800	49320796.00
2000/04/13	13.82	14.62	13.67	14.20	4768400	100666248.00
2000/04/14	14.23	14.74	14.23	14.39	3405300	72708008.00
2000/04/17	14.20	14.38	13.74	13.85	2076100	42865772.00
2000/04/18	13.82	14.40	13.67	14.04	1405700	29285072.00
2000/04/19	14.05	14.74	14.05	14.44	3010600	64447452.00
2000/04/20	14.48	15.24	14.48	15.12	5507900	120664632.00
2000/04/21	15.20	15.28	14.67	14.73	3058400	67165032.00
2000/04/24	14.81	14.96	14.22	14.32	1767200	37773920.00
2000/04/25	14.37	14.44	14.05	14.17	1141900	23876534.00
2000/04/26	14.20	14.51	14.13	14.17	968600	20383504.00
2000/04/27	14.19	14.40	13.83	13.89	1182600	24669486.00
2000/05/08	14.59	14.72	14.01	14.02	1178600	24710676.00
2000/05/09	14.04	14.06	13.44	13.55	1271000	25756602.00
2000/05/10	13.51	13.59	13.05	13.07	992900	19608652.00
2000/05/11	13.05	13.28	12.87	12.89	771600	15057598.00
2000/05/12	12.97	13.19	12.75	12.91	638100	12367148.00
2000/05/15	12.91	12.97	12.63	12.66	579100	11034052.00
2000/05/16	12.67	12.97	12.67	12.90	528700	10148032.00
2000/05/17	12.99	13.05	12.75	12.79	500100	9657106.00
2000/05/18	12.82	13.13	12.67	13.11	638200	12315920.00
2000/05/19	13.13	13.28	12.96	13.20	814000	15945981.00
2000/05/22	13.24	13.64	13.05	13.43	994000	19732936.00
2000/05/23	13.47	13.59	13.10	13.28	1145900	22609826.00
2000/05/24	13.31	13.77	13.14	13.51	1203600	23999646.00
2000/05/25	13.67	13.74	13.36	13.51	1090700	21876206.00
2000/05/26	13.80	13.82	13.36	13.55	1334400	26967928.00
2000/05/29	13.55	13.72	13.28	13.55	1442700	28876394.00
2000/05/30	13.74	13.75	13.16	13.17	1221500	24380122.00
2000/05/31	13.13	13.20	12.97	13.02	1208200	23566992.00
2000/06/01	13.02	13.28	13.00	13.09	840400	16424534.00
2000/06/02	13.09	13.36	12.95	13.20	934000	18250412.00
2000/06/05	13.28	13.82	13.05	13.64	2535900	51125176.00
2000/06/06	13.67	14.20	13.65	14.19	3344300	69322008.00
2000/06/07	14.09	14.28	13.78	13.84	1354500	27958572.00
2000/06/08	13.89	13.89	13.44	13.50	894300	18034858.00
2000/06/09	13.67	14.11	13.44	13.64	1048700	21484582.00
2000/06/12	13.51	13.65	13.28	13.44	648200	12961668.00
2000/06/13	13.50	13.63	13.40	13.59	704900	14158504.00
2000/06/14	13.63	13.73	13.40	13.44	861300	17247634.00
2000/06/15	13.44	13.44	13.28	13.36	666100	13234325.00
2000/06/16	13.37	13.55	13.30	13.32	547500	10931811.00
2000/06/19	13.44	13.44	13.17	13.21	549600	10845109.00
2000/06/20	13.22	13.51	13.20	13.28	343800	6813866.00
2000/06/21	13.28	13.81	13.24	13.66	915900	18496914.00
2000/06/22	13.82	13.86	13.44	13.46	575800	11611008.00
2000/06/23	13.53	13.80	13.27	13.73	1076500	21651910.00
2000/06/26	13.82	13.97	13.68	13.82	1108900	22643360.00
2000/06/27	14.09	15.04	14.05	14.42	6428200	137886464.00
2000/06/28	14.44	14.51	14.19	14.51	1656000	34890052.00
2000/06/29	14.52	15.02	14.46	14.74	2681800	57849568.00
2000/06/30	14.70	14.86	14.37	14.40	1389700	29712124.00
2000/07/03	14.28	14.36	13.78	13.82	1256500	25894420.00
2000/07/04	13.82	13.99	13.70	13.94	712000	14528953.00
2000/07/05	14.05	14.05	13.82	13.87	567700	11674185.00
2000/07/06	13.88	13.97	13.74	13.76	630000	12850457.00
2000/07/07	13.76	14.19	13.76	14.15	731900	15023418.00
2000/07/10	14.17	14.20	13.90	13.94	800900	16479881.00
2000/07/11	14.05	14.36	13.70	14.27	1066400	21961284.00
2000/07/12	14.35	14.40	14.09	14.19	895500	18750176.00
2000/07/13	14.20	14.64	14.05	14.44	1908400	40444664.00
2000/07/14	14.66	14.74	14.22	14.29	1204800	25595256.00
2000/07/17	14.30	14.44	13.97	13.97	733900	15245812.00
2000/07/18	13.90	14.17	13.90	14.07	591200	12199809.00
2000/07/19	14.13	14.27	13.90	13.97	493500	10188083.00
2000/07/20	13.94	14.04	13.75	13.77	811800	16596760.00
2000/07/21	13.85	13.85	13.51	13.70	805900	16316576.00
2000/07/24	13.53	13.67	13.53	13.61	637900	12813339.00
2000/07/25	13.59	13.80	13.59	13.63	476900	9622927.00
2000/07/26	13.64	13.90	13.64	13.70	588000	11908956.00
2000/07/27	13.74	13.97	13.63	13.82	676000	13770491.00
2000/07/28	13.82	14.00	13.63	13.71	695500	14101839.00
2000/07/31	13.67	13.74	13.51	13.62	871100	17470014.00
2000/08/01	13.59	13.66	13.50	13.56	640200	12823260.00
2000/08/02	13.55	13.74	13.51	13.66	610600	12297349.00
2000/08/03	13.67	13.74	13.51	13.65	825100	16569407.00
2000/08/04	13.67	13.98	13.63	13.89	836100	17062188.00
2000/08/07	13.86	13.86	13.59	13.65	476000	9630041.00
2000/08/08	13.67	13.97	13.67	13.80	603700	12332801.00
2000/08/09	13.74	14.24	13.74	14.14	1563900	32451650.00
2000/08/10	14.21	14.42	14.07	14.25	1694100	35486188.00
2000/08/11	14.36	14.40	13.91	13.92	1030100	21404858.00
2000/08/14	13.71	14.00	13.71	13.74	640200	13050517.00
2000/08/15	13.74	13.90	13.74	13.78	569900	11605233.00
2000/08/16	13.82	13.90	13.67	13.67	475600	9661434.00
2000/08/17	13.64	13.82	13.59	13.67	707800	14319208.00
2000/08/18	13.74	13.74	13.62	13.63	696600	14062969.00
2000/08/21	13.65	13.74	13.51	13.60	1056000	21182468.00
2000/08/22	13.60	13.67	13.44	13.47	806200	16192489.00
2000/08/23	13.44	13.44	12.74	13.14	1368300	26624282.00
2000/08/24	13.14	13.42	13.13	13.29	789000	15490063.00
2000/08/25	13.32	13.42	13.27	13.40	503200	9946622.00
2000/08/28	13.51	13.51	13.19	13.24	698100	13708136.00
2000/08/29	13.31	13.31	13.05	13.09	812800	15838344.00
2000/08/30	13.08	13.34	13.08	13.20	522400	10231342.00
2000/08/31	13.20	13.20	12.80	12.81	640000	12302125.00
2000/09/01	12.75	12.96	12.55	12.61	951400	18066734.00
2000/09/04	12.61	12.62	12.34	12.56	812000	15097499.00
2000/09/05	12.56	12.66	12.02	12.13	543400	10059446.00
2000/09/06	12.09	12.09	11.74	11.76	737000	13168167.00
2000/09/07	11.78	12.15	11.78	11.87	448300	8042971.50
2000/09/08	11.97	12.19	11.89	12.06	366100	6600482.50
2000/09/11	12.05	12.13	11.82	11.89	441900	7939754.00
2000/09/12	11.90	11.97	11.82	11.97	352900	6326193.50
2000/09/13	12.19	12.34	11.97	12.06	231300	4203101.50
2000/09/14	12.09	12.13	11.90	11.94	358000	6455550.00
2000/09/15	11.82	11.94	11.82	11.84	335900	5988447.50
2000/09/18	11.84	12.59	11.84	12.34	4312100	79574096.00
2000/09/19	12.33	12.33	11.97	12.04	488500	8867043.00
2000/09/20	12.05	12.20	11.90	12.09	333900	6034830.50
2000/09/21	12.10	12.47	12.10	12.15	437900	8052793.50
2000/09/22	12.11	12.36	12.02	12.17	268400	4915664.50
2000/09/25	12.36	12.36	12.16	12.18	231200	4234468.50
2000/09/26	12.20	12.34	12.13	12.17	225400	4126246.75
2000/09/27	12.17	12.17	11.97	12.14	356700	6463811.00
2000/09/28	12.13	12.19	11.90	11.90	263000	4747835.00
2000/09/29	11.86	12.07	11.83	11.97	275700	4949870.00
2000/10/10	12.05	12.13	11.86	11.94	273000	4904223.00
2000/10/11	11.97	12.28	11.97	12.08	494400	8982080.00
2000/10/12	12.05	12.27	11.90	11.90	318100	5750662.50
2000/10/13	11.97	11.97	11.75	11.80	425600	7587405.50
2000/10/16	11.82	11.82	11.40	11.44	640000	11127782.00
2000/10/17	11.44	11.44	11.20	11.40	454500	7777554.50
2000/10/18	11.42	11.63	11.28	11.58	341100	5934983.00
2000/10/19	11.60	11.66	11.34	11.36	288900	4988312.50
2000/10/20	11.37	11.97	11.37	11.84	817400	14468049.00
2000/10/23	11.88	11.96	11.67	11.78	529200	9425308.00
2000/10/24	11.79	11.97	11.78	11.90	398100	7122973.00
2000/10/25	11.91	12.19	11.90	11.97	536400	9681074.00
2000/10/26	11.97	11.97	11.73	11.76	401700	7137692.00
2000/10/27	11.67	11.82	11.64	11.70	290500	5129846.00
2000/10/30	11.70	11.70	11.50	11.51	488600	8523095.00
2000/10/31	11.51	11.63	11.44	11.50	258600	4500889.00
2000/11/01	11.50	11.81	11.50	11.74	359600	6281924.00
2000/11/02	11.81	11.81	11.65	11.70	262500	4642156.00
2000/11/03	11.64	11.74	11.47	11.59	348100	6073080.50
2000/11/06	11.53	11.70	11.51	11.56	308900	5407748.00
2000/11/07	11.56	11.70	11.56	11.60	245800	4317030.00
2000/11/08	11.67	11.68	11.50	11.65	381400	6677148.50
2000/11/09	11.65	11.90	11.63	11.88	894000	15853810.00
2000/11/10	11.96	12.27	11.94	11.98	1405300	25518122.00
2000/11/13	11.99	12.36	11.99	12.22	1119500	20504112.00
2000/11/14	12.24	12.34	12.00	12.14	817100	14862414.00
2000/11/15	12.17	12.39	12.17	12.23	888000	16349282.00
2000/11/16	12.22	12.36	12.09	12.27	522000	9576749.00
2000/11/17	12.29	12.32	12.02	12.09	680500	12383765.00
2000/11/20	12.07	12.13	11.74	11.90	694400	12446837.00
2000/11/21	11.97	12.09	11.96	12.00	645700	11663859.00
2000/11/22	11.97	12.42	11.84	12.39	1190600	21674732.00
2000/11/23	12.50	12.67	12.39	12.51	1692700	31766864.00
2000/11/24	12.59	12.59	11.90	12.04	1058700	19498698.00
2000/11/27	11.94	12.15	11.75	11.99	600100	10815101.00
2000/11/28	12.13	12.24	11.99	12.20	392000	7151168.50
2000/11/29	12.21	12.21	12.00	12.05	354300	6433121.00
2000/11/30	12.07	12.10	11.98	12.08	376300	6799781.50
2000/12/01	12.10	12.20	11.98	12.05	353900	6406032.00
2000/12/04	12.06	12.27	11.98	12.26	479600	8686713.00
2000/12/05	12.27	12.50	12.27	12.29	561500	10399313.00
2000/12/06	12.35	12.36	12.05	12.07	356800	6519522.50
2000/12/07	12.07	12.17	11.99	12.05	287600	5213851.00
2000/12/08	12.07	12.14	11.98	12.01	336900	6091091.50
2000/12/11	12.04	12.13	11.67	11.70	584400	10388463.00
2000/12/12	11.70	11.97	11.67	11.82	237700	4217272.00
2000/12/13	11.86	11.95	11.71	11.76	248900	4412995.00
2000/12/14	11.78	11.82	11.67	11.70	301600	5333171.50
2000/12/15	11.70	11.90	11.67	11.88	257300	4538879.00
2000/12/18	11.82	11.86	11.68	11.80	314100	5557975.50
2000/12/19	11.74	11.82	11.70	11.74	275800	4882064.00
2000/12/20	11.74	12.04	11.73	12.00	348800	6264708.00
2000/12/21	12.00	12.20	11.97	11.98	385700	6993195.50
2000/12/22	11.97	12.04	11.84	11.87	268200	4795802.50
2000/12/25	11.87	12.01	11.65	11.96	847300	15042039.00
2000/12/26	11.90	12.59	11.84	12.45	4489500	83092464.00
2000/12/27	12.50	12.51	12.20	12.20	1087300	20098200.00
2000/12/28	12.20	12.34	12.13	12.21	634500	11622647.00
2000/12/29	12.22	12.47	12.22	12.37	742200	13769026.00
2001/01/02	12.44	12.82	12.44	12.74	1703500	32252744.00
2001/01/03	12.74	12.80	12.59	12.73	908800	17187032.00
2001/01/04	12.73	12.89	12.59	12.67	844300	16029028.00
2001/01/05	12.67	12.72	12.42	12.50	739100	13801581.00
2001/01/08	12.47	12.48	12.05	12.21	652200	11959319.00
2001/01/09	12.15	12.32	12.15	12.30	327000	6006170.00
2001/01/10	12.27	12.55	12.22	12.39	438900	8147590.00
2001/01/11	12.39	12.44	12.28	12.28	391700	7242320.50
2001/01/12	12.28	12.28	12.14	12.17	458600	8386890.50
2001/01/15	12.20	12.20	11.86	11.92	542700	9757310.00
2001/01/16	11.87	11.99	11.79	11.91	372000	6638845.50
2001/01/17	11.96	12.09	11.80	11.81	297800	5336905.00
2001/01/18	11.90	11.97	11.82	11.87	327200	5854675.00
2001/01/19	11.89	12.14	11.89	12.13	240900	4366818.50
2001/02/05	12.20	12.20	11.76	11.78	337300	6044518.50
2001/02/06	11.75	11.78	11.51	11.78	303200	5325226.50
2001/02/07	11.90	11.90	11.63	11.64	195600	3448430.00
2001/02/08	11.67	11.67	10.90	10.97	426400	7303056.50
2001/02/09	10.94	11.35	10.94	11.14	315400	5329769.50
2001/02/12	11.13	11.14	10.94	11.07	297200	4976331.00
2001/02/13	11.09	11.20	11.01	11.10	159800	2692929.00
2001/02/14	11.11	11.20	11.05	11.17	95600	1616611.00
2001/02/15	11.13	11.20	10.97	10.99	136900	2305039.00
2001/02/16	11.01	11.01	10.67	10.79	336800	5519305.50
2001/02/19	10.83	10.90	10.66	10.86	215400	3541408.50
2001/02/20	10.84	11.09	10.66	10.74	331500	5477802.00
2001/02/21	10.70	10.70	10.20	10.29	578900	9250088.00
2001/02/22	10.20	10.44	10.14	10.21	264400	4186464.00
2001/02/23	10.21	10.37	10.20	10.36	242500	3828313.25
2001/02/26	10.44	10.59	10.44	10.54	247100	3982021.50
2001/02/27	10.54	10.59	10.44	10.50	227700	3671424.25
2001/02/28	10.50	10.59	10.45	10.51	200600	3227037.25
2001/03/01	10.51	10.70	10.44	10.70	204200	3306722.50
2001/03/02	10.70	10.90	10.68	10.82	345300	5684276.50
2001/03/05	10.82	10.82	10.64	10.64	195200	3190801.50
2001/03/06	10.64	10.67	10.39	10.47	411300	6595252.00
2001/03/07	10.44	10.59	10.44	10.45	212100	3411241.25
2001/03/08	10.47	10.74	10.45	10.63	240500	3894718.50
2001/03/09	10.63	11.09	10.63	10.94	606100	10080363.00
2001/03/12	10.97	11.04	10.86	10.90	253600	4215229.00
2001/03/13	10.90	10.91	10.64	10.64	258500	4226985.00
2001/03/14	10.59	10.82	10.55	10.70	188100	3067787.00
2001/03/15	10.67	10.74	10.62	10.67	362800	5911521.50
2001/03/16	10.65	10.67	10.51	10.59	424800	6877795.00
2001/03/19	10.59	10.67	10.47	10.65	378700	6119422.00
2001/03/20	10.59	10.97	10.59	10.97	691200	11368769.00
2001/03/21	10.97	11.43	10.86	11.20	1047900	17775288.00
2001/03/22	11.24	11.32	11.05	11.14	547400	9284161.00
2001/03/23	11.20	11.41	11.00	11.00	737200	12521397.00
2001/03/26	10.94	11.28	10.86	11.20	492300	8316344.50
2001/03/27	11.31	11.39	11.15	11.27	592700	10129559.00
