000070 特发信息 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/05/11	8.03	12.42	8.03	10.13	31469600	937162112.00
2000/05/12	9.88	11.17	9.87	11.17	12739800	395204704.00
2000/05/15	11.32	11.40	10.51	10.97	13123500	407783392.00
2000/05/16	11.04	11.18	10.68	10.98	4986800	153923360.00
2000/05/17	11.07	11.85	10.97	11.02	7796300	249741440.00
2000/05/18	10.99	11.00	10.64	10.97	4612700	141044272.00
2000/05/19	10.97	11.56	10.86	11.05	4537200	143427712.00
2000/05/22	11.25	12.18	11.09	12.03	9899600	322705120.00
2000/05/23	12.05	12.16	11.62	11.79	5363900	179710912.00
2000/05/24	11.79	12.16	11.66	11.82	3650400	122256240.00
2000/05/25	11.88	12.34	11.77	12.00	3027000	102502024.00
2000/05/26	12.16	12.19	11.47	11.55	5165000	171504800.00
2000/05/29	11.57	11.60	11.26	11.30	4163200	133600840.00
2000/05/30	11.29	11.61	10.97	11.11	2865800	91042832.00
2000/05/31	11.09	11.24	10.97	11.06	2082400	65042976.00
2000/06/01	11.08	11.51	11.06	11.29	3124900	99928808.00
2000/06/02	11.29	11.43	11.06	11.15	1556300	49011560.00
2000/06/05	11.14	11.18	10.79	10.90	2201900	68156824.00
2000/06/06	10.91	11.58	10.86	11.33	2784500	88957480.00
2000/06/07	11.37	11.44	11.04	11.08	1279200	40394548.00
2000/06/08	11.08	11.15	10.86	10.95	1546800	47750448.00
2000/06/09	10.97	10.97	10.61	10.65	2042000	62078528.00
2000/06/12	10.57	10.78	10.41	10.64	1160200	34690264.00
2000/06/13	10.64	10.75	10.53	10.58	1316600	39447940.00
2000/06/14	10.61	10.63	10.24	10.31	1756400	51568184.00
2000/06/15	10.28	10.56	10.24	10.43	756500	22230280.00
2000/06/16	10.43	10.53	10.24	10.35	668900	19620380.00
2000/06/19	10.33	10.42	10.24	10.26	908200	26405136.00
2000/06/20	10.28	10.59	10.27	10.52	530800	15705655.00
2000/06/21	10.52	10.90	10.46	10.74	1219200	37025876.00
2000/06/22	10.75	10.84	10.38	10.42	720900	21529486.00
2000/06/23	10.42	10.71	10.27	10.66	1139600	33804144.00
2000/06/26	10.72	10.77	10.48	10.49	894500	26789426.00
2000/06/27	10.53	10.56	10.28	10.36	914100	26785652.00
2000/06/28	10.37	10.53	10.32	10.36	541400	15911204.00
2000/06/29	10.39	10.45	10.26	10.33	1057000	30805426.00
2000/06/30	10.31	10.44	10.26	10.28	568300	16578732.00
2000/07/03	10.26	10.27	9.88	9.89	1293600	36628548.00
2000/07/04	9.88	10.02	9.81	9.88	773900	21613880.00
2000/07/05	9.88	10.13	9.84	9.97	390000	11054036.00
2000/07/06	9.97	9.97	9.73	9.74	755700	20955268.00
2000/07/07	9.74	9.91	9.66	9.87	529500	14687224.00
2000/07/10	9.87	9.92	9.63	9.67	733800	20202372.00
2000/07/11	10.06	10.46	9.81	10.43	1587200	46124368.00
2000/07/12	10.43	10.55	10.13	10.15	1134100	33221092.00
2000/07/13	10.15	11.18	10.15	10.90	4333200	132682120.00
2000/07/14	10.93	11.15	10.67	10.78	1963100	60566304.00
2000/07/17	10.89	10.97	10.66	10.67	808400	24738328.00
2000/07/18	10.66	10.95	10.65	10.74	553500	16824870.00
2000/07/19	10.79	10.90	10.61	10.67	635900	19272980.00
2000/07/20	10.66	10.78	10.34	10.39	663300	19632992.00
2000/07/21	10.39	10.49	10.26	10.27	461800	13523602.00
2000/07/24	10.24	10.24	10.06	10.08	493900	14124387.00
2000/07/25	10.08	10.31	10.06	10.15	273600	7873275.50
2000/07/26	10.19	10.52	10.19	10.32	439900	12965326.00
2000/07/27	10.32	10.46	10.19	10.20	447700	13023306.00
2000/07/28	10.16	10.49	10.13	10.23	472600	13710230.00
2000/07/31	10.23	10.45	10.10	10.39	459300	13366458.00
2000/08/01	10.45	10.46	10.20	10.20	358100	10398318.00
2000/08/02	10.20	10.32	10.12	10.22	317600	9164736.00
2000/08/03	10.28	10.42	10.13	10.32	467600	13620431.00
2000/08/04	10.32	10.67	10.32	10.46	967800	28728270.00
2000/08/07	10.53	10.53	10.29	10.38	368100	10810487.00
2000/08/08	10.34	10.61	10.34	10.40	447200	13237574.00
2000/08/09	10.42	10.71	10.39	10.68	1140100	34198672.00
2000/08/10	10.79	10.95	10.70	10.79	1333900	40844760.00
2000/08/11	10.83	10.89	10.46	10.52	696600	20926832.00
2000/08/14	10.50	10.60	10.38	10.40	424700	12522446.00
2000/08/15	10.50	10.52	10.38	10.41	326900	9640207.00
2000/08/16	10.44	10.44	10.26	10.29	450900	13160670.00
2000/08/17	10.13	10.24	10.07	10.09	878200	25192636.00
2000/08/18	10.10	10.19	10.08	10.13	506900	14560220.00
2000/08/21	10.13	10.13	9.90	10.05	849700	24040574.00
2000/08/22	10.06	10.06	9.96	9.98	508500	14421376.00
2000/08/23	9.95	10.05	9.70	10.01	777000	21706110.00
2000/08/24	10.06	10.17	9.95	9.99	566500	16141826.00
2000/08/25	9.99	10.24	9.99	10.08	451400	12935359.00
2000/08/28	10.10	10.24	9.95	9.99	409600	11599951.00
2000/08/29	9.95	10.03	9.87	9.97	841100	23617664.00
2000/08/30	9.97	10.03	9.83	9.84	533600	14962433.00
2000/08/31	9.74	9.88	9.71	9.71	569900	15781660.00
2000/09/01	9.67	9.80	9.67	9.69	543200	14948914.00
2000/09/04	9.65	9.65	9.33	9.42	761400	20391878.00
2000/09/05	9.44	9.52	8.91	9.04	591200	15535321.00
2000/09/06	9.01	9.07	8.83	8.87	632500	16053769.00
2000/09/07	8.87	9.07	8.86	8.94	424300	10780360.00
2000/09/08	8.94	9.20	8.94	9.09	414500	10714255.00
2000/09/11	9.16	9.22	9.02	9.09	224700	5794144.00
2000/09/12	9.16	9.16	8.94	8.97	277000	7073774.00
2000/09/13	9.01	9.15	8.97	9.09	334500	8601731.00
2000/09/14	9.12	9.16	9.00	9.01	247300	6368841.00
2000/09/15	8.97	9.01	8.86	8.95	411700	10423264.00
2000/09/19	8.79	8.79	8.40	8.49	411000	9992946.00
2000/09/20	8.49	8.71	8.43	8.59	288700	7006794.50
2000/09/21	8.66	8.79	8.58	8.67	370100	9139852.00
2000/09/22	8.64	8.65	8.47	8.57	190000	4620747.50
2000/09/25	8.57	8.65	8.50	8.64	177800	4343769.50
2000/09/26	8.65	8.76	8.64	8.70	191200	4729253.00
2000/09/27	8.75	8.86	8.72	8.83	332300	8304496.00
2000/09/28	8.83	8.90	8.61	8.61	193000	4767540.50
2000/09/29	8.62	8.83	8.62	8.79	311200	7786490.00
2000/10/09	8.87	8.89	8.61	8.81	156700	3885569.50
2000/10/10	8.72	8.86	8.72	8.82	189100	4736003.50
2000/10/11	8.83	8.90	8.79	8.85	196600	4946732.50
2000/10/12	8.83	8.83	8.66	8.69	169300	4191296.25
2000/10/13	8.79	8.87	8.65	8.74	349900	8650944.00
2000/10/16	8.65	8.79	8.47	8.52	210400	5126798.50
2000/10/17	8.54	8.75	8.50	8.70	148700	3635586.75
2000/10/18	8.72	9.04	8.65	9.03	703800	17828990.00
2000/10/19	9.04	9.16	8.97	9.11	921700	23746454.00
2000/10/20	9.12	9.92	9.08	9.69	3107200	84642408.00
2000/10/23	9.76	9.86	9.59	9.74	1670800	45980980.00
2000/10/24	9.74	9.97	9.43	9.87	1468700	40276752.00
2000/10/25	9.95	10.09	9.74	9.77	1934500	54554096.00
2000/10/26	9.74	9.84	9.59	9.61	661200	18131298.00
2000/10/27	9.61	9.72	9.52	9.61	402400	10981467.00
2000/10/30	9.63	9.81	9.61	9.65	381700	10506652.00
2000/10/31	9.65	9.65	9.26	9.32	506700	13582602.00
2000/11/01	9.37	9.51	9.32	9.45	314200	8391616.00
2000/11/02	9.51	9.66	9.39	9.48	339600	9160771.00
2000/11/03	9.48	9.63	9.38	9.41	183800	4951515.50
2000/11/06	9.41	9.66	9.39	9.53	254900	6920867.50
2000/11/07	9.53	9.74	9.53	9.67	261800	7145783.50
2000/11/08	9.70	9.73	9.61	9.67	250100	6844968.00
2000/11/09	9.70	10.02	9.63	9.89	1119800	31325220.00
2000/11/10	9.88	10.06	9.75	9.84	1133700	32002696.00
2000/11/13	9.84	10.17	9.72	9.97	1625600	45863816.00
2000/11/14	9.97	9.99	9.81	9.96	583600	16351187.00
2000/11/15	9.96	9.96	9.75	9.80	618400	17218056.00
2000/11/16	9.80	10.05	9.76	9.96	1024900	28778506.00
2000/11/17	9.95	10.06	9.84	9.95	511300	14438169.00
2000/11/20	9.88	9.92	9.70	9.74	447800	12395131.00
2000/11/21	9.84	9.84	9.59	9.60	494200	13571348.00
2000/11/22	9.62	9.74	9.61	9.70	321100	8793752.00
2000/11/23	9.69	9.75	9.64	9.65	424300	11661114.00
2000/11/24	9.65	9.80	9.16	9.38	556300	15059017.00
2000/11/27	9.16	9.33	9.09	9.15	1029800	26880210.00
