000088 盐 田 港 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	0.15	0.15	0.06	0.11	391600	3235784.50
2000/01/05	0.11	0.15	0.09	0.10	694900	5792850.00
2000/01/06	0.10	0.16	0.09	0.16	776700	6520361.50
2000/01/07	0.19	0.24	0.16	0.21	1834800	16016584.00
2000/01/10	0.22	0.32	0.17	0.29	3024100	26933788.00
2000/01/11	0.33	0.34	0.17	0.18	2478400	22102606.00
2000/01/12	0.17	0.21	0.12	0.12	860500	7286028.00
2000/01/13	0.13	0.14	0.08	0.11	687500	5708904.00
2000/01/14	0.11	0.12	0.06	0.08	618200	5049852.00
2000/01/17	0.08	0.12	0.05	0.12	469000	3821028.50
2000/01/18	0.12	0.13	0.07	0.09	501200	4111052.00
2000/01/19	0.08	0.10	0.08	0.09	454100	3717685.50
2000/01/20	0.09	0.10	0.08	0.10	771600	6314252.50
2000/01/21	0.11	0.14	0.08	0.09	1090600	8960737.00
2000/01/24	0.09	0.09	0.03	0.08	1077000	8580958.00
2000/01/25	0.08	0.12	0.05	0.11	858000	6994120.50
2000/01/26	0.09	0.15	0.06	0.15	1542900	12820800.00
2000/01/27	0.15	0.17	0.10	0.10	1377300	11562321.00
2000/01/28	0.10	0.14	0.07	0.13	1717200	14056929.00
2000/02/14	0.17	0.27	0.15	0.27	3352900	29679158.00
2000/02/15	0.30	0.33	0.21	0.22	4909300	44440616.00
2000/02/16	0.22	0.23	0.13	0.19	3250900	27800164.00
2000/02/17	0.15	0.34	0.14	0.26	6550400	59038892.00
2000/02/18	0.25	0.25	0.18	0.21	2120500	18552820.00
2000/02/21	0.21	0.31	0.15	0.29	5868000	53016216.00
2000/02/22	0.31	0.33	0.19	0.20	2804600	25103578.00
2000/02/23	0.20	0.22	0.14	0.16	2090000	17936684.00
2000/02/24	0.16	0.19	0.14	0.17	1382900	11779945.00
2000/02/25	0.17	0.17	0.12	0.13	2113900	17753682.00
2000/02/28	0.13	0.17	0.09	0.16	2580300	21560364.00
2000/02/29	0.16	0.25	0.14	0.21	3057400	26508280.00
2000/03/01	0.19	0.21	0.14	0.18	1145300	9908413.00
2000/03/02	0.19	0.27	0.19	0.23	3422600	30494122.00
2000/03/03	0.25	0.38	0.25	0.34	10110100	95145872.00
2000/03/06	0.39	0.40	0.21	0.22	4566900	42297736.00
2000/03/07	0.20	0.29	0.18	0.26	2250000	20107480.00
2000/03/08	0.29	0.33	0.25	0.30	2980200	27398728.00
2000/03/09	0.31	0.31	0.25	0.26	1838300	16696839.00
2000/03/10	0.27	0.30	0.22	0.23	1754300	15810493.00
2000/03/13	0.23	0.28	0.21	0.28	1626100	14574619.00
2000/03/14	0.25	0.27	0.19	0.24	2071600	18323684.00
2000/03/15	0.23	0.30	0.21	0.27	2062300	18734946.00
2000/03/16	0.27	0.27	0.14	0.16	1982300	17395778.00
2000/03/17	0.15	0.26	0.15	0.24	1969700	17365602.00
2000/03/20	0.15	0.31	0.15	0.29	2966200	27063612.00
