000166 申万宏源 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/01/26	12.90	15.37	11.86	14.29	1225927830	23755591680.00
2015/01/27	13.37	13.81	12.84	12.87	687550484	12429621248.00
2015/01/28	12.78	12.78	12.18	12.46	368204171	6344390144.00
2015/01/29	12.11	13.06	12.01	12.78	395604727	6838197760.00
2015/01/30	12.69	12.87	12.18	12.22	268831053	4614103552.00
2015/02/02	11.72	11.85	11.22	11.30	296803034	4709138432.00
2015/02/03	11.48	11.65	11.30	11.58	244130649	3874595328.00
2015/02/04	11.59	11.71	11.23	11.24	252635066	3986040320.00
2015/02/05	11.58	11.58	11.13	11.14	233707168	3657292544.00
2015/02/06	10.95	11.19	10.75	10.81	196406084	2973104640.00
2015/02/09	10.78	11.42	10.72	11.24	263003773	4062699520.00
2015/02/10	11.15	11.32	10.94	11.08	187082277	2879595520.00
2015/02/11	11.15	11.58	11.00	11.52	245122220	3845895424.00
2015/02/12	11.41	11.55	11.28	11.43	157518604	2482387456.00
2015/02/13	11.52	11.64	11.38	11.41	162471571	2580065024.00
2015/02/16	11.42	11.46	11.26	11.32	126813936	1987431040.00
2015/02/17	11.33	11.55	11.33	11.44	121216445	1918480512.00
2015/02/25	11.48	11.48	11.18	11.21	100306161	1561035904.00
2015/02/26	11.17	11.66	10.99	11.54	212915107	3345515264.00
2015/02/27	11.46	11.56	11.38	11.41	142434085	2254747392.00
2015/03/02	11.60	11.79	11.45	11.54	209563382	3357588736.00
2015/03/03	11.48	11.49	11.16	11.17	177715672	2768033536.00
2015/03/04	11.15	11.37	11.15	11.24	104884499	1629174400.00
2015/03/05	11.16	11.35	11.11	11.18	119927983	1856576128.00
2015/03/06	11.21	11.32	11.14	11.15	97587017	1512189568.00
2015/03/09	10.87	11.10	10.76	11.06	134023796	2017582336.00
2015/03/10	11.02	11.29	10.93	11.13	123955506	1899032704.00
2015/03/11	11.13	11.28	10.94	10.99	121578229	1865269888.00
2015/03/12	11.04	11.24	10.93	11.09	128255692	1965937280.00
2015/03/13	11.15	11.29	11.04	11.11	116482679	1796282752.00
2015/03/16	11.14	11.35	11.04	11.34	203043114	3153751040.00
2015/03/17	11.43	12.41	11.37	12.17	458779061	7489495552.00
2015/03/18	12.18	12.78	12.04	12.55	398776502	6849320960.00
2015/03/19	12.56	12.67	12.26	12.46	256462068	4397697536.00
2015/03/20	12.49	13.49	12.24	13.04	442537683	7853674496.00
2015/03/23	12.92	13.21	12.75	13.00	292739943	5226910208.00
2015/03/24	12.96	12.97	12.33	12.55	270826718	4715207680.00
2015/03/25	12.54	12.82	12.38	12.42	203497114	3514445824.00
2015/03/26	12.33	12.64	12.21	12.49	185459271	3178770176.00
2015/03/27	12.49	12.60	12.41	12.49	125250648	2159041024.00
2015/03/30	12.52	12.77	12.46	12.65	191608983	3334113024.00
2015/03/31	12.78	13.26	12.48	12.52	274723683	4870209024.00
2015/04/01	12.57	12.83	12.46	12.69	194816251	3390374912.00
2015/04/02	12.75	12.84	12.46	12.61	177613667	3084623616.00
2015/04/03	12.49	12.98	12.47	12.85	249207399	4386372096.00
2015/04/07	13.00	13.05	12.78	13.02	262024620	4670383616.00
2015/04/08	13.08	14.28	12.94	13.95	508489661	9522503680.00
2015/04/09	14.05	14.99	13.82	13.87	514467075	10136816640.00
2015/04/10	13.74	13.97	13.53	13.89	240651399	4556914176.00
2015/04/13	13.96	14.15	13.68	13.92	229106226	4369213952.00
2015/04/14	13.89	14.14	13.47	13.95	232268237	4395884544.00
2015/04/15	13.92	13.92	13.41	13.42	158532693	2986231040.00
2015/04/16	13.26	13.67	13.09	13.48	152452230	2808183552.00
2015/04/17	13.64	13.94	13.49	13.58	199881953	3763872768.00
2015/04/20	13.59	13.63	13.13	13.13	208200312	3825452288.00
2015/04/21	12.94	13.81	12.94	13.62	206983582	3845618944.00
2015/04/22	13.67	14.53	13.58	14.24	303277553	5802979840.00
2015/04/23	14.29	14.35	13.78	13.83	276624878	5339266560.00
2015/04/24	13.59	13.66	13.21	13.36	191115087	3537468416.00
2015/04/27	13.44	13.66	13.31	13.48	148517570	2755165696.00
2015/04/28	13.49	13.66	13.29	13.40	169359141	3140715520.00
2015/04/29	13.48	13.52	13.21	13.41	111617457	2056653056.00
2015/04/30	13.49	13.50	13.18	13.21	129825800	2385338368.00
2015/05/04	13.20	13.34	13.03	13.13	104698431	1892924928.00
2015/05/05	13.12	13.42	12.69	12.74	146985459	2648738048.00
2015/05/06	12.85	13.13	12.42	12.55	139561878	2460915712.00
2015/05/07	12.44	12.85	12.44	12.61	107544849	1872067968.00
2015/05/08	12.84	12.92	12.46	12.72	107991149	1884734976.00
2015/05/11	12.90	12.99	12.74	12.98	142715719	2531161088.00
2015/05/12	12.99	13.42	12.80	13.18	187897347	3403016448.00
2015/05/13	13.18	13.18	12.83	12.86	132521773	2362872064.00
2015/05/14	12.89	13.02	12.71	12.80	97439694	1722680576.00
2015/05/15	12.77	13.22	12.49	12.90	185385160	3280032768.00
2015/05/18	12.69	12.90	12.58	12.64	109260247	1914893184.00
2015/05/19	12.62	13.72	12.60	13.31	330108715	6006494208.00
2015/05/20	13.21	13.27	12.96	13.04	220940768	3980654080.00
2015/05/21	13.04	13.15	12.87	13.04	139876320	2504937728.00
2015/05/22	13.16	13.64	13.09	13.40	257546168	4746692608.00
2015/05/25	13.42	13.95	13.42	13.67	290906755	5479255552.00
2015/05/26	13.71	13.99	13.43	13.82	314703780	5918033920.00
2015/05/27	13.84	14.41	13.64	14.25	377641674	7301563904.00
2015/05/28	14.29	14.98	13.29	13.45	478938464	9495664640.00
2015/05/29	13.53	13.95	13.08	13.59	318495936	5969560576.00
2015/06/01	13.59	14.49	13.22	14.20	328819704	6283590656.00
2015/06/02	14.18	14.54	13.97	14.48	298035714	5846981120.00
2015/06/03	14.63	14.63	13.93	14.02	260994068	5126656000.00
2015/06/04	14.07	14.38	13.29	14.06	270095042	5148018688.00
2015/06/05	14.29	14.37	13.64	13.92	275835478	5320601088.00
2015/06/15	14.21	14.75	13.74	13.80	294249804	5758773248.00
2015/06/16	13.59	13.95	13.20	13.32	187178702	3496611072.00
2015/06/17	13.49	13.55	12.93	13.38	165100319	3003491328.00
2015/06/18	13.24	13.37	12.74	12.77	137306775	2471302656.00
2015/06/19	12.69	13.15	12.44	12.49	158448496	2801797120.00
2015/06/23	12.61	12.98	12.22	12.95	144747807	2533838336.00
2015/06/24	13.03	13.07	12.75	13.05	141286420	2517614080.00
2015/06/25	13.07	13.22	12.55	12.68	142636295	2548204800.00
2015/06/26	12.52	13.04	11.38	11.69	214696612	3631410688.00
2015/06/29	12.15	12.15	10.54	10.92	209837916	3300885248.00
2015/06/30	10.93	11.81	10.30	11.78	216229253	3352259584.00
2015/07/01	11.58	11.88	10.85	10.92	165938514	2638195968.00
2015/07/02	11.34	11.37	10.12	10.64	172113537	2595188224.00
2015/07/03	10.78	10.81	9.65	9.84	164902631	2342440192.00
2015/07/06	10.84	10.84	9.78	10.41	221675751	3172331264.00
2015/07/07	10.11	10.41	9.34	10.41	297637276	4083884800.00
2015/07/08	9.43	9.72	9.34	9.34	373381925	4945596416.00
2015/07/09	9.34	10.30	8.71	10.30	223341380	3044075520.00
2015/07/10	10.37	11.36	10.12	11.35	292615915	4490900992.00
2015/07/13	11.12	12.01	10.98	11.46	293837469	4639629312.00
2015/07/14	11.12	11.26	10.63	10.72	198031465	3003668736.00
2015/07/15	10.51	10.81	9.71	9.73	138807831	1962543488.00
2015/07/16	9.73	10.15	9.52	9.86	109804493	1501675264.00
2015/07/17	9.92	10.47	9.86	10.30	118557807	1667446144.00
2015/07/20	10.29	10.45	10.09	10.20	110081853	1560319360.00
2015/07/21	10.07	10.46	9.96	10.27	120176688	1704563968.00
2015/07/22	10.26	10.36	10.03	10.12	87229061	1229452800.00
2015/07/23	10.18	10.41	10.13	10.38	117510950	1680513664.00
2015/07/24	10.39	10.44	10.02	10.10	118292454	1687504000.00
2015/07/27	9.92	10.02	9.06	9.06	132297856	1757232512.00
2015/07/28	8.87	10.00	8.38	9.68	238769580	3097563392.00
2015/07/29	9.63	10.11	9.38	9.81	100718258	1344308608.00
2015/07/30	9.74	9.91	9.42	9.42	71188410	958525376.00
2015/07/31	9.33	9.58	9.23	9.56	68572809	899511360.00
2015/08/03	9.41	9.80	9.35	9.80	81237219	1079959808.00
2015/08/04	9.75	10.00	9.60	9.95	87340767	1190544768.00
2015/08/05	9.94	9.94	9.59	9.61	56234927	762008960.00
2015/08/06	9.44	9.61	9.37	9.40	42775137	562194304.00
2015/08/07	9.49	9.69	9.45	9.52	47964735	635157248.00
2015/08/10	9.59	10.26	9.50	10.04	126098765	1725245824.00
2015/08/11	9.95	10.04	9.85	9.88	83495883	1148993792.00
2015/08/12	9.78	10.09	9.75	9.81	72134837	990337088.00
2015/08/13	9.72	9.90	9.60	9.84	63811993	864029824.00
2015/08/14	9.95	10.06	9.82	9.95	89429329	1229560192.00
2015/08/17	9.93	9.94	9.70	9.84	56280680	765361792.00
2015/08/18	9.89	10.24	9.06	9.21	134681867	1844099712.00
2015/08/19	9.04	9.32	8.72	9.29	79750268	1007940032.00
2015/08/20	9.41	9.66	9.18	9.28	90906233	1194763520.00
2015/08/21	9.07	9.32	8.64	8.68	68150232	848219200.00
2015/08/24	8.41	8.52	7.78	7.78	78129262	865810624.00
2015/08/25	7.00	7.26	6.98	6.98	81213153	800611648.00
2015/08/26	6.98	7.32	6.32	6.41	110540639	1054804416.00
2015/08/27	6.63	6.79	6.26	6.75	98051976	904249984.00
2015/08/28	6.85	7.20	6.69	7.12	117266544	1128210816.00
2015/08/31	7.00	7.00	6.58	6.69	89339222	848170688.00
2015/09/01	6.69	6.92	6.32	6.69	100498334	936600768.00
2015/09/02	6.41	6.81	6.32	6.42	71319967	654364288.00
2015/09/07	6.52	6.69	6.46	6.50	63533229	588037184.00
2015/09/08	6.41	6.68	6.34	6.66	58647092	537331712.00
2015/09/09	6.70	7.03	6.64	6.95	129846294	1245247488.00
2015/09/10	6.81	6.90	6.72	6.74	72897424	696576704.00
2015/09/11	6.75	6.89	6.67	6.79	48805645	464398688.00
2015/09/14	6.84	6.84	6.09	6.24	90765490	818764480.00
2015/09/15	6.11	6.25	5.71	5.76	63706430	534961152.00
2015/09/16	5.78	6.35	5.77	6.26	69329376	584817216.00
2015/09/17	6.23	6.38	6.06	6.07	68425928	600705472.00
2015/09/18	6.13	6.35	6.08	6.27	64204609	562361216.00
2015/09/21	6.16	6.38	6.12	6.35	43684587	386724768.00
2015/09/22	6.38	6.80	6.35	6.57	89149079	827401472.00
2015/09/23	6.43	6.52	6.29	6.32	50490745	455337408.00
2015/09/24	6.37	6.44	6.26	6.37	35288267	315512288.00
2015/09/25	6.35	6.37	6.04	6.09	41340638	359930080.00
2015/09/28	6.05	6.16	6.01	6.15	26315374	225931776.00
2015/09/29	6.05	6.24	5.89	6.09	42158568	359146720.00
2015/09/30	6.07	6.26	6.06	6.09	34222532	296085024.00
2015/10/08	6.41	6.47	6.30	6.33	51622094	461131776.00
2015/10/09	6.33	6.53	6.30	6.46	59223817	534281248.00
2015/10/12	6.48	6.91	6.44	6.78	116341857	1094859392.00
2015/10/13	6.61	6.75	6.59	6.71	64122970	601723456.00
2015/10/14	6.68	6.82	6.61	6.63	71682805	674560064.00
