000400 许继电气 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	4.75	4.88	4.65	4.85	538300	12582692.00
2000/01/05	4.85	4.98	4.78	4.85	1164700	27816072.00
2000/01/06	4.83	4.99	4.83	4.97	1627100	38966260.00
2000/01/07	5.00	5.13	4.97	5.12	3210500	78586152.00
2000/01/10	5.17	5.56	5.12	5.46	4939500	126091792.00
2000/01/11	5.43	5.43	5.02	5.08	1253100	31368762.00
2000/01/12	5.08	5.22	4.77	4.90	1413800	33759280.00
2000/01/13	4.90	4.97	4.75	4.82	675400	15957096.00
2000/01/14	4.85	4.89	4.70	4.88	867200	20123508.00
2000/01/17	4.86	4.97	4.77	4.92	469800	11140853.00
2000/01/18	4.91	5.01	4.78	4.91	898400	21488992.00
2000/01/19	4.91	5.03	4.90	4.97	1047900	25241048.00
2000/01/20	4.97	5.09	4.94	5.09	1462400	35448744.00
2000/01/21	5.09	5.35	5.09	5.19	2481400	62575492.00
2000/01/24	5.19	5.51	5.14	5.40	2289200	58536400.00
2000/01/25	5.43	5.43	5.15	5.16	2094800	52895472.00
2000/01/26	5.15	5.24	4.99	5.04	1241800	30419824.00
2000/01/27	5.20	5.55	5.03	5.47	4177200	107572488.00
2000/01/28	5.51	5.59	5.31	5.42	2017900	52528300.00
2000/02/14	5.43	6.05	5.43	6.03	6300600	173038576.00
2000/02/15	6.06	6.28	5.63	5.73	5813800	162999648.00
2000/02/16	5.76	5.87	5.24	5.45	5202700	135752592.00
2000/02/17	5.48	5.75	4.92	5.07	4707000	117702368.00
2000/02/18	5.06	5.26	4.83	5.04	2254300	54674944.00
2000/02/21	5.09	5.39	5.07	5.25	3889300	98041808.00
2000/02/22	5.26	5.39	4.80	4.94	2962800	72557520.00
2000/02/23	4.95	4.95	4.66	4.73	2919700	68281952.00
2000/02/24	4.71	4.92	4.66	4.82	3488400	81008168.00
2000/02/25	4.85	5.23	4.79	5.10	5468400	133663832.00
2000/02/28	5.11	5.48	5.09	5.38	5376200	137333856.00
2000/02/29	5.43	5.51	5.09	5.22	4118500	103516464.00
2000/03/01	5.27	5.40	5.17	5.33	3614400	91602968.00
2000/03/02	5.36	5.55	5.31	5.48	4468900	116301824.00
2000/03/03	5.53	6.11	5.48	6.04	8267200	224018080.00
2000/03/06	6.16	6.16	5.36	5.39	5296600	142731904.00
2000/03/07	5.39	5.81	5.37	5.72	6481400	173611120.00
2000/03/08	5.80	5.82	5.58	5.73	4090000	111038240.00
2000/03/09	5.75	5.82	5.58	5.70	2494200	67575240.00
2000/03/10	5.70	5.87	5.37	5.50	3507900	93322360.00
2000/03/13	5.56	5.92	5.43	5.56	4044500	108447824.00
2000/03/14	5.24	5.56	5.17	5.49	5056100	129237904.00
2000/03/15	5.47	5.56	5.31	5.31	2103400	54378904.00
2000/03/16	5.31	5.31	5.07	5.08	2754600	68207696.00
2000/03/17	5.07	5.40	5.05	5.33	2008900	50857528.00
2000/03/20	5.19	5.56	5.19	5.54	3193100	82969576.00
2000/03/21	5.53	5.62	5.40	5.55	2639100	69326056.00
2000/03/22	5.56	5.58	5.43	5.48	1331000	34989432.00
2000/03/23	5.51	5.63	5.41	5.58	1790700	47223852.00
2000/03/24	5.68	5.69	5.43	5.44	1774700	47182088.00
2000/03/27	5.43	5.55	5.39	5.46	2185600	57112256.00
2000/03/28	5.48	5.53	5.40	5.49	1905600	49619788.00
2000/03/29	5.56	5.56	5.39	5.45	1938400	50399664.00
2000/03/30	5.43	5.76	5.42	5.71	4384700	116849192.00
2000/03/31	5.71	6.00	5.64	5.83	6048300	168275872.00
2000/04/03	5.80	5.97	5.74	5.75	2102500	58127192.00
2000/04/04	5.76	5.77	5.60	5.67	1417200	38139312.00
2000/04/05	5.68	6.01	5.63	5.95	4681500	129938776.00
2000/04/06	5.94	5.99	5.88	5.94	2978500	83512304.00
2000/04/07	5.96	6.31	5.95	6.16	6374500	184574720.00
2000/04/11	6.19	6.33	6.09	6.24	7458600	217907664.00
