000416 民生控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	1.08	1.17	1.08	1.16	1459500	12185688.00
2000/01/05	1.12	1.20	1.12	1.12	1899400	16127275.00
2000/01/06	1.10	1.22	1.10	1.18	2127700	18334522.00
2000/01/07	1.20	1.25	1.16	1.20	2490100	21920826.00
2000/01/10	1.20	1.28	1.19	1.28	2876800	25992932.00
2000/01/11	1.28	1.28	1.16	1.19	1857800	16330840.00
2000/01/12	1.16	1.21	1.11	1.14	1480300	12515587.00
2000/01/13	1.14	1.17	1.10	1.11	679600	5626938.50
2000/01/14	1.11	1.12	1.01	1.04	1387300	11052897.00
2000/01/17	1.04	1.10	1.01	1.09	725800	5766232.50
2000/01/18	1.10	1.10	1.03	1.05	676500	5387621.50
2000/01/19	1.03	1.07	1.01	1.05	765500	5988673.50
2000/01/21	1.07	1.13	1.03	1.07	938000	7620764.00
2000/01/24	1.08	1.10	1.01	1.04	1756800	13761773.00
2000/01/25	1.03	1.09	0.99	1.07	1349700	10502991.00
2000/01/26	1.08	1.19	1.04	1.15	2158000	18000086.00
2000/01/27	1.14	1.18	1.11	1.12	1654500	13948939.00
2000/01/28	1.11	1.16	1.09	1.15	1653500	13699635.00
2000/02/14	1.14	1.28	1.11	1.28	5364800	47746440.00
2000/02/15	1.28	1.39	1.18	1.28	7103000	66408108.00
2000/02/16	1.27	1.44	1.23	1.44	6507200	62338204.00
2000/02/17	1.62	1.63	1.36	1.45	14361600	154353968.00
2000/02/18	1.43	1.59	1.27	1.56	6317200	63152700.00
2000/02/21	1.57	1.69	1.46	1.67	8518500	93038448.00
2000/02/22	1.67	1.67	1.47	1.47	4836000	51697852.00
2000/02/23	1.41	1.49	1.28	1.29	3757700	36454084.00
2000/02/24	1.27	1.35	1.25	1.33	2008800	18642588.00
2000/02/25	1.33	1.33	1.25	1.28	1614900	14937690.00
2000/02/28	1.30	1.43	1.23	1.39	2482000	23265200.00
2000/02/29	1.39	1.43	1.30	1.31	2216500	20937068.00
2000/03/01	1.31	1.38	1.26	1.34	1885300	17857490.00
2000/03/02	1.36	1.51	1.34	1.51	5007800	50957008.00
2000/03/03	1.59	1.69	1.53	1.60	7848300	86881800.00
2000/03/06	1.59	1.64	1.46	1.47	3503100	37103828.00
2000/03/07	1.41	1.49	1.39	1.47	1856800	18661434.00
2000/03/08	1.46	1.54	1.43	1.49	1544400	16061257.00
2000/03/09	1.49	1.51	1.44	1.45	1092700	11149011.00
2000/03/10	1.45	1.50	1.39	1.41	1266700	12634880.00
2000/03/13	1.42	1.46	1.36	1.42	1004400	9914489.00
2000/03/14	1.36	1.41	1.26	1.36	2520400	23851604.00
2000/03/15	1.37	1.45	1.34	1.40	1251300	12367066.00
2000/03/16	1.39	1.39	1.29	1.30	1039900	9841638.00
2000/03/17	1.30	1.38	1.29	1.36	959000	9192911.00
2000/03/20	1.34	1.54	1.33	1.54	3381100	35044324.00
2000/03/21	1.59	1.63	1.52	1.55	3589400	38875888.00
2000/03/22	1.58	1.59	1.47	1.51	1860100	19398480.00
2000/03/23	1.52	1.70	1.52	1.70	7549000	85373624.00
2000/03/24	1.74	1.91	1.61	1.78	17140700	209734432.00
2000/03/27	1.79	1.95	1.73	1.89	7703300	95499016.00
2000/03/28	1.90	1.94	1.74	1.81	5566400	67138096.00
2000/03/29	1.81	1.83	1.68	1.74	3176000	37082952.00
2000/03/30	1.74	1.80	1.71	1.75	2280600	26998804.00
2000/03/31	1.71	1.82	1.67	1.82	2921000	34425620.00
2000/04/03	1.82	1.93	1.79	1.88	3817500	47478420.00
2000/04/04	1.87	1.88	1.73	1.74	3113600	37636604.00
2000/04/05	1.70	1.78	1.70	1.78	2065800	24135550.00
2000/04/06	1.78	1.84	1.73	1.82	1974100	23945014.00
2000/04/07	1.82	2.04	1.82	2.01	7063400	91232672.00
2000/04/10	2.09	2.14	1.97	2.03	6730700	90549448.00
2000/04/11	2.04	2.04	1.88	1.91	3610000	46463936.00
2000/04/12	1.90	1.95	1.83	1.92	2477700	31272658.00
2000/04/13	1.92	1.95	1.87	1.90	1772100	22464366.00
2000/04/14	1.90	2.01	1.85	1.94	2366800	30248570.00
2000/04/17	1.92	1.92	1.81	1.81	2633000	32390228.00
2000/04/18	1.79	1.89	1.77	1.84	1387700	17031584.00
2000/04/19	1.90	2.00	1.86	1.98	3523300	45594456.00
2000/04/20	1.98	2.02	1.90	2.00	2621000	34223088.00
2000/04/21	1.97	2.22	1.93	2.18	6667100	91489880.00
2000/04/24	2.20	2.21	2.10	2.12	2828600	39665368.00
2000/04/25	2.12	2.12	2.00	2.09	1694800	22966862.00
2000/04/26	2.09	2.11	2.02	2.04	1490000	20071182.00
2000/04/27	2.01	2.20	1.97	2.01	3269000	44908428.00
2000/04/28	2.01	2.12	2.00	2.05	2227000	30154936.00
2000/05/08	2.07	2.20	2.07	2.14	2058500	28640426.00
2000/05/09	2.15	2.18	2.07	2.13	1422600	19706126.00
2000/05/10	2.11	2.11	2.02	2.03	1556100	21082212.00
2000/05/11	1.99	2.06	1.95	1.99	1409000	18577850.00
