000525 红 太 阳 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	3.45	3.57	3.42	3.56	1361700	20787728.00
2000/01/05	3.55	3.68	3.46	3.63	1586200	24840702.00
2000/01/06	3.63	3.74	3.58	3.73	965100	15322058.00
2000/01/07	3.71	3.86	3.66	3.70	1156500	18605990.00
2000/01/10	3.72	4.03	3.72	3.99	3574300	59103048.00
2000/01/11	3.97	3.98	3.70	3.76	663500	10816148.00
2000/01/12	3.74	3.86	3.52	3.68	1123400	17543548.00
2000/01/13	3.63	3.68	3.53	3.63	484700	7536271.50
2000/01/14	3.63	3.65	3.53	3.56	254900	3943690.25
2000/01/17	3.55	3.67	3.53	3.67	296700	4636105.00
2000/01/19	3.85	4.01	3.72	3.96	1620800	26947196.00
2000/01/20	3.96	3.96	3.84	3.91	667300	11095950.00
2000/01/21	3.91	4.06	3.85	3.94	1205600	20138012.00
2000/01/24	3.95	4.13	3.92	4.07	1586000	27092118.00
2000/01/25	4.07	4.40	4.07	4.35	3944100	70361336.00
2000/01/26	4.30	4.44	4.12	4.27	2532300	44849596.00
2000/01/27	4.27	4.35	4.16	4.32	2317000	41520212.00
2000/01/28	4.38	4.85	4.35	4.82	3235500	62776744.00
2000/02/14	4.97	5.40	4.97	5.40	5428600	114723400.00
2000/02/15	5.45	5.62	5.14	5.47	3946000	85776352.00
2000/02/16	5.47	5.47	5.03	5.42	1945600	41399108.00
2000/02/17	5.44	5.79	4.94	5.21	2914000	62651740.00
2000/02/18	5.15	5.35	4.98	5.35	1561300	32915456.00
2000/02/21	5.41	5.53	5.04	5.21	1794700	37721844.00
2000/02/22	5.09	5.24	4.89	5.11	1207900	24928330.00
2000/02/23	5.11	5.24	4.98	5.17	874400	18261860.00
2000/02/24	5.18	5.78	5.18	5.67	2941400	65305472.00
2000/02/25	5.73	5.76	5.36	5.47	1658700	36630280.00
2000/02/28	5.44	5.66	5.18	5.60	1699400	37533340.00
2000/02/29	5.61	5.71	5.37	5.41	1094300	24189824.00
2000/03/01	5.35	5.46	4.89	5.02	1645100	34008544.00
2000/03/02	4.92	5.37	4.92	5.35	1213200	25290500.00
2000/03/03	5.35	5.54	5.13	5.42	1611500	35152784.00
2000/03/06	5.42	5.52	5.04	5.14	751100	16075953.00
2000/03/07	5.09	5.18	5.00	5.14	383900	7917780.00
2000/03/08	5.18	5.24	5.06	5.20	644700	13475047.00
2000/03/09	5.18	5.20	5.08	5.14	320300	6649023.50
2000/03/10	5.12	5.12	5.03	5.09	266700	5497015.00
2000/03/13	5.02	5.18	4.97	5.14	281300	5836465.00
2000/03/14	5.06	5.14	4.89	5.11	691000	14006124.00
2000/03/15	5.06	5.12	4.92	5.06	248800	5090734.00
2000/03/16	5.04	5.06	4.89	4.90	273900	5514001.50
2000/03/17	4.90	5.09	4.89	5.07	422100	8614239.00
2000/03/20	5.03	5.59	5.03	5.59	2014200	43622632.00
2000/03/21	5.61	5.91	5.61	5.85	2119000	48991936.00
2000/03/22	5.91	5.95	5.56	5.76	1288200	29485298.00
2000/03/23	5.77	5.96	5.77	5.93	1798000	42007176.00
2000/03/24	5.99	6.02	5.76	5.82	908000	21210198.00
2000/03/27	5.84	5.94	5.38	5.51	3875500	88482144.00
2000/03/28	5.59	6.16	5.43	6.16	8043300	181179920.00
2000/03/29	6.53	6.87	6.35	6.87	3532400	93352344.00
2000/03/30	7.07	7.22	6.87	7.21	2133600	58416580.00
2000/03/31	7.22	7.26	6.91	7.03	1064000	29045588.00
2000/04/03	7.05	7.59	7.02	7.25	2563800	72758352.00
2000/04/04	7.27	7.28	6.82	6.99	623400	16931912.00
2000/04/05	6.96	7.09	6.88	7.05	642800	17458054.00
2000/04/06	7.19	7.22	6.93	7.07	1346800	36984560.00
2000/04/07	7.08	7.17	6.91	7.09	1319300	36034800.00
2000/04/10	7.10	7.40	7.09	7.39	1084600	30480676.00
2000/04/11	7.43	7.70	7.00	7.44	1931700	55407432.00
2000/04/12	7.59	7.59	7.23	7.43	498400	14283223.00
2000/04/13	7.51	7.51	7.10	7.29	349500	9851503.00
2000/04/14	7.29	7.57	7.20	7.54	1304800	37172644.00
2000/04/17	7.46	7.46	7.17	7.35	635600	17938478.00
2000/04/18	7.34	7.74	7.18	7.69	2088200	60735500.00
2000/04/19	7.75	7.87	6.83	7.19	2664700	75813872.00
2000/04/20	7.08	7.08	6.45	6.70	1958900	51162548.00
2000/04/21	6.79	7.03	6.44	6.89	1359800	36482876.00
2000/04/24	6.94	6.94	6.57	6.62	287100	7453866.50
2000/04/25	6.58	6.58	6.23	6.45	540900	13592884.00
2000/04/26	6.37	6.38	6.23	6.33	447900	11099743.00
2000/04/27	6.34	6.58	6.25	6.54	252800	6357529.50
2000/04/28	6.47	6.55	6.35	6.55	327100	8322256.50
2000/05/08	6.50	6.74	6.21	6.30	322300	8013718.50
2000/05/09	6.14	6.35	6.12	6.12	178600	4352954.50
2000/05/10	6.12	6.13	5.76	5.82	205700	4801626.50
2000/05/11	5.82	5.96	5.82	5.89	166300	3892901.50
2000/05/12	5.90	5.93	5.88	5.93	311400	7305806.50
2000/05/15	5.91	6.00	5.90	5.97	225800	5311002.00
2000/05/16	5.97	6.14	5.97	6.14	55600	1340971.50
2000/05/17	6.14	6.35	6.14	6.32	277200	6892902.50
2000/05/18	6.31	6.45	6.31	6.37	188000	4716374.50
2000/05/19	6.37	6.64	6.37	6.53	483100	12335317.00
2000/05/23	6.75	6.75	6.50	6.62	480400	12487179.00
2000/05/24	6.61	6.74	6.58	6.60	404200	10566577.00
2000/05/25	6.61	6.73	6.32	6.68	463100	11882311.00
2000/05/26	6.74	6.91	6.40	6.53	1375900	35786936.00
2000/05/29	6.58	6.79	6.46	6.57	762400	19837020.00
2000/05/30	6.57	6.64	6.50	6.58	165000	4245670.00
2000/05/31	6.58	6.79	6.58	6.72	441300	11604972.00
2000/06/01	6.90	6.92	6.65	6.91	408100	10826306.00
2000/06/02	6.91	6.96	6.65	6.95	718200	16025838.00
2000/06/05	6.93	6.93	6.42	6.51	860500	18718706.00
2000/06/06	6.65	6.83	6.44	6.72	430100	9350536.00
2000/06/07	6.62	6.86	6.50	6.65	516600	11158633.00
2000/06/08	6.65	6.68	6.23	6.46	830700	17562258.00
2000/06/09	7.17	7.17	6.58	6.72	1148300	26013872.00
2000/06/12	6.51	6.83	6.51	6.78	485800	10652506.00
2000/06/13	6.76	6.76	6.62	6.71	67200	1459953.63
2000/06/14	6.72	6.73	6.38	6.55	442100	9362030.00
2000/06/15	6.67	6.67	6.23	6.40	379400	7881362.00
2000/06/16	6.40	6.40	6.23	6.34	286000	5889007.50
2000/06/19	6.34	6.37	6.17	6.28	159200	3253893.50
2000/06/20	6.17	6.23	6.16	6.18	64400	1313857.75
2000/06/21	6.20	6.39	6.19	6.30	125800	2600558.25
2000/06/22	6.24	6.64	6.20	6.62	656000	13934073.00
2000/06/23	6.61	6.75	6.52	6.71	1773800	38440876.00
2000/06/26	6.71	6.71	6.24	6.47	150400	3168807.75
2000/06/27	6.46	6.69	6.32	6.41	88200	1856587.25
2000/06/28	6.37	6.57	6.33	6.48	130500	2741928.00
2000/06/29	6.51	6.58	6.36	6.50	87700	1850381.38
2000/06/30	6.50	6.68	6.29	6.50	336600	7186184.00
2000/07/03	6.50	6.50	6.28	6.43	126900	2641420.25
2000/07/04	6.29	6.47	6.29	6.37	911000	18997086.00
2000/07/05	6.37	6.73	6.34	6.55	1400500	29721128.00
2000/07/06	6.57	6.65	6.17	6.24	271000	5701588.00
2000/07/07	6.37	6.64	6.30	6.47	292400	6225530.50
2000/07/10	6.48	6.48	6.30	6.37	80600	1678147.88
2000/07/11	6.34	6.55	6.29	6.52	120300	2509446.25
2000/07/12	6.31	6.50	6.30	6.45	104900	2183223.50
2000/07/13	6.34	6.41	6.30	6.34	150700	3130414.00
2000/07/14	6.34	6.41	6.30	6.39	94000	1957927.88
2000/07/17	6.39	6.39	6.28	6.29	80800	1673750.13
2000/07/18	6.23	6.36	6.23	6.27	88800	1828874.88
2000/07/19	6.27	6.36	6.20	6.29	1007500	20819862.00
2000/07/20	6.29	6.44	6.29	6.34	848400	17762616.00
2000/07/21	6.37	6.46	6.23	6.35	1228700	25892028.00
2000/07/24	6.33	6.33	6.18	6.23	95400	1950396.38
2000/07/25	6.18	6.34	6.13	6.31	215200	4394550.00
2000/07/26	6.32	6.32	6.15	6.18	60900	1240296.25
2000/07/27	6.19	6.29	6.17	6.19	74200	1512642.00
2000/07/28	6.30	6.43	6.14	6.26	336900	7019005.00
2000/07/31	6.28	6.37	6.21	6.35	88600	1831456.00
2000/08/01	6.27	6.38	6.25	6.26	174800	3627938.25
2000/08/02	6.30	6.38	6.23	6.36	169700	3524662.00
2000/08/03	6.34	6.57	6.34	6.54	647400	13740755.00
2000/08/04	6.51	6.55	6.41	6.45	243000	5166518.00
2000/08/07	6.43	6.53	6.43	6.48	109000	2312285.50
2000/08/08	6.48	6.48	6.30	6.33	236500	4948709.50
2000/08/09	6.31	6.34	6.24	6.30	169200	3502772.00
2000/08/10	6.27	6.34	6.23	6.30	336500	6959000.00
2000/08/11	6.30	6.37	6.25	6.34	254700	5294586.00
2000/08/14	6.34	6.37	6.13	6.27	339000	6971713.00
2000/08/15	6.30	6.30	6.20	6.20	123900	2537225.25
2000/08/16	6.21	6.25	6.16	6.21	151800	3098835.25
2000/08/17	6.23	6.33	6.13	6.28	3183700	64808964.00
2000/08/18	6.23	6.57	6.16	6.57	3758200	78759744.00
2000/08/21	6.68	6.73	6.46	6.69	2952500	63565012.00
2000/08/22	6.69	6.75	6.23	6.56	4030200	86105488.00
2000/08/23	6.55	6.58	6.12	6.40	1240700	25810098.00
2000/08/24	6.53	6.60	6.16	6.25	2702600	55836680.00
2000/08/25	6.23	6.32	6.17	6.19	597600	12224577.00
2000/08/28	6.30	6.37	6.13	6.35	1001300	20532624.00
2000/08/29	6.33	6.33	6.16	6.18	602400	12250879.00
2000/08/30	6.20	6.27	6.13	6.14	292500	5938619.50
2000/08/31	6.13	6.23	5.95	5.95	759300	15286277.00
2000/09/01	5.94	6.13	5.88	5.99	1239400	24544246.00
2000/09/04	6.03	6.05	5.88	5.96	184400	3622138.50
2000/09/05	5.95	5.95	5.78	5.88	458600	8930718.00
2000/09/06	5.86	5.86	5.60	5.64	316100	6008858.00
2000/09/07	5.69	6.05	5.69	6.05	471600	9206939.00
2000/09/08	6.06	6.12	5.93	6.08	1427700	28506644.00
2000/09/11	6.08	6.08	5.94	6.04	112500	2236173.00
2000/09/12	5.98	6.10	5.92	6.09	642600	12819900.00
