000567 海德股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	4.66	4.86	4.66	4.85	344200	2073600.75
2000/01/05	4.92	4.96	4.82	4.85	343100	2101945.00
2000/01/06	4.86	5.00	4.80	4.98	409100	2501541.75
2000/01/07	5.00	5.20	4.99	5.19	938200	5981261.00
2000/01/10	5.17	5.38	5.04	5.29	1067000	6888510.50
2000/01/11	5.24	5.28	4.92	4.95	674400	4286335.00
2000/01/12	4.94	5.04	4.82	4.84	515800	3146476.75
2000/01/13	4.86	4.86	4.67	4.78	282500	1693146.25
2000/01/14	4.79	4.83	4.66	4.68	266200	1570888.00
2000/01/17	4.64	4.73	4.59	4.72	261000	1513441.50
2000/01/18	4.72	4.72	4.56	4.65	357400	2066183.50
2000/01/19	4.64	4.78	4.58	4.73	304800	1776298.88
2000/01/20	4.72	4.72	4.56	4.68	344100	2002557.75
2000/01/21	4.68	4.77	4.59	4.62	562400	3267568.25
2000/01/24	4.60	4.70	4.52	4.67	649700	3716430.50
2000/01/25	4.68	5.14	4.67	5.00	1573700	9859213.00
2000/01/26	5.16	5.18	4.82	4.90	607600	3747710.50
2000/01/27	4.94	5.07	4.90	5.01	945200	5888801.50
2000/01/28	5.04	5.05	4.86	4.98	934100	5714393.00
2000/02/14	5.04	5.36	5.02	5.35	1654000	10776990.00
2000/02/15	5.40	5.58	5.09	5.25	2918700	19394796.00
2000/02/16	5.28	5.78	5.28	5.78	3134800	22543978.00
2000/02/17	6.35	6.35	6.00	6.35	10384600	82161480.00
2000/02/18	6.57	6.64	5.74	6.38	6088700	47027264.00
2000/02/21	6.40	6.44	5.92	6.07	3416500	26116084.00
2000/02/22	6.08	6.12	5.80	5.82	2014700	15058587.00
2000/02/23	5.72	5.81	5.36	5.49	2176600	15008936.00
2000/02/24	5.40	5.70	5.40	5.64	1140800	7972998.00
2000/02/25	5.68	5.72	5.44	5.48	1323400	9172376.00
2000/02/28	5.44	5.92	5.36	5.91	1684300	11963250.00
2000/02/29	5.98	5.99	5.61	5.77	1429300	10268220.00
2000/03/01	5.78	6.32	5.78	6.02	2934100	22459004.00
2000/03/02	6.07	6.22	5.84	6.21	1658100	12423349.00
2000/03/03	6.30	6.34	6.10	6.16	2253400	17434796.00
2000/03/06	6.24	6.56	6.08	6.10	3938900	31273378.00
2000/03/07	5.92	6.06	5.76	5.91	1536700	11355038.00
2000/03/08	5.92	6.08	5.78	6.02	848800	6333250.00
2000/03/09	5.90	6.24	5.90	6.10	1170000	8858300.00
2000/03/10	6.13	6.16	5.85	5.90	985300	7352175.00
2000/03/13	5.89	6.15	5.89	5.99	1127100	8508824.00
2000/03/14	5.90	6.40	5.84	6.27	2262400	17319282.00
2000/03/15	6.27	6.60	6.16	6.44	5094000	41232676.00
2000/03/16	6.40	6.42	5.92	5.94	2332000	17742844.00
2000/03/17	6.24	6.39	6.02	6.22	1792500	13877302.00
2000/03/20	6.14	6.85	6.08	6.85	6660500	55864724.00
2000/03/21	6.88	7.18	6.72	6.92	6183900	54229308.00
2000/03/22	6.96	7.10	6.64	6.98	4175500	35916440.00
2000/03/23	7.04	7.68	6.98	7.68	7397400	69053064.00
2000/03/24	8.00	8.45	7.76	7.86	10138100	104129424.00
2000/03/27	7.90	8.56	7.69	8.12	8206700	82364344.00
2000/03/28	8.22	8.40	7.84	7.98	3362900	33695744.00
2000/03/29	7.64	8.15	7.64	7.78	2015900	19845542.00
2000/03/30	7.80	7.88	7.46	7.68	3322400	31592988.00
2000/03/31	7.68	8.24	7.66	8.22	3781700	37903476.00
2000/04/03	8.32	8.60	8.08	8.12	4313400	45324484.00
2000/04/04	8.01	8.14	7.84	8.01	2119500	21148362.00
2000/04/05	8.00	8.35	7.93	8.14	1923000	19580420.00
2000/04/06	8.31	8.93	8.22	8.89	5660200	61397288.00
2000/04/07	8.96	9.05	8.72	8.95	3956600	44018444.00
2000/04/10	8.93	9.20	8.64	8.82	2934600	32640724.00
2000/04/11	8.82	9.04	8.40	8.43	3234700	34977244.00
2000/04/12	8.43	8.57	8.00	8.20	3707200	38525204.00
2000/04/13	8.24	8.31	7.97	8.18	2709100	27358298.00
2000/04/14	8.09	8.26	8.02	8.20	1467800	14881086.00
2000/04/17	8.26	8.32	7.52	7.81	2198700	21467876.00
2000/04/18	7.76	8.14	7.48	8.01	2536400	24350728.00
2000/04/19	8.02	8.12	7.92	8.02	1243900	12444016.00
2000/04/20	8.00	8.10	7.74	7.83	1390200	13657134.00
2000/04/21	7.84	8.08	7.68	7.90	1407500	13887186.00
2000/04/24	7.86	8.30	7.76	8.23	1607200	16209994.00
2000/04/25	8.26	8.40	8.00	8.01	1154600	11841664.00
2000/04/26	8.00	8.16	7.74	7.85	952500	9378347.00
2000/04/27	7.86	7.92	7.22	7.38	1884000	17771838.00
2000/04/28	7.64	8.12	7.63	8.12	1498100	14908434.00
2000/05/08	8.24	8.54	8.12	8.22	2063800	21531444.00
2000/05/09	8.16	8.31	7.90	7.98	720500	7233004.00
2000/05/10	7.82	7.99	7.66	7.67	610200	5904919.00
2000/05/11	7.44	7.75	7.38	7.43	513600	4817302.50
2000/05/12	7.44	7.59	7.22	7.44	633100	5840181.00
2000/05/15	7.40	7.66	7.27	7.54	621400	5753610.50
2000/05/16	7.61	7.90	7.52	7.81	662100	6404177.00
2000/05/17	7.84	7.87	7.64	7.65	347500	3357581.50
2000/05/18	7.67	7.86	7.61	7.82	566200	5499528.00
2000/05/19	7.84	7.96	7.68	7.86	726400	7109040.50
2000/05/22	7.98	8.39	7.86	8.24	1925300	19696240.00
