000587 金洲慈航 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	0.91	0.95	0.91	0.95	270800	1786317.13
2000/01/05	0.94	0.98	0.94	0.94	395500	2639244.00
2000/01/06	1.05	1.05	1.05	1.05	807900	5857761.00
2000/01/07	1.17	1.17	1.17	1.17	1265200	10096910.00
2000/01/10	1.31	1.31	1.27	1.31	15265300	133589208.00
2000/01/11	1.45	1.45	1.25	1.32	11536700	103839336.00
2000/01/12	1.29	1.35	1.20	1.20	8057700	68377784.00
2000/01/13	1.18	1.22	1.14	1.14	3797000	30309440.00
2000/01/14	1.14	1.21	1.14	1.18	2904300	23270496.00
2000/01/17	1.18	1.26	1.16	1.25	3763400	30959786.00
2000/01/18	1.25	1.25	1.16	1.16	2575300	20909268.00
2000/01/19	1.14	1.16	1.10	1.13	2432900	18783308.00
2000/01/20	1.13	1.23	1.11	1.22	3014200	24332600.00
2000/01/21	1.21	1.29	1.20	1.21	5916400	50094548.00
2000/01/24	1.21	1.29	1.19	1.25	4095300	34582452.00
2000/01/25	1.27	1.28	1.19	1.21	2485600	20554196.00
2000/01/26	1.21	1.31	1.20	1.31	4532000	38659604.00
2000/01/27	1.33	1.43	1.33	1.41	12212700	113563968.00
2000/01/28	1.43	1.57	1.38	1.57	14707400	146598688.00
2000/02/14	1.74	1.74	1.74	1.74	2292100	26128138.00
2000/02/15	1.93	1.93	1.93	1.93	1454600	18241638.00
2000/02/16	2.14	2.14	2.04	2.14	3737600	51343360.00
2000/02/17	2.37	2.37	1.91	1.99	26149400	373490176.00
2000/02/18	1.92	2.21	1.78	2.21	13602800	174445312.00
2000/02/21	2.22	2.34	1.99	2.05	12497700	173082880.00
2000/02/22	2.01	2.11	1.89	1.91	7587700	97562160.00
2000/02/23	1.81	1.88	1.70	1.70	7609800	88089536.00
2000/02/24	1.66	1.84	1.65	1.84	5713700	65425368.00
2000/02/25	1.84	1.84	1.71	1.74	4184700	48637804.00
2000/02/28	1.73	1.92	1.68	1.91	6436700	76224216.00
2000/02/29	1.91	1.91	1.74	1.80	5560000	65565688.00
