000617 中油资本 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	1.77	1.90	1.76	1.87	208000	1652392.00
2000/01/05	1.87	2.03	1.87	1.93	566900	4774484.50
2000/01/06	1.88	2.03	1.86	2.01	714200	6015140.00
2000/01/07	2.01	2.06	1.95	2.05	996800	8566601.00
2000/01/10	2.05	2.08	1.97	2.07	679800	5857413.50
2000/01/11	2.07	2.07	1.90	1.91	416600	3551301.25
2000/01/12	1.91	1.94	1.83	1.85	300000	2434091.00
2000/01/13	1.82	1.84	1.76	1.81	273000	2139970.00
2000/01/14	1.79	1.90	1.73	1.79	173700	1352546.00
2000/01/17	1.79	1.79	1.70	1.77	292600	2234681.25
2000/01/18	1.77	1.83	1.76	1.81	252500	1975292.38
2000/01/19	1.82	1.84	1.77	1.80	153900	1204254.13
2000/01/20	1.79	1.85	1.73	1.84	438100	3386612.25
2000/01/21	1.93	2.07	1.91	2.07	385600	3357047.00
2000/01/24	2.16	2.32	2.16	2.23	2975000	27848042.00
2000/01/25	2.23	2.23	2.10	2.12	943900	8529191.00
2000/01/26	2.10	2.11	2.02	2.05	476700	4170997.75
2000/01/27	2.10	2.10	2.04	2.05	640300	5641815.00
2000/01/28	2.09	2.09	1.97	2.05	778200	6670367.50
2000/02/14	2.14	2.30	2.07	2.30	1209200	11329248.00
2000/02/15	2.35	2.57	2.20	2.53	3893500	40139244.00
2000/02/16	2.47	2.65	2.41	2.60	1995000	21117302.00
2000/02/17	2.64	2.83	2.44	2.49	2375400	25573930.00
2000/02/18	2.41	2.54	2.27	2.45	984500	9925461.00
2000/02/21	2.47	2.74	2.40	2.74	1480700	15438560.00
2000/02/22	2.76	2.88	2.44	2.45	1454900	15907580.00
2000/02/23	2.41	2.47	2.29	2.30	850600	8449953.00
2000/02/24	2.27	2.48	2.24	2.44	631800	6251602.00
2000/02/25	2.44	2.52	2.33	2.40	439100	4419589.00
2000/02/28	2.38	2.55	2.38	2.52	678900	6987609.50
2000/02/29	2.52	2.57	2.40	2.44	560300	5705882.50
2000/03/01	2.44	2.64	2.44	2.52	828200	8704400.00
2000/03/02	2.48	2.61	2.48	2.60	960700	10146936.00
2000/03/03	2.64	2.90	2.62	2.85	3780400	43247564.00
2000/03/06	2.87	2.89	2.52	2.52	1560600	17280798.00
2000/03/07	2.46	2.64	2.44	2.57	898700	9453458.00
2000/03/08	2.61	2.74	2.52	2.68	598100	6505009.50
2000/03/09	2.69	2.75	2.63	2.68	702800	7723665.00
2000/03/10	2.55	2.59	2.39	2.41	1103900	11322721.00
2000/03/13	2.38	2.49	2.30	2.46	818900	8238262.00
2000/03/14	2.39	2.46	2.31	2.40	689900	6797830.00
2000/03/15	2.47	2.47	2.40	2.46	423400	4288747.00
2000/03/16	2.48	2.48	2.26	2.27	392000	3837243.25
2000/03/17	2.18	2.35	2.18	2.33	380800	3680721.75
2000/03/20	2.60	2.60	2.32	2.51	714700	7423041.50
2000/03/21	2.51	2.58	2.41	2.56	458100	4696781.00
2000/03/22	2.55	2.63	2.52	2.55	369900	3916619.00
2000/03/23	2.56	2.57	2.51	2.55	381600	3984344.75
2000/03/24	2.56	2.64	2.50	2.56	1062500	11282131.00
2000/03/27	2.55	2.75	2.55	2.69	996200	10921989.00
2000/03/28	2.69	2.75	2.62	2.69	775500	8451088.00
2000/03/29	2.72	2.75	2.55	2.62	805000	8648465.00
2000/03/30	2.60	2.89	2.60	2.85	1950900	21938490.00
2000/03/31	2.81	3.18	2.81	3.18	5723200	71416768.00
2000/04/03	3.26	3.46	3.09	3.32	5272500	69039632.00
2000/04/04	3.31	3.31	3.12	3.17	1483300	19015118.00
2000/04/05	3.16	3.53	3.13	3.53	3946000	54059952.00
2000/04/06	3.60	3.65	3.39	3.54	1981200	27780154.00
2000/04/07	3.53	3.74	3.37	3.40	1657700	23275984.00
2000/04/10	3.39	3.61	3.26	3.43	1517500	20972612.00
2000/04/11	3.42	3.56	3.17	3.29	907100	12256928.00
2000/04/12	3.26	3.67	3.26	3.67	3194400	45342360.00
2000/04/13	3.65	4.07	3.63	4.07	3823500	59971592.00
2000/04/14	4.19	4.25	3.85	4.05	3050600	48234144.00
2000/04/17	3.99	4.13	3.91	3.99	1326200	20714460.00
2000/04/18	3.96	4.43	3.95	4.43	3724800	63101172.00
2000/04/19	4.47	4.53	4.19	4.38	1668200	28135308.00
2000/04/20	4.33	4.86	4.33	4.68	5041300	92419448.00
2000/04/21	4.78	4.86	4.53	4.76	1231100	22369268.00
2000/04/24	4.76	5.05	4.61	4.76	1824100	33909000.00
2000/04/25	5.05	5.05	4.50	4.64	1109700	19760588.00
2000/04/26	4.67	4.67	4.45	4.63	594000	10504295.00
2000/04/27	4.63	4.63	4.14	4.18	1290500	21710846.00
2000/04/28	4.06	4.35	3.97	4.19	959800	15440539.00
2000/05/08	4.16	4.64	4.11	4.39	957200	16609530.00
2000/05/09	4.42	4.56	4.28	4.41	1384600	23923056.00
2000/05/10	4.39	4.52	4.08	4.30	1140700	18904526.00
2000/05/11	4.25	4.36	3.83	3.93	1989200	30584064.00
