000622 恒立实业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	2.38	2.43	2.32	2.41	360600	2568884.75
2000/01/05	2.42	2.49	2.36	2.42	547600	4010525.50
2000/01/06	2.42	2.49	2.38	2.48	491400	3613081.00
2000/01/07	2.46	2.73	2.46	2.73	2698400	21722840.00
2000/01/10	2.79	2.84	2.66	2.77	2290200	19030356.00
2000/01/11	2.77	2.79	2.56	2.59	1065500	8546986.00
2000/01/12	2.59	2.64	2.47	2.48	772300	5889260.00
2000/01/13	2.44	2.57	2.44	2.47	324800	2422850.75
2000/01/14	2.44	2.50	2.41	2.42	344000	2523663.00
2000/01/17	2.39	2.44	2.36	2.43	454200	3261766.50
2000/01/18	2.43	2.44	2.39	2.43	282600	2056524.63
2000/01/19	2.44	2.44	2.39	2.43	228300	1666924.50
2000/01/20	2.44	2.50	2.42	2.48	406400	3013778.00
2000/01/21	2.49	2.49	2.39	2.42	665200	4860496.50
2000/01/24	2.40	2.42	2.33	2.41	619600	4395611.50
2000/01/25	2.40	2.62	2.36	2.54	1003800	7532618.00
2000/01/26	2.53	2.58	2.49	2.53	767400	5868667.50
2000/01/27	2.55	2.79	2.52	2.79	3079100	24978800.00
2000/01/28	3.07	3.07	3.06	3.07	4755900	43897548.00
2000/02/14	3.37	3.37	3.37	3.37	1276100	12952791.00
2000/02/15	3.71	3.71	3.71	3.71	617000	6891912.50
2000/02/16	4.09	4.09	3.79	4.09	16368400	199758752.00
2000/02/17	4.50	4.50	3.86	4.03	15911600	209357440.00
2000/02/18	3.92	4.41	3.63	4.34	8314500	98591616.00
2000/02/21	4.32	4.32	3.90	3.90	7442500	91096960.00
2000/02/22	3.74	3.96	3.65	3.72	3734400	42819432.00
2000/02/23	3.66	3.74	3.36	3.37	3382800	35809684.00
2000/02/24	3.33	3.65	3.32	3.64	2556700	26875416.00
2000/02/25	3.66	3.69	3.51	3.56	2285700	24750398.00
2000/02/28	3.61	3.92	3.61	3.92	4954100	57529144.00
2000/02/29	4.25	4.31	3.96	4.07	8485600	105961920.00
2000/03/01	4.12	4.16	3.87	3.91	2595400	30877282.00
2000/03/02	3.87	4.06	3.79	3.94	2864100	33634156.00
2000/03/03	4.02	4.08	3.86	3.90	1815500	21442582.00
2000/03/06	3.89	3.90	3.54	3.57	2456900	27493142.00
2000/03/07	3.57	3.85	3.43	3.81	1486400	16687414.00
2000/03/08	3.81	3.85	3.69	3.82	1633700	18631282.00
2000/03/09	3.84	3.86	3.66	3.74	1193300	13428227.00
2000/03/10	3.71	3.81	3.66	3.69	953700	10622458.00
2000/03/13	3.66	3.69	3.56	3.62	965200	10467413.00
2000/03/14	3.59	3.62	3.46	3.54	1256600	13322574.00
2000/03/15	3.52	3.69	3.49	3.62	687500	7446784.50
