000657 中钨高新 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	4.75	4.91	4.75	4.88	365300	4261150.50
2000/01/05	4.79	4.96	4.79	4.88	452400	5326396.50
2000/01/06	4.76	5.08	4.76	5.01	855100	10216132.00
2000/01/07	5.01	5.25	5.00	5.24	2677200	33131226.00
2000/01/10	5.30	5.30	5.17	5.27	1809100	22678670.00
2000/01/11	5.26	5.26	4.96	4.98	992900	12118421.00
2000/01/12	4.98	5.05	4.83	4.83	623300	7344076.00
2000/01/13	4.81	4.88	4.77	4.80	452600	5243446.50
2000/01/14	4.79	4.83	4.74	4.75	307600	3525423.50
2000/01/17	4.73	4.83	4.70	4.80	240200	2730681.00
2000/01/18	4.80	4.83	4.74	4.75	254000	2908824.25
2000/01/19	4.75	4.80	4.69	4.77	273800	3123601.50
2000/01/20	4.75	5.09	4.75	5.08	790200	9402174.00
2000/01/21	5.11	5.11	4.88	4.94	655400	7862209.50
2000/01/24	4.92	5.13	4.83	4.91	461900	5479448.50
2000/01/25	4.92	5.12	4.92	5.10	832500	10073292.00
2000/01/26	5.13	5.13	5.00	5.03	416800	5040306.50
2000/01/27	5.13	5.21	4.99	5.00	893100	10877826.00
2000/01/28	5.00	5.13	4.88	4.92	889500	10498613.00
2000/02/14	4.96	5.42	4.96	5.42	2618600	33344594.00
2000/02/15	5.47	5.81	5.26	5.35	2999800	39949536.00
2000/02/16	5.30	5.51	5.19	5.43	1868400	23748368.00
2000/02/17	5.45	5.66	4.88	4.98	2701300	33581068.00
2000/02/18	4.96	5.21	4.84	5.16	1201100	14286194.00
2000/02/21	5.15	5.21	4.98	5.00	1273700	15387879.00
2000/02/22	5.05	5.09	4.92	4.92	959100	11494418.00
2000/02/23	4.94	5.04	4.88	4.90	636700	7560721.00
2000/02/24	4.92	5.00	4.84	4.97	677600	7949890.50
2000/02/25	4.92	4.96	4.81	4.86	772100	8997559.00
2000/02/28	4.83	5.09	4.83	5.01	921600	10982633.00
2000/02/29	5.05	5.11	4.88	4.92	1164600	13886252.00
2000/03/01	4.92	5.29	4.92	5.12	1152100	14129148.00
2000/03/02	5.09	5.19	4.92	5.00	807300	9731969.00
2000/03/03	5.09	5.09	4.95	5.03	1816800	21840610.00
2000/03/06	5.05	5.32	5.03	5.05	1768900	21904142.00
2000/03/07	5.01	5.01	4.87	4.98	714100	8442684.00
2000/03/08	4.96	5.00	4.84	4.99	1182000	13857274.00
2000/03/09	5.00	5.05	4.86	4.94	713000	8419925.00
2000/03/10	4.92	4.92	4.78	4.79	916400	10611958.00
2000/03/13	4.79	4.91	4.78	4.90	856100	9933659.00
2000/03/14	4.83	5.02	4.79	4.98	1190500	14085919.00
2000/03/15	5.00	5.13	5.00	5.10	1229200	14989522.00
2000/03/16	4.97	5.02	4.83	4.88	529000	6242581.00
2000/03/17	4.89	4.99	4.87	4.94	431100	5101532.50
2000/03/20	4.92	5.24	4.86	5.18	2312100	28551816.00
2000/03/21	5.21	5.37	5.13	5.24	2255600	28515804.00
2000/03/22	5.24	5.51	5.13	5.50	3116400	39900244.00
2000/03/23	5.51	5.57	5.42	5.46	2864000	37640288.00
2000/03/24	5.55	5.63	5.30	5.37	2053000	26952742.00
2000/03/27	5.36	5.49	5.34	5.43	1776900	23099790.00
2000/03/28	5.47	5.78	5.40	5.70	3307300	44549888.00
2000/03/29	5.70	5.74	5.34	5.46	2175100	28539524.00
2000/03/30	5.46	5.63	5.43	5.57	1475900	19559742.00
2000/03/31	5.59	5.62	5.46	5.55	1740400	23035482.00
2000/04/03	5.57	5.94	5.51	5.87	3636500	50719604.00
2000/04/04	5.87	5.88	5.64	5.72	2228900	30634068.00
2000/04/05	5.64	5.84	5.62	5.73	1689100	23036598.00
2000/04/06	5.74	5.84	5.66	5.78	1341200	18466174.00
2000/04/07	5.81	6.12	5.81	5.89	2135500	30374240.00
2000/04/10	5.91	6.02	5.81	5.88	1421300	20167906.00
2000/04/11	5.87	5.87	5.70	5.73	1927700	26708344.00
2000/04/12	5.74	5.81	5.55	5.69	1330000	18095902.00
2000/04/13	5.64	5.84	5.60	5.69	1114200	15274708.00
2000/04/14	5.78	5.79	5.64	5.74	1227900	16774681.00
2000/04/18	5.76	5.94	5.68	5.78	1592000	22223012.00
2000/04/19	5.85	6.18	5.80	6.10	3728700	54045016.00
2000/04/20	6.09	6.29	6.06	6.19	2994000	44560540.00
2000/04/21	6.21	6.26	6.02	6.03	2131800	31253488.00
2000/04/24	6.14	6.22	5.97	6.03	1281500	18723144.00
2000/04/25	6.14	6.14	5.89	5.99	1248600	17750884.00
2000/04/26	6.10	6.10	5.89	5.93	1473700	21009618.00
2000/04/27	5.97	6.06	5.86	5.89	1887800	26845426.00
2000/04/28	5.85	5.97	5.79	5.90	1251000	17618600.00
2000/05/08	5.90	6.14	5.90	6.04	1127300	16252579.00
2000/05/09	5.92	6.10	5.92	5.94	805300	11500986.00
2000/05/10	5.89	5.93	5.59	5.60	1083800	14897818.00
2000/05/11	5.60	5.68	5.54	5.58	1376300	18393520.00
2000/05/12	5.58	5.63	5.51	5.51	717900	9585728.00
2000/05/15	5.51	5.51	5.24	5.37	517400	6630161.50
2000/05/16	5.37	5.51	5.32	5.40	650800	8419137.00
2000/05/17	5.38	5.47	5.38	5.41	196000	2547670.50
2000/05/18	5.39	5.55	5.39	5.55	424400	5588860.50
2000/05/19	5.59	5.66	5.50	5.62	662700	8835011.00
2000/05/22	5.72	5.87	5.62	5.72	1218500	16780914.00
2000/05/23	5.85	6.02	5.76	5.85	558400	7843420.00
2000/05/24	5.84	5.93	5.76	5.83	925500	12956573.00
2000/05/25	5.87	5.97	5.85	5.93	1074100	15196596.00
2000/05/26	5.95	5.98	5.81	5.86	973300	13754265.00
2000/05/29	5.85	5.89	5.76	5.80	915400	12760211.00
2000/05/30	5.79	5.92	5.78	5.80	727900	10178143.00
2000/05/31	5.78	6.03	5.76	5.93	1521700	21652668.00
2000/06/01	6.00	6.05	5.85	6.00	1180300	16903174.00
2000/06/02	6.02	6.23	5.95	6.13	2196300	32184586.00
2000/06/05	6.19	6.36	6.01	6.04	1851600	27561190.00
2000/06/06	6.05	6.15	5.97	6.10	708500	10270903.00
2000/06/07	6.10	6.30	6.10	6.18	1011500	15039118.00
2000/06/08	6.21	6.28	6.09	6.26	1347700	19970604.00
2000/06/09	6.26	6.48	6.14	6.21	2117700	31968760.00
2000/06/12	6.23	6.30	6.10	6.20	836200	12391812.00
2000/06/13	6.27	6.70	6.23	6.67	4711800	72973216.00
2000/06/14	6.90	6.90	6.48	6.50	2351600	37561076.00
2000/06/15	6.50	6.63	6.42	6.56	1670800	26019888.00
2000/06/16	6.64	6.82	6.52	6.72	2703100	43050708.00
2000/06/19	6.82	6.98	6.65	6.69	1902900	31006082.00
2000/06/20	6.73	6.73	6.46	6.47	1218000	18981118.00
2000/06/21	6.44	6.71	6.40	6.69	1222100	19346520.00
2000/06/22	6.55	6.86	6.55	6.73	1426300	22935752.00
2000/06/23	6.74	7.11	6.74	7.07	2759100	45996128.00
2000/06/26	7.12	7.16	6.97	7.06	1390800	23473136.00
2000/06/27	7.01	7.18	6.98	7.17	884400	14936156.00
2000/06/28	7.05	7.35	7.05	7.28	1924700	33237788.00
2000/06/29	7.20	7.32	7.00	7.14	1629400	27851522.00
2000/06/30	7.03	7.18	6.95	7.14	2030300	34275024.00
2000/07/03	7.07	7.12	6.95	7.01	743900	12483569.00
2000/07/04	6.99	7.04	6.74	6.88	832600	13641280.00
2000/07/05	6.82	6.89	6.74	6.74	673200	10945793.00
2000/07/06	6.69	6.86	6.69	6.79	876400	14215552.00
2000/07/07	6.76	7.12	6.76	7.10	2010000	33420448.00
2000/07/10	6.97	7.35	6.97	7.14	2157300	37080524.00
2000/07/11	7.05	7.28	6.99	7.20	1014400	17270900.00
2000/07/12	7.09	7.19	7.03	7.09	630300	10683338.00
2000/07/13	7.07	7.18	6.90	7.14	1119800	18795370.00
2000/07/14	7.09	7.54	7.07	7.49	2259700	39305316.00
2000/07/17	7.41	7.58	7.34	7.47	1866300	33409786.00
2000/07/18	7.45	7.52	7.38	7.50	790700	14043197.00
2000/07/19	7.54	7.64	7.48	7.52	1008900	18230366.00
2000/07/20	7.47	7.52	7.35	7.45	654800	11585183.00
2000/07/21	7.39	7.50	7.37	7.44	612500	10866743.00
2000/07/24	7.37	7.45	7.20	7.33	680900	11819130.00
2000/07/25	7.27	7.40	7.22	7.27	439300	7683852.00
2000/07/26	7.27	7.49	7.24	7.47	999900	17686936.00
2000/07/27	7.44	7.53	7.34	7.45	506500	8968595.00
2000/07/28	7.46	7.51	7.31	7.34	521900	9239521.00
2000/07/31	7.24	7.34	6.95	7.05	2382900	40269216.00
2000/08/01	7.01	7.16	7.01	7.12	1017300	17230454.00
2000/08/02	7.06	7.23	7.06	7.20	1095700	18690852.00
2000/08/03	7.52	7.52	7.09	7.20	1277900	22305880.00
2000/08/04	7.16	7.26	6.99	7.14	907700	15452093.00
2000/08/07	7.05	7.16	7.05	7.08	787100	13365903.00
2000/08/08	7.44	7.54	7.25	7.54	3584100	63195092.00
2000/08/09	7.54	8.23	7.54	8.20	5265800	98431632.00
2000/08/10	8.04	8.13	7.89	8.02	3115900	59605136.00
2000/08/11	8.00	8.09	7.77	7.83	2520600	47279656.00
2000/08/14	7.84	7.96	7.74	7.85	1100000	20522206.00
2000/08/15	7.96	8.21	7.93	8.04	2328000	45008408.00
2000/08/16	8.07	8.09	7.88	7.95	1143400	21767516.00
2000/08/17	7.93	8.00	7.87	7.96	1518300	28781694.00
2000/08/18	7.98	8.13	7.96	7.99	2388700	45764472.00
2000/08/21	7.99	8.09	7.99	8.05	1929200	37028044.00
2000/08/22	8.05	8.08	7.71	7.86	1871800	35189804.00
2000/08/23	7.85	7.85	7.19	7.53	2603900	46572536.00
2000/08/24	7.53	7.72	7.41	7.71	2527400	45891252.00
2000/08/25	7.62	7.79	7.58	7.69	966900	17676522.00
2000/08/28	7.67	7.67	7.54	7.58	848400	15332976.00
2000/08/29	7.59	7.80	7.59	7.73	1155300	21249956.00
2000/08/30	7.73	7.73	7.55	7.61	723700	13168983.00
2000/08/31	7.52	7.75	7.24	7.71	1714300	30184870.00
2000/09/01	7.36	7.53	7.28	7.38	939900	16526751.00
2000/09/04	7.37	7.37	7.13	7.32	797800	13783956.00
2000/09/05	7.23	7.35	6.95	7.12	1104000	18896242.00
2000/09/06	6.97	7.12	6.95	6.95	617100	10298149.00
2000/09/07	7.05	7.15	6.97	7.05	437500	7356368.50
2000/09/08	7.01	7.14	6.97	7.07	387500	6521845.50
2000/09/11	7.07	7.09	6.82	6.98	582000	9628215.00
2000/09/12	6.95	7.12	6.91	7.10	1004600	16905142.00
2000/09/13	7.05	7.22	6.97	7.17	1273500	21672690.00
2000/09/14	7.10	7.19	7.08	7.12	589600	10051635.00
2000/09/15	7.12	7.36	7.12	7.23	1760400	30521922.00
2000/09/18	7.20	7.28	6.95	6.97	458600	7769877.50
2000/09/19	6.90	7.01	6.71	6.77	596200	9680159.00
2000/09/20	6.82	6.90	6.59	6.71	821400	13129344.00
2000/09/21	6.69	6.69	6.51	6.52	663900	10414801.00
2000/09/22	6.52	6.64	6.37	6.61	1030200	16064445.00
2000/09/25	6.55	6.58	6.40	6.45	207800	3213357.00
2000/09/26	6.48	6.68	6.46	6.57	511200	8024039.00
2000/09/27	6.61	6.67	6.54	6.66	314300	4963681.50
2000/09/28	6.66	6.68	6.58	6.63	516600	8167155.00
2000/09/29	6.61	6.78	6.61	6.73	534000	8547707.00
2000/10/09	6.80	6.81	6.65	6.76	327800	5270840.50
2000/10/10	6.79	6.87	6.71	6.87	990300	15991862.00
2000/10/11	7.02	7.02	6.77	6.78	514700	8436800.00
2000/10/12	6.78	6.88	6.78	6.82	442100	7210705.00
2000/10/13	6.78	6.87	6.77	6.79	413200	6737769.00
2000/10/16	6.79	6.79	6.61	6.61	490200	7847268.00
2000/10/17	6.59	6.69	6.51	6.69	182900	2899245.75
2000/10/18	6.65	6.78	6.61	6.78	421000	6780475.50
2000/10/19	6.74	6.87	6.72	6.79	951400	15509252.00
2000/10/20	6.79	7.20	6.78	7.11	3032700	51010804.00
2000/10/23	7.15	7.16	6.98	7.10	1077100	18150024.00
2000/10/24	7.09	7.12	6.92	7.11	481700	8070650.00
2000/10/25	7.09	7.23	7.01	7.19	1498100	25598560.00
2000/10/26	7.16	7.22	7.03	7.04	664700	11342040.00
2000/10/27	7.03	7.12	6.97	7.11	391000	6594593.00
2000/10/30	7.09	7.16	7.02	7.09	359500	6098728.50
2000/10/31	7.09	7.11	6.90	6.91	316600	5283047.00
2000/11/01	6.90	6.99	6.88	6.93	365400	6030489.00
2000/11/02	6.93	7.05	6.90	6.95	471400	7831339.50
2000/11/03	6.99	6.99	6.87	6.91	401100	6652454.00
2000/11/06	6.95	6.99	6.88	6.98	710300	11748829.00
2000/11/07	7.09	7.09	6.99	7.03	253700	4257874.00
2000/11/08	7.06	7.16	7.03	7.08	477300	8089693.00
2000/11/09	7.05	7.15	7.03	7.11	608600	10308852.00
2000/11/10	7.16	7.31	7.11	7.28	1339500	23104182.00
2000/11/13	7.31	7.47	7.28	7.36	2431600	42971156.00
2000/11/14	7.37	7.39	7.24	7.33	1041600	18140004.00
2000/11/15	7.31	7.53	7.31	7.45	1863600	33241274.00
2000/11/16	7.48	7.58	7.45	7.49	1495500	26865850.00
2000/11/17	7.50	7.53	7.28	7.35	869000	15309865.00
2000/11/20	7.35	7.44	7.20	7.41	1015300	17745612.00
2000/11/21	7.42	7.74	7.42	7.66	2868400	52287196.00
2000/11/22	7.62	7.84	7.59	7.83	1876500	34743432.00
2000/11/23	7.88	7.91	7.75	7.83	1258400	23456640.00
2000/11/24	7.81	7.81	7.37	7.41	1999800	36170904.00
2000/11/27	7.33	7.54	7.24	7.43	998800	17618506.00
2000/11/28	7.45	7.53	7.44	7.50	563000	10066026.00
2000/11/29	7.47	7.50	7.33	7.35	590100	10402337.00
2000/11/30	7.35	7.40	7.30	7.36	473800	8299567.00
2000/12/01	7.37	7.52	7.37	7.49	553400	9857645.00
2000/12/04	7.48	7.66	7.47	7.63	1034500	18739716.00
2000/12/05	7.66	7.66	7.50	7.54	579000	10473703.00
2000/12/06	7.56	7.59	7.50	7.56	784000	14134474.00
2000/12/07	7.52	7.61	7.52	7.60	762400	13759110.00
2000/12/08	7.61	7.66	7.54	7.55	361900	6543677.00
2000/12/11	7.54	7.54	7.41	7.42	747200	13345006.00
2000/12/12	7.42	7.46	7.38	7.44	356700	6312288.50
2000/12/13	7.44	7.44	7.35	7.41	487000	8581353.00
2000/12/14	7.41	7.43	7.31	7.33	358400	6294453.00
2000/12/15	7.32	7.39	7.25	7.29	481800	8403368.00
2000/12/18	7.28	7.41	7.27	7.41	600500	10514822.00
2000/12/19	7.37	7.56	7.36	7.51	651100	11586155.00
2000/12/20	7.45	7.66	7.44	7.65	625700	11353706.00
2000/12/21	7.66	7.83	7.66	7.74	1572400	29160258.00
2000/12/22	7.74	7.79	7.66	7.71	581500	10703576.00
2000/12/25	7.70	7.86	7.70	7.85	1151000	21462864.00
2000/12/26	7.83	8.00	7.82	7.89	1751300	33158970.00
2000/12/27	7.95	7.95	7.76	7.92	1463800	27419638.00
2000/12/28	7.85	7.96	7.74	7.89	930900	17399254.00
2000/12/29	7.88	8.04	7.80	8.03	1256300	23922410.00
2001/01/02	7.88	7.92	7.37	7.44	3858500	69933824.00
2001/01/03	7.33	7.75	6.76	7.74	7441700	127148264.00
2001/01/04	7.66	7.66	7.37	7.45	3712000	66660732.00
2001/01/05	7.41	7.53	7.35	7.48	1646200	29299302.00
2001/01/08	7.45	7.45	7.07	7.11	1856300	32028080.00
2001/01/09	7.11	7.18	6.97	7.12	1142400	19264846.00
