000662 天夏智慧 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	2.03	2.06	1.96	2.05	503800	4011000.00
2000/01/05	2.06	2.13	1.98	2.13	1326100	10835000.00
2000/01/06	2.12	2.21	2.04	2.20	1473200	12357000.00
2000/01/07	2.18	2.31	2.17	2.28	3017300	26253000.00
2000/01/10	2.28	2.30	2.15	2.26	2190800	19016000.00
2000/01/11	2.26	2.26	2.08	2.09	1824400	15405000.00
2000/01/12	2.09	2.12	1.98	1.99	1193500	9579000.00
2000/01/13	2.00	2.05	1.95	2.00	592100	4668000.00
2000/01/14	2.00	2.03	1.93	1.95	566400	4383000.00
2000/01/17	1.93	1.99	1.89	1.98	715000	5436000.00
2000/01/18	1.98	1.99	1.90	1.93	539600	4121000.00
2000/01/19	1.90	1.98	1.90	1.92	692500	5275000.00
2000/01/20	1.92	2.02	1.90	2.01	1048000	8080000.00
2000/01/21	2.01	2.02	1.93	1.95	974500	7510000.00
2000/01/24	1.82	1.89	1.75	1.85	2618000	18833000.00
2000/01/25	1.84	1.92	1.79	1.86	1572400	11443000.00
2000/01/26	1.86	1.94	1.85	1.92	1155800	8677000.00
2000/01/27	1.93	1.94	1.81	1.82	1795100	13103000.00
2000/01/28	1.81	1.89	1.80	1.87	1325300	9713000.00
2000/02/14	1.92	2.07	1.92	2.07	2243500	17934000.00
2000/02/15	2.18	2.30	2.04	2.15	5159200	44778000.00
2000/02/16	2.15	2.38	2.09	2.38	3450500	30306000.00
2000/02/17	2.30	2.30	2.13	2.13	2364200	20433000.00
2000/02/18	2.12	2.36	2.05	2.36	6047600	54864000.00
2000/02/21	2.58	2.61	2.47	2.61	2836700	28327000.00
2000/02/22	2.88	2.88	2.52	2.60	12380600	132257000.00
2000/02/23	2.58	2.58	2.33	2.33	1918900	17517000.00
2000/02/24	2.19	2.30	2.15	2.28	4036200	35111000.00
2000/02/25	2.27	2.27	2.17	2.20	2463000	21300000.00
2000/02/28	2.17	2.42	2.15	2.40	2991400	27234000.00
2000/02/29	2.42	2.47	2.28	2.33	2341700	21248000.00
2000/03/02	2.35	2.39	2.25	2.27	1389000	12611000.00
2000/03/03	2.28	2.40	2.28	2.34	2142800	19516000.00
2000/03/06	2.36	2.39	2.23	2.24	1616300	14512000.00
2000/03/07	2.20	2.23	2.15	2.20	1386300	11804000.00
2000/03/08	2.22	2.31	2.19	2.31	1240000	10872000.00
2000/03/09	2.34	2.35	2.25	2.28	929200	8268000.00
2000/03/10	2.28	2.29	2.17	2.21	860800	7431000.00
2000/03/13	2.20	2.36	2.17	2.34	1222200	10850000.00
2000/03/14	2.31	2.32	2.20	2.29	1362600	12033000.00
2000/03/15	2.27	2.54	2.26	2.47	4935800	47030000.00
2000/03/16	2.43	2.53	2.31	2.34	3583000	33825000.00
2000/03/17	2.34	2.59	2.34	2.58	4992400	48350000.00
2000/03/20	2.52	2.85	2.51	2.85	8968000	95349000.00
2000/03/21	2.88	2.90	2.64	2.71	5031000	53191000.00
2000/03/22	2.72	3.00	2.61	3.00	4823300	51876000.00
2000/03/23	3.02	3.26	2.85	2.98	6776600	79997000.00
2000/03/24	2.98	3.12	2.91	2.92	4260100	49057000.00
2000/03/27	2.77	2.90	2.72	2.83	4915900	53324000.00
2000/03/28	2.83	3.00	2.81	2.89	3044700	34049000.00
2000/03/29	2.87	2.90	2.66	2.70	2746500	28956000.00
2000/03/30	2.70	2.77	2.69	2.72	1474000	15510000.00
2000/03/31	2.72	2.79	2.61	2.76	2035900	21112000.00
2000/04/03	2.73	2.83	2.68	2.76	1329000	14302000.00
2000/04/04	2.75	2.76	2.66	2.69	1043700	10919000.00
2000/04/05	2.69	2.89	2.68	2.88	2257300	24450000.00
2000/04/06	2.91	2.98	2.87	2.94	2575300	28967000.00
2000/04/07	2.94	2.96	2.85	2.92	1770300	19696000.00
2000/04/10	2.92	2.94	2.85	2.87	1268800	14127000.00
2000/04/11	2.88	2.95	2.83	2.87	1469900	16287000.00
2000/04/12	2.87	2.99	2.85	2.95	2190600	24783000.00
2000/04/13	2.95	2.99	2.88	2.94	1503600	16976000.00
2000/04/14	2.95	2.96	2.85	2.87	1315800	14606000.00
2000/04/17	2.85	2.87	2.68	2.82	1545200	16361000.00
2000/04/18	2.77	2.81	2.69	2.76	980400	10387000.00
2000/04/19	2.80	2.99	2.79	2.82	1033700	11392000.00
