000669 金鸿控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2000/01/04	4.15	4.30	4.07	4.26	34400	611033.31
2000/01/05	4.23	4.36	4.23	4.36	59000	1077598.50
2000/01/06	4.33	4.36	4.26	4.35	29800	546063.00
2000/01/07	4.31	4.39	4.26	4.38	139600	2562893.75
2000/01/10	4.33	4.62	4.32	4.62	342700	6462323.50
2000/01/11	4.65	4.77	4.46	4.53	458700	9031018.00
2000/01/12	4.52	4.58	4.31	4.32	130300	2430998.00
2000/01/13	4.32	4.35	4.26	4.26	51400	930544.00
2000/01/14	4.27	4.33	4.23	4.26	50900	919573.38
2000/01/17	4.26	4.28	4.20	4.26	74300	1331163.88
2000/01/18	4.25	4.25	4.13	4.13	107300	1903368.38
2000/01/19	4.13	4.36	4.13	4.36	99600	1824400.63
2000/01/20	4.60	4.60	4.60	4.60	129600	2502730.50
2000/01/21	4.85	4.85	4.36	4.44	1566300	30992392.00
2000/01/24	4.49	4.68	4.49	4.68	369400	7187706.00
2000/01/25	4.93	4.93	4.43	4.93	5312000	104604272.00
2000/01/26	5.17	5.20	4.93	5.20	898100	19236848.00
2000/01/27	5.48	5.48	5.32	5.48	1443400	32773040.00
2000/01/28	5.64	5.78	5.30	5.78	2031100	48111328.00
2000/02/14	6.09	6.09	6.09	6.09	362500	9077501.00
2000/02/15	6.41	6.41	6.41	6.41	152100	4001232.75
2000/02/16	6.75	6.75	6.75	6.75	175800	4853515.00
2000/02/17	7.11	7.11	6.40	7.02	3065000	85956456.00
2000/02/18	7.20	7.20	6.65	6.92	1335800	37138612.00
2000/02/21	6.55	6.55	6.55	6.55	1527900	40963000.00
2000/02/22	6.20	6.20	6.20	6.20	224200	5710374.00
2000/02/23	5.87	5.87	5.87	5.87	71400	1727880.00
2000/02/24	5.56	5.81	5.56	5.70	1294500	29804222.00
2000/02/25	5.64	5.69	5.39	5.42	3802600	85261832.00
2000/02/28	5.13	5.40	5.13	5.31	1473400	31933172.00
2000/02/29	5.35	5.60	5.25	5.48	1289000	29114994.00
2000/03/01	5.51	5.51	5.19	5.19	665100	14491074.00
2000/03/02	5.04	5.38	4.97	5.22	574500	12175614.00
2000/03/03	5.22	5.32	5.04	5.08	490700	10573510.00
2000/03/06	5.12	5.35	5.09	5.22	1007300	22180280.00
2000/03/07	5.22	5.37	5.09	5.24	340700	7417682.00
2000/03/08	5.52	5.52	5.52	5.52	560600	12809756.00
2000/03/09	5.82	5.82	5.82	5.82	622500	14934135.00
2000/03/10	6.13	6.13	5.95	6.13	6035800	151564336.00
2000/03/13	6.46	6.46	6.26	6.46	3747800	98996512.00
2000/03/14	6.44	6.78	6.11	6.69	4075200	108501624.00
2000/03/15	6.39	6.60	6.34	6.34	1563300	41006568.00
2000/03/16	6.00	6.04	6.00	6.00	316200	7810022.00
2000/03/17	5.68	5.68	5.68	5.68	875500	20539230.00
2000/03/20	5.53	5.82	5.45	5.60	1367000	31809822.00
2000/03/21	5.60	5.82	5.43	5.70	1007500	23486512.00
2000/03/22	5.70	6.01	5.70	6.01	288300	7051480.50
2000/03/23	6.33	6.33	6.33	6.33	221000	5740279.00
2000/03/24	6.67	6.67	5.99	6.00	2141500	55658040.00
2000/03/28	6.64	6.64	6.44	6.64	3117800	84539208.00
2000/03/29	6.89	7.07	6.55	6.77	2710700	75638784.00
2000/03/30	6.73	6.73	6.47	6.56	1077200	28961196.00
2000/03/31	6.53	6.77	6.21	6.54	1089500	28605158.00
2000/04/03	6.52	6.55	6.29	6.39	489700	12862765.00
2000/04/04	6.34	6.47	6.21	6.28	505500	13121855.00
2000/04/05	6.29	6.39	6.23	6.27	332900	8602960.00
2000/04/06	6.31	6.57	6.31	6.39	427200	11266485.00
2000/04/10	6.46	6.46	6.23	6.24	508900	13095196.00
2000/04/11	6.23	6.42	6.04	6.37	876700	22241732.00
2000/04/12	6.34	6.34	6.10	6.12	303800	7694830.00
2000/04/13	6.08	6.34	6.05	6.14	369500	9363977.00
2000/04/14	6.13	6.18	6.04	6.07	537500	13431965.00
2000/04/17	5.97	6.00	5.76	5.76	694700	16714458.00
2000/04/18	5.79	5.99	5.77	5.91	374700	9084346.00
2000/04/19	5.92	6.12	5.92	6.10	446600	11163013.00
2000/04/20	6.20	6.23	6.03	6.03	276600	6914276.50
2000/04/21	6.03	6.09	5.84	5.85	422100	10349189.00
2000/04/24	5.82	5.83	5.63	5.66	523500	12348692.00
2000/04/25	5.65	5.82	5.60	5.77	238800	5612498.50
2000/04/26	5.79	5.85	5.70	5.74	154800	3685439.75
2000/04/27	5.75	5.81	5.64	5.66	289500	6835656.00
2000/04/28	5.67	6.02	5.67	5.99	578400	14051226.00
2000/05/08	5.99	6.08	5.81	5.86	295100	7150469.00
2000/05/09	5.82	5.82	5.67	5.69	350600	8274980.00
2000/05/10	5.69	5.69	5.49	5.50	339800	7800235.00
2000/05/11	5.50	5.56	5.40	5.40	186700	4219583.50
2000/05/12	5.39	5.53	5.38	5.40	182400	4105371.50
2000/05/15	5.40	5.40	5.20	5.22	186000	4057403.00
2000/05/16	5.30	5.40	5.26	5.33	110600	2439825.75
2000/05/17	5.35	5.49	5.30	5.32	167900	3752992.00
2000/05/18	5.32	5.43	5.29	5.42	157700	3520139.00
2000/05/19	5.45	5.45	5.31	5.44	193100	4325357.00
2000/05/22	5.53	5.81	5.43	5.69	433800	10089164.00
2000/05/23	5.66	5.74	5.54	5.57	240100	5569083.00
2000/05/24	5.58	5.82	5.55	5.74	412400	9647116.00
2000/05/25	5.79	5.82	5.66	5.69	364700	8594840.00
2000/05/26	5.74	5.79	5.62	5.62	452700	10630988.00
2000/05/29	5.61	5.77	5.54	5.69	537800	12558031.00
2000/05/30	5.69	6.09	5.69	5.88	1049100	25628694.00
2000/05/31	5.89	5.94	5.73	5.81	347600	8367925.50
2000/06/01	5.84	5.91	5.74	5.77	227700	5447046.00
2000/06/02	5.75	5.75	5.61	5.67	307800	7204845.50
2000/06/05	5.64	5.82	5.56	5.72	355000	8371647.00
2000/06/06	5.71	5.92	5.71	5.86	426600	10307802.00
2000/06/07	5.92	5.92	5.77	5.78	224800	5389895.50
2000/06/08	5.72	5.76	5.60	5.64	238800	5582545.50
2000/06/09	5.61	5.71	5.61	5.66	182300	4253868.50
2000/06/12	5.61	5.66	5.56	5.58	173800	4014866.75
2000/06/13	5.55	5.70	5.53	5.63	179400	4171444.75
2000/06/14	5.66	5.71	5.54	5.56	255000	5886740.00
2000/06/15	5.56	5.61	5.54	5.57	195700	4505660.00
2000/06/16	5.57	5.79	5.57	5.65	147300	3461008.25
2000/06/19	5.64	5.66	5.55	5.57	182000	4212998.00
2000/06/20	5.57	5.77	5.57	5.65	146400	3434993.50
2000/06/21	5.66	5.81	5.58	5.79	402400	9551882.00
2000/06/22	5.82	5.84	5.69	5.72	228300	5449062.00
2000/06/23	5.72	6.34	5.72	6.29	2080800	52216596.00
2000/06/26	6.34	6.44	6.18	6.22	1475500	38151440.00
2000/06/27	6.22	6.23	5.95	5.95	714700	17773740.00
2000/06/28	5.95	6.34	5.92	6.21	936800	24085010.00
2000/06/29	6.23	6.29	6.08	6.25	522000	13238217.00
2000/06/30	6.29	6.30	6.08	6.10	365900	9248650.00
2000/07/03	6.07	6.07	5.84	5.86	359100	8754869.00
2000/07/04	5.82	5.95	5.77	5.95	195700	4744816.00
2000/07/05	5.95	5.97	5.86	5.89	151100	3673159.50
2000/07/06	5.89	5.95	5.82	5.86	132000	3192178.75
2000/07/07	5.84	5.99	5.84	5.92	132700	3238550.00
2000/07/10	5.92	5.92	5.82	5.86	305900	7383210.50
2000/07/11	5.84	6.10	5.71	6.08	444300	10771293.00
2000/07/12	6.07	6.07	5.89	5.90	189600	4646331.50
2000/07/13	5.89	6.14	5.87	6.13	748600	18684034.00
2000/07/14	6.15	6.21	5.97	6.04	305100	7609230.00
2000/07/17	6.08	6.08	5.91	5.92	187100	4610505.50
2000/07/18	5.87	6.00	5.87	5.98	137000	3343171.00
2000/07/19	5.97	6.07	5.90	6.02	142100	3499326.25
2000/07/20	6.02	6.02	5.89	5.92	130100	3173664.00
2000/07/21	5.92	5.92	5.82	5.84	214200	5185913.00
2000/07/24	5.84	5.84	5.71	5.75	206100	4889951.00
2000/07/25	5.73	5.77	5.69	5.75	141900	3360681.00
2000/07/26	5.75	5.87	5.74	5.77	111900	2674915.75
2000/07/27	5.78	5.82	5.71	5.73	187500	4460970.50
2000/07/28	5.71	5.90	5.71	5.80	135400	3243239.75
2000/07/31	5.74	5.79	5.69	5.77	177800	4195301.50
2000/08/01	5.79	5.82	5.71	5.73	107100	2534586.50
2000/08/02	5.71	5.86	5.71	5.81	184600	4400193.00
2000/08/03	5.84	5.89	5.76	5.77	162500	3898454.25
2000/08/04	5.73	5.95	5.73	5.79	195500	4713429.00
2000/08/07	5.79	5.84	5.74	5.79	134000	3206605.75
2000/08/08	5.79	6.07	5.79	6.01	413600	10157455.00
2000/08/09	5.87	5.94	5.60	5.61	1000500	23408298.00
2000/08/10	5.58	5.69	5.56	5.66	726600	16893124.00
2000/08/11	5.69	5.69	5.43	5.46	804200	18373362.00
2000/08/14	5.43	5.43	5.27	5.34	468500	10383178.00
